Start Timestep,End Timestep,Average Episodic Return
147200,147200,14.147946
147600,147600,14.510991
148000,148400,15.042956
148800,148800,16.935036
149200,149200,13.037953
149600,150000,17.310894
150400,150400,12.591016
150800,150800,21.350573
151200,151200,15.333278
151600,152000,11.442766
152400,152400,15.214787
152800,152800,11.327846
153200,153600,19.836853
154000,154000,14.279636
154400,154400,20.573803
154800,154800,16.041225
155200,155600,12.822954
156000,156000,18.850563
156400,156400,31.719406
156800,156800,9.59949
157200,157600,23.42054
158000,158000,23.59541
158400,158400,21.083664
158800,159200,9.248175
159600,159600,24.424957
160000,160000,19.216232
160400,160400,23.335346
160800,161200,25.947998
161600,161600,10.5762005
162000,162000,16.708792
162400,162800,25.081642
163200,163200,15.7786665
163600,163600,3.2060268
164000,164000,12.387809
164400,164800,18.786116
165200,165200,19.972893
165600,165600,33.76584
166000,166400,16.917767
166800,166800,28.717386
167200,167200,8.770237
167600,167600,31.08715
168000,168400,19.867044
168800,168800,28.946404
169200,169200,24.788948
169600,169600,13.337944
170000,170400,16.556856
170800,170800,8.153271
171200,171200,16.631496
171600,172000,23.304111
172400,172400,7.772279
172800,172800,18.55059
173200,173200,6.920293
173600,174000,19.722076
174400,174400,13.671544
174800,174800,16.832825
175200,175600,25.212069
176000,176000,20.385368
176400,176400,13.379443
176800,176800,18.367434
177200,177600,21.97364
178000,178000,13.092097
178400,178400,18.550537
178800,179200,22.45794
179600,179600,20.31299
180000,180000,37.888184
180400,180400,14.660908
180800,181200,16.043846
181600,181600,31.800232
182000,182000,15.510916
182400,182400,12.989583
182800,183200,27.458702
183600,183600,19.010645
184000,184000,10.982516
184400,184800,13.44965
185200,185200,9.11058
185600,185600,14.127232
186000,186000,17.829525
186400,186800,19.101871
187200,187200,15.307098
187600,187600,17.48348
188000,188400,13.438744
188800,188800,28.687927
189200,189200,17.103886
189600,189600,10.328901
190000,190400,42.899742
190800,190800,18.476095
191200,191200,33.48065
191600,192000,21.606209
192400,192400,4.570983
192800,192800,8.387015
193200,193200,26.069256
193600,194000,24.985674
194400,194400,21.107048
194800,194800,26.372646
195200,195200,36.27065
195600,196000,24.28244
196400,196400,21.47262
196800,196800,17.064087
197200,197600,21.515131
198000,198000,7.8320127
198400,198400,28.524847
198800,198800,10.99229
199200,199600,14.737247
200000,200000,9.467626
200400,200400,23.849628
200800,201200,11.997776
201600,201600,25.180317
202000,202000,17.663832
202400,202400,8.648439
202800,203200,19.869572
203600,203600,14.625196
204000,204000,23.851768
204400,204800,27.876036
205200,205200,9.950476
205600,205600,23.721062
206000,206000,20.06004
206400,206800,24.03997
207200,207200,23.141174
207600,207600,9.420649
208000,208000,17.47195
208400,208800,13.760136
209200,209200,26.623623
209600,209600,11.898383
210000,210400,21.011618
210800,210800,23.794037
211200,211200,9.966574
211600,211600,8.729129
212000,212400,24.17335
212800,212800,19.38638
213200,213200,34.652218
213600,214000,23.692547
214400,214400,25.27367
214800,214800,15.410905
215200,215200,21.718082
215600,216000,18.909208
216400,216400,5.926484
216800,216800,27.252548
217200,217600,18.77254
218000,218000,23.13636
218400,218400,22.246407
218800,218800,24.147259
219200,219600,14.732646
220000,220000,16.327301
220400,220400,21.82592
220800,220800,22.936047
221200,221600,17.073568
222000,222000,6.0870333
222400,222400,11.402502
222800,223200,17.069992
223600,223600,10.252402
224000,224000,21.965221
224400,224400,27.21562
224800,225200,19.719782
225600,225600,12.1504345
226000,226000,25.422396
226400,226800,13.807899
227200,227200,17.925426
227600,227600,19.195166
228000,228000,21.596992
228400,228800,8.559046
229200,229200,11.792601
229600,229600,24.684048
230000,230400,28.780956
230800,230800,18.676575
231200,231200,8.158641
231600,231600,7.483687
232000,232400,15.850752
232800,232800,15.692364
233200,233200,10.280562
233600,233600,3.8241796
234000,234400,27.033195
234800,234800,25.143215
235200,235200,18.617844
235600,236000,23.58439
236400,236400,5.4321723
236800,236800,19.228178
237200,237200,26.618135
237600,238000,13.341141
238400,238400,15.5074005
238800,238800,32.69896
239200,239600,17.25825
240000,240000,8.720406
240400,240400,25.195827
240800,240800,7.3129573
241200,241600,18.274746
242000,242000,10.099629
242400,242400,4.873308
242800,243200,22.73198
243600,243600,10.215666
244000,244000,7.697436
244400,244400,11.015708
244800,245200,16.876682
245600,245600,16.839403
246000,246000,32.486217
246400,246400,25.057066
246800,247200,18.885815
247600,247600,12.657106
248000,248000,36.099133
248400,248800,22.25417
249200,249200,39.491127
249600,249600,20.9942
250000,250000,23.884148
250400,250800,29.716352
251200,251200,10.892287
251600,251600,25.834509
252000,252400,35.89835
252800,252800,40.969658
253200,253200,8.453455
253600,253600,26.309174
254000,254400,13.685337
254800,254800,26.461464
255200,255200,23.346655
255600,256000,16.52956
256400,256400,28.51611
256800,256800,37.441307
257200,257200,16.353596
257600,258000,12.710512
258400,258400,10.077325
258800,258800,11.199793
259200,259200,18.199173
259600,260000,21.465946
260400,260400,18.767262
260800,260800,20.147144
261200,261600,17.964903
262000,262000,13.8161
262400,262400,25.794975
262800,262800,19.428013
263200,263600,19.887405
264000,264000,33.885643
264400,264400,17.121552
264800,265200,24.940315
265600,265600,25.970123
266000,266000,19.437956
266400,266400,20.881207
266800,267200,20.25448
267600,267600,32.80699
268000,268000,25.859303
268400,268800,12.568409
269200,269200,12.605757
269600,269600,27.73114
270000,270000,21.100986
270400,270800,16.472525
271200,271200,6.024508
271600,271600,25.339928
272000,272000,23.282682
272400,272800,16.231674
273200,273200,4.7390995
273600,273600,23.986427
274000,274400,26.038258
274800,274800,8.208115
275200,275200,10.196103
275600,275600,11.341156
276000,276400,19.366234
276800,276800,13.9093
277200,277200,25.008003
277600,278000,9.412928
278400,278400,14.854489
278800,278800,24.787495
279200,279200,31.888786
279600,280000,16.362827
