Start Timestep,End Timestep,Average Episodic Return
147200,147200,23.453867
147600,147600,16.212103
148000,148400,22.70676
148800,148800,23.44897
149200,149200,14.236144
149600,150000,18.745743
150400,150400,6.844284
150800,150800,13.966236
151200,151200,20.488182
151600,152000,17.018856
152400,152400,33.12801
152800,152800,10.876808
153200,153600,19.383835
154000,154000,14.492123
154400,154400,26.26769
154800,154800,27.543633
155200,155600,36.400887
156000,156000,19.278288
156400,156400,18.429947
156800,156800,11.894632
157200,157600,32.589127
158000,158000,20.041151
158400,158400,25.980263
158800,159200,17.086649
159600,159600,21.065376
160000,160000,21.898115
160400,160400,24.802874
160800,161200,26.121338
161600,161600,6.4397526
162000,162000,15.069057
162400,162800,21.448362
163200,163200,21.526691
163600,163600,20.001942
164000,164000,8.608111
164400,164800,17.175667
165200,165200,36.749733
165600,165600,48.531918
166000,166400,30.951315
166800,166800,26.190136
167200,167200,22.599411
167600,167600,16.880787
168000,168400,23.891472
168800,168800,18.951023
169200,169200,28.228783
169600,169600,5.2977004
170000,170400,14.129009
170800,170800,7.1345825
171200,171200,10.937775
171600,172000,28.121145
172400,172400,10.634995
172800,172800,17.121326
173200,173200,28.734737
173600,174000,22.929998
174400,174400,28.315989
174800,174800,31.472393
175200,175600,26.529896
176000,176000,14.821197
176400,176400,8.41891
176800,176800,21.33856
177200,177600,31.951305
178000,178000,17.49731
178400,178400,43.667904
178800,179200,26.720528
179600,179600,23.619032
180000,180000,38.939896
180400,180400,20.511192
180800,181200,19.311386
181600,181600,24.74906
182000,182000,8.340208
182400,182400,13.991876
182800,183200,21.955467
183600,183600,18.901184
184000,184000,9.453897
184400,184800,20.110504
185200,185200,5.104352
185600,185600,26.57583
186000,186000,36.11268
186400,186800,26.661892
187200,187200,24.446619
187600,187600,15.123682
188000,188400,29.01218
188800,188800,19.660313
189200,189200,38.035378
189600,189600,16.333101
190000,190400,42.830605
190800,190800,20.668564
191200,191200,32.77114
191600,192000,34.88685
192400,192400,5.664057
192800,192800,12.784723
193200,193200,37.28607
193600,194000,16.357271
194400,194400,23.9167
194800,194800,27.860106
195200,195200,19.800592
195600,196000,25.242828
196400,196400,18.468428
196800,196800,21.623604
197200,197600,40.023315
198000,198000,21.860895
198400,198400,40.827026
198800,198800,20.434587
199200,199600,26.67713
200000,200000,30.55691
200400,200400,33.912807
200800,201200,27.462376
201600,201600,25.139364
202000,202000,11.151958
202400,202400,11.886137
202800,203200,25.3712
203600,203600,22.869013
204000,204000,22.784939
204400,204800,45.019226
205200,205200,3.2243676
205600,205600,24.619518
206000,206000,22.004314
206400,206800,25.220024
207200,207200,16.60965
207600,207600,14.457293
208000,208000,28.075924
208400,208800,25.331657
209200,209200,56.957756
209600,209600,14.649599
210000,210400,24.57173
210800,210800,26.217514
211200,211200,19.08702
211600,211600,19.828285
212000,212400,26.029442
212800,212800,33.989986
213200,213200,21.767378
213600,214000,21.946468
214400,214400,33.35881
214800,214800,20.039791
215200,215200,15.008085
215600,216000,12.571053
216400,216400,29.05914
216800,216800,14.223154
217200,217600,18.549911
218000,218000,30.028076
218400,218400,39.10908
218800,218800,22.244135
219200,219600,20.033684
220000,220000,44.167374
220400,220400,35.013443
220800,220800,30.17292
221200,221600,24.821606
222000,222000,11.098503
222400,222400,26.932163
222800,223200,24.408092
223600,223600,25.514091
224000,224000,27.094734
