## SLURM PROLOG ###############################################################
##    Job ID : 8517568
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2104
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:50:01 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=2184 - 2568, avg episodic return=10.00
timesteps=3880 - 3880, avg episodic return=-50.00
timesteps=3176 - 3176, avg episodic return=10.00
timesteps=3944 - 3944, avg episodic return=-10.00
timesteps=4488 - 4488, avg episodic return=10.00
timesteps=4392 - 4392, avg episodic return=0.00
timesteps=5288 - 5288, avg episodic return=10.00
timesteps=5320 - 6120, avg episodic return=10.00
timesteps=5160 - 6056, avg episodic return=7.50
timesteps=6504 - 7048, avg episodic return=-10.00
timesteps=6280 - 7048, avg episodic return=12.00
timesteps=6280 - 7144, avg episodic return=5.00
timesteps=7080 - 7080, avg episodic return=10.00
timesteps=7560 - 7560, avg episodic return=0.00
timesteps=7272 - 7816, avg episodic return=6.67
timesteps=7752 - 7880, avg episodic return=10.00
timesteps=7272 - 8008, avg episodic return=13.33
timesteps=8520 - 8520, avg episodic return=10.00
timesteps=8520 - 9160, avg episodic return=13.33
timesteps=8712 - 9000, avg episodic return=10.00
timesteps=9640 - 9640, avg episodic return=10.00
timesteps=9288 - 9800, avg episodic return=2.50
timesteps=9992 - 9992, avg episodic return=10.00
timesteps=9256 - 10088, avg episodic return=10.00
timesteps=10312 - 10952, avg episodic return=10.00
timesteps=10920 - 11080, avg episodic return=10.00
timesteps=10760 - 10792, avg episodic return=10.00
timesteps=11848 - 11848, avg episodic return=10.00
timesteps=12168 - 12168, avg episodic return=10.00
timesteps=11880 - 11880, avg episodic return=10.00
timesteps=11400 - 12200, avg episodic return=10.00
timesteps=12552 - 13256, avg episodic return=10.00
timesteps=12616 - 13032, avg episodic return=10.00
timesteps=12936 - 12968, avg episodic return=10.00
timesteps=13448 - 14088, avg episodic return=10.00
timesteps=13608 - 14280, avg episodic return=10.00
timesteps=13960 - 13960, avg episodic return=10.00
timesteps=14856 - 14856, avg episodic return=20.00
timesteps=14664 - 14664, avg episodic return=10.00
timesteps=15368 - 16136, avg episodic return=10.00
timesteps=16136 - 16328, avg episodic return=10.00
timesteps=16520 - 17288, avg episodic return=13.33
timesteps=16488 - 17320, avg episodic return=8.33
timesteps=17672 - 17928, avg episodic return=5.00
timesteps=17704 - 18216, avg episodic return=10.00
timesteps=18632 - 18792, avg episodic return=10.00
timesteps=19080 - 19080, avg episodic return=10.00
timesteps=19112 - 19112, avg episodic return=10.00
timesteps=19592 - 20424, avg episodic return=10.00
timesteps=19624 - 19912, avg episodic return=10.00
timesteps=20872 - 20872, avg episodic return=10.00
timesteps=20744 - 21480, avg episodic return=10.00
timesteps=20488 - 21224, avg episodic return=11.67
timesteps=21896 - 22504, avg episodic return=5.00
timesteps=21672 - 21672, avg episodic return=10.00
timesteps=22824 - 23304, avg episodic return=10.00
timesteps=22792 - 23400, avg episodic return=10.00
timesteps=22632 - 23400, avg episodic return=10.00
timesteps=23752 - 24296, avg episodic return=10.00
timesteps=24072 - 24168, avg episodic return=10.00
timesteps=24744 - 24936, avg episodic return=10.00
timesteps=25384 - 25384, avg episodic return=10.00
timesteps=25896 - 25896, avg episodic return=10.00
timesteps=25768 - 26504, avg episodic return=10.00
timesteps=25896 - 26152, avg episodic return=10.00
timesteps=27304 - 27368, avg episodic return=10.00
timesteps=27624 - 27624, avg episodic return=10.00
timesteps=26632 - 27304, avg episodic return=10.00
timesteps=27016 - 27624, avg episodic return=10.00
timesteps=28456 - 28456, avg episodic return=10.00
timesteps=27848 - 28296, avg episodic return=10.00
timesteps=27752 - 28584, avg episodic return=10.00
timesteps=29064 - 29576, avg episodic return=0.00
timesteps=29192 - 29448, avg episodic return=10.00
timesteps=29928 - 29928, avg episodic return=0.00
timesteps=29768 - 30632, avg episodic return=10.00
timesteps=30248 - 30440, avg episodic return=10.00
timesteps=30728 - 31688, avg episodic return=13.33
timesteps=31144 - 31656, avg episodic return=8.33
timesteps=30792 - 30792, avg episodic return=10.00
timesteps=32328 - 32328, avg episodic return=-30.00
timesteps=31880 - 31880, avg episodic return=10.00
timesteps=32648 - 32712, avg episodic return=10.00
timesteps=31784 - 32744, avg episodic return=11.25
timesteps=33224 - 33224, avg episodic return=-20.00
timesteps=33128 - 33544, avg episodic return=10.00
timesteps=33032 - 33032, avg episodic return=10.00
timesteps=34312 - 34312, avg episodic return=10.00
timesteps=34152 - 34152, avg episodic return=0.00
timesteps=33832 - 34728, avg episodic return=10.00
timesteps=33960 - 34792, avg episodic return=10.00
