## SLURM PROLOG ###############################################################
##    Job ID : 8517531
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:29:51 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=8720 - 8720, avg episodic return=10.00
timesteps=12816 - 12816, avg episodic return=-20.00
timesteps=14864 - 14864, avg episodic return=0.00
timesteps=14352 - 14352, avg episodic return=10.00
timesteps=19088 - 19088, avg episodic return=-20.00
timesteps=21264 - 21264, avg episodic return=10.00
timesteps=25744 - 25744, avg episodic return=-10.00
timesteps=28048 - 28048, avg episodic return=10.00
timesteps=27792 - 27792, avg episodic return=-10.00
timesteps=28176 - 28176, avg episodic return=0.00
timesteps=32016 - 32016, avg episodic return=10.00
timesteps=33424 - 33424, avg episodic return=-10.00
timesteps=38672 - 38672, avg episodic return=10.00
timesteps=41360 - 41360, avg episodic return=-20.00
timesteps=42640 - 42640, avg episodic return=-20.00
timesteps=46992 - 46992, avg episodic return=10.00
timesteps=45968 - 45968, avg episodic return=20.00
timesteps=49168 - 49168, avg episodic return=10.00
timesteps=49424 - 49424, avg episodic return=20.00
timesteps=51472 - 51472, avg episodic return=-60.00
timesteps=54672 - 54672, avg episodic return=-20.00
timesteps=56720 - 56720, avg episodic return=10.00
timesteps=61200 - 61200, avg episodic return=-10.00
timesteps=62480 - 63376, avg episodic return=10.00
timesteps=63760 - 63760, avg episodic return=10.00
timesteps=66832 - 66832, avg episodic return=10.00
timesteps=69008 - 69008, avg episodic return=-15.00
timesteps=68240 - 69136, avg episodic return=25.00
timesteps=70032 - 70032, avg episodic return=-10.00
timesteps=75408 - 75536, avg episodic return=0.00
timesteps=75280 - 75280, avg episodic return=0.00
timesteps=76432 - 76432, avg episodic return=10.00
timesteps=78736 - 78736, avg episodic return=10.00
timesteps=81296 - 81296, avg episodic return=10.00
timesteps=80400 - 81424, avg episodic return=-15.00
