## SLURM PROLOG ###############################################################
##    Job ID : 8525517
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2105
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 03:14:56 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=26880 - 32000, avg episodic return=0.10
timesteps=48384 - 48384, avg episodic return=1.10
timesteps=43264 - 48384, avg episodic return=0.43
timesteps=54528 - 64768, avg episodic return=0.35
timesteps=49408 - 64768, avg episodic return=1.35
timesteps=54528 - 64768, avg episodic return=1.70
timesteps=70912 - 76032, avg episodic return=0.70
timesteps=65792 - 65792, avg episodic return=0.10
timesteps=76032 - 76032, avg episodic return=1.10
timesteps=82176 - 97536, avg episodic return=1.96
timesteps=82176 - 97536, avg episodic return=1.10
timesteps=97536 - 97536, avg episodic return=3.10
timesteps=113920 - 113920, avg episodic return=3.60
timesteps=98560 - 108800, avg episodic return=3.60
timesteps=98560 - 113920, avg episodic return=0.93
timesteps=125184 - 130304, avg episodic return=1.10
timesteps=120064 - 130304, avg episodic return=1.70
timesteps=114944 - 125184, avg episodic return=1.77
timesteps=131328 - 146688, avg episodic return=2.85
timesteps=131328 - 146688, avg episodic return=2.73
timesteps=131328 - 146688, avg episodic return=1.85
timesteps=152832 - 157952, avg episodic return=1.77
timesteps=147712 - 163072, avg episodic return=2.10
timesteps=157952 - 163072, avg episodic return=1.60
timesteps=164096 - 179456, avg episodic return=2.10
timesteps=179456 - 179456, avg episodic return=2.10
timesteps=164096 - 179456, avg episodic return=1.85
timesteps=180480 - 195840, avg episodic return=2.98
timesteps=185600 - 195840, avg episodic return=3.30
timesteps=185600 - 195840, avg episodic return=1.60
timesteps=201984 - 212224, avg episodic return=3.43
timesteps=196864 - 212224, avg episodic return=2.53
timesteps=196864 - 201984, avg episodic return=3.10
timesteps=218368 - 218368, avg episodic return=0.10
timesteps=213248 - 218368, avg episodic return=3.10
timesteps=213248 - 228608, avg episodic return=3.10
timesteps=234752 - 239872, avg episodic return=3.10
timesteps=234752 - 234752, avg episodic return=3.10
timesteps=251136 - 251136, avg episodic return=3.10
timesteps=246016 - 246016, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=2.60
timesteps=267520 - 277760, avg episodic return=2.27
timesteps=262400 - 277760, avg episodic return=3.10
timesteps=262400 - 262400, avg episodic return=3.10
timesteps=278784 - 294144, avg episodic return=3.60
timesteps=278784 - 294144, avg episodic return=4.10
timesteps=278784 - 289024, avg episodic return=2.93
timesteps=300288 - 310528, avg episodic return=2.50
timesteps=295168 - 310528, avg episodic return=3.70
timesteps=305408 - 305408, avg episodic return=2.60
timesteps=311552 - 326912, avg episodic return=3.35
timesteps=311552 - 326912, avg episodic return=3.48
timesteps=311552 - 321792, avg episodic return=2.90
timesteps=327936 - 333056, avg episodic return=3.10
timesteps=327936 - 327936, avg episodic return=4.60
timesteps=327936 - 338176, avg episodic return=3.24
timesteps=344320 - 359680, avg episodic return=4.10
timesteps=349440 - 349440, avg episodic return=2.10
timesteps=344320 - 359680, avg episodic return=3.43
timesteps=360704 - 376064, avg episodic return=3.10
timesteps=360704 - 376064, avg episodic return=4.10
timesteps=360704 - 376064, avg episodic return=2.60
timesteps=377088 - 392448, avg episodic return=3.35
timesteps=392448 - 392448, avg episodic return=4.10
timesteps=377088 - 392448, avg episodic return=3.10
timesteps=393472 - 393472, avg episodic return=4.10
timesteps=393472 - 393472, avg episodic return=4.10
timesteps=398592 - 398592, avg episodic return=2.60
timesteps=414976 - 425216, avg episodic return=3.50
timesteps=409856 - 420096, avg episodic return=3.35
timesteps=414976 - 425216, avg episodic return=2.70
timesteps=431360 - 441600, avg episodic return=3.53
timesteps=431360 - 441600, avg episodic return=4.10
timesteps=431360 - 436480, avg episodic return=1.60
timesteps=447744 - 457984, avg episodic return=3.77
timesteps=442624 - 452864, avg episodic return=2.85
timesteps=442624 - 457984, avg episodic return=2.85
timesteps=459008 - 474368, avg episodic return=3.70
timesteps=459008 - 474368, avg episodic return=4.43
timesteps=459008 - 474368, avg episodic return=3.30
timesteps=475392 - 490752, avg episodic return=3.81
timesteps=480512 - 490752, avg episodic return=3.35
timesteps=480512 - 485632, avg episodic return=3.10
