## SLURM PROLOG ###############################################################
##    Job ID : 8517581
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:01:27 PM EST 2025
###############################################################################
obs (49,)
timesteps=55816 - 55816, avg episodic return=-20.00
timesteps=56936 - 56936, avg episodic return=10.00
timesteps=58376 - 59240, avg episodic return=-10.00
timesteps=60072 - 60168, avg episodic return=-20.00
timesteps=59848 - 59848, avg episodic return=10.00
timesteps=60648 - 60808, avg episodic return=0.00
timesteps=61384 - 61384, avg episodic return=20.00
timesteps=61992 - 62056, avg episodic return=-15.00
timesteps=63080 - 63080, avg episodic return=-110.00
timesteps=63880 - 63880, avg episodic return=10.00
timesteps=64456 - 64456, avg episodic return=10.00
timesteps=65512 - 65512, avg episodic return=-110.00
timesteps=64680 - 64680, avg episodic return=0.00
timesteps=66472 - 66472, avg episodic return=20.00
timesteps=67080 - 67080, avg episodic return=-30.00
timesteps=66728 - 66728, avg episodic return=10.00
timesteps=67720 - 67720, avg episodic return=-10.00
timesteps=68744 - 68744, avg episodic return=-20.00
timesteps=70504 - 70504, avg episodic return=10.00
timesteps=70664 - 70696, avg episodic return=5.00
timesteps=71336 - 71400, avg episodic return=15.00
timesteps=71848 - 71848, avg episodic return=10.00
timesteps=71912 - 71912, avg episodic return=10.00
timesteps=72328 - 72328, avg episodic return=0.00
timesteps=71784 - 71784, avg episodic return=-10.00
timesteps=71752 - 72680, avg episodic return=16.67
timesteps=73352 - 73352, avg episodic return=20.00
timesteps=72936 - 73384, avg episodic return=0.00
timesteps=74696 - 74696, avg episodic return=0.00
timesteps=75560 - 75560, avg episodic return=20.00
timesteps=76136 - 76136, avg episodic return=10.00
timesteps=76680 - 76680, avg episodic return=20.00
timesteps=77160 - 77160, avg episodic return=10.00
timesteps=78472 - 78472, avg episodic return=10.00
timesteps=78344 - 78536, avg episodic return=6.67
timesteps=78856 - 79080, avg episodic return=5.00
timesteps=79880 - 80488, avg episodic return=0.00
timesteps=79976 - 79976, avg episodic return=10.00
timesteps=80872 - 80872, avg episodic return=-20.00
timesteps=81032 - 81032, avg episodic return=10.00
timesteps=81160 - 81384, avg episodic return=0.00
timesteps=82184 - 82728, avg episodic return=-5.00
timesteps=83336 - 83336, avg episodic return=10.00
timesteps=84808 - 84840, avg episodic return=10.00
timesteps=83976 - 83976, avg episodic return=10.00
timesteps=86184 - 86408, avg episodic return=0.00
timesteps=87240 - 87240, avg episodic return=10.00
timesteps=87176 - 87976, avg episodic return=-65.00
timesteps=88488 - 88584, avg episodic return=15.00
timesteps=89288 - 89544, avg episodic return=10.00
timesteps=90056 - 90056, avg episodic return=10.00
timesteps=89288 - 89288, avg episodic return=0.00
timesteps=91912 - 92104, avg episodic return=15.00
timesteps=91272 - 92008, avg episodic return=0.00
timesteps=92360 - 92744, avg episodic return=5.00
timesteps=92360 - 92360, avg episodic return=10.00
timesteps=93320 - 93320, avg episodic return=10.00
timesteps=96008 - 96008, avg episodic return=10.00
timesteps=96904 - 96904, avg episodic return=10.00
timesteps=96264 - 97032, avg episodic return=20.00
timesteps=97544 - 97544, avg episodic return=10.00
timesteps=97576 - 97576, avg episodic return=10.00
timesteps=97480 - 97480, avg episodic return=10.00
timesteps=98408 - 98408, avg episodic return=0.00
timesteps=98408 - 98824, avg episodic return=-10.00
timesteps=98600 - 98600, avg episodic return=10.00
timesteps=98504 - 98504, avg episodic return=-70.00
timesteps=100008 - 100008, avg episodic return=10.00
timesteps=99912 - 99912, avg episodic return=10.00
timesteps=99432 - 99592, avg episodic return=15.00
timesteps=99336 - 99912, avg episodic return=10.00
timesteps=100616 - 100648, avg episodic return=0.00
timesteps=100616 - 100616, avg episodic return=10.00
timesteps=102088 - 102088, avg episodic return=10.00
timesteps=101960 - 101960, avg episodic return=10.00
timesteps=103464 - 103464, avg episodic return=-10.00
timesteps=103624 - 103624, avg episodic return=-10.00
timesteps=104616 - 105160, avg episodic return=25.00
timesteps=104648 - 105224, avg episodic return=10.00
timesteps=106376 - 106408, avg episodic return=10.00
timesteps=105768 - 105768, avg episodic return=10.00
timesteps=106728 - 106728, avg episodic return=10.00
timesteps=106760 - 107240, avg episodic return=-2.50
timesteps=108488 - 108488, avg episodic return=20.00
timesteps=108552 - 108552, avg episodic return=-10.00
timesteps=109224 - 109224, avg episodic return=10.00
timesteps=109064 - 109064, avg episodic return=10.00
timesteps=109416 - 109416, avg episodic return=20.00
timesteps=109832 - 109832, avg episodic return=-70.00
timesteps=111304 - 111464, avg episodic return=0.00
timesteps=110664 - 110664, avg episodic return=-150.00
timesteps=110952 - 111432, avg episodic return=15.00
timesteps=112104 - 112136, avg episodic return=10.00
timesteps=112232 - 112232, avg episodic return=20.00
timesteps=113032 - 113288, avg episodic return=15.00
timesteps=113000 - 113000, avg episodic return=10.00
timesteps=113800 - 114472, avg episodic return=-3.33
timesteps=114536 - 114536, avg episodic return=0.00
timesteps=113736 - 114568, avg episodic return=0.00
timesteps=115304 - 115304, avg episodic return=10.00
timesteps=114888 - 114888, avg episodic return=-10.00
timesteps=116328 - 116328, avg episodic return=-70.00
timesteps=116008 - 116328, avg episodic return=5.00
timesteps=115976 - 116552, avg episodic return=-5.00
timesteps=116712 - 116712, avg episodic return=10.00
timesteps=117448 - 117448, avg episodic return=-130.00
timesteps=118024 - 118632, avg episodic return=5.00
timesteps=117896 - 117896, avg episodic return=10.00
timesteps=119400 - 119400, avg episodic return=-40.00
timesteps=119624 - 119624, avg episodic return=10.00
timesteps=120520 - 120520, avg episodic return=-40.00
timesteps=121768 - 121768, avg episodic return=0.00
timesteps=121352 - 121672, avg episodic return=10.00
timesteps=122024 - 122024, avg episodic return=10.00
timesteps=123272 - 123656, avg episodic return=7.50
timesteps=123144 - 123144, avg episodic return=20.00
timesteps=124008 - 124008, avg episodic return=20.00
timesteps=123912 - 123912, avg episodic return=10.00
timesteps=124488 - 124488, avg episodic return=0.00
timesteps=125160 - 125160, avg episodic return=10.00
timesteps=125032 - 125032, avg episodic return=10.00
timesteps=125352 - 125352, avg episodic return=20.00
timesteps=126568 - 126568, avg episodic return=10.00
timesteps=126120 - 126536, avg episodic return=-5.00
timesteps=127432 - 127432, avg episodic return=-10.00
timesteps=128136 - 128168, avg episodic return=5.00
timesteps=128104 - 128584, avg episodic return=0.00
timesteps=129032 - 129736, avg episodic return=12.50
timesteps=129640 - 129960, avg episodic return=10.00
timesteps=129416 - 129416, avg episodic return=10.00
timesteps=130440 - 130920, avg episodic return=5.00
timesteps=130664 - 130664, avg episodic return=10.00
timesteps=132040 - 132040, avg episodic return=10.00
timesteps=132424 - 132712, avg episodic return=5.00
timesteps=132200 - 132392, avg episodic return=15.00
timesteps=132200 - 132200, avg episodic return=20.00
timesteps=132424 - 132424, avg episodic return=0.00
timesteps=133640 - 133640, avg episodic return=10.00
timesteps=133256 - 133256, avg episodic return=-10.00
timesteps=133448 - 133448, avg episodic return=10.00
timesteps=134088 - 134088, avg episodic return=10.00
timesteps=134280 - 134280, avg episodic return=-10.00
timesteps=135912 - 135912, avg episodic return=20.00
timesteps=136360 - 136360, avg episodic return=10.00
timesteps=136616 - 137096, avg episodic return=5.00
timesteps=137512 - 137512, avg episodic return=10.00
timesteps=137288 - 137992, avg episodic return=0.00
timesteps=138728 - 138824, avg episodic return=5.00
timesteps=138856 - 139176, avg episodic return=20.00
timesteps=139976 - 139976, avg episodic return=-20.00
timesteps=139720 - 139720, avg episodic return=10.00
timesteps=140392 - 140392, avg episodic return=10.00
timesteps=141416 - 141832, avg episodic return=0.00
timesteps=141480 - 142056, avg episodic return=0.00
timesteps=141448 - 141448, avg episodic return=10.00
timesteps=143112 - 143112, avg episodic return=20.00
timesteps=142856 - 143112, avg episodic return=5.00
timesteps=143336 - 143336, avg episodic return=10.00
timesteps=142952 - 142952, avg episodic return=0.00
timesteps=143592 - 143592, avg episodic return=20.00
timesteps=144360 - 144360, avg episodic return=-20.00
timesteps=143528 - 143528, avg episodic return=10.00
timesteps=144456 - 145320, avg episodic return=0.00
timesteps=146024 - 146024, avg episodic return=10.00
timesteps=145416 - 145672, avg episodic return=12.50
timesteps=145864 - 145864, avg episodic return=-20.00
timesteps=146504 - 147272, avg episodic return=13.33
timesteps=147976 - 148008, avg episodic return=10.00
timesteps=147560 - 148200, avg episodic return=0.00
timesteps=148968 - 149416, avg episodic return=5.00
timesteps=149064 - 149096, avg episodic return=-15.00
timesteps=149736 - 149736, avg episodic return=20.00
timesteps=149672 - 149672, avg episodic return=-10.00
timesteps=150632 - 151432, avg episodic return=10.00
timesteps=150568 - 151208, avg episodic return=6.67
timesteps=150600 - 151432, avg episodic return=5.00
timesteps=151912 - 152168, avg episodic return=0.00
timesteps=153416 - 153416, avg episodic return=10.00
timesteps=152616 - 153288, avg episodic return=10.00
timesteps=154280 - 154280, avg episodic return=-130.00
timesteps=153800 - 153800, avg episodic return=0.00
timesteps=153864 - 153864, avg episodic return=10.00
timesteps=154792 - 155176, avg episodic return=10.00
timesteps=154856 - 154856, avg episodic return=10.00
timesteps=155368 - 155368, avg episodic return=30.00
timesteps=156264 - 156264, avg episodic return=20.00
timesteps=155784 - 156232, avg episodic return=15.00
timesteps=157096 - 157096, avg episodic return=10.00
timesteps=156872 - 157320, avg episodic return=-50.00
timesteps=157736 - 157736, avg episodic return=10.00
timesteps=157960 - 158664, avg episodic return=10.00
timesteps=157864 - 158440, avg episodic return=5.00
timesteps=158920 - 159464, avg episodic return=6.67
timesteps=159336 - 159496, avg episodic return=10.00
timesteps=158792 - 159400, avg episodic return=6.67
timesteps=160520 - 160744, avg episodic return=-23.33
timesteps=159816 - 160712, avg episodic return=15.00
timesteps=159848 - 160616, avg episodic return=-25.00
timesteps=160008 - 160264, avg episodic return=10.00
timesteps=161416 - 161768, avg episodic return=10.00
timesteps=161352 - 161352, avg episodic return=20.00
timesteps=161608 - 161736, avg episodic return=-20.00
timesteps=161832 - 162664, avg episodic return=7.50
timesteps=162120 - 162120, avg episodic return=20.00
timesteps=162376 - 162408, avg episodic return=10.00
timesteps=162216 - 162216, avg episodic return=-20.00
timesteps=163368 - 163368, avg episodic return=10.00
timesteps=163176 - 163176, avg episodic return=10.00
timesteps=163240 - 163240, avg episodic return=10.00
timesteps=163976 - 164200, avg episodic return=10.00
timesteps=164776 - 164776, avg episodic return=0.00
timesteps=164616 - 164616, avg episodic return=-40.00
timesteps=164936 - 165800, avg episodic return=13.33
timesteps=164904 - 165480, avg episodic return=8.00
timesteps=165128 - 165128, avg episodic return=-90.00
timesteps=164872 - 164872, avg episodic return=10.00
timesteps=166888 - 166888, avg episodic return=10.00
timesteps=166504 - 166632, avg episodic return=10.00
timesteps=166824 - 166824, avg episodic return=10.00
timesteps=167688 - 167688, avg episodic return=10.00
timesteps=166920 - 167688, avg episodic return=6.67
timesteps=168424 - 168424, avg episodic return=30.00
timesteps=168104 - 168424, avg episodic return=10.00
timesteps=168008 - 168840, avg episodic return=8.57
timesteps=168392 - 168744, avg episodic return=15.00
timesteps=169768 - 169768, avg episodic return=-10.00
timesteps=169544 - 169864, avg episodic return=13.33
timesteps=169160 - 169576, avg episodic return=5.00
timesteps=170280 - 170632, avg episodic return=13.33
timesteps=170024 - 170888, avg episodic return=13.33
timesteps=170120 - 170408, avg episodic return=10.00
timesteps=171624 - 171624, avg episodic return=10.00
timesteps=171240 - 171720, avg episodic return=10.00
timesteps=171272 - 171752, avg episodic return=10.00
timesteps=171304 - 171720, avg episodic return=10.00
timesteps=172456 - 172456, avg episodic return=20.00
timesteps=172168 - 172936, avg episodic return=10.00
timesteps=172424 - 172424, avg episodic return=-10.00
timesteps=173192 - 174024, avg episodic return=5.00
timesteps=173096 - 173512, avg episodic return=10.00
timesteps=173448 - 173448, avg episodic return=10.00
timesteps=174248 - 174312, avg episodic return=10.00
timesteps=174184 - 174952, avg episodic return=10.00
timesteps=174248 - 174248, avg episodic return=20.00
timesteps=175560 - 175912, avg episodic return=6.67
timesteps=175176 - 176008, avg episodic return=10.00
timesteps=175432 - 175592, avg episodic return=10.00
timesteps=176968 - 176968, avg episodic return=10.00
timesteps=176424 - 176936, avg episodic return=12.00
timesteps=176168 - 176168, avg episodic return=10.00
timesteps=177832 - 178120, avg episodic return=10.00
timesteps=177992 - 177992, avg episodic return=10.00
timesteps=177832 - 177832, avg episodic return=10.00
timesteps=178728 - 178728, avg episodic return=10.00
timesteps=178504 - 179112, avg episodic return=10.00
timesteps=178376 - 178856, avg episodic return=-13.33
timesteps=178728 - 179016, avg episodic return=15.00
timesteps=179464 - 179848, avg episodic return=0.00
timesteps=179272 - 180136, avg episodic return=10.00
timesteps=180264 - 180968, avg episodic return=5.00
timesteps=180264 - 181032, avg episodic return=2.50
timesteps=180584 - 181096, avg episodic return=-5.00
timesteps=181672 - 181864, avg episodic return=13.33
timesteps=181256 - 182024, avg episodic return=10.00
timesteps=182536 - 183048, avg episodic return=6.67
timesteps=182376 - 183112, avg episodic return=10.00
timesteps=183016 - 183016, avg episodic return=-10.00
timesteps=182760 - 182760, avg episodic return=20.00
timesteps=184232 - 184232, avg episodic return=-80.00
timesteps=183720 - 183720, avg episodic return=10.00
timesteps=183432 - 183976, avg episodic return=11.67
timesteps=184072 - 184072, avg episodic return=10.00
timesteps=184904 - 185000, avg episodic return=5.00
timesteps=184776 - 185224, avg episodic return=10.00
timesteps=185032 - 185032, avg episodic return=10.00
timesteps=185672 - 185672, avg episodic return=20.00
timesteps=185448 - 186344, avg episodic return=6.67
timesteps=186184 - 186184, avg episodic return=-60.00
timesteps=186280 - 186280, avg episodic return=10.00
timesteps=186824 - 187304, avg episodic return=15.00
timesteps=186376 - 187272, avg episodic return=10.00
timesteps=186568 - 187208, avg episodic return=-15.00
timesteps=188040 - 188040, avg episodic return=-100.00
timesteps=187464 - 188040, avg episodic return=6.67
timesteps=187464 - 188296, avg episodic return=10.00
timesteps=188584 - 189320, avg episodic return=10.00
timesteps=189256 - 189384, avg episodic return=5.00
timesteps=189448 - 190376, avg episodic return=15.00
timesteps=189992 - 190312, avg episodic return=10.00
timesteps=189960 - 189960, avg episodic return=20.00
timesteps=190888 - 191304, avg episodic return=10.00
timesteps=191368 - 191368, avg episodic return=10.00
timesteps=192296 - 192296, avg episodic return=0.00
timesteps=191784 - 192200, avg episodic return=-15.00
timesteps=191880 - 192488, avg episodic return=11.67
timesteps=191560 - 192488, avg episodic return=3.33
timesteps=193192 - 193192, avg episodic return=10.00
timesteps=192648 - 193448, avg episodic return=13.75
timesteps=192552 - 192552, avg episodic return=10.00
timesteps=193672 - 193864, avg episodic return=10.00
timesteps=193576 - 194088, avg episodic return=10.00
timesteps=194664 - 195560, avg episodic return=15.00
timesteps=195048 - 195304, avg episodic return=5.00
timesteps=194696 - 194696, avg episodic return=-20.00
timesteps=194824 - 195400, avg episodic return=6.67
timesteps=195784 - 196552, avg episodic return=10.00
timesteps=195656 - 196520, avg episodic return=10.00
timesteps=195688 - 196488, avg episodic return=10.00
timesteps=196840 - 197608, avg episodic return=10.00
timesteps=196808 - 197576, avg episodic return=11.43
timesteps=197832 - 198472, avg episodic return=8.00
timesteps=197640 - 198536, avg episodic return=10.00
timesteps=198632 - 198632, avg episodic return=-20.00
timesteps=198760 - 199080, avg episodic return=10.00
timesteps=198856 - 199496, avg episodic return=12.00
timesteps=199528 - 199528, avg episodic return=-80.00
timesteps=198792 - 198792, avg episodic return=10.00
timesteps=200296 - 200424, avg episodic return=10.00
timesteps=199688 - 200616, avg episodic return=5.00
timesteps=200424 - 200424, avg episodic return=-10.00
timesteps=201064 - 201064, avg episodic return=-90.00
timesteps=201064 - 201576, avg episodic return=10.00
timesteps=200872 - 201448, avg episodic return=12.00
timesteps=200904 - 200904, avg episodic return=10.00
timesteps=202568 - 202600, avg episodic return=10.00
timesteps=201800 - 202664, avg episodic return=8.57
timesteps=202984 - 203624, avg episodic return=10.00
timesteps=202856 - 203496, avg episodic return=10.00
timesteps=203080 - 203080, avg episodic return=10.00
timesteps=204072 - 204168, avg episodic return=6.67
timesteps=203880 - 204424, avg episodic return=11.67
timesteps=205544 - 205544, avg episodic return=10.00
timesteps=205384 - 205768, avg episodic return=10.00
timesteps=205224 - 205704, avg episodic return=10.00
timesteps=205128 - 205544, avg episodic return=10.00
timesteps=205032 - 205736, avg episodic return=15.00
timesteps=205832 - 206344, avg episodic return=10.00
timesteps=205928 - 205992, avg episodic return=10.00
timesteps=206088 - 206088, avg episodic return=10.00
timesteps=206984 - 207592, avg episodic return=8.89
timesteps=206888 - 207560, avg episodic return=10.91
timesteps=206984 - 206984, avg episodic return=10.00
timesteps=207976 - 207976, avg episodic return=10.00
timesteps=207912 - 208776, avg episodic return=8.75
timesteps=208488 - 208488, avg episodic return=-10.00
timesteps=209128 - 209608, avg episodic return=12.00
timesteps=208968 - 209864, avg episodic return=11.00
timesteps=209352 - 209352, avg episodic return=0.00
timesteps=209160 - 209192, avg episodic return=25.00
timesteps=210376 - 210920, avg episodic return=6.67
timesteps=210216 - 210856, avg episodic return=9.29
timesteps=210984 - 211912, avg episodic return=14.00
timesteps=210952 - 211880, avg episodic return=10.83
timesteps=211464 - 211752, avg episodic return=10.00
timesteps=212136 - 212936, avg episodic return=12.00
timesteps=212168 - 212904, avg episodic return=9.17
timesteps=212584 - 212840, avg episodic return=20.00
timesteps=213032 - 213288, avg episodic return=15.00
timesteps=213000 - 213960, avg episodic return=10.77
timesteps=213320 - 213832, avg episodic return=10.00
timesteps=214088 - 214888, avg episodic return=10.00
timesteps=214280 - 215016, avg episodic return=10.00
timesteps=214280 - 214280, avg episodic return=0.00
timesteps=214472 - 214472, avg episodic return=10.00
timesteps=216040 - 216040, avg episodic return=-50.00
timesteps=215112 - 215400, avg episodic return=10.00
timesteps=215208 - 216008, avg episodic return=15.00
timesteps=215048 - 215944, avg episodic return=10.00
timesteps=216296 - 216968, avg episodic return=8.00
timesteps=216328 - 217032, avg episodic return=10.83
timesteps=216808 - 216968, avg episodic return=15.00
timesteps=217704 - 218024, avg episodic return=7.50
timesteps=217288 - 218088, avg episodic return=8.89
timesteps=218248 - 218984, avg episodic return=10.00
timesteps=218120 - 219112, avg episodic return=8.46
timesteps=218280 - 218536, avg episodic return=12.50
timesteps=220136 - 220136, avg episodic return=-30.00
timesteps=219240 - 220040, avg episodic return=8.00
timesteps=219144 - 220008, avg episodic return=10.00
timesteps=219208 - 219848, avg episodic return=10.00
timesteps=220360 - 221000, avg episodic return=7.50
timesteps=220648 - 221096, avg episodic return=8.57
timesteps=220712 - 220712, avg episodic return=20.00
timesteps=220456 - 220936, avg episodic return=10.00
timesteps=221224 - 222088, avg episodic return=7.00
timesteps=221416 - 222152, avg episodic return=10.00
timesteps=221832 - 222120, avg episodic return=10.00
timesteps=223080 - 223112, avg episodic return=10.00
timesteps=222376 - 223208, avg episodic return=12.50
timesteps=222248 - 223144, avg episodic return=10.00
timesteps=223496 - 224008, avg episodic return=11.11
timesteps=223400 - 224232, avg episodic return=10.00
timesteps=224072 - 224072, avg episodic return=10.00
timesteps=224296 - 225160, avg episodic return=7.50
timesteps=224392 - 225224, avg episodic return=9.29
timesteps=224328 - 224328, avg episodic return=10.00
timesteps=225352 - 226280, avg episodic return=10.00
timesteps=225320 - 226216, avg episodic return=10.00
timesteps=225320 - 226120, avg episodic return=10.00
timesteps=226504 - 227240, avg episodic return=10.00
timesteps=226376 - 227112, avg episodic return=8.75
timesteps=226408 - 227208, avg episodic return=10.00
timesteps=227336 - 228264, avg episodic return=7.50
timesteps=227336 - 228296, avg episodic return=10.00
timesteps=228360 - 229256, avg episodic return=10.00
timesteps=228456 - 229352, avg episodic return=9.38
timesteps=228840 - 229192, avg episodic return=10.00
timesteps=229512 - 230184, avg episodic return=10.00
timesteps=229448 - 230376, avg episodic return=10.00
timesteps=229512 - 229512, avg episodic return=-40.00
timesteps=229640 - 230120, avg episodic return=0.00
timesteps=230920 - 230920, avg episodic return=0.00
timesteps=230440 - 231400, avg episodic return=8.33
timesteps=230440 - 231368, avg episodic return=10.67
timesteps=231624 - 231816, avg episodic return=7.50
timesteps=231528 - 232392, avg episodic return=10.62
timesteps=231784 - 232104, avg episodic return=15.00
timesteps=232712 - 233416, avg episodic return=10.00
timesteps=232616 - 233128, avg episodic return=10.00
timesteps=232456 - 233320, avg episodic return=12.50
timesteps=233864 - 233960, avg episodic return=6.67
timesteps=233480 - 234344, avg episodic return=9.41
timesteps=233672 - 234440, avg episodic return=10.00
timesteps=234632 - 235080, avg episodic return=13.33
timesteps=234600 - 235496, avg episodic return=8.67
timesteps=234824 - 234824, avg episodic return=0.00
timesteps=234664 - 235496, avg episodic return=10.00
timesteps=235720 - 236520, avg episodic return=10.00
timesteps=235688 - 236520, avg episodic return=11.11
timesteps=235720 - 236264, avg episodic return=12.00
timesteps=236552 - 237352, avg episodic return=7.14
timesteps=236552 - 237480, avg episodic return=8.00
timesteps=236616 - 237416, avg episodic return=10.00
timesteps=237608 - 238568, avg episodic return=11.00
timesteps=237576 - 238536, avg episodic return=10.00
timesteps=237736 - 238248, avg episodic return=10.00
timesteps=238632 - 239528, avg episodic return=11.43
timesteps=238600 - 239592, avg episodic return=10.00
timesteps=239432 - 239432, avg episodic return=0.00
timesteps=238632 - 239560, avg episodic return=12.22
timesteps=239624 - 240552, avg episodic return=10.00
timesteps=239752 - 240520, avg episodic return=10.00
timesteps=240424 - 240424, avg episodic return=10.00
timesteps=239688 - 240264, avg episodic return=10.00
timesteps=240712 - 241640, avg episodic return=10.00
timesteps=240712 - 241640, avg episodic return=8.46
timesteps=240872 - 241512, avg episodic return=8.75
timesteps=241800 - 242472, avg episodic return=8.57
timesteps=241736 - 242664, avg episodic return=9.17
timesteps=242248 - 242600, avg episodic return=10.00
timesteps=242792 - 242792, avg episodic return=0.00
timesteps=242824 - 243528, avg episodic return=8.57
timesteps=242792 - 243624, avg episodic return=10.00
timesteps=242856 - 243688, avg episodic return=8.89
timesteps=243752 - 244584, avg episodic return=10.67
timesteps=243720 - 244712, avg episodic return=10.00
timesteps=243752 - 244712, avg episodic return=10.00
timesteps=244808 - 245704, avg episodic return=10.00
timesteps=244872 - 245704, avg episodic return=10.00
timesteps=244840 - 245736, avg episodic return=10.00
timesteps=245928 - 246664, avg episodic return=10.00
timesteps=245832 - 246728, avg episodic return=10.91
timesteps=245832 - 246632, avg episodic return=8.33
timesteps=246888 - 247592, avg episodic return=11.00
timesteps=246824 - 247784, avg episodic return=8.82
timesteps=247240 - 247688, avg episodic return=10.00
timesteps=247816 - 248808, avg episodic return=9.00
timesteps=247816 - 248712, avg episodic return=10.00
timesteps=248104 - 248680, avg episodic return=10.00
timesteps=249608 - 249608, avg episodic return=10.00
