## SLURM PROLOG ###############################################################
##    Job ID : 8525510
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2108
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 02:49:02 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=26880 - 26880, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.90
timesteps=38144 - 48384, avg episodic return=0.60
timesteps=54528 - 64768, avg episodic return=1.98
timesteps=54528 - 64768, avg episodic return=2.77
timesteps=49408 - 64768, avg episodic return=1.35
timesteps=70912 - 70912, avg episodic return=2.10
timesteps=76032 - 76032, avg episodic return=2.10
timesteps=65792 - 81152, avg episodic return=1.60
timesteps=87296 - 92416, avg episodic return=2.24
timesteps=82176 - 92416, avg episodic return=1.77
timesteps=92416 - 97536, avg episodic return=2.10
timesteps=98560 - 113920, avg episodic return=2.60
timesteps=98560 - 108800, avg episodic return=3.30
timesteps=98560 - 108800, avg episodic return=0.10
timesteps=114944 - 130304, avg episodic return=1.90
timesteps=125184 - 130304, avg episodic return=2.10
timesteps=114944 - 125184, avg episodic return=1.10
timesteps=131328 - 141568, avg episodic return=2.60
timesteps=136448 - 146688, avg episodic return=1.73
timesteps=131328 - 146688, avg episodic return=1.70
timesteps=147712 - 163072, avg episodic return=1.70
timesteps=147712 - 163072, avg episodic return=3.35
timesteps=147712 - 163072, avg episodic return=2.35
timesteps=164096 - 174336, avg episodic return=2.35
timesteps=164096 - 174336, avg episodic return=2.43
timesteps=174336 - 179456, avg episodic return=1.10
timesteps=180480 - 180480, avg episodic return=2.10
timesteps=185600 - 195840, avg episodic return=2.43
timesteps=190720 - 190720, avg episodic return=2.10
timesteps=196864 - 212224, avg episodic return=3.43
timesteps=196864 - 212224, avg episodic return=3.10
timesteps=207104 - 212224, avg episodic return=2.10
timesteps=218368 - 228608, avg episodic return=2.10
timesteps=218368 - 228608, avg episodic return=2.60
timesteps=213248 - 228608, avg episodic return=2.30
timesteps=229632 - 239872, avg episodic return=2.43
timesteps=234752 - 239872, avg episodic return=3.43
timesteps=229632 - 234752, avg episodic return=2.77
timesteps=246016 - 261376, avg episodic return=2.10
timesteps=251136 - 256256, avg episodic return=4.10
timesteps=246016 - 256256, avg episodic return=3.10
timesteps=262400 - 267520, avg episodic return=1.43
timesteps=262400 - 272640, avg episodic return=2.60
timesteps=262400 - 277760, avg episodic return=2.96
timesteps=278784 - 289024, avg episodic return=2.60
timesteps=278784 - 294144, avg episodic return=2.77
timesteps=278784 - 289024, avg episodic return=2.93
timesteps=295168 - 310528, avg episodic return=2.85
timesteps=295168 - 305408, avg episodic return=2.90
timesteps=295168 - 310528, avg episodic return=2.96
timesteps=311552 - 326912, avg episodic return=2.48
timesteps=321792 - 326912, avg episodic return=3.60
timesteps=311552 - 321792, avg episodic return=3.10
timesteps=327936 - 343296, avg episodic return=3.43
timesteps=333056 - 343296, avg episodic return=2.60
timesteps=327936 - 343296, avg episodic return=2.60
timesteps=344320 - 359680, avg episodic return=2.43
timesteps=344320 - 344320, avg episodic return=3.60
timesteps=360704 - 376064, avg episodic return=3.43
timesteps=360704 - 376064, avg episodic return=2.77
timesteps=360704 - 370944, avg episodic return=3.67
timesteps=377088 - 387328, avg episodic return=3.10
timesteps=382208 - 382208, avg episodic return=2.10
timesteps=382208 - 392448, avg episodic return=2.43
timesteps=393472 - 408832, avg episodic return=2.27
timesteps=393472 - 408832, avg episodic return=2.10
timesteps=398592 - 403712, avg episodic return=2.60
timesteps=409856 - 425216, avg episodic return=3.35
timesteps=414976 - 425216, avg episodic return=3.35
timesteps=420096 - 420096, avg episodic return=3.10
timesteps=426240 - 441600, avg episodic return=2.32
timesteps=431360 - 436480, avg episodic return=2.50
timesteps=426240 - 436480, avg episodic return=2.53
timesteps=442624 - 457984, avg episodic return=1.85
timesteps=442624 - 452864, avg episodic return=1.43
timesteps=442624 - 457984, avg episodic return=2.10
timesteps=459008 - 459008, avg episodic return=3.60
timesteps=459008 - 474368, avg episodic return=2.60
timesteps=459008 - 474368, avg episodic return=2.60
timesteps=480512 - 485632, avg episodic return=3.10
timesteps=475392 - 490752, avg episodic return=2.81
timesteps=475392 - 490752, avg episodic return=2.30
timesteps=491776 - 507136, avg episodic return=1.60
timesteps=496896 - 507136, avg episodic return=2.50
timesteps=491776 - 507136, avg episodic return=2.43
timesteps=508160 - 508160, avg episodic return=3.10
timesteps=513280 - 523520, avg episodic return=2.35
timesteps=518400 - 518400, avg episodic return=3.10
timesteps=524544 - 529664, avg episodic return=3.60
timesteps=524544 - 539904, avg episodic return=3.10
timesteps=524544 - 539904, avg episodic return=1.77
timesteps=540928 - 556288, avg episodic return=2.77
timesteps=546048 - 556288, avg episodic return=1.60
timesteps=540928 - 551168, avg episodic return=2.60
timesteps=557312 - 562432, avg episodic return=3.10
timesteps=557312 - 567552, avg episodic return=3.43
timesteps=562432 - 572672, avg episodic return=3.10
timesteps=573696 - 589056, avg episodic return=2.60
timesteps=573696 - 589056, avg episodic return=2.53
timesteps=578816 - 589056, avg episodic return=3.35
timesteps=600320 - 605440, avg episodic return=2.70
timesteps=595200 - 605440, avg episodic return=3.10
timesteps=606464 - 621824, avg episodic return=3.90
timesteps=611584 - 611584, avg episodic return=4.10
timesteps=616704 - 621824, avg episodic return=1.10
timesteps=622848 - 633088, avg episodic return=2.30
timesteps=622848 - 633088, avg episodic return=2.43
timesteps=627968 - 638208, avg episodic return=2.35
timesteps=639232 - 649472, avg episodic return=3.43
timesteps=639232 - 649472, avg episodic return=2.70
timesteps=644352 - 644352, avg episodic return=2.10
timesteps=665856 - 670976, avg episodic return=2.43
timesteps=655616 - 665856, avg episodic return=3.27
timesteps=655616 - 665856, avg episodic return=2.30
timesteps=672000 - 687360, avg episodic return=3.27
timesteps=672000 - 687360, avg episodic return=3.60
timesteps=677120 - 682240, avg episodic return=3.85
timesteps=688384 - 703744, avg episodic return=2.60
timesteps=688384 - 688384, avg episodic return=4.10
timesteps=688384 - 703744, avg episodic return=2.60
timesteps=709888 - 715008, avg episodic return=2.10
timesteps=709888 - 709888, avg episodic return=2.10
timesteps=704768 - 720128, avg episodic return=2.27
timesteps=726272 - 736512, avg episodic return=2.77
timesteps=726272 - 736512, avg episodic return=2.30
timesteps=721152 - 721152, avg episodic return=2.10
timesteps=737536 - 752896, avg episodic return=1.93
timesteps=737536 - 752896, avg episodic return=2.30
timesteps=737536 - 747776, avg episodic return=3.10
timesteps=759040 - 769280, avg episodic return=2.35
timesteps=764160 - 764160, avg episodic return=4.10
timesteps=753920 - 769280, avg episodic return=2.60
timesteps=770304 - 770304, avg episodic return=2.10
timesteps=770304 - 785664, avg episodic return=2.85
timesteps=775424 - 780544, avg episodic return=3.77
timesteps=786688 - 796928, avg episodic return=2.10
timesteps=791808 - 802048, avg episodic return=3.10
timesteps=786688 - 802048, avg episodic return=2.77
timesteps=808192 - 813312, avg episodic return=3.60
timesteps=803072 - 818432, avg episodic return=3.27
timesteps=818432 - 818432, avg episodic return=3.10
timesteps=819456 - 829696, avg episodic return=3.10
timesteps=829696 - 834816, avg episodic return=3.60
timesteps=819456 - 834816, avg episodic return=2.43
timesteps=835840 - 851200, avg episodic return=3.10
