## SLURM PROLOG ###############################################################
##    Job ID : 8516934
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:50:53 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=54528 - 64768, avg episodic return=1.10
timesteps=54528 - 54528, avg episodic return=1.10
timesteps=49408 - 64768, avg episodic return=0.93
timesteps=70912 - 81152, avg episodic return=0.60
timesteps=76032 - 81152, avg episodic return=1.43
timesteps=65792 - 81152, avg episodic return=0.93
timesteps=82176 - 97536, avg episodic return=0.85
timesteps=82176 - 97536, avg episodic return=0.35
timesteps=82176 - 97536, avg episodic return=0.10
timesteps=98560 - 113920, avg episodic return=0.85
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=125184 - 130304, avg episodic return=1.35
timesteps=120064 - 125184, avg episodic return=2.60
timesteps=114944 - 130304, avg episodic return=1.70
timesteps=131328 - 136448, avg episodic return=0.10
timesteps=136448 - 146688, avg episodic return=1.77
timesteps=131328 - 146688, avg episodic return=0.85
timesteps=152832 - 163072, avg episodic return=1.35
timesteps=152832 - 152832, avg episodic return=2.10
timesteps=152832 - 163072, avg episodic return=2.10
timesteps=169216 - 179456, avg episodic return=1.10
timesteps=164096 - 174336, avg episodic return=2.10
timesteps=179456 - 179456, avg episodic return=2.10
timesteps=180480 - 190720, avg episodic return=1.43
timesteps=190720 - 195840, avg episodic return=1.43
timesteps=180480 - 195840, avg episodic return=1.10
timesteps=196864 - 201984, avg episodic return=1.43
timesteps=196864 - 212224, avg episodic return=0.72
timesteps=196864 - 212224, avg episodic return=0.35
timesteps=223488 - 228608, avg episodic return=1.77
timesteps=218368 - 228608, avg episodic return=1.10
timesteps=213248 - 228608, avg episodic return=1.27
timesteps=234752 - 244992, avg episodic return=1.35
timesteps=229632 - 244992, avg episodic return=1.10
timesteps=234752 - 244992, avg episodic return=1.85
timesteps=246016 - 261376, avg episodic return=1.77
timesteps=261376 - 261376, avg episodic return=2.10
timesteps=246016 - 261376, avg episodic return=0.85
timesteps=262400 - 277760, avg episodic return=0.10
timesteps=272640 - 272640, avg episodic return=0.10
timesteps=262400 - 277760, avg episodic return=1.70
timesteps=289024 - 289024, avg episodic return=1.60
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=283904 - 289024, avg episodic return=1.60
timesteps=300288 - 310528, avg episodic return=1.85
timesteps=295168 - 310528, avg episodic return=1.60
timesteps=300288 - 310528, avg episodic return=0.90
timesteps=311552 - 326912, avg episodic return=1.30
timesteps=321792 - 321792, avg episodic return=2.60
timesteps=316672 - 326912, avg episodic return=1.43
timesteps=327936 - 343296, avg episodic return=0.50
timesteps=327936 - 343296, avg episodic return=1.70
timesteps=333056 - 333056, avg episodic return=1.10
timesteps=349440 - 359680, avg episodic return=1.77
timesteps=344320 - 359680, avg episodic return=2.35
timesteps=344320 - 354560, avg episodic return=1.35
timesteps=360704 - 376064, avg episodic return=2.43
timesteps=365824 - 376064, avg episodic return=1.77
timesteps=360704 - 376064, avg episodic return=1.50
timesteps=382208 - 387328, avg episodic return=0.85
timesteps=377088 - 392448, avg episodic return=0.77
timesteps=377088 - 392448, avg episodic return=0.93
timesteps=393472 - 408832, avg episodic return=0.96
timesteps=393472 - 408832, avg episodic return=1.30
timesteps=393472 - 408832, avg episodic return=1.60
timesteps=425216 - 425216, avg episodic return=4.10
timesteps=409856 - 425216, avg episodic return=0.70
timesteps=409856 - 420096, avg episodic return=1.24
timesteps=426240 - 441600, avg episodic return=1.10
timesteps=426240 - 441600, avg episodic return=1.43
timesteps=431360 - 436480, avg episodic return=1.77
timesteps=442624 - 457984, avg episodic return=0.90
timesteps=442624 - 447744, avg episodic return=2.10
timesteps=447744 - 457984, avg episodic return=1.35
timesteps=464128 - 474368, avg episodic return=1.90
timesteps=459008 - 474368, avg episodic return=0.30
timesteps=459008 - 469248, avg episodic return=0.85
timesteps=480512 - 490752, avg episodic return=0.60
timesteps=475392 - 485632, avg episodic return=2.60
timesteps=485632 - 490752, avg episodic return=1.10
timesteps=491776 - 507136, avg episodic return=2.10
timesteps=491776 - 502016, avg episodic return=2.50
timesteps=496896 - 507136, avg episodic return=1.85
timesteps=513280 - 523520, avg episodic return=3.10
timesteps=508160 - 518400, avg episodic return=2.10
timesteps=523520 - 523520, avg episodic return=3.10
timesteps=524544 - 529664, avg episodic return=3.43
timesteps=524544 - 534784, avg episodic return=1.24
timesteps=524544 - 539904, avg episodic return=1.10
timesteps=540928 - 556288, avg episodic return=0.96
timesteps=540928 - 551168, avg episodic return=2.50
timesteps=551168 - 551168, avg episodic return=2.10
timesteps=557312 - 572672, avg episodic return=2.32
timesteps=557312 - 572672, avg episodic return=1.10
timesteps=557312 - 572672, avg episodic return=2.10
timesteps=573696 - 589056, avg episodic return=2.10
timesteps=573696 - 589056, avg episodic return=1.43
timesteps=589056 - 589056, avg episodic return=2.10
timesteps=595200 - 605440, avg episodic return=3.10
timesteps=590080 - 600320, avg episodic return=1.43
timesteps=590080 - 600320, avg episodic return=2.10
timesteps=611584 - 621824, avg episodic return=1.77
timesteps=606464 - 621824, avg episodic return=2.43
timesteps=611584 - 621824, avg episodic return=1.10
timesteps=622848 - 638208, avg episodic return=0.43
timesteps=622848 - 638208, avg episodic return=1.90
timesteps=622848 - 638208, avg episodic return=0.60
timesteps=649472 - 654592, avg episodic return=1.85
timesteps=644352 - 649472, avg episodic return=1.60
timesteps=639232 - 649472, avg episodic return=1.88
timesteps=655616 - 670976, avg episodic return=2.10
timesteps=665856 - 670976, avg episodic return=4.10
timesteps=655616 - 670976, avg episodic return=1.77
timesteps=672000 - 682240, avg episodic return=1.70
timesteps=672000 - 687360, avg episodic return=2.27
timesteps=672000 - 687360, avg episodic return=2.60
timesteps=688384 - 703744, avg episodic return=3.10
timesteps=688384 - 703744, avg episodic return=2.85
timesteps=693504 - 693504, avg episodic return=2.10
timesteps=704768 - 715008, avg episodic return=1.10
timesteps=704768 - 720128, avg episodic return=1.35
timesteps=704768 - 720128, avg episodic return=3.10
timesteps=726272 - 736512, avg episodic return=1.90
timesteps=726272 - 736512, avg episodic return=2.30
timesteps=721152 - 736512, avg episodic return=2.85
timesteps=747776 - 747776, avg episodic return=0.60
timesteps=737536 - 752896, avg episodic return=3.73
timesteps=737536 - 752896, avg episodic return=2.77
timesteps=759040 - 769280, avg episodic return=2.30
timesteps=764160 - 769280, avg episodic return=2.60
timesteps=759040 - 769280, avg episodic return=1.27
timesteps=770304 - 785664, avg episodic return=2.10
timesteps=775424 - 785664, avg episodic return=2.60
timesteps=770304 - 785664, avg episodic return=2.93
timesteps=786688 - 802048, avg episodic return=3.10
timesteps=791808 - 802048, avg episodic return=3.43
timesteps=791808 - 802048, avg episodic return=2.60
timesteps=808192 - 818432, avg episodic return=1.43
timesteps=803072 - 818432, avg episodic return=2.10
timesteps=803072 - 818432, avg episodic return=2.77
timesteps=819456 - 829696, avg episodic return=4.60
timesteps=824576 - 834816, avg episodic return=1.85
timesteps=819456 - 834816, avg episodic return=1.35
timesteps=835840 - 851200, avg episodic return=3.43
timesteps=835840 - 851200, avg episodic return=2.77
timesteps=835840 - 851200, avg episodic return=2.77
timesteps=852224 - 862464, avg episodic return=2.24
timesteps=852224 - 867584, avg episodic return=3.10
timesteps=852224 - 867584, avg episodic return=3.10
timesteps=868608 - 883968, avg episodic return=2.96
timesteps=868608 - 878848, avg episodic return=2.24
timesteps=868608 - 883968, avg episodic return=3.10
timesteps=884992 - 900352, avg episodic return=2.85
timesteps=884992 - 900352, avg episodic return=2.39
timesteps=895232 - 900352, avg episodic return=1.35
timesteps=911616 - 916736, avg episodic return=2.10
timesteps=901376 - 916736, avg episodic return=2.93
timesteps=901376 - 911616, avg episodic return=3.10
timesteps=917760 - 928000, avg episodic return=2.35
timesteps=922880 - 933120, avg episodic return=3.90
timesteps=939264 - 944384, avg episodic return=3.10
timesteps=939264 - 949504, avg episodic return=3.10
timesteps=934144 - 949504, avg episodic return=2.96
timesteps=950528 - 965888, avg episodic return=3.30
timesteps=950528 - 960768, avg episodic return=2.27
timesteps=950528 - 965888, avg episodic return=3.60
timesteps=982272 - 982272, avg episodic return=4.10
timesteps=966912 - 982272, avg episodic return=2.10
timesteps=972032 - 972032, avg episodic return=1.10
timesteps=993536 - 998656, avg episodic return=2.10
timesteps=983296 - 998656, avg episodic return=2.70
timesteps=983296 - 993536, avg episodic return=3.10
timesteps=1009920 - 1009920, avg episodic return=2.10
timesteps=999680 - 1015040, avg episodic return=3.10
timesteps=1009920 - 1015040, avg episodic return=2.77
timesteps=1021184 - 1031424, avg episodic return=3.10
timesteps=1021184 - 1031424, avg episodic return=3.10
timesteps=1016064 - 1026304, avg episodic return=3.30
timesteps=1037568 - 1042688, avg episodic return=4.60
timesteps=1037568 - 1042688, avg episodic return=2.85
timesteps=1032448 - 1047808, avg episodic return=3.10
timesteps=1048832 - 1064192, avg episodic return=2.24
timesteps=1053952 - 1059072, avg episodic return=3.10
timesteps=1048832 - 1064192, avg episodic return=3.70
timesteps=1065216 - 1080576, avg episodic return=1.50
timesteps=1065216 - 1080576, avg episodic return=3.24
timesteps=1080576 - 1080576, avg episodic return=4.10
timesteps=1081600 - 1091840, avg episodic return=4.10
timesteps=1081600 - 1091840, avg episodic return=2.43
timesteps=1081600 - 1096960, avg episodic return=3.10
timesteps=1108224 - 1108224, avg episodic return=2.10
timesteps=1103104 - 1113344, avg episodic return=2.43
timesteps=1097984 - 1113344, avg episodic return=3.43
timesteps=1124608 - 1124608, avg episodic return=3.10
timesteps=1114368 - 1129728, avg episodic return=3.10
timesteps=1114368 - 1124608, avg episodic return=2.90
timesteps=1140992 - 1146112, avg episodic return=2.77
timesteps=1140992 - 1140992, avg episodic return=4.10
timesteps=1140992 - 1146112, avg episodic return=3.60
timesteps=1147136 - 1162496, avg episodic return=2.85
timesteps=1152256 - 1152256, avg episodic return=3.43
timesteps=1157376 - 1162496, avg episodic return=4.10
timesteps=1163520 - 1173760, avg episodic return=2.60
timesteps=1168640 - 1178880, avg episodic return=2.90
timesteps=1163520 - 1178880, avg episodic return=3.30
timesteps=1185024 - 1195264, avg episodic return=2.85
timesteps=1179904 - 1195264, avg episodic return=3.10
timesteps=1179904 - 1195264, avg episodic return=2.90
timesteps=1196288 - 1211648, avg episodic return=3.60
timesteps=1196288 - 1211648, avg episodic return=2.85
timesteps=1196288 - 1206528, avg episodic return=2.70
timesteps=1212672 - 1228032, avg episodic return=3.35
timesteps=1212672 - 1228032, avg episodic return=3.10
timesteps=1212672 - 1217792, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=2.90
timesteps=1234176 - 1244416, avg episodic return=2.77
timesteps=1245440 - 1250560, avg episodic return=2.10
timesteps=1245440 - 1260800, avg episodic return=3.43
timesteps=1245440 - 1260800, avg episodic return=3.30
timesteps=1261824 - 1277184, avg episodic return=3.43
timesteps=1266944 - 1266944, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=2.43
timesteps=1278208 - 1288448, avg episodic return=2.50
timesteps=1278208 - 1293568, avg episodic return=2.85
timesteps=1278208 - 1288448, avg episodic return=3.10
timesteps=1299712 - 1299712, avg episodic return=2.10
timesteps=1294592 - 1304832, avg episodic return=2.60
timesteps=1304832 - 1309952, avg episodic return=3.43
timesteps=1316096 - 1316096, avg episodic return=3.10
timesteps=1310976 - 1326336, avg episodic return=3.10
timesteps=1332480 - 1342720, avg episodic return=2.77
timesteps=1327360 - 1342720, avg episodic return=2.70
timesteps=1332480 - 1342720, avg episodic return=3.60
timesteps=1353984 - 1353984, avg episodic return=2.10
timesteps=1353984 - 1353984, avg episodic return=3.10
timesteps=1343744 - 1359104, avg episodic return=2.60
timesteps=1360128 - 1375488, avg episodic return=2.85
timesteps=1360128 - 1370368, avg episodic return=2.60
timesteps=1365248 - 1375488, avg episodic return=2.77
timesteps=1381632 - 1391872, avg episodic return=2.85
timesteps=1376512 - 1391872, avg episodic return=3.10
timesteps=1376512 - 1386752, avg episodic return=2.60
timesteps=1392896 - 1403136, avg episodic return=2.60
timesteps=1392896 - 1408256, avg episodic return=2.77
timesteps=1398016 - 1408256, avg episodic return=2.85
timesteps=1409280 - 1424640, avg episodic return=4.10
timesteps=1409280 - 1424640, avg episodic return=2.81
timesteps=1409280 - 1424640, avg episodic return=2.90
timesteps=1425664 - 1441024, avg episodic return=2.60
timesteps=1425664 - 1441024, avg episodic return=4.43
timesteps=1425664 - 1441024, avg episodic return=3.60
timesteps=1442048 - 1457408, avg episodic return=2.10
timesteps=1442048 - 1457408, avg episodic return=3.90
timesteps=1442048 - 1457408, avg episodic return=1.60
timesteps=1458432 - 1458432, avg episodic return=3.10
timesteps=1458432 - 1468672, avg episodic return=2.43
timesteps=1458432 - 1468672, avg episodic return=4.10
timesteps=1474816 - 1490176, avg episodic return=2.67
timesteps=1474816 - 1485056, avg episodic return=2.53
timesteps=1485056 - 1485056, avg episodic return=2.10
timesteps=1491200 - 1496320, avg episodic return=2.10
timesteps=1491200 - 1501440, avg episodic return=3.43
timesteps=1507584 - 1517824, avg episodic return=3.10
timesteps=1507584 - 1522944, avg episodic return=3.10
timesteps=1523968 - 1539328, avg episodic return=2.43
timesteps=1529088 - 1539328, avg episodic return=3.60
timesteps=1534208 - 1534208, avg episodic return=2.10
timesteps=1540352 - 1555712, avg episodic return=2.90
timesteps=1540352 - 1555712, avg episodic return=3.77
timesteps=1540352 - 1550592, avg episodic return=2.85
timesteps=1556736 - 1566976, avg episodic return=2.50
timesteps=1566976 - 1566976, avg episodic return=2.10
timesteps=1556736 - 1566976, avg episodic return=3.35
timesteps=1573120 - 1583360, avg episodic return=2.43
timesteps=1583360 - 1588480, avg episodic return=3.85
timesteps=1578240 - 1578240, avg episodic return=2.43
timesteps=1589504 - 1604864, avg episodic return=3.24
timesteps=1589504 - 1604864, avg episodic return=1.60
timesteps=1594624 - 1604864, avg episodic return=2.43
timesteps=1605888 - 1616128, avg episodic return=3.30
timesteps=1605888 - 1621248, avg episodic return=2.43
timesteps=1611008 - 1621248, avg episodic return=2.35
timesteps=1622272 - 1637632, avg episodic return=2.35
timesteps=1632512 - 1637632, avg episodic return=2.60
timesteps=1622272 - 1632512, avg episodic return=2.35
timesteps=1648896 - 1654016, avg episodic return=2.35
timesteps=1638656 - 1648896, avg episodic return=3.50
timesteps=1654016 - 1654016, avg episodic return=5.10
timesteps=1660160 - 1660160, avg episodic return=4.10
timesteps=1655040 - 1670400, avg episodic return=2.70
timesteps=1660160 - 1670400, avg episodic return=1.90
timesteps=1676544 - 1686784, avg episodic return=3.43
timesteps=1676544 - 1686784, avg episodic return=4.60
timesteps=1671424 - 1686784, avg episodic return=3.10
timesteps=1692928 - 1703168, avg episodic return=2.90
timesteps=1692928 - 1703168, avg episodic return=3.10
