## SLURM PROLOG ###############################################################
##    Job ID : 8517572
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2105
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:50:51 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=2088 - 2088, avg episodic return=10.00
timesteps=2792 - 2792, avg episodic return=-20.00
timesteps=2952 - 2952, avg episodic return=0.00
timesteps=2088 - 2568, avg episodic return=6.67
timesteps=2312 - 2568, avg episodic return=15.00
timesteps=3080 - 3880, avg episodic return=2.00
timesteps=3080 - 3432, avg episodic return=-5.00
timesteps=3176 - 3176, avg episodic return=10.00
timesteps=3208 - 3720, avg episodic return=10.00
timesteps=3464 - 3944, avg episodic return=10.00
timesteps=4232 - 5064, avg episodic return=5.00
timesteps=5000 - 5000, avg episodic return=10.00
timesteps=4296 - 4744, avg episodic return=10.00
timesteps=4328 - 4744, avg episodic return=6.67
timesteps=4104 - 5000, avg episodic return=11.67
timesteps=5448 - 6056, avg episodic return=5.00
timesteps=5800 - 5800, avg episodic return=10.00
timesteps=5128 - 6024, avg episodic return=8.00
timesteps=5288 - 6088, avg episodic return=8.33
timesteps=5256 - 6024, avg episodic return=8.57
timesteps=6184 - 7016, avg episodic return=10.00
timesteps=6440 - 7144, avg episodic return=10.00
timesteps=6600 - 7048, avg episodic return=15.71
timesteps=6184 - 7144, avg episodic return=8.00
timesteps=6504 - 7048, avg episodic return=10.00
timesteps=7176 - 8168, avg episodic return=10.00
timesteps=7784 - 8008, avg episodic return=10.00
timesteps=7240 - 8136, avg episodic return=10.00
timesteps=7208 - 8072, avg episodic return=10.00
timesteps=7240 - 8136, avg episodic return=6.00
timesteps=8328 - 9064, avg episodic return=10.00
timesteps=8200 - 9128, avg episodic return=6.67
timesteps=8264 - 9192, avg episodic return=12.50
timesteps=8520 - 9032, avg episodic return=7.14
timesteps=8296 - 8840, avg episodic return=11.43
timesteps=9256 - 10216, avg episodic return=11.11
timesteps=9384 - 9544, avg episodic return=20.00
timesteps=9288 - 9928, avg episodic return=10.00
timesteps=9224 - 10024, avg episodic return=10.00
timesteps=9256 - 10184, avg episodic return=11.00
timesteps=10280 - 11080, avg episodic return=12.22
timesteps=10344 - 11176, avg episodic return=10.00
timesteps=10536 - 10984, avg episodic return=8.57
timesteps=10760 - 11144, avg episodic return=10.00
timesteps=10280 - 11112, avg episodic return=10.83
timesteps=11368 - 12264, avg episodic return=10.00
timesteps=11304 - 12200, avg episodic return=10.00
timesteps=11272 - 12168, avg episodic return=10.00
timesteps=11304 - 12232, avg episodic return=10.00
timesteps=11432 - 12264, avg episodic return=9.09
timesteps=12424 - 13256, avg episodic return=10.00
timesteps=12296 - 13000, avg episodic return=10.00
timesteps=12392 - 13160, avg episodic return=12.86
timesteps=12392 - 13128, avg episodic return=10.00
timesteps=12360 - 13256, avg episodic return=9.38
timesteps=13352 - 14088, avg episodic return=10.00
timesteps=13320 - 14152, avg episodic return=7.14
timesteps=13320 - 14216, avg episodic return=8.33
timesteps=13512 - 14056, avg episodic return=10.00
timesteps=13416 - 14056, avg episodic return=10.00
timesteps=14376 - 15304, avg episodic return=10.00
timesteps=14344 - 15304, avg episodic return=10.00
timesteps=14344 - 15240, avg episodic return=11.11
timesteps=14376 - 15336, avg episodic return=11.00
timesteps=14440 - 15144, avg episodic return=10.00
timesteps=15368 - 16328, avg episodic return=10.59
timesteps=15464 - 16360, avg episodic return=9.00
timesteps=15368 - 16360, avg episodic return=10.00
timesteps=15400 - 16328, avg episodic return=10.00
timesteps=15432 - 16360, avg episodic return=10.00
timesteps=16456 - 17384, avg episodic return=10.83
timesteps=16456 - 17352, avg episodic return=6.36
timesteps=16456 - 17384, avg episodic return=10.00
timesteps=16488 - 17288, avg episodic return=10.00
timesteps=16392 - 17352, avg episodic return=10.00
timesteps=17416 - 18280, avg episodic return=8.89
timesteps=17576 - 18280, avg episodic return=10.00
timesteps=17448 - 18376, avg episodic return=10.00
timesteps=17416 - 18344, avg episodic return=10.00
timesteps=17480 - 18376, avg episodic return=10.00
timesteps=18600 - 19304, avg episodic return=10.00
timesteps=18440 - 19272, avg episodic return=10.83
timesteps=18440 - 19432, avg episodic return=10.48
timesteps=18440 - 19432, avg episodic return=9.50
timesteps=18664 - 19400, avg episodic return=10.00
timesteps=19528 - 20264, avg episodic return=8.33
timesteps=19496 - 20328, avg episodic return=11.67
timesteps=19688 - 20328, avg episodic return=9.23
timesteps=19528 - 20424, avg episodic return=9.00
timesteps=19464 - 20456, avg episodic return=10.77
timesteps=20584 - 21416, avg episodic return=10.00
