## SLURM PROLOG ###############################################################
##    Job ID : 8525513
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2110
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 02:57:47 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=38144 - 48384, avg episodic return=1.50
timesteps=43264 - 43264, avg episodic return=0.10
timesteps=43264 - 48384, avg episodic return=1.43
timesteps=54528 - 54528, avg episodic return=2.60
timesteps=49408 - 64768, avg episodic return=0.85
timesteps=49408 - 64768, avg episodic return=1.77
timesteps=65792 - 65792, avg episodic return=2.43
timesteps=76032 - 76032, avg episodic return=2.10
timesteps=65792 - 81152, avg episodic return=2.10
timesteps=82176 - 97536, avg episodic return=1.10
timesteps=87296 - 87296, avg episodic return=0.10
timesteps=82176 - 97536, avg episodic return=1.24
timesteps=103680 - 108800, avg episodic return=1.60
timesteps=98560 - 113920, avg episodic return=2.10
timesteps=113920 - 113920, avg episodic return=3.10
timesteps=114944 - 130304, avg episodic return=1.77
timesteps=130304 - 130304, avg episodic return=0.10
timesteps=120064 - 125184, avg episodic return=1.10
timesteps=131328 - 146688, avg episodic return=1.73
timesteps=131328 - 146688, avg episodic return=1.50
timesteps=131328 - 146688, avg episodic return=1.90
timesteps=152832 - 152832, avg episodic return=1.10
timesteps=152832 - 163072, avg episodic return=1.93
timesteps=147712 - 163072, avg episodic return=1.70
timesteps=169216 - 169216, avg episodic return=2.10
timesteps=164096 - 174336, avg episodic return=1.60
timesteps=169216 - 179456, avg episodic return=2.10
timesteps=180480 - 190720, avg episodic return=1.90
timesteps=180480 - 195840, avg episodic return=1.85
timesteps=185600 - 185600, avg episodic return=2.10
timesteps=196864 - 207104, avg episodic return=1.43
timesteps=201984 - 207104, avg episodic return=1.77
timesteps=196864 - 212224, avg episodic return=2.85
timesteps=213248 - 228608, avg episodic return=2.30
timesteps=218368 - 228608, avg episodic return=2.35
timesteps=213248 - 228608, avg episodic return=2.60
timesteps=234752 - 244992, avg episodic return=1.60
timesteps=229632 - 244992, avg episodic return=2.54
