## SLURM PROLOG ###############################################################
##    Job ID : 8517518
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:03:41 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3984 - 3984, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=7440 - 7824, avg episodic return=-10.00
timesteps=7696 - 7696, avg episodic return=10.00
timesteps=8976 - 8976, avg episodic return=10.00
timesteps=9360 - 9360, avg episodic return=-10.00
timesteps=10384 - 10384, avg episodic return=0.00
timesteps=11024 - 12048, avg episodic return=15.00
timesteps=12176 - 12176, avg episodic return=-10.00
timesteps=12816 - 14096, avg episodic return=10.00
timesteps=16144 - 16144, avg episodic return=-10.00
timesteps=14992 - 15632, avg episodic return=15.00
timesteps=14480 - 14480, avg episodic return=10.00
timesteps=17552 - 17552, avg episodic return=10.00
timesteps=18192 - 18192, avg episodic return=-20.00
timesteps=19728 - 19728, avg episodic return=10.00
timesteps=22672 - 24208, avg episodic return=10.00
timesteps=24976 - 26256, avg episodic return=10.00
timesteps=26896 - 27920, avg episodic return=10.00
timesteps=29456 - 30608, avg episodic return=-6.00
timesteps=31120 - 31120, avg episodic return=10.00
timesteps=30736 - 30736, avg episodic return=10.00
timesteps=36240 - 36240, avg episodic return=10.00
timesteps=35600 - 36368, avg episodic return=5.00
timesteps=37008 - 38288, avg episodic return=-13.33
timesteps=40848 - 40848, avg episodic return=10.00
timesteps=42768 - 42768, avg episodic return=10.00
timesteps=41616 - 42896, avg episodic return=10.00
timesteps=43408 - 43408, avg episodic return=-10.00
timesteps=45200 - 45840, avg episodic return=10.00
timesteps=47504 - 47504, avg episodic return=10.00
timesteps=49168 - 49936, avg episodic return=15.00
timesteps=49680 - 49936, avg episodic return=10.00
timesteps=51344 - 52624, avg episodic return=10.00
timesteps=51600 - 52112, avg episodic return=10.00
timesteps=52496 - 52496, avg episodic return=-30.00
