## SLURM PROLOG ###############################################################
##    Job ID : 8517567
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2108
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:49:41 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=2760 - 3016, avg episodic return=20.00
timesteps=2152 - 2792, avg episodic return=10.00
timesteps=2408 - 2408, avg episodic return=10.00
timesteps=3080 - 3880, avg episodic return=10.00
timesteps=3560 - 3560, avg episodic return=0.00
timesteps=3304 - 3784, avg episodic return=6.67
timesteps=4296 - 4456, avg episodic return=5.00
timesteps=4328 - 4328, avg episodic return=10.00
timesteps=4680 - 4680, avg episodic return=10.00
timesteps=4680 - 4680, avg episodic return=10.00
timesteps=4104 - 4904, avg episodic return=10.00
timesteps=5320 - 6056, avg episodic return=10.00
timesteps=5672 - 5768, avg episodic return=10.00
timesteps=5384 - 6120, avg episodic return=6.67
timesteps=6088 - 6088, avg episodic return=10.00
timesteps=5224 - 5992, avg episodic return=2.00
timesteps=6184 - 6376, avg episodic return=15.00
timesteps=6632 - 6632, avg episodic return=10.00
timesteps=6728 - 7144, avg episodic return=10.00
timesteps=6440 - 6952, avg episodic return=6.67
timesteps=7336 - 7528, avg episodic return=5.00
timesteps=7304 - 8072, avg episodic return=2.50
timesteps=7848 - 7848, avg episodic return=-20.00
timesteps=7368 - 7976, avg episodic return=6.67
timesteps=7720 - 7720, avg episodic return=10.00
timesteps=8616 - 9160, avg episodic return=5.00
timesteps=8872 - 8872, avg episodic return=20.00
timesteps=8424 - 9160, avg episodic return=5.00
timesteps=8328 - 8584, avg episodic return=15.00
timesteps=8552 - 8776, avg episodic return=10.00
timesteps=9480 - 10120, avg episodic return=11.67
timesteps=9224 - 9480, avg episodic return=10.00
timesteps=9448 - 9448, avg episodic return=10.00
timesteps=9576 - 9896, avg episodic return=7.50
timesteps=9480 - 10088, avg episodic return=6.67
timesteps=10344 - 11112, avg episodic return=7.00
timesteps=10792 - 11240, avg episodic return=15.00
timesteps=10312 - 10760, avg episodic return=10.00
timesteps=10792 - 11176, avg episodic return=10.00
timesteps=10824 - 11144, avg episodic return=-3.33
timesteps=11368 - 12200, avg episodic return=10.00
timesteps=11304 - 12200, avg episodic return=3.33
timesteps=11592 - 12264, avg episodic return=7.50
timesteps=11304 - 12168, avg episodic return=6.67
timesteps=11368 - 12008, avg episodic return=8.33
timesteps=12648 - 13288, avg episodic return=0.00
timesteps=12424 - 12680, avg episodic return=10.00
timesteps=12424 - 12808, avg episodic return=13.33
timesteps=13032 - 13256, avg episodic return=5.00
timesteps=12360 - 12744, avg episodic return=10.00
timesteps=13704 - 14056, avg episodic return=8.33
timesteps=13320 - 13576, avg episodic return=10.00
timesteps=13672 - 14152, avg episodic return=10.00
timesteps=13384 - 14216, avg episodic return=2.50
timesteps=13704 - 14216, avg episodic return=4.00
timesteps=14408 - 15048, avg episodic return=10.00
timesteps=14568 - 15080, avg episodic return=10.00
timesteps=14376 - 15240, avg episodic return=10.00
timesteps=14760 - 15208, avg episodic return=11.67
timesteps=14856 - 14920, avg episodic return=10.00
timesteps=15528 - 16328, avg episodic return=10.00
timesteps=15464 - 16328, avg episodic return=10.00
timesteps=15976 - 16360, avg episodic return=10.00
timesteps=15432 - 16328, avg episodic return=10.00
timesteps=15432 - 16296, avg episodic return=8.57
timesteps=16424 - 16552, avg episodic return=12.50
timesteps=16584 - 17352, avg episodic return=10.00
timesteps=16968 - 16968, avg episodic return=15.00
timesteps=16424 - 17320, avg episodic return=11.25
timesteps=18024 - 18280, avg episodic return=6.67
timesteps=17672 - 18152, avg episodic return=8.00
timesteps=17768 - 17768, avg episodic return=10.00
timesteps=17544 - 18376, avg episodic return=10.00
timesteps=17800 - 17992, avg episodic return=10.00
timesteps=18568 - 19048, avg episodic return=10.00
timesteps=18568 - 19208, avg episodic return=2.00
timesteps=18568 - 19432, avg episodic return=10.00
timesteps=18568 - 19368, avg episodic return=3.33
timesteps=18664 - 19432, avg episodic return=11.67
timesteps=19816 - 20392, avg episodic return=8.00
timesteps=19688 - 20360, avg episodic return=10.00
timesteps=19496 - 20360, avg episodic return=12.50
timesteps=19848 - 20328, avg episodic return=7.50
timesteps=19688 - 20456, avg episodic return=10.00
timesteps=21256 - 21352, avg episodic return=-20.00
timesteps=20488 - 21448, avg episodic return=10.00
timesteps=20584 - 21416, avg episodic return=5.71
timesteps=20488 - 21288, avg episodic return=11.67
timesteps=20488 - 21480, avg episodic return=11.11
timesteps=21736 - 21992, avg episodic return=6.67
timesteps=21576 - 22440, avg episodic return=10.00
