## SLURM PROLOG ###############################################################
##    Job ID : 8516918
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:32:23 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=33024 - 48384, avg episodic return=1.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=54528 - 59648, avg episodic return=1.90
timesteps=54528 - 64768, avg episodic return=0.60
timesteps=49408 - 59648, avg episodic return=0.60
timesteps=70912 - 81152, avg episodic return=1.70
timesteps=76032 - 81152, avg episodic return=1.85
timesteps=76032 - 76032, avg episodic return=0.10
timesteps=92416 - 97536, avg episodic return=4.10
timesteps=82176 - 97536, avg episodic return=1.98
timesteps=82176 - 97536, avg episodic return=1.43
timesteps=98560 - 108800, avg episodic return=2.10
timesteps=98560 - 113920, avg episodic return=3.10
timesteps=98560 - 113920, avg episodic return=1.60
timesteps=114944 - 130304, avg episodic return=3.10
timesteps=114944 - 114944, avg episodic return=0.10
timesteps=120064 - 120064, avg episodic return=1.10
timesteps=131328 - 146688, avg episodic return=2.70
timesteps=136448 - 141568, avg episodic return=1.77
timesteps=136448 - 141568, avg episodic return=2.60
timesteps=147712 - 163072, avg episodic return=2.77
timesteps=147712 - 163072, avg episodic return=2.96
timesteps=147712 - 163072, avg episodic return=1.98
timesteps=164096 - 174336, avg episodic return=3.60
timesteps=164096 - 169216, avg episodic return=2.50
timesteps=164096 - 179456, avg episodic return=2.50
timesteps=185600 - 195840, avg episodic return=2.30
timesteps=185600 - 185600, avg episodic return=5.10
timesteps=201984 - 212224, avg episodic return=2.35
timesteps=196864 - 212224, avg episodic return=3.70
timesteps=196864 - 212224, avg episodic return=2.93
timesteps=213248 - 228608, avg episodic return=2.43
timesteps=223488 - 228608, avg episodic return=2.60
timesteps=234752 - 234752, avg episodic return=1.43
timesteps=229632 - 229632, avg episodic return=1.10
timesteps=229632 - 244992, avg episodic return=2.50
timesteps=246016 - 256256, avg episodic return=3.85
timesteps=251136 - 261376, avg episodic return=3.43
timesteps=256256 - 256256, avg episodic return=4.10
timesteps=262400 - 277760, avg episodic return=2.60
timesteps=267520 - 277760, avg episodic return=2.96
timesteps=267520 - 277760, avg episodic return=4.10
timesteps=283904 - 289024, avg episodic return=1.85
timesteps=289024 - 289024, avg episodic return=2.10
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=295168 - 310528, avg episodic return=2.53
timesteps=295168 - 295168, avg episodic return=2.10
timesteps=300288 - 305408, avg episodic return=2.35
timesteps=311552 - 326912, avg episodic return=2.30
timesteps=311552 - 321792, avg episodic return=2.85
timesteps=311552 - 316672, avg episodic return=2.60
timesteps=327936 - 333056, avg episodic return=2.60
timesteps=333056 - 333056, avg episodic return=2.10
timesteps=327936 - 343296, avg episodic return=3.10
timesteps=344320 - 354560, avg episodic return=2.10
timesteps=349440 - 359680, avg episodic return=2.70
timesteps=359680 - 359680, avg episodic return=2.10
timesteps=360704 - 376064, avg episodic return=2.50
timesteps=365824 - 376064, avg episodic return=2.35
timesteps=360704 - 376064, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=2.27
timesteps=392448 - 392448, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=2.43
timesteps=398592 - 408832, avg episodic return=2.60
timesteps=398592 - 408832, avg episodic return=3.39
timesteps=393472 - 403712, avg episodic return=2.85
timesteps=409856 - 425216, avg episodic return=2.60
timesteps=409856 - 425216, avg episodic return=2.10
timesteps=425216 - 425216, avg episodic return=1.60
timesteps=426240 - 441600, avg episodic return=2.35
timesteps=426240 - 436480, avg episodic return=2.60
timesteps=426240 - 441600, avg episodic return=2.53
timesteps=447744 - 457984, avg episodic return=2.27
timesteps=452864 - 452864, avg episodic return=2.10
timesteps=442624 - 442624, avg episodic return=6.10
timesteps=459008 - 474368, avg episodic return=3.10
timesteps=459008 - 474368, avg episodic return=2.10
timesteps=469248 - 474368, avg episodic return=2.60
timesteps=475392 - 490752, avg episodic return=3.43
timesteps=475392 - 475392, avg episodic return=3.10
timesteps=485632 - 485632, avg episodic return=2.60
timesteps=502016 - 507136, avg episodic return=2.35
timesteps=491776 - 502016, avg episodic return=2.77
timesteps=491776 - 502016, avg episodic return=3.70
timesteps=508160 - 518400, avg episodic return=2.27
timesteps=513280 - 523520, avg episodic return=2.10
timesteps=508160 - 523520, avg episodic return=2.35
timesteps=529664 - 539904, avg episodic return=2.90
timesteps=524544 - 539904, avg episodic return=4.10
timesteps=529664 - 539904, avg episodic return=1.60
timesteps=540928 - 556288, avg episodic return=2.27
timesteps=540928 - 556288, avg episodic return=2.50
timesteps=546048 - 551168, avg episodic return=2.35
timesteps=557312 - 557312, avg episodic return=3.10
timesteps=557312 - 572672, avg episodic return=2.50
timesteps=557312 - 572672, avg episodic return=2.60
timesteps=573696 - 589056, avg episodic return=2.60
timesteps=589056 - 589056, avg episodic return=4.10
timesteps=573696 - 573696, avg episodic return=1.10
timesteps=590080 - 595200, avg episodic return=3.10
timesteps=590080 - 605440, avg episodic return=2.48
timesteps=600320 - 600320, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=2.90
timesteps=606464 - 616704, avg episodic return=2.43
timesteps=606464 - 621824, avg episodic return=2.10
timesteps=622848 - 638208, avg episodic return=2.90
timesteps=627968 - 633088, avg episodic return=2.43
timesteps=622848 - 638208, avg episodic return=2.50
timesteps=639232 - 649472, avg episodic return=3.10
timesteps=639232 - 654592, avg episodic return=2.88
timesteps=639232 - 644352, avg episodic return=2.35
timesteps=655616 - 665856, avg episodic return=2.10
timesteps=660736 - 660736, avg episodic return=4.10
timesteps=655616 - 655616, avg episodic return=3.10
timesteps=682240 - 687360, avg episodic return=3.43
timesteps=682240 - 687360, avg episodic return=3.10
timesteps=672000 - 682240, avg episodic return=2.60
timesteps=688384 - 703744, avg episodic return=3.30
timesteps=693504 - 703744, avg episodic return=2.10
timesteps=688384 - 693504, avg episodic return=2.60
timesteps=709888 - 720128, avg episodic return=2.77
timesteps=715008 - 720128, avg episodic return=3.60
timesteps=715008 - 720128, avg episodic return=1.90
timesteps=726272 - 731392, avg episodic return=3.10
timesteps=721152 - 731392, avg episodic return=2.43
timesteps=721152 - 736512, avg episodic return=2.60
timesteps=742656 - 752896, avg episodic return=2.24
timesteps=752896 - 752896, avg episodic return=4.10
timesteps=742656 - 752896, avg episodic return=2.77
timesteps=753920 - 769280, avg episodic return=2.93
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=770304 - 775424, avg episodic return=3.10
timesteps=780544 - 785664, avg episodic return=4.10
timesteps=786688 - 802048, avg episodic return=2.50
timesteps=786688 - 796928, avg episodic return=2.70
timesteps=803072 - 818432, avg episodic return=3.30
timesteps=808192 - 818432, avg episodic return=3.77
timesteps=803072 - 818432, avg episodic return=3.30
timesteps=834816 - 834816, avg episodic return=2.10
timesteps=824576 - 834816, avg episodic return=3.10
timesteps=819456 - 829696, avg episodic return=3.39
timesteps=835840 - 846080, avg episodic return=2.50
timesteps=835840 - 851200, avg episodic return=3.10
timesteps=835840 - 846080, avg episodic return=2.10
timesteps=852224 - 857344, avg episodic return=2.10
timesteps=852224 - 867584, avg episodic return=2.35
timesteps=868608 - 878848, avg episodic return=2.10
timesteps=868608 - 878848, avg episodic return=2.10
timesteps=868608 - 878848, avg episodic return=2.43
timesteps=884992 - 900352, avg episodic return=2.10
timesteps=884992 - 895232, avg episodic return=2.81
timesteps=884992 - 900352, avg episodic return=3.10
timesteps=906496 - 911616, avg episodic return=3.43
timesteps=901376 - 916736, avg episodic return=2.93
timesteps=906496 - 911616, avg episodic return=2.60
timesteps=917760 - 933120, avg episodic return=1.53
timesteps=917760 - 928000, avg episodic return=3.10
timesteps=917760 - 933120, avg episodic return=2.93
timesteps=939264 - 939264, avg episodic return=2.10
timesteps=934144 - 949504, avg episodic return=1.85
timesteps=934144 - 944384, avg episodic return=2.10
timesteps=950528 - 965888, avg episodic return=1.77
timesteps=950528 - 965888, avg episodic return=2.10
timesteps=950528 - 965888, avg episodic return=2.90
timesteps=977152 - 982272, avg episodic return=2.10
timesteps=966912 - 982272, avg episodic return=2.67
timesteps=966912 - 972032, avg episodic return=2.50
timesteps=983296 - 998656, avg episodic return=3.10
timesteps=983296 - 988416, avg episodic return=3.10
timesteps=999680 - 1015040, avg episodic return=2.60
timesteps=999680 - 1009920, avg episodic return=3.10
timesteps=999680 - 1015040, avg episodic return=3.10
timesteps=1016064 - 1026304, avg episodic return=3.43
timesteps=1016064 - 1021184, avg episodic return=1.77
timesteps=1016064 - 1021184, avg episodic return=2.77
timesteps=1032448 - 1042688, avg episodic return=2.70
timesteps=1032448 - 1047808, avg episodic return=3.30
timesteps=1032448 - 1047808, avg episodic return=3.35
timesteps=1064192 - 1064192, avg episodic return=3.10
timesteps=1048832 - 1059072, avg episodic return=2.77
timesteps=1053952 - 1059072, avg episodic return=2.60
timesteps=1065216 - 1065216, avg episodic return=4.10
timesteps=1065216 - 1080576, avg episodic return=3.43
timesteps=1065216 - 1080576, avg episodic return=3.43
timesteps=1081600 - 1091840, avg episodic return=3.90
timesteps=1081600 - 1096960, avg episodic return=2.85
timesteps=1081600 - 1096960, avg episodic return=2.81
timesteps=1097984 - 1113344, avg episodic return=2.93
timesteps=1097984 - 1113344, avg episodic return=3.60
timesteps=1097984 - 1113344, avg episodic return=2.43
timesteps=1114368 - 1129728, avg episodic return=2.50
timesteps=1124608 - 1129728, avg episodic return=3.60
timesteps=1114368 - 1114368, avg episodic return=2.60
timesteps=1130752 - 1146112, avg episodic return=2.50
timesteps=1130752 - 1146112, avg episodic return=2.60
timesteps=1130752 - 1146112, avg episodic return=2.27
timesteps=1147136 - 1162496, avg episodic return=3.60
timesteps=1147136 - 1162496, avg episodic return=3.77
timesteps=1147136 - 1157376, avg episodic return=2.77
timesteps=1163520 - 1178880, avg episodic return=3.43
timesteps=1163520 - 1178880, avg episodic return=2.77
timesteps=1163520 - 1178880, avg episodic return=2.85
timesteps=1179904 - 1195264, avg episodic return=2.10
timesteps=1185024 - 1195264, avg episodic return=3.10
timesteps=1185024 - 1185024, avg episodic return=3.10
timesteps=1196288 - 1201408, avg episodic return=4.10
timesteps=1206528 - 1206528, avg episodic return=2.10
timesteps=1206528 - 1211648, avg episodic return=3.10
timesteps=1212672 - 1228032, avg episodic return=2.65
timesteps=1212672 - 1228032, avg episodic return=2.35
timesteps=1212672 - 1228032, avg episodic return=2.85
timesteps=1229056 - 1244416, avg episodic return=3.10
timesteps=1229056 - 1229056, avg episodic return=2.10
timesteps=1229056 - 1244416, avg episodic return=2.93
timesteps=1245440 - 1255680, avg episodic return=3.77
timesteps=1245440 - 1260800, avg episodic return=2.30
timesteps=1245440 - 1260800, avg episodic return=3.35
timesteps=1261824 - 1272064, avg episodic return=2.35
timesteps=1261824 - 1277184, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=2.77
timesteps=1283328 - 1283328, avg episodic return=0.10
timesteps=1283328 - 1293568, avg episodic return=2.30
timesteps=1288448 - 1288448, avg episodic return=3.10
timesteps=1294592 - 1309952, avg episodic return=1.90
timesteps=1299712 - 1309952, avg episodic return=3.43
timesteps=1294592 - 1304832, avg episodic return=2.35
timesteps=1316096 - 1326336, avg episodic return=3.60
timesteps=1310976 - 1316096, avg episodic return=3.10
timesteps=1310976 - 1316096, avg episodic return=3.10
timesteps=1332480 - 1337600, avg episodic return=2.60
timesteps=1327360 - 1342720, avg episodic return=2.90
timesteps=1327360 - 1342720, avg episodic return=3.60
timesteps=1343744 - 1359104, avg episodic return=2.35
timesteps=1343744 - 1348864, avg episodic return=1.90
timesteps=1343744 - 1359104, avg episodic return=1.85
timesteps=1360128 - 1375488, avg episodic return=2.10
timesteps=1360128 - 1375488, avg episodic return=2.35
timesteps=1375488 - 1375488, avg episodic return=3.10
timesteps=1386752 - 1391872, avg episodic return=4.10
timesteps=1376512 - 1391872, avg episodic return=2.60
timesteps=1376512 - 1376512, avg episodic return=3.10
timesteps=1392896 - 1408256, avg episodic return=2.85
timesteps=1392896 - 1403136, avg episodic return=2.43
timesteps=1392896 - 1408256, avg episodic return=3.35
timesteps=1409280 - 1424640, avg episodic return=3.10
timesteps=1414400 - 1424640, avg episodic return=3.43
timesteps=1414400 - 1414400, avg episodic return=3.10
timesteps=1425664 - 1441024, avg episodic return=2.90
timesteps=1430784 - 1441024, avg episodic return=3.77
timesteps=1430784 - 1441024, avg episodic return=3.24
timesteps=1442048 - 1457408, avg episodic return=3.32
timesteps=1442048 - 1457408, avg episodic return=4.10
timesteps=1442048 - 1457408, avg episodic return=3.30
timesteps=1458432 - 1473792, avg episodic return=3.30
timesteps=1458432 - 1473792, avg episodic return=3.10
timesteps=1463552 - 1473792, avg episodic return=3.60
timesteps=1474816 - 1490176, avg episodic return=1.93
timesteps=1485056 - 1485056, avg episodic return=3.10
timesteps=1474816 - 1490176, avg episodic return=2.90
timesteps=1496320 - 1506560, avg episodic return=3.10
timesteps=1491200 - 1506560, avg episodic return=1.93
timesteps=1496320 - 1506560, avg episodic return=2.77
timesteps=1507584 - 1522944, avg episodic return=2.60
timesteps=1512704 - 1522944, avg episodic return=2.10
timesteps=1507584 - 1517824, avg episodic return=2.39
timesteps=1529088 - 1534208, avg episodic return=2.50
timesteps=1529088 - 1539328, avg episodic return=2.85
timesteps=1529088 - 1529088, avg episodic return=3.10
timesteps=1545472 - 1555712, avg episodic return=2.43
