## SLURM PROLOG ###############################################################
##    Job ID : 8517566
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:49:20 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1128 - 2024, avg episodic return=-15.00
timesteps=2184 - 2184, avg episodic return=10.00
timesteps=2152 - 2792, avg episodic return=15.00
timesteps=3208 - 4072, avg episodic return=5.00
timesteps=3656 - 3656, avg episodic return=0.00
timesteps=3752 - 3912, avg episodic return=0.00
timesteps=3976 - 3976, avg episodic return=10.00
timesteps=5032 - 5032, avg episodic return=20.00
timesteps=4840 - 4840, avg episodic return=10.00
timesteps=4296 - 5064, avg episodic return=13.33
timesteps=4488 - 4552, avg episodic return=10.00
timesteps=5544 - 5544, avg episodic return=10.00
timesteps=5960 - 5960, avg episodic return=0.00
timesteps=6056 - 6056, avg episodic return=-10.00
timesteps=5224 - 5896, avg episodic return=3.33
timesteps=6184 - 6728, avg episodic return=-10.00
timesteps=6280 - 7048, avg episodic return=4.00
timesteps=6184 - 7048, avg episodic return=5.00
timesteps=6312 - 7112, avg episodic return=15.00
timesteps=7400 - 7400, avg episodic return=10.00
timesteps=7304 - 7304, avg episodic return=10.00
timesteps=7240 - 7720, avg episodic return=15.00
timesteps=7176 - 7656, avg episodic return=8.00
timesteps=8200 - 9064, avg episodic return=10.00
timesteps=8200 - 8264, avg episodic return=10.00
timesteps=8328 - 8904, avg episodic return=3.33
timesteps=8200 - 8200, avg episodic return=10.00
timesteps=8520 - 9192, avg episodic return=10.00
timesteps=9256 - 10152, avg episodic return=10.00
timesteps=9352 - 9480, avg episodic return=10.00
timesteps=9672 - 10184, avg episodic return=13.33
timesteps=9352 - 9352, avg episodic return=0.00
timesteps=9352 - 10120, avg episodic return=11.67
timesteps=10376 - 11144, avg episodic return=8.75
timesteps=10408 - 10792, avg episodic return=13.33
timesteps=10984 - 10984, avg episodic return=10.00
timesteps=10280 - 11240, avg episodic return=10.00
timesteps=11304 - 11976, avg episodic return=12.50
timesteps=11400 - 12200, avg episodic return=8.57
timesteps=11496 - 12104, avg episodic return=10.00
timesteps=11272 - 12200, avg episodic return=10.00
timesteps=12520 - 13256, avg episodic return=10.00
timesteps=12296 - 13288, avg episodic return=8.00
timesteps=12328 - 13192, avg episodic return=12.00
timesteps=12328 - 13192, avg episodic return=5.00
timesteps=13352 - 14280, avg episodic return=10.00
timesteps=13512 - 13768, avg episodic return=10.00
timesteps=13320 - 14152, avg episodic return=10.00
timesteps=13512 - 14280, avg episodic return=-3.33
timesteps=13320 - 14312, avg episodic return=11.67
timesteps=14344 - 15240, avg episodic return=8.57
timesteps=15304 - 15304, avg episodic return=10.00
timesteps=14600 - 14728, avg episodic return=15.00
timesteps=14664 - 14664, avg episodic return=10.00
timesteps=14632 - 14920, avg episodic return=10.00
timesteps=15400 - 16232, avg episodic return=7.50
timesteps=15624 - 15848, avg episodic return=6.67
timesteps=15656 - 15912, avg episodic return=10.00
timesteps=15560 - 16360, avg episodic return=6.00
timesteps=16968 - 17096, avg episodic return=10.00
timesteps=16424 - 17064, avg episodic return=10.00
timesteps=16456 - 17352, avg episodic return=10.00
timesteps=16776 - 17224, avg episodic return=5.00
timesteps=16904 - 17288, avg episodic return=6.00
timesteps=17416 - 18376, avg episodic return=10.00
timesteps=17736 - 18216, avg episodic return=7.50
timesteps=17736 - 18312, avg episodic return=10.00
timesteps=17544 - 18344, avg episodic return=6.67
timesteps=17448 - 17864, avg episodic return=8.00
timesteps=18728 - 19432, avg episodic return=10.00
timesteps=18472 - 19304, avg episodic return=5.00
timesteps=18440 - 19432, avg episodic return=7.78
timesteps=18536 - 19176, avg episodic return=8.33
timesteps=18504 - 19368, avg episodic return=10.00
timesteps=19816 - 20392, avg episodic return=10.00
timesteps=19688 - 20232, avg episodic return=10.00
timesteps=19624 - 20392, avg episodic return=10.00
timesteps=19976 - 20232, avg episodic return=10.00
timesteps=19528 - 20456, avg episodic return=10.00
timesteps=20584 - 21384, avg episodic return=10.00
timesteps=20616 - 21064, avg episodic return=10.00
timesteps=20648 - 21320, avg episodic return=10.00
timesteps=20552 - 21256, avg episodic return=10.00
timesteps=20488 - 21480, avg episodic return=10.00
timesteps=21512 - 22344, avg episodic return=10.00
timesteps=21864 - 22440, avg episodic return=10.00
timesteps=21640 - 21960, avg episodic return=15.00
timesteps=21576 - 22440, avg episodic return=10.00
timesteps=21576 - 22312, avg episodic return=6.25
timesteps=22600 - 23400, avg episodic return=5.45
timesteps=22536 - 23464, avg episodic return=12.50
timesteps=22568 - 23368, avg episodic return=10.00
timesteps=22920 - 23464, avg episodic return=6.00
