## SLURM PROLOG ###############################################################
##    Job ID : 8516925
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:48:11 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=26880 - 32000, avg episodic return=0.10
timesteps=32000 - 32000, avg episodic return=-0.90
timesteps=33024 - 33024, avg episodic return=2.10
timesteps=33024 - 48384, avg episodic return=0.43
timesteps=48384 - 48384, avg episodic return=2.10
timesteps=49408 - 64768, avg episodic return=0.43
timesteps=49408 - 64768, avg episodic return=0.43
timesteps=49408 - 64768, avg episodic return=0.90
timesteps=65792 - 81152, avg episodic return=1.43
timesteps=65792 - 81152, avg episodic return=0.90
timesteps=65792 - 70912, avg episodic return=1.60
timesteps=82176 - 97536, avg episodic return=3.43
timesteps=87296 - 97536, avg episodic return=2.60
timesteps=82176 - 97536, avg episodic return=0.77
timesteps=98560 - 113920, avg episodic return=1.43
timesteps=98560 - 113920, avg episodic return=2.27
timesteps=98560 - 98560, avg episodic return=1.10
timesteps=114944 - 130304, avg episodic return=2.43
timesteps=130304 - 130304, avg episodic return=2.10
timesteps=114944 - 130304, avg episodic return=2.70
timesteps=131328 - 136448, avg episodic return=2.60
timesteps=131328 - 146688, avg episodic return=2.10
timesteps=131328 - 141568, avg episodic return=2.10
timesteps=152832 - 157952, avg episodic return=1.70
timesteps=147712 - 163072, avg episodic return=2.10
timesteps=157952 - 157952, avg episodic return=3.10
timesteps=164096 - 179456, avg episodic return=2.52
timesteps=164096 - 174336, avg episodic return=1.77
timesteps=169216 - 179456, avg episodic return=3.10
timesteps=185600 - 195840, avg episodic return=2.35
timesteps=180480 - 180480, avg episodic return=2.10
timesteps=185600 - 195840, avg episodic return=3.43
timesteps=201984 - 207104, avg episodic return=1.77
timesteps=201984 - 212224, avg episodic return=4.10
timesteps=201984 - 201984, avg episodic return=3.60
timesteps=213248 - 223488, avg episodic return=2.10
timesteps=213248 - 218368, avg episodic return=3.10
timesteps=213248 - 228608, avg episodic return=3.10
timesteps=229632 - 239872, avg episodic return=3.60
timesteps=229632 - 239872, avg episodic return=3.60
timesteps=229632 - 234752, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=3.35
timesteps=251136 - 261376, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=3.77
timesteps=262400 - 262400, avg episodic return=5.10
timesteps=262400 - 277760, avg episodic return=4.35
timesteps=262400 - 267520, avg episodic return=4.10
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=300288 - 310528, avg episodic return=3.85
timesteps=305408 - 310528, avg episodic return=2.77
timesteps=295168 - 310528, avg episodic return=2.85
timesteps=311552 - 311552, avg episodic return=3.10
timesteps=326912 - 326912, avg episodic return=3.10
timesteps=311552 - 321792, avg episodic return=2.77
timesteps=333056 - 343296, avg episodic return=4.10
timesteps=327936 - 343296, avg episodic return=4.43
timesteps=333056 - 343296, avg episodic return=2.90
timesteps=349440 - 359680, avg episodic return=4.10
timesteps=344320 - 359680, avg episodic return=2.43
timesteps=354560 - 354560, avg episodic return=3.60
timesteps=365824 - 376064, avg episodic return=4.10
timesteps=365824 - 370944, avg episodic return=3.10
timesteps=360704 - 376064, avg episodic return=3.60
timesteps=382208 - 392448, avg episodic return=2.43
timesteps=377088 - 377088, avg episodic return=4.10
timesteps=377088 - 392448, avg episodic return=3.10
timesteps=393472 - 403712, avg episodic return=3.10
timesteps=403712 - 408832, avg episodic return=3.60
timesteps=398592 - 408832, avg episodic return=2.85
timesteps=409856 - 420096, avg episodic return=2.85
timesteps=409856 - 420096, avg episodic return=3.10
timesteps=409856 - 414976, avg episodic return=4.85
timesteps=436480 - 441600, avg episodic return=2.10
timesteps=431360 - 441600, avg episodic return=2.35
timesteps=431360 - 431360, avg episodic return=2.60
timesteps=457984 - 457984, avg episodic return=2.10
timesteps=442624 - 457984, avg episodic return=3.43
timesteps=442624 - 447744, avg episodic return=3.77
timesteps=464128 - 469248, avg episodic return=2.77
timesteps=459008 - 469248, avg episodic return=4.43
timesteps=464128 - 474368, avg episodic return=3.35
