## SLURM PROLOG ###############################################################
##    Job ID : 8516932
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:50:42 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=54528 - 64768, avg episodic return=1.10
timesteps=54528 - 54528, avg episodic return=1.10
timesteps=49408 - 64768, avg episodic return=0.93
timesteps=70912 - 81152, avg episodic return=0.60
timesteps=76032 - 81152, avg episodic return=1.43
timesteps=65792 - 81152, avg episodic return=0.93
timesteps=82176 - 97536, avg episodic return=0.85
timesteps=82176 - 97536, avg episodic return=0.35
timesteps=87296 - 97536, avg episodic return=0.10
timesteps=98560 - 113920, avg episodic return=0.85
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=120064 - 130304, avg episodic return=0.60
timesteps=120064 - 125184, avg episodic return=2.60
timesteps=120064 - 130304, avg episodic return=1.43
timesteps=131328 - 146688, avg episodic return=0.70
timesteps=136448 - 146688, avg episodic return=1.35
timesteps=136448 - 146688, avg episodic return=0.77
timesteps=152832 - 163072, avg episodic return=1.10
timesteps=152832 - 163072, avg episodic return=1.10
timesteps=152832 - 163072, avg episodic return=1.50
timesteps=169216 - 174336, avg episodic return=0.10
timesteps=164096 - 174336, avg episodic return=2.10
timesteps=174336 - 174336, avg episodic return=2.10
timesteps=180480 - 190720, avg episodic return=1.30
timesteps=190720 - 195840, avg episodic return=1.43
timesteps=180480 - 195840, avg episodic return=1.35
timesteps=196864 - 207104, avg episodic return=1.60
timesteps=196864 - 212224, avg episodic return=0.90
timesteps=212224 - 212224, avg episodic return=1.10
timesteps=213248 - 223488, avg episodic return=1.10
timesteps=218368 - 228608, avg episodic return=1.10
timesteps=213248 - 218368, avg episodic return=1.10
timesteps=239872 - 244992, avg episodic return=1.77
timesteps=234752 - 244992, avg episodic return=1.43
timesteps=234752 - 239872, avg episodic return=1.43
timesteps=246016 - 261376, avg episodic return=1.10
timesteps=256256 - 261376, avg episodic return=1.43
timesteps=246016 - 261376, avg episodic return=1.43
timesteps=262400 - 267520, avg episodic return=1.10
timesteps=262400 - 272640, avg episodic return=0.50
timesteps=267520 - 277760, avg episodic return=1.60
timesteps=278784 - 278784, avg episodic return=3.10
timesteps=278784 - 289024, avg episodic return=2.50
timesteps=283904 - 283904, avg episodic return=2.10
timesteps=300288 - 310528, avg episodic return=2.30
timesteps=295168 - 305408, avg episodic return=2.10
timesteps=300288 - 310528, avg episodic return=2.43
timesteps=311552 - 326912, avg episodic return=0.93
timesteps=321792 - 326912, avg episodic return=2.60
timesteps=316672 - 326912, avg episodic return=1.27
timesteps=338176 - 343296, avg episodic return=0.60
timesteps=338176 - 338176, avg episodic return=3.10
timesteps=327936 - 333056, avg episodic return=1.60
timesteps=349440 - 359680, avg episodic return=2.30
timesteps=344320 - 359680, avg episodic return=2.10
timesteps=349440 - 359680, avg episodic return=2.10
timesteps=376064 - 376064, avg episodic return=2.10
timesteps=360704 - 376064, avg episodic return=0.90
timesteps=360704 - 376064, avg episodic return=1.10
timesteps=377088 - 392448, avg episodic return=1.85
timesteps=377088 - 392448, avg episodic return=1.60
timesteps=377088 - 382208, avg episodic return=2.60
timesteps=393472 - 398592, avg episodic return=1.35
timesteps=393472 - 408832, avg episodic return=1.22
timesteps=393472 - 408832, avg episodic return=0.85
timesteps=409856 - 425216, avg episodic return=1.77
timesteps=409856 - 425216, avg episodic return=1.85
timesteps=409856 - 420096, avg episodic return=2.10
timesteps=426240 - 441600, avg episodic return=1.43
timesteps=426240 - 431360, avg episodic return=1.10
timesteps=431360 - 431360, avg episodic return=2.10
timesteps=442624 - 452864, avg episodic return=2.10
timesteps=442624 - 457984, avg episodic return=1.43
timesteps=447744 - 452864, avg episodic return=2.10
timesteps=459008 - 469248, avg episodic return=1.50
timesteps=459008 - 474368, avg episodic return=1.88
timesteps=459008 - 474368, avg episodic return=1.73
timesteps=480512 - 490752, avg episodic return=1.10
timesteps=475392 - 490752, avg episodic return=2.35
timesteps=475392 - 490752, avg episodic return=1.43
timesteps=496896 - 496896, avg episodic return=0.10
timesteps=496896 - 507136, avg episodic return=2.10
timesteps=496896 - 507136, avg episodic return=2.10
timesteps=508160 - 523520, avg episodic return=2.27
timesteps=508160 - 513280, avg episodic return=0.77
timesteps=508160 - 518400, avg episodic return=2.60
timesteps=524544 - 529664, avg episodic return=1.43
timesteps=539904 - 539904, avg episodic return=0.10
timesteps=529664 - 529664, avg episodic return=1.60
timesteps=540928 - 556288, avg episodic return=1.98
timesteps=546048 - 551168, avg episodic return=1.43
timesteps=556288 - 556288, avg episodic return=0.10
timesteps=557312 - 572672, avg episodic return=2.10
timesteps=557312 - 572672, avg episodic return=1.60
timesteps=562432 - 567552, avg episodic return=2.35
timesteps=573696 - 589056, avg episodic return=1.35
timesteps=583936 - 589056, avg episodic return=2.10
timesteps=578816 - 578816, avg episodic return=2.10
timesteps=590080 - 605440, avg episodic return=3.10
timesteps=600320 - 605440, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=2.10
timesteps=611584 - 621824, avg episodic return=1.60
timesteps=606464 - 621824, avg episodic return=1.81
timesteps=622848 - 638208, avg episodic return=1.70
timesteps=622848 - 638208, avg episodic return=2.77
timesteps=627968 - 633088, avg episodic return=2.43
timesteps=639232 - 649472, avg episodic return=3.10
timesteps=649472 - 649472, avg episodic return=3.10
timesteps=639232 - 649472, avg episodic return=1.60
timesteps=655616 - 670976, avg episodic return=2.10
timesteps=655616 - 665856, avg episodic return=2.10
timesteps=665856 - 670976, avg episodic return=2.10
timesteps=672000 - 672000, avg episodic return=1.10
timesteps=672000 - 687360, avg episodic return=2.53
timesteps=672000 - 687360, avg episodic return=4.30
timesteps=688384 - 698624, avg episodic return=3.10
timesteps=688384 - 703744, avg episodic return=2.70
timesteps=704768 - 720128, avg episodic return=2.39
timesteps=704768 - 720128, avg episodic return=2.90
timesteps=704768 - 709888, avg episodic return=1.10
timesteps=721152 - 731392, avg episodic return=3.10
timesteps=731392 - 731392, avg episodic return=2.10
timesteps=742656 - 752896, avg episodic return=3.43
timesteps=737536 - 737536, avg episodic return=2.77
timesteps=742656 - 752896, avg episodic return=2.43
timesteps=753920 - 764160, avg episodic return=1.81
timesteps=753920 - 769280, avg episodic return=2.50
timesteps=759040 - 769280, avg episodic return=2.93
timesteps=770304 - 780544, avg episodic return=2.10
timesteps=770304 - 785664, avg episodic return=2.77
timesteps=770304 - 780544, avg episodic return=2.60
timesteps=796928 - 802048, avg episodic return=3.10
timesteps=786688 - 802048, avg episodic return=3.10
timesteps=786688 - 802048, avg episodic return=2.35
timesteps=803072 - 818432, avg episodic return=3.10
timesteps=808192 - 818432, avg episodic return=3.70
timesteps=808192 - 818432, avg episodic return=1.77
timesteps=819456 - 829696, avg episodic return=2.96
timesteps=834816 - 834816, avg episodic return=2.10
timesteps=824576 - 824576, avg episodic return=2.60
timesteps=840960 - 851200, avg episodic return=2.60
timesteps=840960 - 846080, avg episodic return=3.10
timesteps=851200 - 851200, avg episodic return=2.10
timesteps=857344 - 867584, avg episodic return=3.10
timesteps=852224 - 867584, avg episodic return=2.70
timesteps=857344 - 862464, avg episodic return=3.43
timesteps=873728 - 883968, avg episodic return=3.77
timesteps=868608 - 883968, avg episodic return=2.90
timesteps=868608 - 883968, avg episodic return=3.85
timesteps=884992 - 900352, avg episodic return=3.10
timesteps=884992 - 900352, avg episodic return=3.10
timesteps=890112 - 895232, avg episodic return=3.60
timesteps=906496 - 906496, avg episodic return=1.10
timesteps=901376 - 911616, avg episodic return=4.10
timesteps=906496 - 916736, avg episodic return=2.90
timesteps=922880 - 928000, avg episodic return=3.10
timesteps=917760 - 933120, avg episodic return=4.10
timesteps=917760 - 922880, avg episodic return=3.60
timesteps=934144 - 949504, avg episodic return=2.60
timesteps=934144 - 944384, avg episodic return=4.43
timesteps=934144 - 944384, avg episodic return=2.60
timesteps=955648 - 955648, avg episodic return=2.10
timesteps=950528 - 965888, avg episodic return=3.30
timesteps=950528 - 950528, avg episodic return=3.60
timesteps=966912 - 982272, avg episodic return=2.67
timesteps=966912 - 977152, avg episodic return=2.35
timesteps=966912 - 977152, avg episodic return=2.10
timesteps=993536 - 998656, avg episodic return=2.77
timesteps=999680 - 1015040, avg episodic return=2.83
timesteps=1015040 - 1015040, avg episodic return=4.10
timesteps=999680 - 1015040, avg episodic return=2.85
timesteps=1026304 - 1031424, avg episodic return=3.10
timesteps=1016064 - 1031424, avg episodic return=3.35
timesteps=1016064 - 1031424, avg episodic return=2.98
timesteps=1032448 - 1042688, avg episodic return=1.85
timesteps=1032448 - 1042688, avg episodic return=3.10
timesteps=1037568 - 1042688, avg episodic return=3.35
timesteps=1048832 - 1064192, avg episodic return=2.50
timesteps=1048832 - 1064192, avg episodic return=3.60
timesteps=1048832 - 1059072, avg episodic return=2.35
timesteps=1065216 - 1065216, avg episodic return=4.10
timesteps=1081600 - 1096960, avg episodic return=2.10
timesteps=1081600 - 1096960, avg episodic return=2.43
timesteps=1091840 - 1096960, avg episodic return=2.77
timesteps=1097984 - 1103104, avg episodic return=2.43
timesteps=1097984 - 1113344, avg episodic return=2.90
timesteps=1097984 - 1103104, avg episodic return=3.43
timesteps=1114368 - 1129728, avg episodic return=2.10
timesteps=1119488 - 1129728, avg episodic return=2.10
timesteps=1124608 - 1129728, avg episodic return=3.43
timesteps=1135872 - 1146112, avg episodic return=3.10
timesteps=1135872 - 1146112, avg episodic return=1.90
timesteps=1130752 - 1135872, avg episodic return=2.35
timesteps=1152256 - 1152256, avg episodic return=3.10
timesteps=1157376 - 1162496, avg episodic return=3.35
timesteps=1147136 - 1157376, avg episodic return=2.43
timesteps=1168640 - 1173760, avg episodic return=2.60
timesteps=1163520 - 1178880, avg episodic return=2.77
timesteps=1163520 - 1173760, avg episodic return=2.60
timesteps=1179904 - 1179904, avg episodic return=2.77
timesteps=1185024 - 1190144, avg episodic return=2.77
timesteps=1185024 - 1190144, avg episodic return=2.77
timesteps=1201408 - 1211648, avg episodic return=2.85
timesteps=1196288 - 1206528, avg episodic return=2.21
timesteps=1196288 - 1206528, avg episodic return=2.35
timesteps=1212672 - 1228032, avg episodic return=3.10
timesteps=1212672 - 1222912, avg episodic return=2.77
timesteps=1217792 - 1217792, avg episodic return=2.10
timesteps=1234176 - 1244416, avg episodic return=2.10
timesteps=1239296 - 1244416, avg episodic return=2.77
timesteps=1229056 - 1244416, avg episodic return=2.60
timesteps=1245440 - 1255680, avg episodic return=2.50
timesteps=1245440 - 1255680, avg episodic return=2.77
timesteps=1250560 - 1260800, avg episodic return=2.10
timesteps=1261824 - 1261824, avg episodic return=2.60
timesteps=1261824 - 1266944, avg episodic return=1.35
timesteps=1272064 - 1277184, avg episodic return=3.10
timesteps=1283328 - 1293568, avg episodic return=1.35
timesteps=1278208 - 1288448, avg episodic return=2.60
timesteps=1278208 - 1288448, avg episodic return=1.77
timesteps=1294592 - 1299712, avg episodic return=2.10
timesteps=1304832 - 1309952, avg episodic return=2.10
timesteps=1299712 - 1309952, avg episodic return=3.60
timesteps=1310976 - 1326336, avg episodic return=1.60
timesteps=1326336 - 1326336, avg episodic return=3.10
timesteps=1310976 - 1326336, avg episodic return=2.10
timesteps=1342720 - 1342720, avg episodic return=2.10
timesteps=1342720 - 1342720, avg episodic return=2.10
timesteps=1327360 - 1327360, avg episodic return=2.10
timesteps=1348864 - 1353984, avg episodic return=2.60
timesteps=1343744 - 1353984, avg episodic return=1.70
timesteps=1343744 - 1343744, avg episodic return=4.10
timesteps=1360128 - 1375488, avg episodic return=2.19
timesteps=1360128 - 1370368, avg episodic return=2.24
timesteps=1365248 - 1365248, avg episodic return=2.10
timesteps=1376512 - 1376512, avg episodic return=2.10
timesteps=1381632 - 1381632, avg episodic return=1.10
timesteps=1386752 - 1391872, avg episodic return=2.10
timesteps=1398016 - 1398016, avg episodic return=2.10
timesteps=1392896 - 1398016, avg episodic return=1.60
timesteps=1398016 - 1403136, avg episodic return=2.35
timesteps=1409280 - 1424640, avg episodic return=2.10
timesteps=1409280 - 1424640, avg episodic return=2.39
timesteps=1409280 - 1419520, avg episodic return=2.27
timesteps=1425664 - 1435904, avg episodic return=2.35
timesteps=1435904 - 1441024, avg episodic return=1.10
timesteps=1430784 - 1435904, avg episodic return=2.60
timesteps=1457408 - 1457408, avg episodic return=3.10
timesteps=1452288 - 1452288, avg episodic return=1.10
timesteps=1442048 - 1457408, avg episodic return=2.10
timesteps=1463552 - 1473792, avg episodic return=3.43
timesteps=1458432 - 1473792, avg episodic return=2.35
timesteps=1458432 - 1473792, avg episodic return=2.10
timesteps=1474816 - 1490176, avg episodic return=2.10
timesteps=1474816 - 1490176, avg episodic return=2.10
timesteps=1474816 - 1490176, avg episodic return=2.35
timesteps=1491200 - 1506560, avg episodic return=2.30
timesteps=1496320 - 1501440, avg episodic return=2.35
timesteps=1496320 - 1506560, avg episodic return=2.10
timesteps=1522944 - 1522944, avg episodic return=2.60
timesteps=1507584 - 1517824, avg episodic return=2.10
timesteps=1512704 - 1512704, avg episodic return=3.10
timesteps=1529088 - 1539328, avg episodic return=2.43
timesteps=1523968 - 1539328, avg episodic return=3.10
timesteps=1523968 - 1539328, avg episodic return=1.60
timesteps=1540352 - 1545472, avg episodic return=2.10
timesteps=1550592 - 1555712, avg episodic return=3.60
timesteps=1561856 - 1561856, avg episodic return=2.60
timesteps=1556736 - 1572096, avg episodic return=2.35
timesteps=1556736 - 1572096, avg episodic return=2.35
timesteps=1573120 - 1588480, avg episodic return=2.50
timesteps=1573120 - 1588480, avg episodic return=2.60
timesteps=1589504 - 1604864, avg episodic return=2.10
timesteps=1589504 - 1604864, avg episodic return=1.93
timesteps=1594624 - 1599744, avg episodic return=2.10
timesteps=1605888 - 1621248, avg episodic return=2.43
timesteps=1605888 - 1621248, avg episodic return=2.70
timesteps=1616128 - 1621248, avg episodic return=2.60
timesteps=1622272 - 1627392, avg episodic return=3.10
timesteps=1622272 - 1637632, avg episodic return=2.35
timesteps=1622272 - 1637632, avg episodic return=2.35
timesteps=1648896 - 1654016, avg episodic return=2.10
timesteps=1643776 - 1654016, avg episodic return=2.43
timesteps=1638656 - 1654016, avg episodic return=2.72
timesteps=1660160 - 1665280, avg episodic return=3.60
timesteps=1660160 - 1670400, avg episodic return=2.10
timesteps=1671424 - 1686784, avg episodic return=2.43
timesteps=1676544 - 1681664, avg episodic return=2.50
timesteps=1676544 - 1676544, avg episodic return=2.43
timesteps=1687808 - 1703168, avg episodic return=2.77
timesteps=1692928 - 1692928, avg episodic return=2.10
timesteps=1692928 - 1703168, avg episodic return=2.50
timesteps=1709312 - 1714432, avg episodic return=2.77
timesteps=1704192 - 1719552, avg episodic return=2.50
timesteps=1704192 - 1719552, avg episodic return=2.85
timesteps=1725696 - 1730816, avg episodic return=3.10
