timesteps=12804 - 13204, avg discounted return=2.19
timesteps=12996 - 13092, avg discounted return=2.91
timesteps=12868 - 13156, avg discounted return=0.80
timesteps=12884 - 12884, avg discounted return=2.52
timesteps=12900 - 13108, avg discounted return=-0.07
timesteps=12932 - 12932, avg discounted return=1.46
timesteps=12820 - 13220, avg discounted return=1.27
timesteps=12820 - 13108, avg discounted return=1.10
timesteps=12980 - 12980, avg discounted return=0.12
timesteps=13428 - 13764, avg discounted return=1.15
timesteps=13732 - 13780, avg discounted return=1.51
timesteps=13460 - 13604, avg discounted return=2.22
timesteps=13412 - 13780, avg discounted return=1.13
timesteps=13332 - 13332, avg discounted return=-0.05
timesteps=13316 - 13476, avg discounted return=-0.06
timesteps=13700 - 13700, avg discounted return=3.34
timesteps=13844 - 14100, avg discounted return=3.23
timesteps=14100 - 14308, avg discounted return=1.22
timesteps=13844 - 14308, avg discounted return=0.64
timesteps=13972 - 14308, avg discounted return=1.98
timesteps=13892 - 13892, avg discounted return=3.05
timesteps=13828 - 14052, avg discounted return=1.64
timesteps=13940 - 14260, avg discounted return=1.81
timesteps=13956 - 14276, avg discounted return=2.40
timesteps=14196 - 14196, avg discounted return=-0.05
timesteps=14356 - 14708, avg discounted return=1.58
timesteps=14436 - 14836, avg discounted return=1.67
timesteps=14420 - 14756, avg discounted return=1.96
timesteps=14500 - 14804, avg discounted return=0.46
timesteps=14436 - 14436, avg discounted return=2.79
timesteps=14756 - 14756, avg discounted return=-0.07
timesteps=14484 - 14756, avg discounted return=0.65
timesteps=14420 - 14724, avg discounted return=0.53
timesteps=14612 - 14612, avg discounted return=-0.04
timesteps=14932 - 15124, avg discounted return=1.92
timesteps=14884 - 15204, avg discounted return=0.69
timesteps=14868 - 15108, avg discounted return=3.32
timesteps=14900 - 14900, avg discounted return=-0.06
timesteps=15236 - 15236, avg discounted return=-0.05
timesteps=14852 - 15332, avg discounted return=1.59
timesteps=14884 - 15284, avg discounted return=0.55
timesteps=14884 - 15300, avg discounted return=2.33
timesteps=15396 - 15844, avg discounted return=1.00
timesteps=15380 - 15844, avg discounted return=1.23
timesteps=15396 - 15764, avg discounted return=0.97
timesteps=15428 - 15428, avg discounted return=-0.04
timesteps=15620 - 15620, avg discounted return=2.73
timesteps=15380 - 15860, avg discounted return=-0.08
timesteps=15364 - 15844, avg discounted return=2.38
timesteps=15380 - 15828, avg discounted return=0.44
timesteps=15460 - 15508, avg discounted return=0.90
timesteps=15876 - 16292, avg discounted return=1.24
timesteps=15940 - 16148, avg discounted return=0.94
timesteps=15876 - 16372, avg discounted return=0.58
timesteps=16004 - 16164, avg discounted return=1.46
timesteps=16068 - 16260, avg discounted return=1.45
timesteps=16068 - 16324, avg discounted return=1.90
timesteps=16052 - 16052, avg discounted return=-0.07
timesteps=15956 - 16372, avg discounted return=-0.08
timesteps=16084 - 16276, avg discounted return=-0.06
timesteps=16404 - 16884, avg discounted return=1.73
timesteps=16676 - 16756, avg discounted return=1.41
timesteps=16420 - 16788, avg discounted return=0.72
timesteps=16580 - 16580, avg discounted return=2.79
timesteps=16820 - 16868, avg discounted return=2.90
timesteps=16420 - 16788, avg discounted return=0.88
timesteps=16404 - 16756, avg discounted return=3.03
timesteps=16420 - 16644, avg discounted return=2.05
timesteps=16388 - 16692, avg discounted return=0.94
timesteps=16932 - 17396, avg discounted return=1.39
timesteps=16900 - 17220, avg discounted return=-0.08
timesteps=17124 - 17188, avg discounted return=-0.08
timesteps=16900 - 17284, avg discounted return=1.70
timesteps=16900 - 17348, avg discounted return=1.52
timesteps=16900 - 17300, avg discounted return=1.82
timesteps=16916 - 17380, avg discounted return=1.82
timesteps=17268 - 17316, avg discounted return=1.57
