## SLURM PROLOG ###############################################################
##    Job ID : 8517526
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:17:30 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=7440 - 7440, avg episodic return=0.00
timesteps=8720 - 8720, avg episodic return=0.00
timesteps=10512 - 10512, avg episodic return=10.00
timesteps=10384 - 11024, avg episodic return=10.00
timesteps=13328 - 13328, avg episodic return=10.00
timesteps=13840 - 13840, avg episodic return=20.00
timesteps=12816 - 12816, avg episodic return=20.00
timesteps=15632 - 15632, avg episodic return=10.00
timesteps=17552 - 17680, avg episodic return=15.00
timesteps=17168 - 17936, avg episodic return=13.33
timesteps=17168 - 18320, avg episodic return=-10.00
timesteps=19216 - 19728, avg episodic return=-10.00
timesteps=19600 - 19600, avg episodic return=10.00
timesteps=21904 - 21904, avg episodic return=-10.00
timesteps=20880 - 21648, avg episodic return=10.00
timesteps=21264 - 21392, avg episodic return=10.00
timesteps=22032 - 22032, avg episodic return=20.00
timesteps=23440 - 23440, avg episodic return=10.00
timesteps=23568 - 24464, avg episodic return=6.67
timesteps=23952 - 23952, avg episodic return=30.00
timesteps=23312 - 23696, avg episodic return=10.00
timesteps=23312 - 23312, avg episodic return=10.00
timesteps=24976 - 26000, avg episodic return=10.00
timesteps=24592 - 26512, avg episodic return=5.00
timesteps=26384 - 26384, avg episodic return=10.00
timesteps=25232 - 25232, avg episodic return=10.00
timesteps=27536 - 28432, avg episodic return=10.00
timesteps=26640 - 28432, avg episodic return=11.43
timesteps=28176 - 28176, avg episodic return=10.00
timesteps=27792 - 28432, avg episodic return=10.00
timesteps=27280 - 28304, avg episodic return=15.00
timesteps=28944 - 30352, avg episodic return=10.00
timesteps=28816 - 30480, avg episodic return=8.57
timesteps=29840 - 29840, avg episodic return=10.00
timesteps=29072 - 29968, avg episodic return=10.00
timesteps=32272 - 32528, avg episodic return=10.00
