## SLURM PROLOG ###############################################################
##    Job ID : 8517513
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2104
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 06:49:32 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4112 - 4112, avg episodic return=10.00
timesteps=7952 - 7952, avg episodic return=0.00
timesteps=7568 - 7568, avg episodic return=-30.00
timesteps=6544 - 6544, avg episodic return=30.00
timesteps=10128 - 10128, avg episodic return=0.00
timesteps=10256 - 10256, avg episodic return=0.00
timesteps=12688 - 13584, avg episodic return=15.00
timesteps=13328 - 13328, avg episodic return=10.00
timesteps=15120 - 15120, avg episodic return=20.00
timesteps=14864 - 14864, avg episodic return=-10.00
timesteps=14608 - 14608, avg episodic return=20.00
timesteps=16144 - 16144, avg episodic return=0.00
timesteps=16400 - 18064, avg episodic return=0.00
timesteps=18192 - 18192, avg episodic return=10.00
timesteps=20112 - 20112, avg episodic return=10.00
timesteps=22288 - 22288, avg episodic return=10.00
timesteps=23056 - 23056, avg episodic return=10.00
timesteps=23184 - 23184, avg episodic return=20.00
timesteps=26256 - 26384, avg episodic return=10.00
timesteps=24720 - 24720, avg episodic return=10.00
timesteps=24720 - 24720, avg episodic return=10.00
timesteps=24720 - 24720, avg episodic return=10.00
timesteps=26768 - 26768, avg episodic return=0.00
timesteps=29072 - 29072, avg episodic return=-10.00
timesteps=32528 - 32528, avg episodic return=10.00
timesteps=31632 - 31632, avg episodic return=10.00
timesteps=33552 - 33552, avg episodic return=10.00
timesteps=34064 - 34064, avg episodic return=10.00
timesteps=35088 - 36496, avg episodic return=5.00
timesteps=38032 - 38032, avg episodic return=10.00
timesteps=38032 - 38032, avg episodic return=20.00
timesteps=39184 - 39952, avg episodic return=10.00
timesteps=39824 - 39824, avg episodic return=10.00
timesteps=40080 - 40720, avg episodic return=-10.00
timesteps=41360 - 41360, avg episodic return=10.00
timesteps=41872 - 41872, avg episodic return=10.00
