## SLURM PROLOG ###############################################################
##    Job ID : 8517515
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 06:49:43 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=4624 - 4624, avg episodic return=10.00
timesteps=10384 - 10768, avg episodic return=10.00
timesteps=11024 - 11024, avg episodic return=-20.00
timesteps=14096 - 14096, avg episodic return=0.00
timesteps=15888 - 15888, avg episodic return=15.00
timesteps=15632 - 16144, avg episodic return=10.00
timesteps=14864 - 15120, avg episodic return=10.00
timesteps=18320 - 18320, avg episodic return=10.00
timesteps=16656 - 18320, avg episodic return=10.00
timesteps=17808 - 18192, avg episodic return=15.00
timesteps=18704 - 19472, avg episodic return=10.00
timesteps=21136 - 21136, avg episodic return=10.00
timesteps=21008 - 21776, avg episodic return=5.00
timesteps=22672 - 23824, avg episodic return=15.00
timesteps=24464 - 24464, avg episodic return=10.00
timesteps=25744 - 26000, avg episodic return=10.00
timesteps=24848 - 24848, avg episodic return=10.00
timesteps=26768 - 28560, avg episodic return=10.00
timesteps=27664 - 28304, avg episodic return=10.00
timesteps=27408 - 28432, avg episodic return=10.00
timesteps=26896 - 26896, avg episodic return=0.00
timesteps=29456 - 29456, avg episodic return=10.00
timesteps=29456 - 30608, avg episodic return=10.00
timesteps=28944 - 29456, avg episodic return=15.00
timesteps=29584 - 29584, avg episodic return=-20.00
timesteps=32144 - 32144, avg episodic return=10.00
timesteps=30736 - 31376, avg episodic return=6.00
timesteps=31120 - 32400, avg episodic return=10.00
timesteps=31632 - 31632, avg episodic return=10.00
timesteps=33680 - 33936, avg episodic return=10.00
timesteps=32912 - 34704, avg episodic return=11.00
timesteps=33424 - 33680, avg episodic return=0.00
timesteps=32912 - 32912, avg episodic return=10.00
timesteps=34832 - 34832, avg episodic return=30.00
timesteps=34832 - 36752, avg episodic return=10.59
timesteps=35216 - 35216, avg episodic return=20.00
