## SLURM PROLOG ###############################################################
##    Job ID : 8517530
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:29:40 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=8720 - 8720, avg episodic return=10.00
timesteps=12816 - 12816, avg episodic return=-20.00
timesteps=14864 - 14864, avg episodic return=0.00
timesteps=14352 - 14352, avg episodic return=10.00
timesteps=17808 - 17808, avg episodic return=20.00
timesteps=20112 - 20112, avg episodic return=0.00
timesteps=19088 - 19088, avg episodic return=-20.00
timesteps=21264 - 21264, avg episodic return=10.00
timesteps=25744 - 25744, avg episodic return=-10.00
timesteps=27792 - 27792, avg episodic return=-10.00
timesteps=28176 - 28176, avg episodic return=10.00
timesteps=32016 - 32016, avg episodic return=-20.00
timesteps=33040 - 33424, avg episodic return=-5.00
timesteps=38672 - 38672, avg episodic return=10.00
timesteps=38672 - 38672, avg episodic return=10.00
timesteps=38416 - 38416, avg episodic return=10.00
timesteps=40976 - 40976, avg episodic return=-20.00
timesteps=41360 - 41744, avg episodic return=20.00
timesteps=45968 - 45968, avg episodic return=-40.00
timesteps=46352 - 46352, avg episodic return=-30.00
timesteps=45968 - 45968, avg episodic return=-10.00
timesteps=47888 - 47888, avg episodic return=-140.00
timesteps=47632 - 47632, avg episodic return=-90.00
timesteps=47120 - 47120, avg episodic return=10.00
timesteps=49168 - 49168, avg episodic return=10.00
timesteps=49424 - 49424, avg episodic return=20.00
timesteps=54416 - 54672, avg episodic return=-10.00
timesteps=56336 - 56336, avg episodic return=-10.00
timesteps=56592 - 56592, avg episodic return=-50.00
timesteps=61200 - 61200, avg episodic return=20.00
timesteps=64784 - 64784, avg episodic return=10.00
timesteps=66192 - 66192, avg episodic return=-20.00
timesteps=66832 - 66832, avg episodic return=30.00
timesteps=69008 - 69008, avg episodic return=0.00
timesteps=70032 - 70032, avg episodic return=-10.00
