timesteps=420 - 420, avg discounted return=1.41
timesteps=132 - 404, avg discounted return=2.18
timesteps=484 - 484, avg discounted return=-0.03
timesteps=916 - 916, avg discounted return=-0.01
timesteps=708 - 708, avg discounted return=-0.02
timesteps=564 - 564, avg discounted return=-0.06
timesteps=884 - 884, avg discounted return=-0.05
timesteps=676 - 676, avg discounted return=0.74
timesteps=1092 - 1092, avg discounted return=1.20
timesteps=1748 - 1748, avg discounted return=0.14
timesteps=1812 - 1812, avg discounted return=-0.00
timesteps=1652 - 1652, avg discounted return=0.06
timesteps=1796 - 1796, avg discounted return=-0.03
timesteps=2516 - 2516, avg discounted return=0.33
timesteps=2164 - 2164, avg discounted return=-0.02
timesteps=2068 - 2132, avg discounted return=0.71
timesteps=2548 - 2548, avg discounted return=-0.05
timesteps=2564 - 2564, avg discounted return=0.18
timesteps=2692 - 2692, avg discounted return=1.07
timesteps=2948 - 2948, avg discounted return=-0.01
timesteps=2676 - 2676, avg discounted return=-0.01
timesteps=3524 - 3524, avg discounted return=-0.06
timesteps=3220 - 3220, avg discounted return=1.77
timesteps=3396 - 3396, avg discounted return=1.75
timesteps=3492 - 3492, avg discounted return=1.00
timesteps=3124 - 3124, avg discounted return=-0.00
timesteps=3300 - 3540, avg discounted return=0.44
timesteps=3092 - 3092, avg discounted return=2.65
timesteps=3124 - 3124, avg discounted return=0.25
timesteps=3812 - 3812, avg discounted return=0.01
timesteps=3588 - 3588, avg discounted return=0.22
timesteps=3700 - 4052, avg discounted return=1.05
timesteps=3668 - 3668, avg discounted return=1.17
timesteps=3668 - 3908, avg discounted return=0.36
timesteps=3668 - 3668, avg discounted return=-0.00
timesteps=4148 - 4468, avg discounted return=-0.00
timesteps=4324 - 4324, avg discounted return=0.04
timesteps=4116 - 4116, avg discounted return=1.42
timesteps=4468 - 4468, avg discounted return=2.44
timesteps=4132 - 4500, avg discounted return=0.73
timesteps=4196 - 4196, avg discounted return=-0.04
timesteps=4836 - 4948, avg discounted return=1.65
timesteps=4868 - 4868, avg discounted return=-0.03
timesteps=4868 - 5076, avg discounted return=1.18
timesteps=4644 - 4724, avg discounted return=0.93
timesteps=4788 - 4788, avg discounted return=-0.00
timesteps=4724 - 4996, avg discounted return=1.12
timesteps=4612 - 4612, avg discounted return=-0.05
timesteps=5476 - 5556, avg discounted return=0.23
timesteps=5124 - 5284, avg discounted return=1.09
timesteps=5364 - 5620, avg discounted return=0.14
timesteps=5252 - 5556, avg discounted return=1.05
timesteps=5412 - 5492, avg discounted return=0.49
timesteps=5188 - 5620, avg discounted return=0.67
timesteps=5380 - 5380, avg discounted return=-0.07
timesteps=5236 - 5236, avg discounted return=0.47
timesteps=5748 - 5908, avg discounted return=-0.05
timesteps=5812 - 5812, avg discounted return=-0.03
timesteps=5684 - 5716, avg discounted return=0.58
timesteps=5668 - 5940, avg discounted return=1.23
timesteps=5940 - 5940, avg discounted return=-0.02
timesteps=5796 - 5796, avg discounted return=2.60
timesteps=5636 - 5956, avg discounted return=0.70
timesteps=6644 - 6644, avg discounted return=0.89
timesteps=6196 - 6196, avg discounted return=1.08
timesteps=6356 - 6612, avg discounted return=0.93
timesteps=6500 - 6500, avg discounted return=2.76
timesteps=6228 - 6564, avg discounted return=1.52
timesteps=6772 - 7140, avg discounted return=1.14
timesteps=6676 - 6932, avg discounted return=-0.04
timesteps=6676 - 6676, avg discounted return=3.02
timesteps=6916 - 7076, avg discounted return=1.23
timesteps=6900 - 6900, avg discounted return=-0.02
timesteps=6676 - 7044, avg discounted return=1.39
timesteps=6884 - 7060, avg discounted return=1.44
timesteps=6756 - 7124, avg discounted return=0.91
timesteps=7476 - 7476, avg discounted return=2.08
timesteps=7620 - 7620, avg discounted return=-0.07
timesteps=7540 - 7540, avg discounted return=3.11
timesteps=7460 - 7460, avg discounted return=-0.00
timesteps=7380 - 7652, avg discounted return=1.47
timesteps=7620 - 7620, avg discounted return=2.87
timesteps=7284 - 7284, avg discounted return=1.69
timesteps=7204 - 7604, avg discounted return=0.93
timesteps=7268 - 7668, avg discounted return=1.40
timesteps=8180 - 8180, avg discounted return=2.52
timesteps=7748 - 8180, avg discounted return=0.86
timesteps=7732 - 7732, avg discounted return=0.16
timesteps=7716 - 8068, avg discounted return=1.04
timesteps=7684 - 8100, avg discounted return=2.35
timesteps=7940 - 8180, avg discounted return=0.58
timesteps=7684 - 8116, avg discounted return=1.46
timesteps=7684 - 8164, avg discounted return=0.35
timesteps=7876 - 8020, avg discounted return=0.21
timesteps=8276 - 8484, avg discounted return=1.61
timesteps=8228 - 8676, avg discounted return=1.94
timesteps=8500 - 8500, avg discounted return=-0.03
timesteps=8276 - 8468, avg discounted return=2.75
timesteps=8420 - 8580, avg discounted return=2.10
timesteps=8628 - 8628, avg discounted return=2.79
timesteps=8516 - 8660, avg discounted return=1.20
timesteps=8372 - 8660, avg discounted return=-0.08
timesteps=9012 - 9012, avg discounted return=-0.06
timesteps=9060 - 9188, avg discounted return=2.86
timesteps=8772 - 9140, avg discounted return=0.91
timesteps=8788 - 9188, avg discounted return=2.15
timesteps=8772 - 9140, avg discounted return=1.82
timesteps=8916 - 8964, avg discounted return=1.30
timesteps=9092 - 9092, avg discounted return=-0.07
timesteps=8772 - 9156, avg discounted return=1.00
timesteps=8980 - 9060, avg discounted return=1.52
timesteps=9524 - 9524, avg discounted return=-0.07
timesteps=9524 - 9652, avg discounted return=2.65
timesteps=9316 - 9572, avg discounted return=3.04
timesteps=9332 - 9700, avg discounted return=1.30
timesteps=9476 - 9652, avg discounted return=0.98
timesteps=9460 - 9716, avg discounted return=-0.06
timesteps=9220 - 9428, avg discounted return=1.57
timesteps=9236 - 9668, avg discounted return=2.77
timesteps=9428 - 9604, avg discounted return=2.74
timesteps=9780 - 10084, avg discounted return=1.02
timesteps=9828 - 10004, avg discounted return=1.24
timesteps=9748 - 10212, avg discounted return=2.55
timesteps=9732 - 10228, avg discounted return=0.55
timesteps=9732 - 10212, avg discounted return=1.36
timesteps=9844 - 10148, avg discounted return=1.30
timesteps=9828 - 10180, avg discounted return=0.65
timesteps=9956 - 10020, avg discounted return=-0.08
timesteps=10100 - 10100, avg discounted return=2.84
timesteps=10324 - 10324, avg discounted return=-0.07
timesteps=10292 - 10676, avg discounted return=0.47
timesteps=10244 - 10676, avg discounted return=2.54
timesteps=10644 - 10644, avg discounted return=1.70
timesteps=10420 - 10628, avg discounted return=0.79
timesteps=10292 - 10676, avg discounted return=1.51
timesteps=10276 - 10452, avg discounted return=2.54
timesteps=10612 - 10676, avg discounted return=-0.07
timesteps=10276 - 10532, avg discounted return=1.20
timesteps=10244 - 10708, avg discounted return=1.81
timesteps=10756 - 11220, avg discounted return=0.74
timesteps=11140 - 11140, avg discounted return=1.13
timesteps=10788 - 11092, avg discounted return=1.67
timesteps=11108 - 11252, avg discounted return=1.48
timesteps=10756 - 11140, avg discounted return=2.44
timesteps=10868 - 11252, avg discounted return=2.37
timesteps=10932 - 10932, avg discounted return=1.66
timesteps=10932 - 11252, avg discounted return=2.02
timesteps=10804 - 11124, avg discounted return=0.76
timesteps=11044 - 11252, avg discounted return=2.85
timesteps=11364 - 11764, avg discounted return=0.66
timesteps=11268 - 11700, avg discounted return=2.00
timesteps=11412 - 11732, avg discounted return=0.71
timesteps=11348 - 11684, avg discounted return=1.06
timesteps=11412 - 11716, avg discounted return=1.57
timesteps=11652 - 11652, avg discounted return=3.27
timesteps=11460 - 11748, avg discounted return=1.72
timesteps=11364 - 11732, avg discounted return=1.95
timesteps=11652 - 11652, avg discounted return=-0.08
timesteps=12116 - 12228, avg discounted return=-0.08
timesteps=12100 - 12100, avg discounted return=3.02
timesteps=11796 - 12212, avg discounted return=2.43
timesteps=11940 - 11940, avg discounted return=-0.03
timesteps=11796 - 12276, avg discounted return=1.09
timesteps=12020 - 12260, avg discounted return=1.56
timesteps=11780 - 12228, avg discounted return=0.34
timesteps=11828 - 12244, avg discounted return=2.43
timesteps=11796 - 12196, avg discounted return=1.86
timesteps=11844 - 12260, avg discounted return=-0.07
timesteps=12292 - 12564, avg discounted return=1.28
timesteps=12388 - 12388, avg discounted return=-0.06
timesteps=12292 - 12692, avg discounted return=1.63
timesteps=12308 - 12564, avg discounted return=-0.07
timesteps=12404 - 12740, avg discounted return=0.81
timesteps=12356 - 12788, avg discounted return=1.87
timesteps=12356 - 12724, avg discounted return=1.38
timesteps=12308 - 12772, avg discounted return=1.30
timesteps=12404 - 12676, avg discounted return=0.49
timesteps=12868 - 13220, avg discounted return=1.02
timesteps=12852 - 13060, avg discounted return=1.96
timesteps=13092 - 13300, avg discounted return=1.38
timesteps=12884 - 13140, avg discounted return=0.91
timesteps=13028 - 13284, avg discounted return=1.04
timesteps=12804 - 13300, avg discounted return=0.91
timesteps=13156 - 13204, avg discounted return=3.11
timesteps=12804 - 13268, avg discounted return=1.49
timesteps=12804 - 13252, avg discounted return=1.35
timesteps=13316 - 13668, avg discounted return=2.78
timesteps=13332 - 13572, avg discounted return=0.60
timesteps=13316 - 13796, avg discounted return=1.06
timesteps=13588 - 13764, avg discounted return=1.20
timesteps=13444 - 13764, avg discounted return=2.22
timesteps=13444 - 13732, avg discounted return=1.52
timesteps=13316 - 13764, avg discounted return=1.76
timesteps=13396 - 13780, avg discounted return=0.80
timesteps=13364 - 13796, avg discounted return=2.78
timesteps=13460 - 13748, avg discounted return=1.04
timesteps=13908 - 14324, avg discounted return=1.81
timesteps=14228 - 14260, avg discounted return=1.39
timesteps=13876 - 14100, avg discounted return=1.84
timesteps=14116 - 14116, avg discounted return=1.57
timesteps=13828 - 14324, avg discounted return=1.99
timesteps=13892 - 14324, avg discounted return=1.98
timesteps=13828 - 14260, avg discounted return=3.03
timesteps=13876 - 14100, avg discounted return=2.66
timesteps=13844 - 14324, avg discounted return=1.93
timesteps=13892 - 14308, avg discounted return=2.03
timesteps=14452 - 14788, avg discounted return=1.66
timesteps=14612 - 14836, avg discounted return=1.09
timesteps=14516 - 14804, avg discounted return=1.96
timesteps=14484 - 14676, avg discounted return=-0.06
timesteps=14340 - 14692, avg discounted return=2.33
timesteps=14484 - 14836, avg discounted return=1.03
timesteps=14356 - 14820, avg discounted return=1.79
timesteps=14356 - 14820, avg discounted return=2.58
timesteps=14404 - 14820, avg discounted return=1.91
timesteps=14548 - 14756, avg discounted return=1.85
timesteps=14868 - 15332, avg discounted return=2.63
timesteps=14884 - 15348, avg discounted return=2.00
timesteps=14868 - 15316, avg discounted return=0.73
timesteps=14852 - 15092, avg discounted return=2.56
timesteps=14932 - 15332, avg discounted return=1.56
timesteps=14948 - 15300, avg discounted return=1.74
timesteps=14932 - 15300, avg discounted return=0.58
timesteps=14852 - 15300, avg discounted return=1.48
timesteps=14868 - 15220, avg discounted return=2.48
timesteps=14852 - 15204, avg discounted return=1.50
timesteps=15364 - 15764, avg discounted return=1.08
timesteps=15492 - 15764, avg discounted return=1.32
timesteps=15380 - 15844, avg discounted return=3.01
timesteps=15556 - 15796, avg discounted return=1.38
timesteps=15428 - 15764, avg discounted return=2.10
timesteps=15380 - 15844, avg discounted return=2.60
timesteps=15508 - 15780, avg discounted return=1.44
timesteps=15380 - 15796, avg discounted return=0.95
timesteps=15412 - 15732, avg discounted return=1.91
timesteps=15380 - 15540, avg discounted return=3.21
timesteps=16036 - 16372, avg discounted return=2.35
timesteps=16228 - 16228, avg discounted return=-0.07
timesteps=15892 - 16372, avg discounted return=2.06
timesteps=15924 - 16196, avg discounted return=3.01
timesteps=15924 - 16196, avg discounted return=0.95
timesteps=15876 - 16180, avg discounted return=1.78
timesteps=15908 - 16356, avg discounted return=1.20
timesteps=15876 - 16260, avg discounted return=2.07
timesteps=15956 - 16308, avg discounted return=1.68
timesteps=15988 - 16148, avg discounted return=1.79
timesteps=16420 - 16868, avg discounted return=1.05
timesteps=16548 - 16804, avg discounted return=0.90
timesteps=16452 - 16740, avg discounted return=0.91
timesteps=16404 - 16804, avg discounted return=0.40
timesteps=16436 - 16756, avg discounted return=1.22
timesteps=16420 - 16628, avg discounted return=3.17
timesteps=16452 - 16836, avg discounted return=1.08
timesteps=16404 - 16884, avg discounted return=2.23
timesteps=16420 - 16852, avg discounted return=1.51
timesteps=16468 - 16772, avg discounted return=0.61
timesteps=17188 - 17380, avg discounted return=2.05
timesteps=17092 - 17252, avg discounted return=1.79
timesteps=16948 - 17380, avg discounted return=1.35
timesteps=17108 - 17316, avg discounted return=2.93
timesteps=17028 - 17252, avg discounted return=2.40
timesteps=16900 - 17284, avg discounted return=0.92
timesteps=16900 - 17300, avg discounted return=1.40
timesteps=16964 - 17380, avg discounted return=2.64
timesteps=16964 - 17380, avg discounted return=0.70
timesteps=17348 - 17348, avg discounted return=2.96
timesteps=17460 - 17876, avg discounted return=1.56
timesteps=17428 - 17780, avg discounted return=1.64
timesteps=17412 - 17780, avg discounted return=3.10
timesteps=17412 - 17892, avg discounted return=2.17
timesteps=17460 - 17844, avg discounted return=1.22
timesteps=17524 - 17860, avg discounted return=2.31
timesteps=17412 - 17828, avg discounted return=0.70
timesteps=17476 - 17796, avg discounted return=0.73
timesteps=17444 - 17876, avg discounted return=2.15
timesteps=17492 - 17876, avg discounted return=1.47
timesteps=17956 - 18244, avg discounted return=1.29
timesteps=18052 - 18292, avg discounted return=1.53
timesteps=17940 - 18308, avg discounted return=1.95
timesteps=18084 - 18324, avg discounted return=1.69
timesteps=18164 - 18308, avg discounted return=-0.08
timesteps=17972 - 18372, avg discounted return=1.49
timesteps=17924 - 18404, avg discounted return=0.89
timesteps=17956 - 18404, avg discounted return=0.52
timesteps=17972 - 18420, avg discounted return=1.60
timesteps=18004 - 18388, avg discounted return=1.84
timesteps=18452 - 18740, avg discounted return=0.75
timesteps=18580 - 18756, avg discounted return=1.53
timesteps=18484 - 18644, avg discounted return=-0.08
timesteps=18548 - 18900, avg discounted return=1.78
timesteps=18740 - 18740, avg discounted return=-0.08
timesteps=18628 - 18900, avg discounted return=2.07
timesteps=18484 - 18916, avg discounted return=2.33
timesteps=18452 - 18932, avg discounted return=1.43
timesteps=18916 - 18916, avg discounted return=3.41
timesteps=18484 - 18916, avg discounted return=2.81
timesteps=19076 - 19444, avg discounted return=1.61
timesteps=18980 - 19316, avg discounted return=2.28
timesteps=18964 - 19268, avg discounted return=1.18
timesteps=18948 - 19188, avg discounted return=0.91
timesteps=18980 - 19284, avg discounted return=2.18
timesteps=19044 - 19364, avg discounted return=1.48
timesteps=18980 - 19364, avg discounted return=1.82
timesteps=18980 - 19396, avg discounted return=1.32
timesteps=19092 - 19412, avg discounted return=2.20
timesteps=18948 - 19444, avg discounted return=2.88
timesteps=19476 - 19956, avg discounted return=1.78
timesteps=19492 - 19748, avg discounted return=3.12
timesteps=19460 - 19796, avg discounted return=1.47
timesteps=19492 - 19780, avg discounted return=2.63
timesteps=19716 - 19956, avg discounted return=2.20
timesteps=19524 - 19908, avg discounted return=1.11
timesteps=19508 - 19956, avg discounted return=1.65
timesteps=19540 - 19956, avg discounted return=2.06
timesteps=19460 - 19876, avg discounted return=0.51
timesteps=19556 - 19796, avg discounted return=2.96
timesteps=20068 - 20420, avg discounted return=3.16
timesteps=20052 - 20356, avg discounted return=1.96
timesteps=20100 - 20436, avg discounted return=2.40
timesteps=20036 - 20372, avg discounted return=1.07
timesteps=20116 - 20436, avg discounted return=1.15
timesteps=20196 - 20452, avg discounted return=0.71
timesteps=20004 - 20388, avg discounted return=1.05
timesteps=20004 - 20340, avg discounted return=2.26
timesteps=19972 - 20356, avg discounted return=1.85
timesteps=20068 - 20372, avg discounted return=2.77
timesteps=20516 - 20948, avg discounted return=2.08
timesteps=20500 - 20724, avg discounted return=1.51
timesteps=20500 - 20964, avg discounted return=1.02
timesteps=20644 - 20772, avg discounted return=3.26
timesteps=20660 - 20932, avg discounted return=3.08
timesteps=20532 - 20788, avg discounted return=3.21
timesteps=20484 - 20948, avg discounted return=1.25
timesteps=20484 - 20868, avg discounted return=1.83
timesteps=20516 - 20772, avg discounted return=2.05
timesteps=20612 - 20932, avg discounted return=2.06
timesteps=20996 - 21492, avg discounted return=0.70
timesteps=21044 - 21380, avg discounted return=3.16
timesteps=21076 - 21444, avg discounted return=1.81
timesteps=21284 - 21284, avg discounted return=-0.08
timesteps=21124 - 21460, avg discounted return=0.56
timesteps=21028 - 21492, avg discounted return=1.14
timesteps=20996 - 21428, avg discounted return=1.85
timesteps=21124 - 21428, avg discounted return=2.09
timesteps=21124 - 21380, avg discounted return=0.76
timesteps=21588 - 21764, avg discounted return=2.44
timesteps=21524 - 21796, avg discounted return=3.16
timesteps=21620 - 21748, avg discounted return=3.12
timesteps=21572 - 21892, avg discounted return=0.72
timesteps=21524 - 21972, avg discounted return=1.93
timesteps=21508 - 21988, avg discounted return=2.48
timesteps=21508 - 22004, avg discounted return=2.27
timesteps=21556 - 21908, avg discounted return=1.61
timesteps=21620 - 22004, avg discounted return=1.09
timesteps=21812 - 21988, avg discounted return=2.25
timesteps=22036 - 22436, avg discounted return=0.75
timesteps=22020 - 22148, avg discounted return=-0.08
timesteps=22036 - 22436, avg discounted return=2.71
timesteps=22036 - 22372, avg discounted return=0.66
timesteps=22100 - 22436, avg discounted return=1.74
timesteps=22068 - 22484, avg discounted return=2.38
timesteps=22068 - 22452, avg discounted return=1.81
timesteps=22020 - 22484, avg discounted return=1.43
timesteps=22084 - 22484, avg discounted return=0.51
timesteps=22068 - 22420, avg discounted return=2.15
timesteps=22580 - 22996, avg discounted return=3.41
timesteps=22932 - 22932, avg discounted return=-0.08
timesteps=22548 - 23012, avg discounted return=1.05
timesteps=22692 - 22836, avg discounted return=1.60
timesteps=22724 - 22916, avg discounted return=2.70
timesteps=22644 - 22996, avg discounted return=0.78
timesteps=22532 - 22964, avg discounted return=1.85
timesteps=22644 - 22980, avg discounted return=2.46
timesteps=22676 - 23012, avg discounted return=2.84
timesteps=22596 - 22980, avg discounted return=2.68
timesteps=23204 - 23524, avg discounted return=1.60
timesteps=23044 - 23316, avg discounted return=1.52
timesteps=23060 - 23236, avg discounted return=-0.08
timesteps=23092 - 23508, avg discounted return=2.12
timesteps=23108 - 23460, avg discounted return=1.60
timesteps=23204 - 23412, avg discounted return=2.51
timesteps=23092 - 23540, avg discounted return=2.24
timesteps=23204 - 23524, avg discounted return=2.47
timesteps=23108 - 23412, avg discounted return=3.41
timesteps=23268 - 23460, avg discounted return=2.32
timesteps=23556 - 23940, avg discounted return=1.62
timesteps=23652 - 23940, avg discounted return=1.30
timesteps=23684 - 24020, avg discounted return=1.97
timesteps=23652 - 23956, avg discounted return=1.89
timesteps=23604 - 23908, avg discounted return=0.80
timesteps=23556 - 24004, avg discounted return=2.22
timesteps=23716 - 24020, avg discounted return=1.05
timesteps=23716 - 24020, avg discounted return=1.91
timesteps=23572 - 23956, avg discounted return=2.47
timesteps=23556 - 24004, avg discounted return=2.80
timesteps=24148 - 24452, avg discounted return=1.04
timesteps=24084 - 24564, avg discounted return=2.24
timesteps=24084 - 24372, avg discounted return=1.56
timesteps=24148 - 24548, avg discounted return=1.50
timesteps=24084 - 24564, avg discounted return=1.39
timesteps=24148 - 24564, avg discounted return=2.49
timesteps=24180 - 24548, avg discounted return=1.69
timesteps=24084 - 24420, avg discounted return=3.22
timesteps=24164 - 24436, avg discounted return=0.75
timesteps=24084 - 24532, avg discounted return=2.96
timesteps=24612 - 25044, avg discounted return=2.75
timesteps=24660 - 24820, avg discounted return=2.22
timesteps=24644 - 24996, avg discounted return=1.40
timesteps=24612 - 24804, avg discounted return=1.51
timesteps=24692 - 24996, avg discounted return=0.97
timesteps=24692 - 24884, avg discounted return=2.11
timesteps=24628 - 25012, avg discounted return=1.60
timesteps=24740 - 24740, avg discounted return=-0.08
timesteps=24660 - 25028, avg discounted return=1.67
timesteps=24628 - 25060, avg discounted return=2.89
timesteps=25108 - 25476, avg discounted return=3.30
timesteps=25140 - 25588, avg discounted return=0.74
timesteps=25236 - 25588, avg discounted return=3.37
timesteps=25092 - 25588, avg discounted return=2.07
timesteps=25156 - 25428, avg discounted return=0.67
timesteps=25092 - 25236, avg discounted return=1.66
timesteps=25108 - 25540, avg discounted return=1.07
timesteps=25220 - 25508, avg discounted return=1.95
timesteps=25172 - 25540, avg discounted return=3.12
timesteps=25108 - 25236, avg discounted return=3.42
