## SLURM PROLOG ###############################################################
##    Job ID : 8517519
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:07:23 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3984 - 3984, avg episodic return=10.00
timesteps=5008 - 6032, avg episodic return=0.00
timesteps=7056 - 7824, avg episodic return=7.50
timesteps=7568 - 8080, avg episodic return=15.00
timesteps=9232 - 9872, avg episodic return=6.67
timesteps=9488 - 9488, avg episodic return=30.00
timesteps=10768 - 12176, avg episodic return=12.50
timesteps=10512 - 10640, avg episodic return=10.00
timesteps=10640 - 10640, avg episodic return=10.00
timesteps=13456 - 13456, avg episodic return=10.00
timesteps=12304 - 12304, avg episodic return=10.00
timesteps=12944 - 12944, avg episodic return=-10.00
timesteps=14992 - 15248, avg episodic return=10.00
timesteps=16016 - 16272, avg episodic return=15.00
timesteps=14608 - 14608, avg episodic return=0.00
timesteps=14992 - 15120, avg episodic return=10.00
timesteps=18192 - 18192, avg episodic return=-10.00
timesteps=16528 - 18192, avg episodic return=10.00
timesteps=20240 - 20240, avg episodic return=10.00
timesteps=21392 - 21392, avg episodic return=10.00
timesteps=20880 - 20880, avg episodic return=10.00
timesteps=23696 - 23696, avg episodic return=10.00
timesteps=26768 - 26768, avg episodic return=10.00
timesteps=28048 - 28048, avg episodic return=10.00
timesteps=30352 - 30352, avg episodic return=10.00
timesteps=30224 - 30224, avg episodic return=20.00
timesteps=31632 - 31632, avg episodic return=-90.00
timesteps=32144 - 32144, avg episodic return=20.00
timesteps=30736 - 32656, avg episodic return=10.00
timesteps=32912 - 33552, avg episodic return=5.00
timesteps=35472 - 36240, avg episodic return=15.00
timesteps=35984 - 35984, avg episodic return=10.00
timesteps=40464 - 40464, avg episodic return=10.00
timesteps=42512 - 42512, avg episodic return=10.00
timesteps=41360 - 42768, avg episodic return=10.00
timesteps=43920 - 44816, avg episodic return=10.00
timesteps=43408 - 43408, avg episodic return=10.00
