## SLURM PROLOG ###############################################################
##    Job ID : 8516920
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2108
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:32:23 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=-0.90
timesteps=33024 - 48384, avg episodic return=0.77
timesteps=48384 - 48384, avg episodic return=-0.90
timesteps=64768 - 64768, avg episodic return=0.10
timesteps=59648 - 59648, avg episodic return=0.10
timesteps=54528 - 64768, avg episodic return=2.10
timesteps=70912 - 81152, avg episodic return=1.60
timesteps=70912 - 76032, avg episodic return=0.77
timesteps=76032 - 76032, avg episodic return=0.10
timesteps=87296 - 92416, avg episodic return=2.10
timesteps=82176 - 97536, avg episodic return=1.35
timesteps=82176 - 97536, avg episodic return=1.60
timesteps=98560 - 108800, avg episodic return=1.53
timesteps=98560 - 113920, avg episodic return=2.23
timesteps=98560 - 98560, avg episodic return=3.10
timesteps=114944 - 125184, avg episodic return=1.70
timesteps=114944 - 130304, avg episodic return=0.90
timesteps=125184 - 125184, avg episodic return=-0.90
timesteps=131328 - 136448, avg episodic return=1.35
timesteps=131328 - 146688, avg episodic return=1.96
timesteps=136448 - 146688, avg episodic return=3.60
timesteps=147712 - 157952, avg episodic return=1.10
timesteps=147712 - 163072, avg episodic return=2.47
timesteps=157952 - 163072, avg episodic return=3.10
timesteps=164096 - 179456, avg episodic return=2.60
timesteps=164096 - 174336, avg episodic return=2.50
timesteps=164096 - 179456, avg episodic return=2.10
timesteps=185600 - 195840, avg episodic return=3.10
timesteps=180480 - 195840, avg episodic return=2.30
timesteps=180480 - 180480, avg episodic return=2.10
timesteps=201984 - 207104, avg episodic return=2.10
timesteps=196864 - 207104, avg episodic return=2.60
timesteps=207104 - 212224, avg episodic return=2.10
timesteps=213248 - 228608, avg episodic return=3.10
timesteps=218368 - 223488, avg episodic return=3.10
timesteps=213248 - 228608, avg episodic return=2.43
timesteps=229632 - 239872, avg episodic return=2.77
timesteps=229632 - 229632, avg episodic return=2.60
timesteps=229632 - 244992, avg episodic return=3.10
timesteps=256256 - 261376, avg episodic return=1.85
timesteps=246016 - 261376, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=3.90
timesteps=267520 - 267520, avg episodic return=4.60
timesteps=272640 - 272640, avg episodic return=3.10
timesteps=278784 - 294144, avg episodic return=3.43
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=283904 - 289024, avg episodic return=4.10
timesteps=295168 - 310528, avg episodic return=1.60
timesteps=295168 - 310528, avg episodic return=4.10
timesteps=295168 - 310528, avg episodic return=3.60
