## SLURM PROLOG ###############################################################
##    Job ID : 8517525
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2105
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:49 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=8720 - 8720, avg episodic return=0.00
timesteps=10384 - 11920, avg episodic return=10.00
timesteps=12816 - 12816, avg episodic return=10.00
timesteps=14608 - 14608, avg episodic return=-10.00
timesteps=14992 - 15888, avg episodic return=-5.00
timesteps=17808 - 17808, avg episodic return=10.00
timesteps=16400 - 16400, avg episodic return=10.00
timesteps=18320 - 18320, avg episodic return=-10.00
timesteps=17936 - 17936, avg episodic return=10.00
timesteps=17680 - 17808, avg episodic return=-15.00
timesteps=19472 - 19472, avg episodic return=10.00
timesteps=18576 - 18960, avg episodic return=10.00
timesteps=19984 - 19984, avg episodic return=10.00
timesteps=21776 - 21776, avg episodic return=20.00
timesteps=20752 - 20752, avg episodic return=20.00
timesteps=22928 - 23568, avg episodic return=0.00
timesteps=22544 - 24080, avg episodic return=12.50
timesteps=22544 - 24208, avg episodic return=6.67
timesteps=24720 - 26512, avg episodic return=10.00
timesteps=25744 - 25744, avg episodic return=10.00
timesteps=24976 - 25616, avg episodic return=10.00
timesteps=24976 - 25104, avg episodic return=0.00
timesteps=27280 - 28560, avg episodic return=10.00
timesteps=27408 - 27408, avg episodic return=10.00
timesteps=27024 - 28432, avg episodic return=10.00
timesteps=27024 - 28560, avg episodic return=15.00
timesteps=29072 - 30480, avg episodic return=10.00
timesteps=29584 - 30352, avg episodic return=8.00
timesteps=29584 - 29584, avg episodic return=-10.00
timesteps=28944 - 30352, avg episodic return=10.00
timesteps=29200 - 30352, avg episodic return=10.00
timesteps=31120 - 31888, avg episodic return=10.00
timesteps=30864 - 32656, avg episodic return=8.57
timesteps=32400 - 32400, avg episodic return=20.00
timesteps=30864 - 32656, avg episodic return=10.00
