## SLURM PROLOG ###############################################################
##    Job ID : 8517573
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:54:33 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1576 - 1576, avg episodic return=10.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=2216 - 2472, avg episodic return=15.00
timesteps=2600 - 2600, avg episodic return=-10.00
timesteps=2952 - 2952, avg episodic return=0.00
timesteps=2088 - 2568, avg episodic return=5.00
timesteps=2792 - 2792, avg episodic return=10.00
timesteps=3080 - 3848, avg episodic return=8.33
timesteps=4072 - 4072, avg episodic return=20.00
timesteps=3592 - 4040, avg episodic return=13.33
timesteps=4040 - 4040, avg episodic return=0.00
timesteps=3464 - 3752, avg episodic return=10.00
timesteps=4200 - 4840, avg episodic return=10.00
timesteps=4808 - 4808, avg episodic return=20.00
timesteps=4520 - 4520, avg episodic return=0.00
timesteps=4232 - 4744, avg episodic return=7.50
timesteps=4136 - 5000, avg episodic return=11.43
timesteps=5320 - 6056, avg episodic return=4.44
timesteps=5352 - 5960, avg episodic return=13.33
timesteps=5128 - 6120, avg episodic return=10.00
timesteps=5672 - 5672, avg episodic return=10.00
timesteps=5160 - 6120, avg episodic return=11.25
timesteps=6344 - 7016, avg episodic return=10.00
timesteps=6152 - 7016, avg episodic return=10.00
timesteps=6280 - 6728, avg episodic return=10.00
timesteps=6280 - 6728, avg episodic return=10.00
timesteps=6408 - 7048, avg episodic return=8.00
timesteps=7240 - 8040, avg episodic return=14.00
timesteps=7176 - 8168, avg episodic return=10.91
timesteps=7272 - 7944, avg episodic return=5.00
timesteps=7208 - 8008, avg episodic return=10.00
timesteps=7176 - 8136, avg episodic return=8.57
timesteps=8200 - 9064, avg episodic return=6.25
timesteps=8456 - 9096, avg episodic return=10.00
timesteps=8328 - 8936, avg episodic return=8.00
timesteps=8328 - 9192, avg episodic return=10.00
timesteps=8264 - 8776, avg episodic return=10.00
timesteps=9256 - 10216, avg episodic return=8.75
timesteps=9256 - 10152, avg episodic return=10.00
timesteps=9704 - 10120, avg episodic return=10.00
timesteps=9224 - 10184, avg episodic return=9.00
timesteps=9224 - 10152, avg episodic return=12.22
timesteps=10280 - 11112, avg episodic return=9.38
timesteps=10344 - 11240, avg episodic return=10.00
timesteps=10312 - 11080, avg episodic return=10.00
timesteps=10376 - 11208, avg episodic return=10.00
timesteps=10344 - 11208, avg episodic return=9.09
timesteps=11368 - 12168, avg episodic return=11.67
timesteps=11624 - 11912, avg episodic return=7.50
timesteps=11688 - 12136, avg episodic return=10.00
timesteps=11336 - 12104, avg episodic return=10.00
timesteps=11304 - 12264, avg episodic return=10.83
timesteps=12392 - 13288, avg episodic return=9.23
timesteps=12328 - 13288, avg episodic return=11.33
timesteps=12328 - 13256, avg episodic return=9.23
timesteps=12328 - 13224, avg episodic return=9.17
timesteps=12296 - 13256, avg episodic return=10.00
timesteps=13352 - 14248, avg episodic return=7.50
timesteps=13512 - 14184, avg episodic return=10.00
timesteps=13320 - 14152, avg episodic return=9.29
timesteps=13320 - 14312, avg episodic return=10.00
timesteps=13320 - 14248, avg episodic return=10.00
timesteps=14728 - 15336, avg episodic return=10.00
timesteps=14344 - 15304, avg episodic return=10.00
timesteps=14376 - 15272, avg episodic return=10.00
timesteps=14664 - 15336, avg episodic return=8.46
timesteps=14440 - 15208, avg episodic return=10.00
timesteps=15368 - 16232, avg episodic return=10.00
timesteps=15464 - 16296, avg episodic return=10.00
timesteps=15464 - 16296, avg episodic return=7.78
timesteps=15432 - 16264, avg episodic return=10.00
timesteps=15400 - 16360, avg episodic return=9.33
timesteps=16424 - 17352, avg episodic return=10.00
timesteps=16424 - 17096, avg episodic return=10.00
timesteps=16424 - 17384, avg episodic return=10.00
timesteps=16392 - 17384, avg episodic return=9.09
timesteps=16392 - 17320, avg episodic return=10.71
timesteps=17544 - 18408, avg episodic return=9.17
timesteps=17480 - 18312, avg episodic return=10.00
timesteps=17480 - 18376, avg episodic return=10.00
timesteps=17416 - 18280, avg episodic return=10.00
timesteps=17608 - 18408, avg episodic return=10.00
timesteps=18472 - 19304, avg episodic return=10.00
timesteps=18440 - 19432, avg episodic return=8.57
timesteps=18472 - 19432, avg episodic return=9.33
timesteps=18568 - 19432, avg episodic return=10.00
timesteps=18440 - 19432, avg episodic return=10.43
timesteps=19944 - 20456, avg episodic return=10.00
timesteps=19464 - 20008, avg episodic return=10.00
timesteps=19560 - 20456, avg episodic return=11.00
timesteps=19688 - 20168, avg episodic return=10.00
timesteps=19560 - 20456, avg episodic return=10.00
