## SLURM PROLOG ###############################################################
##    Job ID : 8525509
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 02:37:55 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=1.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=26880 - 26880, avg episodic return=1.10
timesteps=48384 - 48384, avg episodic return=2.10
timesteps=33024 - 43264, avg episodic return=0.77
timesteps=43264 - 48384, avg episodic return=0.60
timesteps=49408 - 64768, avg episodic return=3.10
timesteps=49408 - 64768, avg episodic return=0.70
timesteps=49408 - 54528, avg episodic return=1.60
timesteps=70912 - 81152, avg episodic return=2.10
timesteps=65792 - 65792, avg episodic return=1.60
timesteps=65792 - 76032, avg episodic return=2.10
timesteps=82176 - 97536, avg episodic return=3.35
timesteps=82176 - 97536, avg episodic return=2.24
timesteps=87296 - 97536, avg episodic return=2.60
timesteps=98560 - 108800, avg episodic return=2.81
timesteps=98560 - 108800, avg episodic return=1.50
timesteps=114944 - 120064, avg episodic return=1.60
timesteps=125184 - 125184, avg episodic return=4.10
timesteps=114944 - 130304, avg episodic return=3.10
timesteps=141568 - 146688, avg episodic return=3.10
timesteps=131328 - 136448, avg episodic return=3.43
timesteps=146688 - 146688, avg episodic return=1.10
timesteps=147712 - 163072, avg episodic return=3.40
timesteps=152832 - 152832, avg episodic return=3.77
timesteps=147712 - 163072, avg episodic return=2.54
timesteps=164096 - 174336, avg episodic return=3.10
timesteps=169216 - 179456, avg episodic return=1.70
timesteps=169216 - 169216, avg episodic return=2.10
timesteps=180480 - 190720, avg episodic return=2.10
timesteps=180480 - 185600, avg episodic return=1.77
timesteps=180480 - 195840, avg episodic return=3.30
timesteps=196864 - 207104, avg episodic return=3.10
timesteps=201984 - 212224, avg episodic return=2.90
timesteps=196864 - 212224, avg episodic return=2.30
timesteps=213248 - 223488, avg episodic return=2.90
timesteps=213248 - 228608, avg episodic return=1.85
timesteps=213248 - 228608, avg episodic return=1.60
timesteps=229632 - 244992, avg episodic return=1.90
timesteps=229632 - 244992, avg episodic return=2.60
timesteps=234752 - 234752, avg episodic return=2.10
timesteps=251136 - 261376, avg episodic return=2.10
timesteps=256256 - 261376, avg episodic return=4.10
timesteps=256256 - 261376, avg episodic return=2.10
timesteps=267520 - 272640, avg episodic return=3.10
timesteps=262400 - 277760, avg episodic return=2.10
timesteps=262400 - 277760, avg episodic return=1.10
timesteps=278784 - 294144, avg episodic return=2.10
timesteps=278784 - 294144, avg episodic return=2.85
timesteps=278784 - 294144, avg episodic return=1.22
timesteps=300288 - 310528, avg episodic return=2.70
timesteps=295168 - 310528, avg episodic return=1.85
timesteps=311552 - 321792, avg episodic return=2.10
timesteps=311552 - 316672, avg episodic return=2.10
timesteps=311552 - 326912, avg episodic return=2.70
timesteps=338176 - 343296, avg episodic return=1.10
timesteps=333056 - 338176, avg episodic return=1.60
timesteps=333056 - 343296, avg episodic return=2.10
timesteps=344320 - 359680, avg episodic return=1.35
timesteps=344320 - 344320, avg episodic return=3.10
timesteps=359680 - 359680, avg episodic return=2.10
timesteps=365824 - 376064, avg episodic return=2.60
timesteps=360704 - 370944, avg episodic return=2.35
timesteps=360704 - 376064, avg episodic return=2.30
timesteps=382208 - 387328, avg episodic return=1.35
timesteps=382208 - 392448, avg episodic return=2.60
timesteps=392448 - 392448, avg episodic return=3.10
timesteps=393472 - 408832, avg episodic return=2.10
timesteps=393472 - 408832, avg episodic return=3.10
timesteps=393472 - 403712, avg episodic return=2.43
timesteps=414976 - 425216, avg episodic return=1.43
timesteps=409856 - 425216, avg episodic return=2.10
timesteps=409856 - 425216, avg episodic return=2.47
timesteps=426240 - 441600, avg episodic return=2.60
timesteps=441600 - 441600, avg episodic return=1.10
timesteps=436480 - 441600, avg episodic return=2.10
timesteps=442624 - 447744, avg episodic return=2.10
timesteps=442624 - 457984, avg episodic return=2.60
timesteps=447744 - 457984, avg episodic return=3.60
timesteps=469248 - 474368, avg episodic return=2.77
timesteps=459008 - 474368, avg episodic return=1.90
timesteps=459008 - 474368, avg episodic return=2.77
timesteps=475392 - 485632, avg episodic return=1.35
timesteps=490752 - 490752, avg episodic return=2.60
timesteps=485632 - 490752, avg episodic return=2.10
timesteps=496896 - 507136, avg episodic return=2.35
timesteps=502016 - 507136, avg episodic return=3.10
timesteps=491776 - 502016, avg episodic return=4.10
timesteps=508160 - 523520, avg episodic return=1.53
timesteps=508160 - 523520, avg episodic return=2.10
timesteps=508160 - 508160, avg episodic return=1.10
timesteps=524544 - 539904, avg episodic return=2.30
timesteps=524544 - 534784, avg episodic return=1.70
timesteps=524544 - 534784, avg episodic return=1.98
timesteps=540928 - 556288, avg episodic return=2.10
timesteps=546048 - 556288, avg episodic return=1.90
timesteps=540928 - 556288, avg episodic return=1.85
timesteps=562432 - 567552, avg episodic return=1.85
timesteps=557312 - 572672, avg episodic return=1.81
timesteps=557312 - 572672, avg episodic return=1.47
timesteps=573696 - 589056, avg episodic return=1.70
timesteps=573696 - 589056, avg episodic return=1.90
timesteps=573696 - 583936, avg episodic return=2.60
timesteps=590080 - 605440, avg episodic return=1.10
timesteps=590080 - 605440, avg episodic return=1.93
timesteps=590080 - 605440, avg episodic return=2.50
timesteps=611584 - 621824, avg episodic return=1.10
timesteps=606464 - 621824, avg episodic return=1.60
timesteps=611584 - 616704, avg episodic return=1.60
timesteps=622848 - 638208, avg episodic return=2.77
timesteps=622848 - 638208, avg episodic return=1.67
timesteps=622848 - 633088, avg episodic return=2.10
timesteps=639232 - 654592, avg episodic return=2.10
