## SLURM PROLOG ###############################################################
##    Job ID : 8516924
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:42:18 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=26880 - 32000, avg episodic return=0.10
timesteps=33024 - 43264, avg episodic return=1.60
timesteps=33024 - 48384, avg episodic return=1.85
timesteps=48384 - 48384, avg episodic return=1.60
timesteps=54528 - 64768, avg episodic return=0.35
timesteps=54528 - 54528, avg episodic return=1.10
timesteps=54528 - 64768, avg episodic return=1.60
timesteps=65792 - 81152, avg episodic return=1.35
timesteps=65792 - 70912, avg episodic return=1.35
timesteps=82176 - 97536, avg episodic return=1.70
timesteps=87296 - 97536, avg episodic return=2.85
timesteps=82176 - 92416, avg episodic return=2.10
timesteps=98560 - 113920, avg episodic return=2.90
timesteps=98560 - 103680, avg episodic return=3.10
timesteps=98560 - 103680, avg episodic return=0.60
timesteps=125184 - 130304, avg episodic return=2.60
timesteps=120064 - 130304, avg episodic return=2.85
timesteps=125184 - 130304, avg episodic return=3.60
timesteps=131328 - 141568, avg episodic return=1.85
timesteps=136448 - 141568, avg episodic return=3.10
timesteps=131328 - 146688, avg episodic return=2.10
timesteps=152832 - 163072, avg episodic return=2.10
timesteps=147712 - 163072, avg episodic return=3.10
timesteps=174336 - 179456, avg episodic return=2.60
timesteps=164096 - 179456, avg episodic return=3.77
timesteps=164096 - 179456, avg episodic return=4.60
timesteps=180480 - 195840, avg episodic return=3.70
timesteps=180480 - 190720, avg episodic return=2.50
timesteps=185600 - 195840, avg episodic return=3.77
timesteps=201984 - 212224, avg episodic return=3.43
timesteps=201984 - 212224, avg episodic return=2.85
timesteps=196864 - 207104, avg episodic return=2.60
timesteps=213248 - 228608, avg episodic return=2.50
timesteps=213248 - 223488, avg episodic return=3.10
timesteps=213248 - 228608, avg episodic return=3.77
timesteps=234752 - 244992, avg episodic return=4.10
timesteps=239872 - 239872, avg episodic return=2.10
timesteps=234752 - 244992, avg episodic return=3.77
timesteps=246016 - 261376, avg episodic return=2.85
timesteps=246016 - 261376, avg episodic return=3.85
timesteps=261376 - 261376, avg episodic return=3.10
timesteps=267520 - 277760, avg episodic return=3.60
timesteps=262400 - 277760, avg episodic return=4.43
timesteps=262400 - 277760, avg episodic return=3.66
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=278784 - 278784, avg episodic return=3.10
timesteps=289024 - 294144, avg episodic return=3.50
timesteps=295168 - 305408, avg episodic return=3.43
timesteps=295168 - 300288, avg episodic return=2.10
timesteps=300288 - 310528, avg episodic return=2.43
timesteps=311552 - 326912, avg episodic return=4.10
timesteps=311552 - 326912, avg episodic return=3.53
timesteps=311552 - 326912, avg episodic return=2.85
timesteps=333056 - 343296, avg episodic return=4.10
timesteps=327936 - 338176, avg episodic return=2.85
timesteps=338176 - 343296, avg episodic return=4.43
timesteps=344320 - 359680, avg episodic return=3.93
timesteps=349440 - 354560, avg episodic return=4.60
timesteps=349440 - 349440, avg episodic return=2.60
timesteps=360704 - 360704, avg episodic return=3.43
timesteps=360704 - 376064, avg episodic return=3.10
timesteps=360704 - 376064, avg episodic return=3.85
timesteps=377088 - 392448, avg episodic return=3.60
timesteps=377088 - 392448, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=3.70
timesteps=398592 - 408832, avg episodic return=2.77
timesteps=398592 - 408832, avg episodic return=3.60
timesteps=398592 - 398592, avg episodic return=3.60
timesteps=409856 - 420096, avg episodic return=3.60
timesteps=409856 - 425216, avg episodic return=4.10
timesteps=414976 - 414976, avg episodic return=1.10
timesteps=436480 - 441600, avg episodic return=2.77
timesteps=426240 - 431360, avg episodic return=3.50
timesteps=431360 - 441600, avg episodic return=4.10
timesteps=442624 - 452864, avg episodic return=3.10
timesteps=447744 - 452864, avg episodic return=4.43
timesteps=442624 - 452864, avg episodic return=3.35
timesteps=464128 - 474368, avg episodic return=3.10
timesteps=459008 - 474368, avg episodic return=3.24
timesteps=459008 - 474368, avg episodic return=3.77
timesteps=475392 - 485632, avg episodic return=2.60
timesteps=475392 - 490752, avg episodic return=3.43
timesteps=480512 - 490752, avg episodic return=3.10
