## SLURM PROLOG ###############################################################
##    Job ID : 8517570
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2104
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:50:31 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1960 - 1960, avg episodic return=0.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=2472 - 2472, avg episodic return=20.00
timesteps=2696 - 2696, avg episodic return=10.00
timesteps=2952 - 2952, avg episodic return=10.00
timesteps=2152 - 2792, avg episodic return=13.33
timesteps=3848 - 3848, avg episodic return=-10.00
timesteps=3368 - 3368, avg episodic return=-10.00
timesteps=3208 - 3656, avg episodic return=10.00
timesteps=3752 - 3752, avg episodic return=10.00
timesteps=4840 - 4840, avg episodic return=10.00
timesteps=4840 - 4840, avg episodic return=10.00
timesteps=4392 - 5096, avg episodic return=8.75
timesteps=4904 - 4904, avg episodic return=10.00
timesteps=5576 - 5576, avg episodic return=10.00
timesteps=5800 - 5800, avg episodic return=0.00
timesteps=5928 - 5960, avg episodic return=10.00
timesteps=5544 - 5896, avg episodic return=13.33
timesteps=7048 - 7048, avg episodic return=10.00
timesteps=6248 - 7048, avg episodic return=10.00
timesteps=6568 - 6920, avg episodic return=10.00
timesteps=7880 - 7976, avg episodic return=10.00
timesteps=7272 - 7496, avg episodic return=10.00
timesteps=7464 - 7944, avg episodic return=6.67
timesteps=7432 - 8136, avg episodic return=10.00
timesteps=8648 - 9128, avg episodic return=7.50
timesteps=8328 - 8840, avg episodic return=10.00
timesteps=8296 - 8936, avg episodic return=10.00
timesteps=9256 - 9512, avg episodic return=6.00
timesteps=9224 - 10120, avg episodic return=6.67
timesteps=9288 - 10024, avg episodic return=13.33
timesteps=10024 - 10024, avg episodic return=10.00
timesteps=9384 - 9768, avg episodic return=10.00
timesteps=10280 - 10280, avg episodic return=10.00
timesteps=10632 - 10696, avg episodic return=10.00
timesteps=10312 - 10984, avg episodic return=10.00
timesteps=10280 - 11240, avg episodic return=10.00
timesteps=11880 - 12200, avg episodic return=7.50
timesteps=11272 - 11560, avg episodic return=10.00
timesteps=11368 - 12264, avg episodic return=11.00
timesteps=13000 - 13000, avg episodic return=10.00
timesteps=12296 - 13128, avg episodic return=8.75
timesteps=12328 - 12968, avg episodic return=8.00
timesteps=13448 - 13448, avg episodic return=10.00
timesteps=13384 - 14280, avg episodic return=6.00
timesteps=13608 - 13608, avg episodic return=10.00
timesteps=13384 - 13960, avg episodic return=10.00
timesteps=14728 - 14728, avg episodic return=10.00
timesteps=14344 - 14952, avg episodic return=11.67
timesteps=14568 - 14856, avg episodic return=10.00
timesteps=14408 - 15272, avg episodic return=10.00
timesteps=15496 - 15592, avg episodic return=10.00
timesteps=15848 - 15976, avg episodic return=10.00
timesteps=15464 - 16232, avg episodic return=10.77
timesteps=16616 - 17032, avg episodic return=10.00
timesteps=16424 - 17384, avg episodic return=10.00
timesteps=16392 - 17352, avg episodic return=10.00
timesteps=17480 - 17480, avg episodic return=0.00
timesteps=17864 - 17960, avg episodic return=5.00
timesteps=17576 - 18376, avg episodic return=10.00
timesteps=17672 - 18184, avg episodic return=10.00
timesteps=18440 - 18920, avg episodic return=6.67
timesteps=18792 - 19240, avg episodic return=10.00
timesteps=18440 - 19208, avg episodic return=10.00
timesteps=19656 - 20456, avg episodic return=8.00
timesteps=19848 - 20424, avg episodic return=10.00
timesteps=20584 - 21000, avg episodic return=-2.50
timesteps=20488 - 21480, avg episodic return=10.00
timesteps=21704 - 22056, avg episodic return=25.00
timesteps=21512 - 22376, avg episodic return=10.00
timesteps=22376 - 22376, avg episodic return=10.00
timesteps=21640 - 22408, avg episodic return=10.00
timesteps=23400 - 23400, avg episodic return=10.00
timesteps=22696 - 23528, avg episodic return=10.00
timesteps=22632 - 23432, avg episodic return=10.83
timesteps=23624 - 23848, avg episodic return=10.00
timesteps=23656 - 24392, avg episodic return=8.57
timesteps=23560 - 24552, avg episodic return=10.00
timesteps=25448 - 25448, avg episodic return=10.00
timesteps=24648 - 25416, avg episodic return=10.00
timesteps=24584 - 25384, avg episodic return=11.43
timesteps=24680 - 25544, avg episodic return=10.00
timesteps=26024 - 26024, avg episodic return=-30.00
timesteps=25672 - 26152, avg episodic return=10.00
timesteps=26184 - 26600, avg episodic return=10.00
timesteps=25608 - 26600, avg episodic return=10.00
timesteps=26632 - 27624, avg episodic return=10.00
timesteps=26696 - 27624, avg episodic return=10.00
timesteps=26664 - 27624, avg episodic return=8.46
timesteps=28040 - 28072, avg episodic return=10.00
timesteps=27784 - 28648, avg episodic return=10.00
timesteps=27688 - 28616, avg episodic return=10.00
