## SLURM PROLOG ###############################################################
##    Job ID : 8517522
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:43 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3856 - 3856, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=4496 - 5136, avg episodic return=3.33
timesteps=7568 - 7568, avg episodic return=10.00
timesteps=6672 - 8080, avg episodic return=5.00
timesteps=6160 - 6160, avg episodic return=10.00
timesteps=8208 - 9360, avg episodic return=10.00
timesteps=9360 - 9616, avg episodic return=10.00
timesteps=8464 - 9872, avg episodic return=10.00
timesteps=9360 - 10000, avg episodic return=5.00
timesteps=9488 - 9488, avg episodic return=-10.00
timesteps=10768 - 12176, avg episodic return=10.00
timesteps=10768 - 12176, avg episodic return=6.67
timesteps=10512 - 11920, avg episodic return=8.33
timesteps=10640 - 12048, avg episodic return=16.67
timesteps=12560 - 12816, avg episodic return=10.00
timesteps=12560 - 13968, avg episodic return=10.00
timesteps=12688 - 12688, avg episodic return=10.00
timesteps=13456 - 13840, avg episodic return=10.00
timesteps=12816 - 13840, avg episodic return=10.00
timesteps=14992 - 16272, avg episodic return=10.00
timesteps=14864 - 15888, avg episodic return=10.00
timesteps=15632 - 16144, avg episodic return=10.00
timesteps=14608 - 14608, avg episodic return=10.00
timesteps=16144 - 16144, avg episodic return=10.00
timesteps=18064 - 18064, avg episodic return=-10.00
timesteps=16656 - 17168, avg episodic return=10.00
timesteps=16912 - 17936, avg episodic return=10.00
timesteps=16784 - 18320, avg episodic return=10.00
timesteps=17424 - 18064, avg episodic return=12.50
timesteps=18448 - 19472, avg episodic return=6.67
timesteps=19472 - 19984, avg episodic return=10.00
timesteps=18448 - 20368, avg episodic return=10.00
timesteps=19088 - 19472, avg episodic return=5.00
timesteps=19216 - 19472, avg episodic return=10.00
timesteps=21648 - 21904, avg episodic return=10.00
timesteps=21648 - 22288, avg episodic return=10.00
