## SLURM PROLOG ###############################################################
##    Job ID : 8516928
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2115
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:49:01 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=59648 - 64768, avg episodic return=0.85
timesteps=54528 - 54528, avg episodic return=2.10
timesteps=54528 - 64768, avg episodic return=1.67
timesteps=65792 - 81152, avg episodic return=1.85
timesteps=65792 - 81152, avg episodic return=0.90
timesteps=65792 - 81152, avg episodic return=2.10
timesteps=92416 - 97536, avg episodic return=2.85
timesteps=97536 - 97536, avg episodic return=-0.90
timesteps=82176 - 87296, avg episodic return=1.27
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=98560 - 98560, avg episodic return=2.10
timesteps=98560 - 113920, avg episodic return=1.30
timesteps=114944 - 130304, avg episodic return=1.43
timesteps=130304 - 130304, avg episodic return=2.60
timesteps=114944 - 114944, avg episodic return=1.43
timesteps=131328 - 136448, avg episodic return=2.77
timesteps=136448 - 141568, avg episodic return=3.10
timesteps=157952 - 157952, avg episodic return=1.60
timesteps=147712 - 163072, avg episodic return=2.30
timesteps=147712 - 163072, avg episodic return=3.10
timesteps=164096 - 174336, avg episodic return=3.50
timesteps=164096 - 169216, avg episodic return=3.60
timesteps=174336 - 174336, avg episodic return=1.10
timesteps=195840 - 195840, avg episodic return=4.10
timesteps=180480 - 195840, avg episodic return=3.10
timesteps=190720 - 195840, avg episodic return=2.60
timesteps=196864 - 212224, avg episodic return=2.43
timesteps=196864 - 212224, avg episodic return=3.24
timesteps=196864 - 201984, avg episodic return=2.60
timesteps=218368 - 228608, avg episodic return=4.43
timesteps=234752 - 234752, avg episodic return=2.10
timesteps=229632 - 244992, avg episodic return=2.96
timesteps=234752 - 239872, avg episodic return=4.77
timesteps=246016 - 261376, avg episodic return=3.27
timesteps=246016 - 246016, avg episodic return=2.10
timesteps=256256 - 261376, avg episodic return=3.50
timesteps=267520 - 277760, avg episodic return=3.10
timesteps=262400 - 277760, avg episodic return=2.43
timesteps=262400 - 272640, avg episodic return=2.60
timesteps=278784 - 294144, avg episodic return=3.53
timesteps=278784 - 289024, avg episodic return=2.90
timesteps=289024 - 289024, avg episodic return=3.10
timesteps=295168 - 305408, avg episodic return=3.77
timesteps=305408 - 310528, avg episodic return=3.27
timesteps=311552 - 326912, avg episodic return=2.10
timesteps=321792 - 321792, avg episodic return=4.10
timesteps=321792 - 321792, avg episodic return=3.60
timesteps=327936 - 343296, avg episodic return=2.90
timesteps=343296 - 343296, avg episodic return=3.10
timesteps=327936 - 343296, avg episodic return=3.10
timesteps=359680 - 359680, avg episodic return=2.43
timesteps=344320 - 359680, avg episodic return=3.35
timesteps=349440 - 354560, avg episodic return=3.60
timesteps=360704 - 365824, avg episodic return=3.60
timesteps=365824 - 370944, avg episodic return=2.77
timesteps=365824 - 370944, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=3.10
timesteps=382208 - 387328, avg episodic return=2.85
timesteps=377088 - 392448, avg episodic return=2.85
timesteps=393472 - 408832, avg episodic return=4.10
timesteps=393472 - 408832, avg episodic return=2.60
timesteps=398592 - 408832, avg episodic return=2.90
timesteps=409856 - 425216, avg episodic return=2.43
timesteps=409856 - 425216, avg episodic return=3.60
timesteps=426240 - 436480, avg episodic return=2.60
timesteps=441600 - 441600, avg episodic return=3.10
timesteps=426240 - 426240, avg episodic return=2.60
timesteps=447744 - 457984, avg episodic return=2.90
timesteps=447744 - 457984, avg episodic return=3.67
timesteps=442624 - 457984, avg episodic return=3.24
timesteps=459008 - 474368, avg episodic return=2.60
timesteps=464128 - 464128, avg episodic return=3.10
timesteps=469248 - 474368, avg episodic return=3.10
timesteps=475392 - 475392, avg episodic return=4.10
timesteps=480512 - 480512, avg episodic return=5.10
timesteps=485632 - 490752, avg episodic return=4.10
timesteps=502016 - 502016, avg episodic return=2.60
timesteps=491776 - 507136, avg episodic return=2.10
timesteps=496896 - 502016, avg episodic return=3.60
timesteps=508160 - 518400, avg episodic return=3.77
timesteps=508160 - 513280, avg episodic return=2.10
timesteps=508160 - 523520, avg episodic return=3.10
timesteps=524544 - 524544, avg episodic return=2.77
timesteps=524544 - 539904, avg episodic return=3.10
timesteps=524544 - 539904, avg episodic return=3.10
timesteps=540928 - 556288, avg episodic return=2.77
timesteps=540928 - 556288, avg episodic return=2.10
timesteps=540928 - 546048, avg episodic return=3.77
timesteps=562432 - 572672, avg episodic return=3.70
timesteps=557312 - 572672, avg episodic return=3.23
timesteps=562432 - 567552, avg episodic return=2.93
timesteps=573696 - 583936, avg episodic return=3.10
timesteps=583936 - 583936, avg episodic return=1.60
timesteps=583936 - 589056, avg episodic return=3.43
timesteps=590080 - 605440, avg episodic return=2.35
timesteps=595200 - 605440, avg episodic return=2.85
timesteps=600320 - 605440, avg episodic return=2.60
timesteps=611584 - 611584, avg episodic return=2.77
timesteps=606464 - 621824, avg episodic return=4.10
timesteps=606464 - 616704, avg episodic return=2.77
timesteps=622848 - 638208, avg episodic return=3.60
timesteps=622848 - 622848, avg episodic return=2.10
timesteps=627968 - 633088, avg episodic return=3.60
timesteps=649472 - 654592, avg episodic return=3.10
timesteps=644352 - 654592, avg episodic return=2.90
timesteps=639232 - 649472, avg episodic return=3.77
timesteps=655616 - 655616, avg episodic return=4.10
timesteps=670976 - 670976, avg episodic return=2.10
timesteps=655616 - 670976, avg episodic return=2.90
timesteps=672000 - 687360, avg episodic return=3.60
timesteps=672000 - 687360, avg episodic return=2.53
timesteps=672000 - 677120, avg episodic return=3.10
timesteps=693504 - 703744, avg episodic return=1.77
timesteps=688384 - 703744, avg episodic return=2.43
timesteps=688384 - 703744, avg episodic return=2.60
timesteps=704768 - 720128, avg episodic return=2.35
timesteps=704768 - 720128, avg episodic return=2.10
timesteps=704768 - 715008, avg episodic return=3.10
timesteps=721152 - 731392, avg episodic return=2.60
timesteps=731392 - 736512, avg episodic return=1.60
timesteps=721152 - 731392, avg episodic return=3.10
timesteps=752896 - 752896, avg episodic return=3.43
timesteps=737536 - 752896, avg episodic return=2.27
timesteps=737536 - 752896, avg episodic return=3.73
timesteps=753920 - 769280, avg episodic return=3.85
timesteps=753920 - 769280, avg episodic return=2.77
timesteps=759040 - 769280, avg episodic return=3.10
timesteps=770304 - 780544, avg episodic return=2.10
timesteps=770304 - 780544, avg episodic return=2.77
timesteps=775424 - 785664, avg episodic return=2.67
timesteps=786688 - 802048, avg episodic return=2.30
timesteps=786688 - 802048, avg episodic return=2.70
timesteps=786688 - 796928, avg episodic return=3.10
timesteps=808192 - 808192, avg episodic return=2.10
timesteps=803072 - 818432, avg episodic return=1.35
timesteps=813312 - 818432, avg episodic return=3.10
timesteps=819456 - 829696, avg episodic return=2.77
timesteps=819456 - 829696, avg episodic return=1.85
timesteps=819456 - 834816, avg episodic return=3.10
timesteps=840960 - 851200, avg episodic return=2.10
timesteps=840960 - 851200, avg episodic return=2.10
timesteps=851200 - 851200, avg episodic return=2.10
timesteps=852224 - 867584, avg episodic return=1.67
timesteps=852224 - 867584, avg episodic return=2.93
timesteps=852224 - 852224, avg episodic return=2.10
timesteps=868608 - 878848, avg episodic return=2.60
timesteps=868608 - 883968, avg episodic return=2.10
timesteps=868608 - 868608, avg episodic return=3.60
timesteps=884992 - 900352, avg episodic return=3.10
timesteps=890112 - 900352, avg episodic return=3.10
timesteps=884992 - 895232, avg episodic return=3.10
timesteps=901376 - 916736, avg episodic return=2.35
timesteps=916736 - 916736, avg episodic return=2.10
timesteps=911616 - 911616, avg episodic return=4.10
timesteps=917760 - 933120, avg episodic return=2.88
timesteps=917760 - 922880, avg episodic return=2.10
timesteps=922880 - 933120, avg episodic return=4.10
timesteps=944384 - 944384, avg episodic return=3.10
timesteps=934144 - 949504, avg episodic return=3.60
timesteps=939264 - 949504, avg episodic return=3.60
timesteps=950528 - 965888, avg episodic return=2.48
timesteps=955648 - 965888, avg episodic return=2.10
timesteps=950528 - 960768, avg episodic return=3.35
timesteps=977152 - 982272, avg episodic return=2.43
timesteps=966912 - 982272, avg episodic return=2.10
timesteps=966912 - 982272, avg episodic return=3.60
timesteps=983296 - 998656, avg episodic return=2.10
timesteps=998656 - 998656, avg episodic return=3.10
timesteps=993536 - 998656, avg episodic return=3.43
timesteps=1004800 - 1004800, avg episodic return=3.10
timesteps=999680 - 1015040, avg episodic return=1.80
timesteps=999680 - 1015040, avg episodic return=3.60
timesteps=1016064 - 1031424, avg episodic return=2.85
timesteps=1016064 - 1031424, avg episodic return=1.70
timesteps=1016064 - 1016064, avg episodic return=2.10
timesteps=1037568 - 1047808, avg episodic return=3.10
timesteps=1032448 - 1047808, avg episodic return=2.10
timesteps=1048832 - 1053952, avg episodic return=2.60
timesteps=1048832 - 1064192, avg episodic return=3.43
timesteps=1065216 - 1075456, avg episodic return=3.77
timesteps=1065216 - 1080576, avg episodic return=2.85
timesteps=1065216 - 1080576, avg episodic return=2.77
timesteps=1081600 - 1096960, avg episodic return=3.35
timesteps=1081600 - 1096960, avg episodic return=1.90
timesteps=1081600 - 1086720, avg episodic return=2.10
timesteps=1103104 - 1108224, avg episodic return=2.43
timesteps=1113344 - 1113344, avg episodic return=2.60
timesteps=1097984 - 1108224, avg episodic return=3.35
timesteps=1114368 - 1129728, avg episodic return=3.85
timesteps=1129728 - 1129728, avg episodic return=1.60
timesteps=1114368 - 1119488, avg episodic return=3.60
timesteps=1130752 - 1146112, avg episodic return=2.77
timesteps=1130752 - 1146112, avg episodic return=2.10
timesteps=1130752 - 1146112, avg episodic return=3.50
timesteps=1152256 - 1157376, avg episodic return=1.60
timesteps=1147136 - 1162496, avg episodic return=2.35
timesteps=1147136 - 1147136, avg episodic return=4.10
timesteps=1163520 - 1173760, avg episodic return=2.77
timesteps=1168640 - 1178880, avg episodic return=3.43
timesteps=1179904 - 1179904, avg episodic return=1.10
timesteps=1179904 - 1190144, avg episodic return=2.10
timesteps=1179904 - 1195264, avg episodic return=3.85
timesteps=1201408 - 1201408, avg episodic return=2.10
timesteps=1196288 - 1206528, avg episodic return=2.99
timesteps=1201408 - 1211648, avg episodic return=3.77
timesteps=1212672 - 1228032, avg episodic return=1.30
timesteps=1222912 - 1222912, avg episodic return=3.10
timesteps=1212672 - 1212672, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=2.85
timesteps=1244416 - 1244416, avg episodic return=2.10
timesteps=1229056 - 1244416, avg episodic return=3.10
timesteps=1250560 - 1255680, avg episodic return=2.60
timesteps=1245440 - 1255680, avg episodic return=2.10
timesteps=1245440 - 1255680, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=2.70
timesteps=1261824 - 1261824, avg episodic return=4.10
timesteps=1278208 - 1293568, avg episodic return=3.77
timesteps=1278208 - 1293568, avg episodic return=2.85
timesteps=1278208 - 1293568, avg episodic return=2.90
timesteps=1299712 - 1309952, avg episodic return=2.50
timesteps=1294592 - 1304832, avg episodic return=3.10
timesteps=1294592 - 1309952, avg episodic return=3.50
timesteps=1310976 - 1326336, avg episodic return=2.93
timesteps=1316096 - 1326336, avg episodic return=3.10
timesteps=1310976 - 1321216, avg episodic return=2.85
timesteps=1337600 - 1337600, avg episodic return=2.10
timesteps=1332480 - 1342720, avg episodic return=3.10
timesteps=1327360 - 1337600, avg episodic return=3.85
timesteps=1348864 - 1359104, avg episodic return=3.60
timesteps=1353984 - 1359104, avg episodic return=1.60
timesteps=1348864 - 1348864, avg episodic return=2.10
timesteps=1360128 - 1370368, avg episodic return=2.81
timesteps=1360128 - 1375488, avg episodic return=2.70
timesteps=1360128 - 1370368, avg episodic return=4.43
timesteps=1376512 - 1391872, avg episodic return=2.73
timesteps=1376512 - 1391872, avg episodic return=2.60
timesteps=1376512 - 1376512, avg episodic return=5.10
timesteps=1392896 - 1408256, avg episodic return=1.77
timesteps=1392896 - 1398016, avg episodic return=1.60
timesteps=1392896 - 1403136, avg episodic return=3.60
timesteps=1409280 - 1424640, avg episodic return=2.30
timesteps=1409280 - 1409280, avg episodic return=3.10
timesteps=1409280 - 1409280, avg episodic return=4.10
timesteps=1425664 - 1435904, avg episodic return=2.48
timesteps=1425664 - 1441024, avg episodic return=2.48
timesteps=1430784 - 1435904, avg episodic return=3.60
timesteps=1442048 - 1457408, avg episodic return=2.90
timesteps=1452288 - 1452288, avg episodic return=2.10
timesteps=1452288 - 1452288, avg episodic return=3.43
timesteps=1458432 - 1468672, avg episodic return=4.10
timesteps=1468672 - 1473792, avg episodic return=2.10
timesteps=1458432 - 1463552, avg episodic return=3.43
timesteps=1474816 - 1490176, avg episodic return=2.10
timesteps=1474816 - 1490176, avg episodic return=2.24
timesteps=1474816 - 1490176, avg episodic return=4.10
timesteps=1491200 - 1506560, avg episodic return=3.35
timesteps=1491200 - 1506560, avg episodic return=1.77
timesteps=1496320 - 1506560, avg episodic return=4.10
timesteps=1512704 - 1522944, avg episodic return=2.43
timesteps=1507584 - 1512704, avg episodic return=3.10
timesteps=1512704 - 1517824, avg episodic return=3.60
timesteps=1523968 - 1539328, avg episodic return=2.85
timesteps=1534208 - 1534208, avg episodic return=2.60
timesteps=1529088 - 1529088, avg episodic return=2.10
timesteps=1540352 - 1555712, avg episodic return=2.93
timesteps=1540352 - 1555712, avg episodic return=2.10
timesteps=1555712 - 1555712, avg episodic return=3.60
timesteps=1556736 - 1572096, avg episodic return=4.35
timesteps=1556736 - 1566976, avg episodic return=2.10
timesteps=1556736 - 1572096, avg episodic return=3.67
timesteps=1573120 - 1573120, avg episodic return=3.10
timesteps=1573120 - 1573120, avg episodic return=2.10
timesteps=1578240 - 1583360, avg episodic return=3.77
timesteps=1594624 - 1604864, avg episodic return=4.10
timesteps=1589504 - 1604864, avg episodic return=1.70
timesteps=1589504 - 1604864, avg episodic return=3.10
timesteps=1605888 - 1616128, avg episodic return=2.99
timesteps=1611008 - 1621248, avg episodic return=2.10
timesteps=1611008 - 1621248, avg episodic return=3.10
timesteps=1622272 - 1637632, avg episodic return=3.70
timesteps=1622272 - 1637632, avg episodic return=1.90
timesteps=1622272 - 1632512, avg episodic return=3.43
timesteps=1638656 - 1654016, avg episodic return=3.50
timesteps=1648896 - 1648896, avg episodic return=2.10
timesteps=1638656 - 1643776, avg episodic return=2.60
timesteps=1655040 - 1665280, avg episodic return=4.10
timesteps=1660160 - 1665280, avg episodic return=2.10
timesteps=1670400 - 1670400, avg episodic return=4.10
timesteps=1676544 - 1686784, avg episodic return=3.10
timesteps=1671424 - 1686784, avg episodic return=2.32
timesteps=1681664 - 1686784, avg episodic return=3.10
timesteps=1687808 - 1703168, avg episodic return=3.77
timesteps=1692928 - 1698048, avg episodic return=2.60
timesteps=1687808 - 1703168, avg episodic return=2.77
timesteps=1704192 - 1719552, avg episodic return=3.10
timesteps=1704192 - 1719552, avg episodic return=2.53
