## SLURM PROLOG ###############################################################
##    Job ID : 8516929
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2108
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:49:12 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=59648 - 64768, avg episodic return=0.90
timesteps=54528 - 64768, avg episodic return=1.10
timesteps=54528 - 64768, avg episodic return=1.70
timesteps=65792 - 81152, avg episodic return=1.85
timesteps=65792 - 81152, avg episodic return=0.85
timesteps=65792 - 65792, avg episodic return=2.10
timesteps=92416 - 97536, avg episodic return=2.10
timesteps=97536 - 97536, avg episodic return=2.10
timesteps=82176 - 97536, avg episodic return=1.10
timesteps=98560 - 113920, avg episodic return=0.50
timesteps=98560 - 108800, avg episodic return=1.43
timesteps=98560 - 113920, avg episodic return=1.27
timesteps=114944 - 130304, avg episodic return=1.77
timesteps=114944 - 130304, avg episodic return=2.10
timesteps=114944 - 130304, avg episodic return=1.10
timesteps=131328 - 146688, avg episodic return=2.70
timesteps=131328 - 141568, avg episodic return=1.60
timesteps=131328 - 141568, avg episodic return=2.90
timesteps=157952 - 163072, avg episodic return=2.50
timesteps=147712 - 157952, avg episodic return=2.10
timesteps=147712 - 163072, avg episodic return=2.90
timesteps=174336 - 179456, avg episodic return=4.10
timesteps=169216 - 179456, avg episodic return=2.60
timesteps=164096 - 179456, avg episodic return=3.85
timesteps=180480 - 195840, avg episodic return=2.27
timesteps=180480 - 195840, avg episodic return=3.10
timesteps=180480 - 185600, avg episodic return=3.43
timesteps=196864 - 196864, avg episodic return=2.10
timesteps=196864 - 212224, avg episodic return=4.30
timesteps=207104 - 212224, avg episodic return=3.10
timesteps=223488 - 228608, avg episodic return=2.60
timesteps=213248 - 223488, avg episodic return=4.10
timesteps=218368 - 228608, avg episodic return=3.10
timesteps=229632 - 239872, avg episodic return=2.60
timesteps=229632 - 244992, avg episodic return=3.43
timesteps=234752 - 239872, avg episodic return=3.10
timesteps=246016 - 256256, avg episodic return=2.60
timesteps=246016 - 261376, avg episodic return=3.50
timesteps=246016 - 261376, avg episodic return=3.35
timesteps=262400 - 272640, avg episodic return=2.10
timesteps=262400 - 267520, avg episodic return=3.10
timesteps=272640 - 272640, avg episodic return=3.77
timesteps=278784 - 289024, avg episodic return=1.10
timesteps=283904 - 294144, avg episodic return=3.60
timesteps=278784 - 294144, avg episodic return=2.90
timesteps=300288 - 305408, avg episodic return=2.77
timesteps=295168 - 305408, avg episodic return=3.43
timesteps=300288 - 300288, avg episodic return=3.60
timesteps=311552 - 316672, avg episodic return=2.60
timesteps=316672 - 316672, avg episodic return=3.10
timesteps=316672 - 326912, avg episodic return=4.10
timesteps=333056 - 343296, avg episodic return=3.43
timesteps=327936 - 338176, avg episodic return=2.70
timesteps=327936 - 333056, avg episodic return=2.60
timesteps=354560 - 354560, avg episodic return=3.10
timesteps=344320 - 354560, avg episodic return=3.10
timesteps=359680 - 359680, avg episodic return=3.10
timesteps=365824 - 376064, avg episodic return=3.30
timesteps=365824 - 370944, avg episodic return=3.43
timesteps=360704 - 376064, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=3.60
timesteps=377088 - 392448, avg episodic return=4.35
timesteps=382208 - 387328, avg episodic return=3.77
timesteps=393472 - 408832, avg episodic return=3.60
timesteps=398592 - 408832, avg episodic return=3.30
timesteps=425216 - 425216, avg episodic return=3.10
timesteps=420096 - 425216, avg episodic return=3.10
timesteps=409856 - 425216, avg episodic return=2.81
timesteps=431360 - 441600, avg episodic return=3.10
timesteps=426240 - 441600, avg episodic return=2.99
timesteps=431360 - 441600, avg episodic return=2.60
timesteps=442624 - 457984, avg episodic return=3.10
timesteps=447744 - 452864, avg episodic return=3.77
timesteps=447744 - 447744, avg episodic return=3.10
timesteps=464128 - 464128, avg episodic return=4.10
timesteps=464128 - 464128, avg episodic return=4.10
timesteps=459008 - 469248, avg episodic return=2.77
timesteps=475392 - 490752, avg episodic return=3.10
timesteps=475392 - 490752, avg episodic return=3.60
timesteps=475392 - 480512, avg episodic return=2.60
timesteps=491776 - 507136, avg episodic return=3.60
timesteps=491776 - 502016, avg episodic return=2.77
timesteps=496896 - 507136, avg episodic return=2.43
timesteps=508160 - 508160, avg episodic return=2.10
timesteps=523520 - 523520, avg episodic return=2.10
timesteps=508160 - 523520, avg episodic return=3.10
timesteps=524544 - 534784, avg episodic return=3.27
timesteps=524544 - 534784, avg episodic return=2.60
timesteps=524544 - 539904, avg episodic return=2.90
timesteps=540928 - 556288, avg episodic return=3.10
timesteps=540928 - 556288, avg episodic return=3.10
timesteps=540928 - 551168, avg episodic return=3.10
timesteps=562432 - 572672, avg episodic return=3.10
timesteps=557312 - 572672, avg episodic return=2.43
timesteps=557312 - 567552, avg episodic return=2.60
timesteps=573696 - 589056, avg episodic return=2.90
timesteps=578816 - 589056, avg episodic return=2.35
timesteps=573696 - 589056, avg episodic return=4.10
timesteps=590080 - 590080, avg episodic return=4.10
timesteps=590080 - 600320, avg episodic return=1.43
timesteps=590080 - 605440, avg episodic return=3.10
timesteps=611584 - 621824, avg episodic return=2.30
timesteps=611584 - 616704, avg episodic return=3.10
timesteps=606464 - 621824, avg episodic return=2.10
timesteps=622848 - 622848, avg episodic return=5.10
timesteps=638208 - 638208, avg episodic return=2.10
timesteps=622848 - 633088, avg episodic return=2.60
timesteps=639232 - 649472, avg episodic return=3.10
timesteps=639232 - 649472, avg episodic return=3.10
timesteps=644352 - 654592, avg episodic return=3.10
timesteps=655616 - 665856, avg episodic return=3.30
timesteps=655616 - 670976, avg episodic return=2.60
timesteps=672000 - 687360, avg episodic return=3.43
timesteps=672000 - 682240, avg episodic return=2.90
timesteps=677120 - 687360, avg episodic return=2.10
timesteps=688384 - 703744, avg episodic return=2.27
timesteps=688384 - 693504, avg episodic return=3.60
timesteps=688384 - 703744, avg episodic return=2.54
timesteps=709888 - 709888, avg episodic return=3.10
timesteps=709888 - 715008, avg episodic return=2.70
timesteps=704768 - 720128, avg episodic return=3.50
timesteps=721152 - 731392, avg episodic return=2.90
timesteps=726272 - 736512, avg episodic return=3.35
timesteps=721152 - 731392, avg episodic return=2.77
timesteps=742656 - 752896, avg episodic return=2.85
timesteps=737536 - 752896, avg episodic return=2.70
timesteps=742656 - 742656, avg episodic return=5.10
timesteps=753920 - 769280, avg episodic return=2.60
timesteps=759040 - 769280, avg episodic return=3.27
timesteps=753920 - 769280, avg episodic return=3.81
timesteps=770304 - 785664, avg episodic return=2.60
timesteps=775424 - 785664, avg episodic return=2.27
timesteps=770304 - 785664, avg episodic return=2.60
timesteps=791808 - 796928, avg episodic return=2.27
timesteps=786688 - 796928, avg episodic return=2.35
timesteps=786688 - 802048, avg episodic return=3.27
timesteps=813312 - 813312, avg episodic return=3.10
timesteps=803072 - 818432, avg episodic return=2.60
timesteps=813312 - 818432, avg episodic return=2.43
timesteps=824576 - 824576, avg episodic return=2.10
timesteps=819456 - 834816, avg episodic return=2.60
timesteps=835840 - 851200, avg episodic return=2.10
timesteps=840960 - 851200, avg episodic return=2.10
timesteps=835840 - 851200, avg episodic return=2.77
timesteps=852224 - 867584, avg episodic return=2.93
timesteps=857344 - 867584, avg episodic return=2.50
timesteps=852224 - 867584, avg episodic return=3.10
timesteps=878848 - 883968, avg episodic return=2.77
timesteps=878848 - 883968, avg episodic return=2.90
timesteps=868608 - 883968, avg episodic return=2.90
timesteps=884992 - 895232, avg episodic return=1.10
timesteps=884992 - 900352, avg episodic return=3.10
timesteps=895232 - 895232, avg episodic return=6.10
timesteps=901376 - 916736, avg episodic return=3.10
timesteps=901376 - 916736, avg episodic return=1.90
timesteps=906496 - 916736, avg episodic return=1.10
timesteps=917760 - 928000, avg episodic return=2.10
timesteps=917760 - 922880, avg episodic return=2.50
timesteps=922880 - 933120, avg episodic return=2.43
timesteps=939264 - 949504, avg episodic return=3.43
timesteps=934144 - 949504, avg episodic return=3.30
timesteps=934144 - 949504, avg episodic return=2.85
timesteps=950528 - 950528, avg episodic return=3.77
timesteps=955648 - 965888, avg episodic return=1.96
timesteps=950528 - 960768, avg episodic return=3.60
timesteps=972032 - 977152, avg episodic return=3.43
timesteps=966912 - 982272, avg episodic return=2.60
timesteps=966912 - 972032, avg episodic return=2.60
timesteps=983296 - 998656, avg episodic return=2.70
timesteps=993536 - 998656, avg episodic return=2.60
timesteps=983296 - 993536, avg episodic return=3.10
timesteps=1015040 - 1015040, avg episodic return=1.10
timesteps=999680 - 1015040, avg episodic return=3.35
timesteps=1004800 - 1004800, avg episodic return=3.10
timesteps=1016064 - 1031424, avg episodic return=2.77
timesteps=1016064 - 1031424, avg episodic return=2.10
timesteps=1021184 - 1031424, avg episodic return=3.60
timesteps=1032448 - 1042688, avg episodic return=3.10
timesteps=1037568 - 1047808, avg episodic return=2.35
timesteps=1037568 - 1047808, avg episodic return=3.10
timesteps=1053952 - 1064192, avg episodic return=2.30
timesteps=1053952 - 1059072, avg episodic return=2.43
timesteps=1048832 - 1064192, avg episodic return=2.60
timesteps=1065216 - 1080576, avg episodic return=2.93
timesteps=1065216 - 1080576, avg episodic return=2.43
timesteps=1065216 - 1075456, avg episodic return=3.10
timesteps=1086720 - 1096960, avg episodic return=3.30
timesteps=1081600 - 1091840, avg episodic return=2.70
timesteps=1081600 - 1096960, avg episodic return=3.27
timesteps=1097984 - 1108224, avg episodic return=2.43
timesteps=1113344 - 1113344, avg episodic return=3.10
timesteps=1103104 - 1113344, avg episodic return=2.85
timesteps=1114368 - 1129728, avg episodic return=2.77
timesteps=1114368 - 1129728, avg episodic return=3.10
timesteps=1119488 - 1129728, avg episodic return=2.77
timesteps=1135872 - 1146112, avg episodic return=2.10
timesteps=1130752 - 1140992, avg episodic return=2.85
timesteps=1130752 - 1135872, avg episodic return=2.60
timesteps=1147136 - 1162496, avg episodic return=2.77
timesteps=1152256 - 1162496, avg episodic return=2.10
timesteps=1147136 - 1162496, avg episodic return=3.43
timesteps=1163520 - 1173760, avg episodic return=2.10
timesteps=1173760 - 1173760, avg episodic return=2.10
timesteps=1163520 - 1163520, avg episodic return=4.10
timesteps=1179904 - 1185024, avg episodic return=1.77
timesteps=1179904 - 1195264, avg episodic return=2.60
timesteps=1179904 - 1195264, avg episodic return=3.10
timesteps=1196288 - 1211648, avg episodic return=3.10
timesteps=1196288 - 1211648, avg episodic return=3.77
timesteps=1206528 - 1211648, avg episodic return=3.85
timesteps=1212672 - 1228032, avg episodic return=2.70
timesteps=1217792 - 1222912, avg episodic return=2.77
timesteps=1212672 - 1228032, avg episodic return=2.60
timesteps=1234176 - 1239296, avg episodic return=3.10
timesteps=1229056 - 1239296, avg episodic return=4.10
timesteps=1229056 - 1244416, avg episodic return=2.43
timesteps=1245440 - 1260800, avg episodic return=3.10
timesteps=1250560 - 1260800, avg episodic return=4.35
timesteps=1245440 - 1260800, avg episodic return=3.10
timesteps=1272064 - 1277184, avg episodic return=1.10
timesteps=1261824 - 1277184, avg episodic return=3.53
timesteps=1261824 - 1277184, avg episodic return=2.77
timesteps=1278208 - 1283328, avg episodic return=1.43
timesteps=1278208 - 1288448, avg episodic return=3.43
timesteps=1283328 - 1283328, avg episodic return=3.10
timesteps=1294592 - 1304832, avg episodic return=3.35
timesteps=1294592 - 1294592, avg episodic return=3.10
timesteps=1299712 - 1299712, avg episodic return=4.10
timesteps=1316096 - 1326336, avg episodic return=2.27
timesteps=1310976 - 1321216, avg episodic return=2.85
timesteps=1316096 - 1326336, avg episodic return=2.77
timesteps=1327360 - 1332480, avg episodic return=3.10
timesteps=1327360 - 1342720, avg episodic return=2.10
timesteps=1327360 - 1332480, avg episodic return=2.10
timesteps=1348864 - 1353984, avg episodic return=2.30
timesteps=1343744 - 1359104, avg episodic return=2.60
timesteps=1348864 - 1359104, avg episodic return=2.60
timesteps=1370368 - 1370368, avg episodic return=2.10
timesteps=1360128 - 1375488, avg episodic return=2.35
timesteps=1375488 - 1375488, avg episodic return=2.10
timesteps=1376512 - 1391872, avg episodic return=2.60
timesteps=1376512 - 1391872, avg episodic return=2.50
timesteps=1376512 - 1391872, avg episodic return=2.85
timesteps=1392896 - 1408256, avg episodic return=3.50
timesteps=1392896 - 1408256, avg episodic return=1.90
timesteps=1403136 - 1408256, avg episodic return=2.10
timesteps=1414400 - 1419520, avg episodic return=3.10
timesteps=1409280 - 1424640, avg episodic return=2.50
timesteps=1414400 - 1424640, avg episodic return=2.77
timesteps=1430784 - 1441024, avg episodic return=2.10
timesteps=1425664 - 1430784, avg episodic return=2.10
timesteps=1430784 - 1441024, avg episodic return=2.73
timesteps=1447168 - 1452288, avg episodic return=3.10
timesteps=1442048 - 1457408, avg episodic return=2.24
timesteps=1458432 - 1473792, avg episodic return=1.90
timesteps=1463552 - 1473792, avg episodic return=2.10
timesteps=1458432 - 1473792, avg episodic return=2.43
timesteps=1474816 - 1490176, avg episodic return=1.10
timesteps=1474816 - 1490176, avg episodic return=2.35
timesteps=1474816 - 1485056, avg episodic return=2.10
timesteps=1491200 - 1506560, avg episodic return=2.93
timesteps=1491200 - 1506560, avg episodic return=3.60
timesteps=1491200 - 1506560, avg episodic return=3.10
timesteps=1507584 - 1512704, avg episodic return=3.10
timesteps=1512704 - 1512704, avg episodic return=1.10
timesteps=1507584 - 1522944, avg episodic return=3.35
timesteps=1523968 - 1529088, avg episodic return=3.77
timesteps=1523968 - 1534208, avg episodic return=3.43
timesteps=1529088 - 1539328, avg episodic return=2.30
timesteps=1540352 - 1555712, avg episodic return=3.10
timesteps=1540352 - 1550592, avg episodic return=3.10
timesteps=1540352 - 1545472, avg episodic return=2.60
timesteps=1556736 - 1566976, avg episodic return=2.77
timesteps=1556736 - 1561856, avg episodic return=2.60
timesteps=1573120 - 1588480, avg episodic return=3.10
timesteps=1573120 - 1583360, avg episodic return=3.10
timesteps=1573120 - 1588480, avg episodic return=2.85
timesteps=1589504 - 1604864, avg episodic return=2.39
timesteps=1589504 - 1599744, avg episodic return=3.27
timesteps=1589504 - 1604864, avg episodic return=3.30
timesteps=1605888 - 1616128, avg episodic return=3.10
timesteps=1605888 - 1621248, avg episodic return=2.60
timesteps=1605888 - 1621248, avg episodic return=2.10
timesteps=1627392 - 1637632, avg episodic return=3.43
timesteps=1622272 - 1637632, avg episodic return=2.85
timesteps=1622272 - 1637632, avg episodic return=3.30
timesteps=1638656 - 1654016, avg episodic return=1.85
timesteps=1643776 - 1654016, avg episodic return=2.85
timesteps=1643776 - 1654016, avg episodic return=2.60
timesteps=1660160 - 1660160, avg episodic return=3.60
timesteps=1655040 - 1670400, avg episodic return=2.77
timesteps=1660160 - 1670400, avg episodic return=3.77
timesteps=1671424 - 1686784, avg episodic return=3.35
timesteps=1676544 - 1686784, avg episodic return=3.10
timesteps=1671424 - 1676544, avg episodic return=2.10
timesteps=1687808 - 1703168, avg episodic return=3.43
timesteps=1687808 - 1703168, avg episodic return=2.35
