## SLURM PROLOG ###############################################################
##    Job ID : 8517584
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:08:51 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1160 - 1160, avg episodic return=0.00
timesteps=1576 - 1576, avg episodic return=10.00
timesteps=1128 - 2024, avg episodic return=-15.00
timesteps=2760 - 2760, avg episodic return=-10.00
timesteps=2408 - 2408, avg episodic return=10.00
timesteps=3848 - 3848, avg episodic return=10.00
timesteps=3912 - 3912, avg episodic return=10.00
timesteps=4264 - 4264, avg episodic return=20.00
timesteps=4136 - 4136, avg episodic return=10.00
timesteps=4456 - 4456, avg episodic return=0.00
timesteps=5960 - 5960, avg episodic return=10.00
timesteps=5224 - 5224, avg episodic return=10.00
timesteps=6376 - 6376, avg episodic return=10.00
timesteps=6472 - 6600, avg episodic return=20.00
timesteps=6632 - 6632, avg episodic return=0.00
timesteps=6952 - 6952, avg episodic return=0.00
timesteps=7976 - 7976, avg episodic return=0.00
timesteps=7752 - 7752, avg episodic return=30.00
timesteps=8360 - 8360, avg episodic return=20.00
timesteps=8712 - 8712, avg episodic return=10.00
timesteps=8232 - 8648, avg episodic return=25.00
timesteps=9960 - 9960, avg episodic return=0.00
timesteps=9256 - 9256, avg episodic return=10.00
timesteps=11080 - 11080, avg episodic return=-10.00
timesteps=10408 - 11048, avg episodic return=-25.00
timesteps=12264 - 12264, avg episodic return=-30.00
timesteps=11752 - 11752, avg episodic return=20.00
timesteps=11400 - 11432, avg episodic return=25.00
timesteps=12904 - 12904, avg episodic return=30.00
timesteps=13032 - 13032, avg episodic return=10.00
timesteps=13320 - 13320, avg episodic return=-20.00
timesteps=14568 - 14568, avg episodic return=10.00
timesteps=16072 - 16072, avg episodic return=-10.00
timesteps=16872 - 16872, avg episodic return=-20.00
timesteps=18120 - 18120, avg episodic return=20.00
timesteps=17832 - 17832, avg episodic return=-100.00
timesteps=18504 - 18536, avg episodic return=-5.00
timesteps=20520 - 20520, avg episodic return=0.00
timesteps=20648 - 20648, avg episodic return=-40.00
timesteps=22408 - 22408, avg episodic return=0.00
timesteps=22408 - 22408, avg episodic return=10.00
timesteps=22120 - 22120, avg episodic return=20.00
timesteps=23144 - 23304, avg episodic return=0.00
timesteps=24104 - 24104, avg episodic return=-20.00
timesteps=24680 - 24680, avg episodic return=10.00
timesteps=26184 - 26184, avg episodic return=-30.00
timesteps=25640 - 25640, avg episodic return=-10.00
timesteps=27112 - 27112, avg episodic return=50.00
timesteps=27272 - 27272, avg episodic return=-10.00
timesteps=26888 - 26888, avg episodic return=-20.00
timesteps=27912 - 27912, avg episodic return=10.00
timesteps=28296 - 28584, avg episodic return=-10.00
timesteps=29064 - 29064, avg episodic return=0.00
timesteps=29288 - 29288, avg episodic return=-20.00
timesteps=29512 - 29512, avg episodic return=0.00
timesteps=28840 - 29096, avg episodic return=10.00
timesteps=29896 - 29896, avg episodic return=10.00
timesteps=30504 - 30504, avg episodic return=10.00
timesteps=30728 - 31656, avg episodic return=15.00
timesteps=30888 - 31240, avg episodic return=5.00
timesteps=31560 - 31560, avg episodic return=30.00
timesteps=32008 - 32008, avg episodic return=10.00
timesteps=33160 - 33160, avg episodic return=0.00
timesteps=35080 - 35080, avg episodic return=10.00
timesteps=35240 - 35240, avg episodic return=-50.00
timesteps=34920 - 35464, avg episodic return=-16.67
timesteps=35880 - 35880, avg episodic return=10.00
timesteps=37832 - 37832, avg episodic return=10.00
timesteps=37832 - 37832, avg episodic return=20.00
timesteps=37608 - 37608, avg episodic return=10.00
timesteps=38664 - 38664, avg episodic return=-50.00
timesteps=38376 - 38376, avg episodic return=10.00
timesteps=39592 - 39592, avg episodic return=0.00
timesteps=39528 - 39528, avg episodic return=10.00
timesteps=39496 - 39496, avg episodic return=-20.00
timesteps=40680 - 40680, avg episodic return=10.00
timesteps=41768 - 41768, avg episodic return=-20.00
timesteps=41288 - 41288, avg episodic return=0.00
timesteps=42472 - 42600, avg episodic return=15.00
timesteps=42536 - 42536, avg episodic return=10.00
timesteps=43848 - 43848, avg episodic return=-10.00
timesteps=44776 - 44776, avg episodic return=-40.00
timesteps=44392 - 44648, avg episodic return=-25.00
timesteps=45864 - 45864, avg episodic return=10.00
timesteps=46824 - 46824, avg episodic return=20.00
timesteps=47336 - 47336, avg episodic return=10.00
timesteps=48104 - 48104, avg episodic return=-60.00
timesteps=48776 - 48776, avg episodic return=10.00
timesteps=49000 - 49000, avg episodic return=0.00
timesteps=49000 - 49000, avg episodic return=20.00
timesteps=49256 - 49256, avg episodic return=-240.00
