## SLURM PROLOG ###############################################################
##    Job ID : 8516917
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:32:23 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=33024 - 33024, avg episodic return=2.10
timesteps=33024 - 48384, avg episodic return=0.77
timesteps=43264 - 48384, avg episodic return=3.10
timesteps=59648 - 64768, avg episodic return=2.10
timesteps=49408 - 64768, avg episodic return=0.60
timesteps=49408 - 59648, avg episodic return=2.90
timesteps=65792 - 81152, avg episodic return=2.10
timesteps=65792 - 70912, avg episodic return=1.10
timesteps=65792 - 81152, avg episodic return=2.72
timesteps=82176 - 97536, avg episodic return=3.85
timesteps=82176 - 97536, avg episodic return=1.93
timesteps=82176 - 97536, avg episodic return=3.24
timesteps=98560 - 103680, avg episodic return=2.77
timesteps=98560 - 113920, avg episodic return=3.10
timesteps=98560 - 98560, avg episodic return=2.60
timesteps=120064 - 130304, avg episodic return=2.10
timesteps=130304 - 130304, avg episodic return=3.10
timesteps=120064 - 130304, avg episodic return=3.10
timesteps=141568 - 146688, avg episodic return=2.43
timesteps=136448 - 146688, avg episodic return=4.77
timesteps=131328 - 136448, avg episodic return=3.43
timesteps=147712 - 163072, avg episodic return=2.43
timesteps=147712 - 157952, avg episodic return=2.60
timesteps=152832 - 163072, avg episodic return=2.77
timesteps=164096 - 174336, avg episodic return=2.70
timesteps=169216 - 179456, avg episodic return=2.90
timesteps=169216 - 169216, avg episodic return=2.10
timesteps=185600 - 195840, avg episodic return=1.60
timesteps=180480 - 195840, avg episodic return=3.85
timesteps=185600 - 195840, avg episodic return=4.10
timesteps=212224 - 212224, avg episodic return=2.10
timesteps=196864 - 201984, avg episodic return=2.60
timesteps=201984 - 207104, avg episodic return=2.43
timesteps=218368 - 228608, avg episodic return=1.93
timesteps=213248 - 218368, avg episodic return=2.60
timesteps=213248 - 228608, avg episodic return=2.30
timesteps=229632 - 244992, avg episodic return=3.10
timesteps=234752 - 244992, avg episodic return=2.85
timesteps=246016 - 251136, avg episodic return=1.43
timesteps=246016 - 261376, avg episodic return=2.50
timesteps=246016 - 256256, avg episodic return=2.43
timesteps=262400 - 277760, avg episodic return=1.60
timesteps=267520 - 277760, avg episodic return=3.10
timesteps=262400 - 277760, avg episodic return=1.90
timesteps=283904 - 289024, avg episodic return=1.77
timesteps=283904 - 294144, avg episodic return=2.50
timesteps=278784 - 289024, avg episodic return=1.60
timesteps=300288 - 310528, avg episodic return=1.50
timesteps=300288 - 310528, avg episodic return=2.43
timesteps=295168 - 310528, avg episodic return=1.60
timesteps=321792 - 321792, avg episodic return=1.10
timesteps=311552 - 326912, avg episodic return=2.10
timesteps=311552 - 321792, avg episodic return=2.10
timesteps=327936 - 338176, avg episodic return=1.85
timesteps=333056 - 333056, avg episodic return=3.10
timesteps=333056 - 343296, avg episodic return=1.70
timesteps=349440 - 354560, avg episodic return=1.90
timesteps=349440 - 359680, avg episodic return=1.60
timesteps=349440 - 359680, avg episodic return=1.85
timesteps=365824 - 370944, avg episodic return=1.30
timesteps=365824 - 365824, avg episodic return=1.10
timesteps=365824 - 370944, avg episodic return=1.93
timesteps=382208 - 387328, avg episodic return=2.60
timesteps=377088 - 377088, avg episodic return=2.10
timesteps=377088 - 387328, avg episodic return=1.60
timesteps=393472 - 408832, avg episodic return=1.30
timesteps=393472 - 403712, avg episodic return=3.10
timesteps=398592 - 408832, avg episodic return=1.10
timesteps=409856 - 420096, avg episodic return=1.70
timesteps=409856 - 420096, avg episodic return=2.60
timesteps=409856 - 420096, avg episodic return=1.70
timesteps=426240 - 441600, avg episodic return=2.10
timesteps=426240 - 436480, avg episodic return=2.43
timesteps=426240 - 436480, avg episodic return=1.70
timesteps=442624 - 457984, avg episodic return=1.85
timesteps=447744 - 447744, avg episodic return=3.10
timesteps=442624 - 447744, avg episodic return=1.10
timesteps=469248 - 469248, avg episodic return=1.10
timesteps=459008 - 474368, avg episodic return=1.77
timesteps=464128 - 474368, avg episodic return=1.70
timesteps=475392 - 490752, avg episodic return=1.96
timesteps=475392 - 490752, avg episodic return=1.67
timesteps=480512 - 490752, avg episodic return=2.10
timesteps=491776 - 507136, avg episodic return=1.43
timesteps=496896 - 507136, avg episodic return=1.90
timesteps=502016 - 507136, avg episodic return=1.90
timesteps=513280 - 523520, avg episodic return=1.60
timesteps=508160 - 523520, avg episodic return=2.30
timesteps=518400 - 518400, avg episodic return=2.10
timesteps=524544 - 539904, avg episodic return=2.35
timesteps=524544 - 534784, avg episodic return=2.43
timesteps=529664 - 539904, avg episodic return=1.60
timesteps=540928 - 556288, avg episodic return=1.60
timesteps=551168 - 556288, avg episodic return=2.43
timesteps=540928 - 556288, avg episodic return=2.10
timesteps=557312 - 567552, avg episodic return=2.85
timesteps=557312 - 572672, avg episodic return=2.70
timesteps=557312 - 567552, avg episodic return=1.90
timesteps=578816 - 589056, avg episodic return=2.35
timesteps=573696 - 589056, avg episodic return=2.35
timesteps=573696 - 573696, avg episodic return=1.10
timesteps=595200 - 605440, avg episodic return=1.35
timesteps=595200 - 605440, avg episodic return=4.10
timesteps=600320 - 600320, avg episodic return=1.10
timesteps=611584 - 621824, avg episodic return=1.60
timesteps=606464 - 616704, avg episodic return=2.10
timesteps=606464 - 616704, avg episodic return=1.70
timesteps=622848 - 638208, avg episodic return=1.60
timesteps=627968 - 638208, avg episodic return=2.27
timesteps=627968 - 638208, avg episodic return=2.10
timesteps=639232 - 654592, avg episodic return=1.77
timesteps=644352 - 654592, avg episodic return=1.77
timesteps=639232 - 639232, avg episodic return=2.43
timesteps=670976 - 670976, avg episodic return=2.10
timesteps=655616 - 670976, avg episodic return=1.43
timesteps=655616 - 665856, avg episodic return=1.50
timesteps=672000 - 687360, avg episodic return=1.85
timesteps=672000 - 682240, avg episodic return=2.67
timesteps=672000 - 687360, avg episodic return=1.77
timesteps=688384 - 703744, avg episodic return=1.50
timesteps=698624 - 703744, avg episodic return=2.10
timesteps=688384 - 698624, avg episodic return=2.35
timesteps=709888 - 720128, avg episodic return=1.93
timesteps=709888 - 720128, avg episodic return=2.35
timesteps=704768 - 704768, avg episodic return=2.60
timesteps=736512 - 736512, avg episodic return=3.10
timesteps=721152 - 731392, avg episodic return=2.10
timesteps=721152 - 736512, avg episodic return=2.10
timesteps=737536 - 747776, avg episodic return=1.70
timesteps=737536 - 752896, avg episodic return=1.85
timesteps=747776 - 752896, avg episodic return=2.43
timesteps=753920 - 769280, avg episodic return=2.10
timesteps=753920 - 753920, avg episodic return=3.10
timesteps=759040 - 764160, avg episodic return=1.85
timesteps=770304 - 785664, avg episodic return=1.70
timesteps=770304 - 775424, avg episodic return=1.77
timesteps=770304 - 785664, avg episodic return=2.10
timesteps=786688 - 802048, avg episodic return=1.80
timesteps=786688 - 802048, avg episodic return=1.77
timesteps=786688 - 802048, avg episodic return=1.43
timesteps=803072 - 803072, avg episodic return=2.10
timesteps=803072 - 818432, avg episodic return=2.77
timesteps=813312 - 818432, avg episodic return=1.10
timesteps=824576 - 834816, avg episodic return=2.10
timesteps=819456 - 834816, avg episodic return=2.10
timesteps=824576 - 834816, avg episodic return=1.10
timesteps=835840 - 851200, avg episodic return=1.77
timesteps=840960 - 846080, avg episodic return=1.60
timesteps=835840 - 851200, avg episodic return=1.60
timesteps=852224 - 857344, avg episodic return=1.60
timesteps=852224 - 867584, avg episodic return=1.39
timesteps=852224 - 867584, avg episodic return=1.30
timesteps=868608 - 883968, avg episodic return=1.60
timesteps=868608 - 878848, avg episodic return=1.70
timesteps=868608 - 873728, avg episodic return=1.85
timesteps=884992 - 900352, avg episodic return=2.85
timesteps=890112 - 895232, avg episodic return=2.77
timesteps=890112 - 890112, avg episodic return=1.10
timesteps=911616 - 911616, avg episodic return=1.77
timesteps=901376 - 916736, avg episodic return=2.10
timesteps=901376 - 916736, avg episodic return=1.70
timesteps=917760 - 933120, avg episodic return=1.60
timesteps=922880 - 933120, avg episodic return=1.77
timesteps=917760 - 933120, avg episodic return=2.40
timesteps=934144 - 949504, avg episodic return=2.10
timesteps=934144 - 934144, avg episodic return=3.10
timesteps=934144 - 944384, avg episodic return=2.10
timesteps=950528 - 965888, avg episodic return=2.35
timesteps=950528 - 965888, avg episodic return=1.98
timesteps=950528 - 965888, avg episodic return=2.10
timesteps=972032 - 982272, avg episodic return=1.77
timesteps=972032 - 982272, avg episodic return=2.60
timesteps=983296 - 998656, avg episodic return=1.81
timesteps=983296 - 988416, avg episodic return=1.10
timesteps=988416 - 998656, avg episodic return=1.60
timesteps=999680 - 1004800, avg episodic return=1.60
timesteps=1004800 - 1015040, avg episodic return=2.35
timesteps=1004800 - 1015040, avg episodic return=1.93
timesteps=1016064 - 1016064, avg episodic return=2.10
timesteps=1016064 - 1031424, avg episodic return=2.10
timesteps=1021184 - 1021184, avg episodic return=1.10
timesteps=1032448 - 1042688, avg episodic return=2.35
timesteps=1037568 - 1037568, avg episodic return=1.43
timesteps=1048832 - 1053952, avg episodic return=1.43
timesteps=1048832 - 1064192, avg episodic return=1.60
timesteps=1053952 - 1059072, avg episodic return=1.77
timesteps=1080576 - 1080576, avg episodic return=2.10
timesteps=1065216 - 1080576, avg episodic return=1.70
timesteps=1065216 - 1080576, avg episodic return=1.77
timesteps=1081600 - 1091840, avg episodic return=1.90
timesteps=1086720 - 1096960, avg episodic return=2.90
timesteps=1086720 - 1096960, avg episodic return=2.10
timesteps=1097984 - 1113344, avg episodic return=2.24
timesteps=1097984 - 1113344, avg episodic return=2.60
timesteps=1097984 - 1113344, avg episodic return=2.30
timesteps=1119488 - 1129728, avg episodic return=1.70
timesteps=1124608 - 1129728, avg episodic return=2.43
timesteps=1114368 - 1124608, avg episodic return=1.77
timesteps=1130752 - 1140992, avg episodic return=1.85
timesteps=1135872 - 1146112, avg episodic return=1.90
timesteps=1135872 - 1146112, avg episodic return=1.77
timesteps=1147136 - 1162496, avg episodic return=1.85
timesteps=1147136 - 1162496, avg episodic return=1.70
timesteps=1152256 - 1162496, avg episodic return=1.10
timesteps=1163520 - 1178880, avg episodic return=2.27
timesteps=1163520 - 1173760, avg episodic return=1.43
timesteps=1163520 - 1178880, avg episodic return=2.10
timesteps=1179904 - 1195264, avg episodic return=2.60
timesteps=1185024 - 1190144, avg episodic return=1.77
timesteps=1179904 - 1195264, avg episodic return=1.77
timesteps=1196288 - 1211648, avg episodic return=1.67
timesteps=1196288 - 1211648, avg episodic return=2.10
timesteps=1201408 - 1211648, avg episodic return=2.10
timesteps=1212672 - 1217792, avg episodic return=2.10
timesteps=1217792 - 1217792, avg episodic return=1.10
timesteps=1212672 - 1222912, avg episodic return=2.10
timesteps=1229056 - 1244416, avg episodic return=1.77
timesteps=1244416 - 1244416, avg episodic return=3.10
timesteps=1229056 - 1229056, avg episodic return=2.10
timesteps=1245440 - 1255680, avg episodic return=2.10
timesteps=1245440 - 1260800, avg episodic return=1.98
timesteps=1250560 - 1255680, avg episodic return=2.10
timesteps=1261824 - 1272064, avg episodic return=1.30
timesteps=1261824 - 1261824, avg episodic return=2.10
timesteps=1261824 - 1266944, avg episodic return=1.77
timesteps=1278208 - 1293568, avg episodic return=1.73
timesteps=1278208 - 1288448, avg episodic return=2.85
timesteps=1283328 - 1293568, avg episodic return=1.70
timesteps=1294592 - 1309952, avg episodic return=1.10
timesteps=1294592 - 1304832, avg episodic return=2.10
timesteps=1294592 - 1294592, avg episodic return=1.43
timesteps=1316096 - 1316096, avg episodic return=2.10
timesteps=1310976 - 1326336, avg episodic return=2.30
timesteps=1310976 - 1310976, avg episodic return=1.10
timesteps=1327360 - 1337600, avg episodic return=1.90
timesteps=1327360 - 1342720, avg episodic return=1.30
timesteps=1332480 - 1342720, avg episodic return=1.50
timesteps=1353984 - 1353984, avg episodic return=1.10
timesteps=1343744 - 1359104, avg episodic return=1.85
timesteps=1343744 - 1359104, avg episodic return=1.24
timesteps=1375488 - 1375488, avg episodic return=3.10
timesteps=1360128 - 1370368, avg episodic return=2.30
timesteps=1360128 - 1375488, avg episodic return=2.24
timesteps=1376512 - 1386752, avg episodic return=2.85
timesteps=1381632 - 1381632, avg episodic return=2.10
timesteps=1381632 - 1391872, avg episodic return=1.85
timesteps=1408256 - 1408256, avg episodic return=2.10
timesteps=1403136 - 1408256, avg episodic return=1.85
timesteps=1392896 - 1408256, avg episodic return=2.10
timesteps=1409280 - 1409280, avg episodic return=1.60
timesteps=1424640 - 1424640, avg episodic return=1.60
timesteps=1409280 - 1424640, avg episodic return=2.10
timesteps=1425664 - 1441024, avg episodic return=2.10
timesteps=1430784 - 1441024, avg episodic return=2.60
timesteps=1435904 - 1435904, avg episodic return=1.10
timesteps=1442048 - 1457408, avg episodic return=2.10
timesteps=1447168 - 1457408, avg episodic return=1.43
timesteps=1442048 - 1457408, avg episodic return=1.43
timesteps=1458432 - 1468672, avg episodic return=2.43
timesteps=1458432 - 1468672, avg episodic return=2.10
timesteps=1458432 - 1473792, avg episodic return=1.77
timesteps=1474816 - 1490176, avg episodic return=1.30
timesteps=1490176 - 1490176, avg episodic return=1.10
timesteps=1479936 - 1490176, avg episodic return=1.50
timesteps=1491200 - 1501440, avg episodic return=2.35
timesteps=1501440 - 1501440, avg episodic return=3.10
timesteps=1501440 - 1506560, avg episodic return=1.43
timesteps=1512704 - 1512704, avg episodic return=2.10
timesteps=1507584 - 1522944, avg episodic return=2.23
timesteps=1507584 - 1507584, avg episodic return=1.77
timesteps=1523968 - 1534208, avg episodic return=2.60
timesteps=1529088 - 1529088, avg episodic return=3.10
timesteps=1523968 - 1529088, avg episodic return=1.60
timesteps=1545472 - 1555712, avg episodic return=1.35
timesteps=1540352 - 1550592, avg episodic return=1.35
timesteps=1540352 - 1555712, avg episodic return=2.10
timesteps=1556736 - 1572096, avg episodic return=1.60
timesteps=1556736 - 1572096, avg episodic return=1.77
timesteps=1561856 - 1572096, avg episodic return=1.30
timesteps=1578240 - 1588480, avg episodic return=1.93
timesteps=1578240 - 1588480, avg episodic return=1.77
timesteps=1573120 - 1588480, avg episodic return=2.10
timesteps=1599744 - 1604864, avg episodic return=2.35
timesteps=1589504 - 1604864, avg episodic return=1.30
timesteps=1594624 - 1604864, avg episodic return=1.60
timesteps=1611008 - 1611008, avg episodic return=2.10
timesteps=1605888 - 1621248, avg episodic return=2.43
timesteps=1605888 - 1621248, avg episodic return=1.43
timesteps=1632512 - 1637632, avg episodic return=2.10
timesteps=1627392 - 1627392, avg episodic return=2.10
timesteps=1622272 - 1637632, avg episodic return=2.27
timesteps=1654016 - 1654016, avg episodic return=1.10
timesteps=1648896 - 1654016, avg episodic return=1.90
timesteps=1655040 - 1670400, avg episodic return=2.02
timesteps=1655040 - 1670400, avg episodic return=1.43
timesteps=1671424 - 1686784, avg episodic return=1.50
timesteps=1671424 - 1686784, avg episodic return=1.67
timesteps=1671424 - 1686784, avg episodic return=1.93
timesteps=1698048 - 1703168, avg episodic return=2.35
timesteps=1698048 - 1698048, avg episodic return=1.10
