## SLURM PROLOG ###############################################################
##    Job ID : 8517534
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:30:11 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=8720 - 8720, avg episodic return=10.00
timesteps=15888 - 15888, avg episodic return=-30.00
timesteps=14352 - 14352, avg episodic return=10.00
timesteps=17040 - 17040, avg episodic return=-10.00
timesteps=19088 - 19088, avg episodic return=-30.00
timesteps=21008 - 21008, avg episodic return=-10.00
timesteps=21264 - 21264, avg episodic return=10.00
timesteps=22928 - 22928, avg episodic return=0.00
timesteps=22928 - 22928, avg episodic return=10.00
timesteps=25744 - 25744, avg episodic return=-10.00
timesteps=28048 - 28048, avg episodic return=10.00
timesteps=27920 - 27920, avg episodic return=10.00
timesteps=38672 - 38672, avg episodic return=-30.00
timesteps=38672 - 38672, avg episodic return=-50.00
timesteps=38928 - 38928, avg episodic return=-40.00
timesteps=40976 - 40976, avg episodic return=0.00
timesteps=41360 - 41360, avg episodic return=-20.00
timesteps=43152 - 43152, avg episodic return=-30.00
timesteps=43280 - 43280, avg episodic return=-10.00
timesteps=45072 - 46224, avg episodic return=15.00
timesteps=45328 - 45328, avg episodic return=10.00
timesteps=47888 - 47888, avg episodic return=-140.00
timesteps=51088 - 51088, avg episodic return=20.00
timesteps=51088 - 51088, avg episodic return=10.00
timesteps=55056 - 55056, avg episodic return=-10.00
timesteps=53776 - 54032, avg episodic return=0.00
timesteps=54672 - 54672, avg episodic return=-70.00
timesteps=61712 - 61712, avg episodic return=-30.00
timesteps=66832 - 66832, avg episodic return=10.00
timesteps=67728 - 68880, avg episodic return=-10.00
timesteps=70160 - 70160, avg episodic return=10.00
timesteps=70032 - 70032, avg episodic return=0.00
timesteps=73488 - 73488, avg episodic return=0.00
timesteps=77584 - 77584, avg episodic return=20.00
timesteps=78224 - 78224, avg episodic return=20.00
