## SLURM PROLOG ###############################################################
##    Job ID : 8517534
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:30:11 PM EST 2025
###############################################################################
obs (65,)
timesteps=81424 - 81680, avg episodic return=-5.00
timesteps=80912 - 80912, avg episodic return=-10.00
timesteps=82448 - 82448, avg episodic return=-10.00
timesteps=82832 - 82960, avg episodic return=10.00
timesteps=83984 - 83984, avg episodic return=-10.00
timesteps=87056 - 87184, avg episodic return=-10.00
timesteps=89872 - 89872, avg episodic return=-80.00
timesteps=91152 - 91152, avg episodic return=-30.00
timesteps=95376 - 95376, avg episodic return=10.00
timesteps=95120 - 95120, avg episodic return=0.00
timesteps=96912 - 96912, avg episodic return=-10.00
timesteps=96528 - 97808, avg episodic return=15.00
timesteps=97168 - 97168, avg episodic return=-130.00
timesteps=102544 - 102544, avg episodic return=0.00
timesteps=103952 - 103952, avg episodic return=10.00
timesteps=105872 - 105872, avg episodic return=10.00
timesteps=106512 - 106512, avg episodic return=10.00
timesteps=109456 - 109456, avg episodic return=40.00
timesteps=110736 - 110992, avg episodic return=-5.00
timesteps=110864 - 110864, avg episodic return=-10.00
timesteps=110864 - 110864, avg episodic return=-30.00
timesteps=114832 - 114832, avg episodic return=10.00
timesteps=118288 - 118288, avg episodic return=0.00
timesteps=118160 - 118160, avg episodic return=10.00
timesteps=117648 - 118160, avg episodic return=-20.00
timesteps=121232 - 121232, avg episodic return=0.00
timesteps=122256 - 122256, avg episodic return=0.00
timesteps=122384 - 122384, avg episodic return=-30.00
timesteps=123280 - 123280, avg episodic return=10.00
timesteps=124944 - 124944, avg episodic return=20.00
timesteps=125200 - 125200, avg episodic return=10.00
timesteps=127248 - 127248, avg episodic return=0.00
timesteps=128016 - 128016, avg episodic return=10.00
timesteps=133008 - 133008, avg episodic return=-40.00
timesteps=131344 - 131344, avg episodic return=10.00
timesteps=132880 - 132880, avg episodic return=-40.00
timesteps=133648 - 133648, avg episodic return=-10.00
timesteps=134288 - 134288, avg episodic return=20.00
timesteps=135824 - 135824, avg episodic return=10.00
timesteps=135184 - 135184, avg episodic return=10.00
timesteps=138256 - 139024, avg episodic return=10.00
timesteps=138896 - 138896, avg episodic return=-20.00
timesteps=137872 - 137872, avg episodic return=-50.00
timesteps=138896 - 138896, avg episodic return=20.00
timesteps=139280 - 140304, avg episodic return=10.00
timesteps=142352 - 142608, avg episodic return=0.00
timesteps=142224 - 142224, avg episodic return=-10.00
timesteps=144144 - 144656, avg episodic return=10.00
timesteps=146064 - 146064, avg episodic return=10.00
timesteps=146448 - 147344, avg episodic return=0.00
timesteps=146192 - 147344, avg episodic return=10.00
timesteps=150032 - 150032, avg episodic return=0.00
timesteps=150672 - 151440, avg episodic return=-13.33
timesteps=149648 - 149648, avg episodic return=10.00
timesteps=150928 - 151056, avg episodic return=10.00
timesteps=152208 - 152208, avg episodic return=0.00
timesteps=153104 - 153104, avg episodic return=-10.00
timesteps=152848 - 152848, avg episodic return=-20.00
timesteps=153616 - 154384, avg episodic return=0.00
timesteps=157072 - 157072, avg episodic return=0.00
timesteps=156560 - 156560, avg episodic return=10.00
timesteps=158608 - 158608, avg episodic return=10.00
timesteps=160656 - 160656, avg episodic return=0.00
timesteps=160912 - 160912, avg episodic return=10.00
timesteps=160016 - 160016, avg episodic return=10.00
timesteps=162832 - 162832, avg episodic return=10.00
timesteps=162064 - 162576, avg episodic return=15.00
timesteps=163344 - 163344, avg episodic return=10.00
timesteps=163344 - 163344, avg episodic return=-10.00
timesteps=164496 - 164496, avg episodic return=10.00
timesteps=165392 - 165392, avg episodic return=20.00
timesteps=165136 - 165136, avg episodic return=20.00
timesteps=167440 - 167440, avg episodic return=20.00
timesteps=166160 - 166160, avg episodic return=-20.00
timesteps=168080 - 168080, avg episodic return=10.00
timesteps=167952 - 167952, avg episodic return=10.00
timesteps=168720 - 168720, avg episodic return=0.00
timesteps=170384 - 170384, avg episodic return=10.00
timesteps=170256 - 170256, avg episodic return=10.00
timesteps=172176 - 172176, avg episodic return=10.00
timesteps=172432 - 172432, avg episodic return=10.00
timesteps=172048 - 172048, avg episodic return=25.00
timesteps=174224 - 174864, avg episodic return=13.33
timesteps=174352 - 174864, avg episodic return=0.00
timesteps=177808 - 177808, avg episodic return=0.00
timesteps=177296 - 177552, avg episodic return=3.33
timesteps=178448 - 179216, avg episodic return=3.33
timesteps=178320 - 179472, avg episodic return=15.00
timesteps=179088 - 179088, avg episodic return=10.00
timesteps=180752 - 181648, avg episodic return=-10.00
timesteps=180624 - 180880, avg episodic return=5.00
timesteps=183056 - 183312, avg episodic return=10.00
timesteps=182288 - 182288, avg episodic return=10.00
timesteps=186128 - 186128, avg episodic return=0.00
timesteps=185488 - 185488, avg episodic return=20.00
timesteps=184336 - 184336, avg episodic return=10.00
timesteps=186768 - 186768, avg episodic return=0.00
timesteps=187152 - 187280, avg episodic return=10.00
timesteps=187920 - 187920, avg episodic return=20.00
timesteps=186896 - 186896, avg episodic return=20.00
timesteps=189968 - 190096, avg episodic return=10.00
timesteps=188944 - 188944, avg episodic return=10.00
timesteps=191632 - 192144, avg episodic return=15.00
timesteps=192144 - 192400, avg episodic return=10.00
timesteps=192016 - 192016, avg episodic return=20.00
timesteps=190736 - 192272, avg episodic return=-15.00
timesteps=194320 - 194320, avg episodic return=0.00
timesteps=193168 - 193168, avg episodic return=30.00
timesteps=194704 - 194960, avg episodic return=0.00
timesteps=195216 - 195984, avg episodic return=10.00
timesteps=195216 - 195216, avg episodic return=10.00
timesteps=195216 - 195216, avg episodic return=10.00
timesteps=197776 - 197904, avg episodic return=5.00
timesteps=196624 - 196624, avg episodic return=20.00
timesteps=197648 - 197648, avg episodic return=10.00
timesteps=198160 - 198160, avg episodic return=20.00
timesteps=196880 - 197520, avg episodic return=10.00
timesteps=200464 - 200464, avg episodic return=10.00
timesteps=199056 - 200464, avg episodic return=15.00
timesteps=201232 - 201872, avg episodic return=20.00
timesteps=201232 - 202512, avg episodic return=12.50
timesteps=200976 - 201488, avg episodic return=10.00
timesteps=201744 - 201744, avg episodic return=10.00
timesteps=201104 - 201104, avg episodic return=10.00
timesteps=203920 - 203920, avg episodic return=0.00
timesteps=203920 - 203920, avg episodic return=10.00
timesteps=206736 - 206736, avg episodic return=10.00
timesteps=206352 - 206352, avg episodic return=20.00
timesteps=206096 - 206096, avg episodic return=10.00
timesteps=205200 - 205200, avg episodic return=10.00
timesteps=206992 - 207376, avg episodic return=10.00
timesteps=206864 - 207504, avg episodic return=10.00
timesteps=207632 - 207632, avg episodic return=20.00
timesteps=208400 - 208400, avg episodic return=20.00
timesteps=210448 - 210448, avg episodic return=10.00
timesteps=209552 - 209936, avg episodic return=5.00
timesteps=210192 - 210320, avg episodic return=10.00
timesteps=212112 - 212112, avg episodic return=20.00
timesteps=211856 - 212752, avg episodic return=13.33
timesteps=210960 - 211984, avg episodic return=10.00
timesteps=211472 - 211472, avg episodic return=10.00
timesteps=211216 - 212624, avg episodic return=5.00
timesteps=213648 - 213648, avg episodic return=10.00
timesteps=213136 - 213392, avg episodic return=6.67
timesteps=214288 - 214288, avg episodic return=10.00
timesteps=214160 - 214800, avg episodic return=10.00
timesteps=214288 - 214928, avg episodic return=10.00
timesteps=216336 - 216336, avg episodic return=10.00
timesteps=215696 - 215696, avg episodic return=10.00
timesteps=215568 - 215568, avg episodic return=30.00
timesteps=217360 - 218384, avg episodic return=6.67
timesteps=217104 - 218384, avg episodic return=12.50
timesteps=218384 - 218896, avg episodic return=10.00
timesteps=217488 - 218640, avg episodic return=0.00
timesteps=217488 - 217744, avg episodic return=10.00
timesteps=219408 - 219408, avg episodic return=10.00
timesteps=219280 - 219280, avg episodic return=10.00
timesteps=219536 - 219536, avg episodic return=0.00
timesteps=219280 - 220688, avg episodic return=20.00
timesteps=222736 - 222864, avg episodic return=15.00
timesteps=222480 - 222864, avg episodic return=10.00
timesteps=221328 - 222864, avg episodic return=5.00
timesteps=223248 - 224912, avg episodic return=10.00
timesteps=223504 - 223504, avg episodic return=10.00
timesteps=223376 - 224912, avg episodic return=6.67
timesteps=223632 - 224016, avg episodic return=10.00
timesteps=225552 - 227216, avg episodic return=-5.00
timesteps=226448 - 226448, avg episodic return=10.00
timesteps=225296 - 226064, avg episodic return=10.00
timesteps=226704 - 226704, avg episodic return=0.00
timesteps=228112 - 228752, avg episodic return=5.00
timesteps=229136 - 229136, avg episodic return=0.00
timesteps=227728 - 227728, avg episodic return=10.00
timesteps=228112 - 228752, avg episodic return=10.00
timesteps=230032 - 230672, avg episodic return=13.33
timesteps=229520 - 229520, avg episodic return=10.00
timesteps=229776 - 229776, avg episodic return=0.00
timesteps=230928 - 230928, avg episodic return=0.00
timesteps=230288 - 231056, avg episodic return=15.00
timesteps=233104 - 233104, avg episodic return=10.00
timesteps=232208 - 232720, avg episodic return=10.00
timesteps=232336 - 232848, avg episodic return=10.00
timesteps=232080 - 232080, avg episodic return=20.00
timesteps=233872 - 234640, avg episodic return=5.00
timesteps=233872 - 235280, avg episodic return=5.00
timesteps=233616 - 235152, avg episodic return=6.67
timesteps=234640 - 234640, avg episodic return=10.00
timesteps=235536 - 236048, avg episodic return=10.00
timesteps=236432 - 236432, avg episodic return=10.00
timesteps=237200 - 237200, avg episodic return=20.00
timesteps=238096 - 239376, avg episodic return=10.00
timesteps=237584 - 238608, avg episodic return=6.67
timesteps=238224 - 239504, avg episodic return=10.00
timesteps=240144 - 241424, avg episodic return=10.00
timesteps=239632 - 239632, avg episodic return=10.00
timesteps=239760 - 240272, avg episodic return=10.00
timesteps=240272 - 241296, avg episodic return=10.00
timesteps=241040 - 241040, avg episodic return=10.00
timesteps=242192 - 243216, avg episodic return=-3.33
timesteps=241808 - 242448, avg episodic return=10.00
timesteps=241936 - 243600, avg episodic return=6.00
timesteps=242832 - 242960, avg episodic return=-5.00
timesteps=244880 - 245136, avg episodic return=5.00
timesteps=244496 - 245264, avg episodic return=10.00
timesteps=243728 - 244240, avg episodic return=0.00
timesteps=244368 - 245008, avg episodic return=15.00
timesteps=246288 - 246544, avg episodic return=10.00
timesteps=245776 - 245776, avg episodic return=10.00
timesteps=245904 - 247056, avg episodic return=13.33
timesteps=247696 - 247696, avg episodic return=10.00
timesteps=248208 - 248848, avg episodic return=8.00
timesteps=248208 - 248336, avg episodic return=15.00
timesteps=248592 - 249616, avg episodic return=12.50
timesteps=247952 - 249232, avg episodic return=8.00
timesteps=250128 - 250128, avg episodic return=-10.00
timesteps=250000 - 250640, avg episodic return=15.00
timesteps=250512 - 250512, avg episodic return=10.00
timesteps=250128 - 251152, avg episodic return=10.00
timesteps=252048 - 252048, avg episodic return=10.00
timesteps=252048 - 253712, avg episodic return=6.67
timesteps=252944 - 252944, avg episodic return=10.00
timesteps=255120 - 255120, avg episodic return=10.00
timesteps=254736 - 255888, avg episodic return=13.33
timesteps=253968 - 255888, avg episodic return=8.00
timesteps=254352 - 255888, avg episodic return=6.67
timesteps=254864 - 254864, avg episodic return=10.00
timesteps=256400 - 256784, avg episodic return=6.67
timesteps=256144 - 257936, avg episodic return=10.00
timesteps=256400 - 257680, avg episodic return=5.00
timesteps=259984 - 259984, avg episodic return=10.00
timesteps=258704 - 259856, avg episodic return=10.00
timesteps=259216 - 259216, avg episodic return=10.00
timesteps=258064 - 258192, avg episodic return=10.00
timesteps=260496 - 260880, avg episodic return=10.00
timesteps=261392 - 261392, avg episodic return=10.00
timesteps=260112 - 261008, avg episodic return=10.00
timesteps=261776 - 261904, avg episodic return=10.00
timesteps=262288 - 264080, avg episodic return=10.00
timesteps=262928 - 263696, avg episodic return=10.00
timesteps=263056 - 263312, avg episodic return=5.00
timesteps=262160 - 263824, avg episodic return=10.00
timesteps=262416 - 263696, avg episodic return=10.00
timesteps=264208 - 265360, avg episodic return=10.00
timesteps=264208 - 265232, avg episodic return=7.50
timesteps=264464 - 266000, avg episodic return=-3.33
timesteps=264592 - 265360, avg episodic return=10.00
timesteps=266640 - 267152, avg episodic return=10.00
timesteps=267152 - 268176, avg episodic return=3.33
timesteps=266896 - 266896, avg episodic return=10.00
timesteps=267408 - 267408, avg episodic return=10.00
timesteps=269456 - 269456, avg episodic return=10.00
timesteps=269200 - 269968, avg episodic return=10.00
timesteps=268432 - 269584, avg episodic return=10.00
timesteps=268688 - 270224, avg episodic return=10.00
timesteps=269456 - 269456, avg episodic return=10.00
timesteps=271760 - 271888, avg episodic return=10.00
timesteps=270736 - 272144, avg episodic return=10.00
timesteps=270608 - 272016, avg episodic return=15.00
timesteps=270736 - 272016, avg episodic return=13.33
timesteps=271376 - 271376, avg episodic return=10.00
timesteps=272656 - 273936, avg episodic return=8.33
timesteps=272400 - 273680, avg episodic return=10.00
timesteps=272656 - 273296, avg episodic return=5.00
timesteps=273168 - 274064, avg episodic return=10.00
timesteps=274192 - 274192, avg episodic return=10.00
timesteps=275216 - 276368, avg episodic return=10.00
timesteps=275088 - 275088, avg episodic return=-10.00
timesteps=275728 - 275856, avg episodic return=10.00
timesteps=274448 - 275984, avg episodic return=6.00
timesteps=274448 - 276240, avg episodic return=10.00
timesteps=276880 - 278416, avg episodic return=10.00
timesteps=276752 - 278288, avg episodic return=10.00
timesteps=277776 - 277776, avg episodic return=10.00
timesteps=277008 - 278160, avg episodic return=10.00
timesteps=276496 - 277776, avg episodic return=5.00
timesteps=278800 - 280336, avg episodic return=10.00
timesteps=279824 - 280208, avg episodic return=10.00
timesteps=279568 - 280208, avg episodic return=10.00
timesteps=279440 - 280464, avg episodic return=13.33
timesteps=278544 - 280208, avg episodic return=10.00
timesteps=280848 - 282384, avg episodic return=10.00
timesteps=280720 - 282128, avg episodic return=7.50
timesteps=281360 - 281360, avg episodic return=0.00
timesteps=281232 - 282256, avg episodic return=10.00
timesteps=281232 - 282512, avg episodic return=10.00
timesteps=283536 - 284176, avg episodic return=10.00
timesteps=283152 - 284432, avg episodic return=8.00
timesteps=283024 - 284432, avg episodic return=12.50
timesteps=282896 - 284048, avg episodic return=10.00
timesteps=282640 - 284304, avg episodic return=10.00
timesteps=285456 - 285840, avg episodic return=5.00
timesteps=285968 - 286608, avg episodic return=10.00
timesteps=284688 - 286480, avg episodic return=10.00
timesteps=285072 - 286352, avg episodic return=10.00
timesteps=286992 - 288144, avg episodic return=15.00
timesteps=286864 - 288528, avg episodic return=10.00
timesteps=286736 - 287760, avg episodic return=12.00
timesteps=287760 - 288272, avg episodic return=15.00
timesteps=288912 - 289936, avg episodic return=10.00
timesteps=289936 - 290320, avg episodic return=5.00
timesteps=289808 - 289808, avg episodic return=20.00
timesteps=290320 - 290320, avg episodic return=20.00
timesteps=291088 - 292496, avg episodic return=6.67
timesteps=291088 - 291472, avg episodic return=10.00
timesteps=290832 - 291344, avg episodic return=10.00
timesteps=291088 - 292752, avg episodic return=6.67
timesteps=291088 - 292752, avg episodic return=15.00
timesteps=292880 - 294672, avg episodic return=10.00
timesteps=293008 - 294800, avg episodic return=8.57
timesteps=294672 - 294672, avg episodic return=20.00
timesteps=293136 - 293136, avg episodic return=10.00
timesteps=292880 - 293776, avg episodic return=7.50
timesteps=295184 - 296080, avg episodic return=10.00
timesteps=294928 - 296592, avg episodic return=12.00
timesteps=295184 - 296592, avg episodic return=10.00
timesteps=294928 - 296848, avg episodic return=10.00
timesteps=295440 - 296720, avg episodic return=7.14
timesteps=298896 - 298896, avg episodic return=10.00
timesteps=297744 - 297744, avg episodic return=10.00
timesteps=297360 - 298000, avg episodic return=0.00
timesteps=297104 - 297104, avg episodic return=10.00
timesteps=298384 - 298640, avg episodic return=5.00
timesteps=299664 - 300048, avg episodic return=10.00
timesteps=299408 - 300176, avg episodic return=7.50
timesteps=300816 - 300816, avg episodic return=10.00
timesteps=299664 - 299920, avg episodic return=10.00
timesteps=300560 - 300560, avg episodic return=10.00
timesteps=301072 - 302864, avg episodic return=8.75
timesteps=301072 - 302992, avg episodic return=10.00
timesteps=301072 - 302224, avg episodic return=12.50
timesteps=301072 - 302736, avg episodic return=6.67
timesteps=301840 - 302992, avg episodic return=8.33
timesteps=303120 - 305040, avg episodic return=10.00
timesteps=303248 - 305040, avg episodic return=10.00
timesteps=303504 - 304656, avg episodic return=6.00
timesteps=303632 - 304912, avg episodic return=7.50
timesteps=303120 - 304656, avg episodic return=10.00
timesteps=305296 - 306448, avg episodic return=3.33
timesteps=305296 - 307088, avg episodic return=10.91
timesteps=305168 - 305168, avg episodic return=20.00
timesteps=306448 - 306448, avg episodic return=10.00
timesteps=307856 - 309008, avg episodic return=10.00
timesteps=307216 - 308752, avg episodic return=12.00
timesteps=308240 - 308880, avg episodic return=6.67
timesteps=307216 - 309008, avg episodic return=13.33
timesteps=308240 - 309136, avg episodic return=5.00
timesteps=309264 - 311184, avg episodic return=10.00
timesteps=309392 - 310928, avg episodic return=10.00
timesteps=310544 - 310800, avg episodic return=10.00
timesteps=309648 - 309904, avg episodic return=10.00
timesteps=309264 - 311056, avg episodic return=10.00
timesteps=311312 - 312848, avg episodic return=10.00
timesteps=311312 - 313232, avg episodic return=10.00
timesteps=311696 - 312976, avg episodic return=12.00
timesteps=312080 - 313232, avg episodic return=10.00
timesteps=311568 - 312976, avg episodic return=7.50
timesteps=313360 - 315024, avg episodic return=10.00
timesteps=313488 - 314256, avg episodic return=13.33
timesteps=314768 - 314768, avg episodic return=0.00
timesteps=314256 - 315152, avg episodic return=12.50
timesteps=314512 - 314512, avg episodic return=10.00
timesteps=316176 - 317328, avg episodic return=10.00
timesteps=315920 - 316816, avg episodic return=10.00
timesteps=315408 - 317200, avg episodic return=10.00
timesteps=315408 - 316944, avg episodic return=7.14
timesteps=316176 - 317200, avg episodic return=10.00
timesteps=317712 - 318992, avg episodic return=10.00
timesteps=317584 - 319120, avg episodic return=8.89
timesteps=317584 - 318992, avg episodic return=10.00
timesteps=318096 - 319120, avg episodic return=10.00
timesteps=319504 - 321424, avg episodic return=10.00
timesteps=320528 - 321296, avg episodic return=6.67
timesteps=319632 - 320784, avg episodic return=13.33
timesteps=319504 - 319888, avg episodic return=10.00
timesteps=319504 - 320912, avg episodic return=10.00
timesteps=322704 - 323088, avg episodic return=10.00
timesteps=321680 - 323216, avg episodic return=10.00
timesteps=321552 - 321808, avg episodic return=10.00
timesteps=321680 - 323472, avg episodic return=8.00
timesteps=322064 - 323344, avg episodic return=10.00
timesteps=323856 - 325008, avg episodic return=10.00
timesteps=324240 - 324240, avg episodic return=10.00
timesteps=323600 - 325264, avg episodic return=11.67
timesteps=323984 - 325392, avg episodic return=10.00
timesteps=323728 - 325136, avg episodic return=10.00
timesteps=325648 - 326928, avg episodic return=10.00
timesteps=325648 - 326928, avg episodic return=10.00
timesteps=325648 - 327568, avg episodic return=8.33
timesteps=326288 - 327440, avg episodic return=10.00
timesteps=325776 - 327568, avg episodic return=10.00
timesteps=327696 - 329360, avg episodic return=10.00
timesteps=327824 - 329360, avg episodic return=11.25
timesteps=328208 - 329616, avg episodic return=10.00
timesteps=328592 - 329616, avg episodic return=13.33
timesteps=329872 - 331664, avg episodic return=10.00
timesteps=329872 - 331536, avg episodic return=10.00
timesteps=330384 - 330384, avg episodic return=10.00
timesteps=329744 - 331664, avg episodic return=10.00
timesteps=330000 - 331664, avg episodic return=10.00
timesteps=331792 - 333712, avg episodic return=10.00
timesteps=332048 - 333200, avg episodic return=10.00
timesteps=332432 - 333456, avg episodic return=10.00
timesteps=331920 - 332816, avg episodic return=10.00
timesteps=332560 - 332560, avg episodic return=10.00
timesteps=333840 - 335760, avg episodic return=8.75
timesteps=333968 - 335632, avg episodic return=10.00
timesteps=334096 - 334736, avg episodic return=7.50
timesteps=334480 - 335760, avg episodic return=11.43
timesteps=333840 - 333968, avg episodic return=10.00
timesteps=336016 - 337552, avg episodic return=10.77
timesteps=335888 - 337680, avg episodic return=8.00
timesteps=336528 - 337680, avg episodic return=8.33
timesteps=335888 - 337680, avg episodic return=10.00
timesteps=336144 - 337296, avg episodic return=7.50
timesteps=337936 - 339600, avg episodic return=10.00
timesteps=338064 - 339856, avg episodic return=10.00
timesteps=338192 - 339472, avg episodic return=12.50
timesteps=338704 - 339600, avg episodic return=10.00
timesteps=338192 - 339600, avg episodic return=10.00
timesteps=339984 - 341776, avg episodic return=10.00
timesteps=340240 - 341904, avg episodic return=9.09
timesteps=341008 - 341264, avg episodic return=10.00
timesteps=339984 - 341776, avg episodic return=8.33
timesteps=339984 - 341776, avg episodic return=12.50
timesteps=342160 - 343824, avg episodic return=10.00
timesteps=342032 - 343824, avg episodic return=8.75
timesteps=343056 - 343056, avg episodic return=10.00
timesteps=342032 - 343952, avg episodic return=11.67
timesteps=342160 - 343696, avg episodic return=10.00
timesteps=344592 - 346000, avg episodic return=10.00
timesteps=344208 - 345872, avg episodic return=10.00
timesteps=344336 - 346000, avg episodic return=10.00
timesteps=344464 - 345872, avg episodic return=11.25
timesteps=344720 - 345872, avg episodic return=10.00
timesteps=346896 - 347920, avg episodic return=10.00
timesteps=346128 - 348048, avg episodic return=8.57
timesteps=346128 - 347280, avg episodic return=10.00
timesteps=346128 - 346768, avg episodic return=10.00
timesteps=346384 - 347536, avg episodic return=10.00
timesteps=348176 - 350096, avg episodic return=10.00
timesteps=348176 - 349968, avg episodic return=10.00
timesteps=348816 - 349968, avg episodic return=8.33
timesteps=348176 - 349840, avg episodic return=10.00
timesteps=348432 - 349712, avg episodic return=11.11
timesteps=350224 - 352016, avg episodic return=10.00
timesteps=350352 - 352016, avg episodic return=10.00
timesteps=350480 - 352016, avg episodic return=10.00
timesteps=350224 - 352016, avg episodic return=12.00
timesteps=350352 - 351248, avg episodic return=6.00
timesteps=352400 - 354064, avg episodic return=9.23
timesteps=352400 - 354064, avg episodic return=10.00
timesteps=353040 - 353040, avg episodic return=10.00
timesteps=352272 - 353936, avg episodic return=10.00
timesteps=352656 - 353424, avg episodic return=10.00
timesteps=354832 - 356240, avg episodic return=10.00
timesteps=354448 - 355600, avg episodic return=10.00
timesteps=354704 - 355728, avg episodic return=2.00
timesteps=354448 - 355216, avg episodic return=10.00
timesteps=354832 - 356240, avg episodic return=10.00
timesteps=357392 - 358160, avg episodic return=10.00
timesteps=356880 - 357776, avg episodic return=10.00
timesteps=356496 - 358160, avg episodic return=11.67
timesteps=356368 - 357392, avg episodic return=10.00
timesteps=356752 - 358032, avg episodic return=8.00
timesteps=359056 - 359568, avg episodic return=10.00
timesteps=358416 - 360336, avg episodic return=10.91
timesteps=358544 - 360336, avg episodic return=10.00
timesteps=358544 - 360080, avg episodic return=11.43
timesteps=358416 - 359952, avg episodic return=10.00
timesteps=360848 - 362256, avg episodic return=12.50
timesteps=360464 - 362384, avg episodic return=10.00
timesteps=360592 - 361872, avg episodic return=10.00
timesteps=360464 - 362384, avg episodic return=8.57
timesteps=360848 - 362256, avg episodic return=10.00
timesteps=363152 - 364048, avg episodic return=10.00
timesteps=362896 - 363792, avg episodic return=10.00
timesteps=362640 - 363920, avg episodic return=10.00
timesteps=362640 - 364432, avg episodic return=8.57
timesteps=362640 - 364432, avg episodic return=10.00
timesteps=364944 - 366224, avg episodic return=10.00
timesteps=364560 - 365712, avg episodic return=10.00
timesteps=364944 - 366352, avg episodic return=11.67
timesteps=364560 - 366480, avg episodic return=8.89
timesteps=364944 - 366224, avg episodic return=10.00
timesteps=366736 - 367632, avg episodic return=10.00
timesteps=366608 - 368272, avg episodic return=10.00
timesteps=367248 - 368528, avg episodic return=12.22
timesteps=366864 - 368272, avg episodic return=10.83
timesteps=366608 - 368528, avg episodic return=10.00
timesteps=369040 - 370192, avg episodic return=10.00
timesteps=368656 - 370320, avg episodic return=10.67
timesteps=368912 - 369936, avg episodic return=8.57
timesteps=368656 - 370320, avg episodic return=12.86
timesteps=369168 - 370320, avg episodic return=10.00
timesteps=371088 - 372240, avg episodic return=10.00
timesteps=370704 - 372624, avg episodic return=10.00
timesteps=371984 - 372368, avg episodic return=12.50
timesteps=370704 - 371088, avg episodic return=10.00
timesteps=370704 - 372368, avg episodic return=10.00
timesteps=372880 - 374672, avg episodic return=10.00
timesteps=372752 - 374672, avg episodic return=10.00
timesteps=372880 - 374672, avg episodic return=8.00
timesteps=372752 - 374416, avg episodic return=11.11
timesteps=372752 - 374672, avg episodic return=7.50
timesteps=375952 - 376720, avg episodic return=10.00
timesteps=374800 - 376592, avg episodic return=8.75
timesteps=374800 - 376720, avg episodic return=9.00
timesteps=375312 - 376592, avg episodic return=8.00
timesteps=374800 - 376464, avg episodic return=10.00
timesteps=376848 - 378512, avg episodic return=10.00
timesteps=377104 - 378256, avg episodic return=12.50
timesteps=376976 - 377872, avg episodic return=10.00
timesteps=377104 - 378768, avg episodic return=11.00
timesteps=376976 - 377360, avg episodic return=8.00
timesteps=378896 - 380816, avg episodic return=10.00
timesteps=378896 - 380560, avg episodic return=11.00
timesteps=379024 - 380816, avg episodic return=10.00
timesteps=379664 - 380176, avg episodic return=10.00
timesteps=378896 - 380304, avg episodic return=10.00
timesteps=381072 - 382864, avg episodic return=8.75
timesteps=381072 - 382864, avg episodic return=10.00
timesteps=381072 - 382864, avg episodic return=10.00
timesteps=381072 - 382352, avg episodic return=10.00
timesteps=381200 - 381200, avg episodic return=10.00
timesteps=382992 - 384144, avg episodic return=8.00
timesteps=383248 - 384656, avg episodic return=10.00
timesteps=383248 - 384656, avg episodic return=12.00
timesteps=383248 - 384400, avg episodic return=8.57
timesteps=383632 - 384784, avg episodic return=11.67
timesteps=385168 - 386832, avg episodic return=8.75
