## SLURM PROLOG ###############################################################
##    Job ID : 8517517
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 06:57:17 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3856 - 3856, avg episodic return=10.00
timesteps=4240 - 5904, avg episodic return=-3.33
timesteps=7056 - 7568, avg episodic return=10.00
timesteps=7952 - 7952, avg episodic return=10.00
timesteps=8848 - 9360, avg episodic return=5.00
timesteps=11024 - 11024, avg episodic return=10.00
timesteps=10640 - 11536, avg episodic return=16.67
timesteps=10768 - 10768, avg episodic return=10.00
timesteps=13840 - 13840, avg episodic return=20.00
timesteps=12304 - 14096, avg episodic return=6.67
timesteps=12432 - 12432, avg episodic return=10.00
timesteps=14480 - 15632, avg episodic return=3.33
timesteps=16272 - 16272, avg episodic return=20.00
timesteps=15888 - 15888, avg episodic return=10.00
timesteps=17680 - 17680, avg episodic return=10.00
timesteps=18064 - 18064, avg episodic return=10.00
timesteps=16784 - 18064, avg episodic return=10.00
timesteps=18832 - 18832, avg episodic return=10.00
timesteps=19472 - 19472, avg episodic return=-30.00
timesteps=19216 - 19216, avg episodic return=10.00
timesteps=20368 - 20368, avg episodic return=0.00
timesteps=20880 - 22416, avg episodic return=10.00
timesteps=21008 - 21008, avg episodic return=20.00
timesteps=22544 - 22544, avg episodic return=10.00
timesteps=22800 - 23952, avg episodic return=15.00
timesteps=23696 - 23696, avg episodic return=10.00
timesteps=22800 - 22800, avg episodic return=-60.00
timesteps=24592 - 26128, avg episodic return=10.00
timesteps=24720 - 26384, avg episodic return=10.00
timesteps=26256 - 26512, avg episodic return=10.00
timesteps=27152 - 27152, avg episodic return=10.00
timesteps=27024 - 28048, avg episodic return=-3.33
timesteps=27280 - 27280, avg episodic return=20.00
timesteps=29456 - 29456, avg episodic return=0.00
timesteps=29840 - 29840, avg episodic return=10.00
timesteps=29456 - 29712, avg episodic return=10.00
