## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=67600 - 68496, avg episodic return=10.00
timesteps=69648 - 71440, avg episodic return=11.67
timesteps=69904 - 71568, avg episodic return=10.00
timesteps=69776 - 71568, avg episodic return=11.67
timesteps=71184 - 71184, avg episodic return=10.00
timesteps=72208 - 73488, avg episodic return=10.00
timesteps=71696 - 73232, avg episodic return=6.67
timesteps=71952 - 73488, avg episodic return=10.00
timesteps=71696 - 73104, avg episodic return=12.00
timesteps=73872 - 75408, avg episodic return=10.00
timesteps=73744 - 75536, avg episodic return=10.00
timesteps=73872 - 75664, avg episodic return=11.25
timesteps=75280 - 75280, avg episodic return=10.00
timesteps=73744 - 75664, avg episodic return=7.50
timesteps=75792 - 77712, avg episodic return=10.00
timesteps=75792 - 77584, avg episodic return=11.00
timesteps=75920 - 77456, avg episodic return=10.00
timesteps=76304 - 76304, avg episodic return=20.00
timesteps=76304 - 77584, avg episodic return=8.75
timesteps=77968 - 79760, avg episodic return=9.17
timesteps=78224 - 79504, avg episodic return=6.67
timesteps=77968 - 79504, avg episodic return=9.00
timesteps=77968 - 79120, avg episodic return=10.00
timesteps=80144 - 81680, avg episodic return=10.00
timesteps=80528 - 81552, avg episodic return=10.00
timesteps=80016 - 81680, avg episodic return=10.00
timesteps=80016 - 81680, avg episodic return=9.09
timesteps=82448 - 83728, avg episodic return=8.89
timesteps=82192 - 83728, avg episodic return=5.00
timesteps=81936 - 83600, avg episodic return=7.00
timesteps=82448 - 83216, avg episodic return=15.00
timesteps=82064 - 83728, avg episodic return=10.00
timesteps=83984 - 85520, avg episodic return=8.00
timesteps=85776 - 85776, avg episodic return=10.00
timesteps=83984 - 85904, avg episodic return=10.00
timesteps=84368 - 85648, avg episodic return=10.00
timesteps=84240 - 85904, avg episodic return=9.41
timesteps=86288 - 87696, avg episodic return=10.00
timesteps=86800 - 87568, avg episodic return=13.33
timesteps=87696 - 87952, avg episodic return=10.00
timesteps=86032 - 87952, avg episodic return=10.00
timesteps=88208 - 89360, avg episodic return=12.50
timesteps=88336 - 89744, avg episodic return=11.67
timesteps=88080 - 89488, avg episodic return=10.00
timesteps=88592 - 88592, avg episodic return=-10.00
timesteps=88208 - 90000, avg episodic return=10.77
timesteps=90512 - 91792, avg episodic return=10.00
timesteps=90128 - 92048, avg episodic return=7.50
timesteps=90384 - 91408, avg episodic return=12.00
timesteps=90384 - 91280, avg episodic return=10.00
timesteps=90128 - 91408, avg episodic return=10.00
timesteps=92304 - 93968, avg episodic return=10.00
timesteps=92432 - 94096, avg episodic return=10.00
timesteps=92304 - 93584, avg episodic return=10.00
timesteps=92304 - 93968, avg episodic return=3.33
timesteps=92688 - 94096, avg episodic return=10.00
timesteps=94352 - 95504, avg episodic return=10.00
