## SLURM PROLOG ###############################################################
##    Job ID : 8525514
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 03:03:00 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=43264 - 48384, avg episodic return=0.60
timesteps=43264 - 48384, avg episodic return=-0.23
timesteps=48384 - 48384, avg episodic return=1.10
timesteps=54528 - 64768, avg episodic return=2.10
timesteps=49408 - 59648, avg episodic return=1.70
timesteps=49408 - 64768, avg episodic return=1.60
timesteps=65792 - 81152, avg episodic return=2.60
timesteps=65792 - 76032, avg episodic return=1.35
timesteps=65792 - 76032, avg episodic return=1.85
timesteps=82176 - 97536, avg episodic return=2.43
timesteps=82176 - 87296, avg episodic return=1.60
timesteps=82176 - 97536, avg episodic return=2.10
timesteps=98560 - 113920, avg episodic return=2.43
timesteps=98560 - 113920, avg episodic return=3.10
timesteps=98560 - 113920, avg episodic return=2.10
timesteps=120064 - 120064, avg episodic return=0.10
timesteps=114944 - 114944, avg episodic return=2.10
timesteps=114944 - 120064, avg episodic return=2.10
timesteps=141568 - 146688, avg episodic return=2.77
timesteps=131328 - 146688, avg episodic return=2.90
timesteps=147712 - 163072, avg episodic return=3.27
timesteps=152832 - 163072, avg episodic return=3.70
timesteps=147712 - 163072, avg episodic return=3.53
timesteps=164096 - 174336, avg episodic return=3.10
timesteps=164096 - 179456, avg episodic return=3.60
timesteps=164096 - 169216, avg episodic return=3.43
timesteps=180480 - 185600, avg episodic return=2.43
timesteps=185600 - 185600, avg episodic return=3.85
timesteps=180480 - 195840, avg episodic return=3.30
timesteps=196864 - 207104, avg episodic return=3.43
timesteps=196864 - 207104, avg episodic return=2.90
timesteps=201984 - 212224, avg episodic return=3.10
timesteps=223488 - 223488, avg episodic return=2.60
timesteps=213248 - 223488, avg episodic return=2.77
timesteps=218368 - 228608, avg episodic return=2.60
timesteps=229632 - 244992, avg episodic return=3.10
timesteps=229632 - 244992, avg episodic return=3.10
timesteps=229632 - 239872, avg episodic return=3.43
timesteps=256256 - 256256, avg episodic return=3.60
timesteps=262400 - 262400, avg episodic return=2.10
timesteps=262400 - 272640, avg episodic return=3.10
timesteps=267520 - 277760, avg episodic return=2.70
timesteps=278784 - 294144, avg episodic return=3.10
timesteps=278784 - 294144, avg episodic return=3.43
timesteps=278784 - 294144, avg episodic return=2.90
timesteps=295168 - 310528, avg episodic return=2.66
timesteps=295168 - 295168, avg episodic return=2.10
timesteps=305408 - 310528, avg episodic return=2.43
timesteps=311552 - 321792, avg episodic return=2.35
timesteps=316672 - 321792, avg episodic return=2.10
timesteps=311552 - 326912, avg episodic return=2.53
timesteps=327936 - 343296, avg episodic return=2.30
timesteps=327936 - 343296, avg episodic return=3.35
timesteps=333056 - 343296, avg episodic return=2.43
timesteps=344320 - 344320, avg episodic return=1.10
timesteps=344320 - 354560, avg episodic return=2.85
timesteps=344320 - 344320, avg episodic return=2.10
timesteps=360704 - 376064, avg episodic return=2.85
timesteps=360704 - 376064, avg episodic return=2.70
timesteps=360704 - 360704, avg episodic return=2.60
timesteps=387328 - 392448, avg episodic return=2.60
timesteps=377088 - 392448, avg episodic return=2.67
timesteps=382208 - 392448, avg episodic return=2.30
timesteps=398592 - 403712, avg episodic return=2.10
timesteps=403712 - 408832, avg episodic return=2.77
timesteps=393472 - 393472, avg episodic return=2.35
timesteps=409856 - 425216, avg episodic return=3.43
timesteps=409856 - 425216, avg episodic return=2.67
timesteps=409856 - 425216, avg episodic return=2.90
timesteps=441600 - 441600, avg episodic return=2.60
timesteps=436480 - 441600, avg episodic return=2.10
timesteps=426240 - 441600, avg episodic return=2.77
timesteps=442624 - 457984, avg episodic return=2.50
timesteps=447744 - 452864, avg episodic return=2.85
timesteps=447744 - 457984, avg episodic return=3.60
timesteps=464128 - 474368, avg episodic return=2.50
timesteps=459008 - 474368, avg episodic return=2.60
timesteps=459008 - 469248, avg episodic return=2.60
timesteps=475392 - 485632, avg episodic return=2.60
timesteps=480512 - 480512, avg episodic return=4.10
timesteps=475392 - 490752, avg episodic return=2.77
timesteps=491776 - 496896, avg episodic return=3.10
timesteps=491776 - 502016, avg episodic return=3.10
timesteps=491776 - 507136, avg episodic return=2.77
timesteps=508160 - 518400, avg episodic return=3.60
timesteps=513280 - 518400, avg episodic return=2.43
timesteps=508160 - 518400, avg episodic return=3.10
timesteps=529664 - 529664, avg episodic return=3.10
timesteps=524544 - 539904, avg episodic return=2.90
timesteps=529664 - 534784, avg episodic return=2.35
timesteps=540928 - 556288, avg episodic return=3.67
timesteps=540928 - 556288, avg episodic return=3.27
timesteps=556288 - 556288, avg episodic return=2.10
timesteps=562432 - 572672, avg episodic return=3.60
timesteps=557312 - 572672, avg episodic return=2.10
timesteps=557312 - 562432, avg episodic return=3.10
timesteps=573696 - 589056, avg episodic return=3.67
timesteps=573696 - 583936, avg episodic return=3.50
timesteps=573696 - 589056, avg episodic return=2.77
timesteps=590080 - 595200, avg episodic return=2.60
timesteps=590080 - 600320, avg episodic return=2.35
timesteps=590080 - 600320, avg episodic return=2.10
timesteps=616704 - 616704, avg episodic return=2.35
timesteps=606464 - 616704, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=3.27
timesteps=627968 - 633088, avg episodic return=3.10
timesteps=622848 - 633088, avg episodic return=2.60
timesteps=622848 - 633088, avg episodic return=3.43
timesteps=639232 - 654592, avg episodic return=3.10
timesteps=639232 - 644352, avg episodic return=4.10
timesteps=639232 - 654592, avg episodic return=3.10
timesteps=665856 - 670976, avg episodic return=3.60
timesteps=655616 - 670976, avg episodic return=2.83
timesteps=655616 - 665856, avg episodic return=3.24
timesteps=672000 - 682240, avg episodic return=3.60
timesteps=672000 - 687360, avg episodic return=3.50
timesteps=672000 - 687360, avg episodic return=3.10
timesteps=688384 - 703744, avg episodic return=3.10
timesteps=688384 - 703744, avg episodic return=3.10
timesteps=688384 - 703744, avg episodic return=2.77
timesteps=709888 - 720128, avg episodic return=3.60
timesteps=709888 - 720128, avg episodic return=2.85
timesteps=704768 - 720128, avg episodic return=2.60
timesteps=726272 - 736512, avg episodic return=3.30
timesteps=721152 - 736512, avg episodic return=3.85
timesteps=721152 - 726272, avg episodic return=3.10
timesteps=747776 - 752896, avg episodic return=4.10
timesteps=752896 - 752896, avg episodic return=2.77
timesteps=737536 - 747776, avg episodic return=2.50
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=759040 - 764160, avg episodic return=3.60
timesteps=753920 - 764160, avg episodic return=3.10
timesteps=770304 - 770304, avg episodic return=3.60
timesteps=775424 - 785664, avg episodic return=3.10
timesteps=785664 - 785664, avg episodic return=3.10
timesteps=786688 - 796928, avg episodic return=2.77
timesteps=786688 - 802048, avg episodic return=3.10
timesteps=791808 - 796928, avg episodic return=2.60
timesteps=803072 - 813312, avg episodic return=3.10
timesteps=803072 - 813312, avg episodic return=2.85
timesteps=803072 - 818432, avg episodic return=2.90
timesteps=829696 - 834816, avg episodic return=2.90
timesteps=824576 - 834816, avg episodic return=2.43
timesteps=819456 - 834816, avg episodic return=3.10
timesteps=840960 - 851200, avg episodic return=2.50
timesteps=835840 - 851200, avg episodic return=3.60
timesteps=835840 - 851200, avg episodic return=2.98
timesteps=862464 - 867584, avg episodic return=3.30
timesteps=852224 - 867584, avg episodic return=2.70
timesteps=868608 - 883968, avg episodic return=3.10
timesteps=873728 - 878848, avg episodic return=2.77
timesteps=868608 - 873728, avg episodic return=3.60
timesteps=895232 - 895232, avg episodic return=3.10
timesteps=890112 - 900352, avg episodic return=2.60
timesteps=884992 - 900352, avg episodic return=2.10
timesteps=901376 - 916736, avg episodic return=2.35
timesteps=916736 - 916736, avg episodic return=3.10
timesteps=901376 - 916736, avg episodic return=3.77
timesteps=917760 - 928000, avg episodic return=2.90
timesteps=922880 - 922880, avg episodic return=2.60
timesteps=928000 - 933120, avg episodic return=3.60
timesteps=939264 - 944384, avg episodic return=2.43
timesteps=934144 - 944384, avg episodic return=3.10
timesteps=934144 - 949504, avg episodic return=2.60
timesteps=950528 - 955648, avg episodic return=1.43
timesteps=950528 - 965888, avg episodic return=3.10
timesteps=966912 - 982272, avg episodic return=2.60
timesteps=972032 - 982272, avg episodic return=3.35
timesteps=966912 - 966912, avg episodic return=1.60
timesteps=988416 - 988416, avg episodic return=4.10
timesteps=993536 - 998656, avg episodic return=2.50
timesteps=998656 - 998656, avg episodic return=2.10
timesteps=999680 - 1015040, avg episodic return=2.77
timesteps=999680 - 1015040, avg episodic return=3.70
timesteps=1004800 - 1015040, avg episodic return=3.77
timesteps=1016064 - 1031424, avg episodic return=3.60
timesteps=1016064 - 1026304, avg episodic return=2.10
timesteps=1042688 - 1047808, avg episodic return=4.10
timesteps=1032448 - 1047808, avg episodic return=2.43
timesteps=1032448 - 1047808, avg episodic return=2.43
timesteps=1048832 - 1059072, avg episodic return=3.10
timesteps=1059072 - 1059072, avg episodic return=3.60
timesteps=1064192 - 1064192, avg episodic return=2.10
timesteps=1075456 - 1080576, avg episodic return=3.30
timesteps=1065216 - 1080576, avg episodic return=3.67
timesteps=1065216 - 1075456, avg episodic return=2.77
timesteps=1081600 - 1096960, avg episodic return=3.77
timesteps=1081600 - 1096960, avg episodic return=4.43
timesteps=1086720 - 1091840, avg episodic return=2.43
timesteps=1097984 - 1113344, avg episodic return=2.60
timesteps=1103104 - 1113344, avg episodic return=3.10
timesteps=1097984 - 1113344, avg episodic return=2.70
timesteps=1129728 - 1129728, avg episodic return=4.10
timesteps=1114368 - 1119488, avg episodic return=3.10
timesteps=1114368 - 1124608, avg episodic return=2.10
timesteps=1135872 - 1135872, avg episodic return=2.60
timesteps=1135872 - 1135872, avg episodic return=3.10
timesteps=1130752 - 1130752, avg episodic return=3.10
timesteps=1147136 - 1162496, avg episodic return=3.23
timesteps=1152256 - 1157376, avg episodic return=3.30
timesteps=1147136 - 1162496, avg episodic return=2.60
timesteps=1168640 - 1178880, avg episodic return=3.10
timesteps=1163520 - 1173760, avg episodic return=3.77
timesteps=1163520 - 1178880, avg episodic return=2.60
timesteps=1179904 - 1190144, avg episodic return=4.10
timesteps=1179904 - 1195264, avg episodic return=4.43
timesteps=1196288 - 1211648, avg episodic return=2.60
timesteps=1196288 - 1211648, avg episodic return=3.77
timesteps=1228032 - 1228032, avg episodic return=4.10
timesteps=1212672 - 1228032, avg episodic return=2.85
timesteps=1212672 - 1222912, avg episodic return=2.10
timesteps=1229056 - 1244416, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=4.60
timesteps=1239296 - 1244416, avg episodic return=2.10
timesteps=1245440 - 1250560, avg episodic return=3.60
timesteps=1250560 - 1260800, avg episodic return=3.35
timesteps=1250560 - 1260800, avg episodic return=2.85
timesteps=1272064 - 1277184, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=3.60
timesteps=1261824 - 1277184, avg episodic return=3.10
timesteps=1288448 - 1293568, avg episodic return=2.43
timesteps=1283328 - 1283328, avg episodic return=5.10
timesteps=1278208 - 1293568, avg episodic return=3.43
timesteps=1294592 - 1309952, avg episodic return=2.54
timesteps=1294592 - 1304832, avg episodic return=3.53
timesteps=1294592 - 1309952, avg episodic return=2.85
timesteps=1316096 - 1326336, avg episodic return=3.35
timesteps=1321216 - 1321216, avg episodic return=2.10
timesteps=1321216 - 1321216, avg episodic return=4.10
timesteps=1327360 - 1337600, avg episodic return=2.60
timesteps=1327360 - 1337600, avg episodic return=3.90
timesteps=1332480 - 1332480, avg episodic return=1.10
timesteps=1343744 - 1359104, avg episodic return=3.35
timesteps=1343744 - 1353984, avg episodic return=3.27
timesteps=1348864 - 1348864, avg episodic return=3.60
timesteps=1360128 - 1375488, avg episodic return=3.10
timesteps=1360128 - 1365248, avg episodic return=3.10
timesteps=1365248 - 1370368, avg episodic return=2.10
timesteps=1386752 - 1391872, avg episodic return=3.60
timesteps=1376512 - 1391872, avg episodic return=3.60
timesteps=1376512 - 1381632, avg episodic return=2.93
timesteps=1403136 - 1403136, avg episodic return=4.60
timesteps=1392896 - 1408256, avg episodic return=4.60
timesteps=1392896 - 1408256, avg episodic return=4.10
timesteps=1409280 - 1424640, avg episodic return=2.85
timesteps=1409280 - 1424640, avg episodic return=4.10
timesteps=1409280 - 1419520, avg episodic return=2.77
timesteps=1430784 - 1430784, avg episodic return=3.10
timesteps=1425664 - 1435904, avg episodic return=3.60
timesteps=1425664 - 1441024, avg episodic return=2.77
timesteps=1442048 - 1457408, avg episodic return=3.24
timesteps=1442048 - 1447168, avg episodic return=3.60
timesteps=1442048 - 1447168, avg episodic return=3.60
timesteps=1468672 - 1473792, avg episodic return=3.60
timesteps=1463552 - 1473792, avg episodic return=4.10
timesteps=1473792 - 1473792, avg episodic return=4.10
timesteps=1479936 - 1479936, avg episodic return=4.10
timesteps=1490176 - 1490176, avg episodic return=3.60
timesteps=1474816 - 1490176, avg episodic return=3.35
timesteps=1501440 - 1506560, avg episodic return=3.10
timesteps=1491200 - 1506560, avg episodic return=3.10
timesteps=1491200 - 1506560, avg episodic return=3.60
timesteps=1512704 - 1517824, avg episodic return=2.60
timesteps=1507584 - 1522944, avg episodic return=4.81
timesteps=1507584 - 1522944, avg episodic return=3.70
timesteps=1523968 - 1534208, avg episodic return=3.50
timesteps=1523968 - 1539328, avg episodic return=4.43
timesteps=1529088 - 1539328, avg episodic return=3.43
timesteps=1540352 - 1555712, avg episodic return=3.77
timesteps=1540352 - 1555712, avg episodic return=3.50
timesteps=1540352 - 1555712, avg episodic return=3.35
timesteps=1561856 - 1572096, avg episodic return=3.10
timesteps=1556736 - 1572096, avg episodic return=4.60
timesteps=1566976 - 1566976, avg episodic return=3.10
timesteps=1588480 - 1588480, avg episodic return=3.60
timesteps=1573120 - 1588480, avg episodic return=4.35
timesteps=1573120 - 1588480, avg episodic return=3.43
timesteps=1589504 - 1604864, avg episodic return=3.10
timesteps=1594624 - 1604864, avg episodic return=3.10
timesteps=1589504 - 1599744, avg episodic return=2.85
timesteps=1605888 - 1621248, avg episodic return=2.99
timesteps=1605888 - 1621248, avg episodic return=4.70
timesteps=1611008 - 1621248, avg episodic return=3.93
timesteps=1622272 - 1637632, avg episodic return=3.10
timesteps=1622272 - 1632512, avg episodic return=4.77
timesteps=1622272 - 1632512, avg episodic return=3.43
timesteps=1648896 - 1654016, avg episodic return=3.85
timesteps=1638656 - 1654016, avg episodic return=4.50
timesteps=1638656 - 1643776, avg episodic return=2.77
timesteps=1655040 - 1670400, avg episodic return=3.60
timesteps=1660160 - 1660160, avg episodic return=4.10
timesteps=1655040 - 1670400, avg episodic return=3.67
timesteps=1676544 - 1686784, avg episodic return=4.30
timesteps=1671424 - 1676544, avg episodic return=3.60
timesteps=1676544 - 1686784, avg episodic return=2.10
timesteps=1687808 - 1703168, avg episodic return=3.43
timesteps=1687808 - 1698048, avg episodic return=4.60
timesteps=1687808 - 1703168, avg episodic return=2.90
timesteps=1714432 - 1719552, avg episodic return=4.60
