## SLURM PROLOG ###############################################################
##    Job ID : 8516923
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2105
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:42:08 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=1.43
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=48384 - 48384, avg episodic return=1.10
timesteps=54528 - 64768, avg episodic return=0.77
timesteps=59648 - 64768, avg episodic return=0.77
timesteps=49408 - 64768, avg episodic return=1.43
timesteps=65792 - 65792, avg episodic return=1.85
timesteps=65792 - 81152, avg episodic return=0.90
timesteps=65792 - 81152, avg episodic return=1.72
timesteps=82176 - 97536, avg episodic return=1.88
timesteps=82176 - 97536, avg episodic return=1.60
timesteps=82176 - 97536, avg episodic return=2.10
timesteps=98560 - 98560, avg episodic return=2.10
timesteps=98560 - 103680, avg episodic return=2.90
timesteps=103680 - 108800, avg episodic return=1.43
timesteps=125184 - 130304, avg episodic return=0.60
timesteps=114944 - 125184, avg episodic return=1.60
timesteps=120064 - 130304, avg episodic return=2.30
timesteps=131328 - 141568, avg episodic return=2.35
timesteps=141568 - 141568, avg episodic return=4.60
timesteps=131328 - 141568, avg episodic return=2.85
timesteps=147712 - 163072, avg episodic return=3.43
timesteps=147712 - 163072, avg episodic return=2.96
timesteps=157952 - 163072, avg episodic return=2.10
timesteps=164096 - 179456, avg episodic return=3.70
timesteps=164096 - 174336, avg episodic return=3.27
timesteps=164096 - 179456, avg episodic return=2.10
timesteps=180480 - 195840, avg episodic return=2.50
timesteps=185600 - 195840, avg episodic return=3.77
timesteps=180480 - 190720, avg episodic return=2.70
timesteps=207104 - 207104, avg episodic return=2.10
timesteps=196864 - 207104, avg episodic return=2.67
timesteps=196864 - 201984, avg episodic return=3.10
timesteps=228608 - 228608, avg episodic return=3.10
timesteps=218368 - 223488, avg episodic return=3.10
timesteps=218368 - 228608, avg episodic return=2.60
timesteps=229632 - 239872, avg episodic return=2.77
timesteps=229632 - 244992, avg episodic return=2.54
timesteps=239872 - 244992, avg episodic return=3.10
timesteps=261376 - 261376, avg episodic return=4.10
timesteps=256256 - 261376, avg episodic return=2.10
timesteps=246016 - 251136, avg episodic return=3.43
timesteps=267520 - 277760, avg episodic return=2.77
timesteps=267520 - 267520, avg episodic return=3.10
timesteps=267520 - 267520, avg episodic return=2.60
timesteps=278784 - 278784, avg episodic return=3.10
timesteps=283904 - 294144, avg episodic return=3.90
timesteps=278784 - 278784, avg episodic return=3.10
timesteps=295168 - 305408, avg episodic return=3.35
timesteps=295168 - 295168, avg episodic return=4.10
timesteps=300288 - 305408, avg episodic return=2.43
timesteps=316672 - 316672, avg episodic return=3.60
timesteps=311552 - 326912, avg episodic return=3.30
timesteps=311552 - 321792, avg episodic return=3.43
timesteps=333056 - 338176, avg episodic return=3.10
timesteps=327936 - 343296, avg episodic return=2.60
timesteps=327936 - 343296, avg episodic return=2.96
timesteps=349440 - 359680, avg episodic return=3.10
timesteps=344320 - 349440, avg episodic return=3.10
timesteps=344320 - 359680, avg episodic return=2.60
timesteps=365824 - 376064, avg episodic return=3.10
timesteps=365824 - 376064, avg episodic return=2.77
timesteps=360704 - 376064, avg episodic return=2.85
timesteps=382208 - 382208, avg episodic return=2.60
timesteps=377088 - 392448, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=2.35
timesteps=398592 - 403712, avg episodic return=3.77
timesteps=398592 - 408832, avg episodic return=3.70
timesteps=403712 - 408832, avg episodic return=3.60
timesteps=414976 - 414976, avg episodic return=4.10
timesteps=409856 - 425216, avg episodic return=3.35
timesteps=409856 - 420096, avg episodic return=3.60
timesteps=426240 - 441600, avg episodic return=3.48
timesteps=426240 - 441600, avg episodic return=3.60
timesteps=426240 - 436480, avg episodic return=3.10
timesteps=442624 - 457984, avg episodic return=2.53
timesteps=442624 - 457984, avg episodic return=3.10
timesteps=442624 - 457984, avg episodic return=2.43
timesteps=459008 - 474368, avg episodic return=2.90
timesteps=464128 - 474368, avg episodic return=3.70
timesteps=464128 - 474368, avg episodic return=2.50
timesteps=480512 - 490752, avg episodic return=2.93
timesteps=475392 - 480512, avg episodic return=3.10
timesteps=480512 - 485632, avg episodic return=2.77
timesteps=491776 - 502016, avg episodic return=2.77
timesteps=491776 - 507136, avg episodic return=2.70
timesteps=496896 - 507136, avg episodic return=2.35
timesteps=513280 - 523520, avg episodic return=4.10
timesteps=508160 - 518400, avg episodic return=1.90
timesteps=513280 - 523520, avg episodic return=2.77
timesteps=524544 - 539904, avg episodic return=2.10
timesteps=524544 - 534784, avg episodic return=2.10
timesteps=534784 - 534784, avg episodic return=3.60
timesteps=540928 - 551168, avg episodic return=4.60
timesteps=540928 - 556288, avg episodic return=2.60
timesteps=546048 - 556288, avg episodic return=1.77
timesteps=557312 - 567552, avg episodic return=2.85
timesteps=557312 - 567552, avg episodic return=1.85
timesteps=567552 - 572672, avg episodic return=2.10
timesteps=578816 - 583936, avg episodic return=1.43
timesteps=573696 - 589056, avg episodic return=1.77
timesteps=578816 - 589056, avg episodic return=2.60
timesteps=590080 - 595200, avg episodic return=3.10
timesteps=590080 - 605440, avg episodic return=2.30
timesteps=590080 - 605440, avg episodic return=2.35
timesteps=611584 - 621824, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=2.10
timesteps=616704 - 616704, avg episodic return=3.10
timesteps=627968 - 633088, avg episodic return=2.10
timesteps=633088 - 638208, avg episodic return=2.10
timesteps=622848 - 633088, avg episodic return=2.10
timesteps=639232 - 654592, avg episodic return=2.70
timesteps=639232 - 654592, avg episodic return=2.43
timesteps=644352 - 654592, avg episodic return=1.70
timesteps=655616 - 670976, avg episodic return=2.40
timesteps=655616 - 670976, avg episodic return=2.43
timesteps=655616 - 670976, avg episodic return=2.90
timesteps=682240 - 687360, avg episodic return=2.60
timesteps=672000 - 682240, avg episodic return=1.70
timesteps=672000 - 687360, avg episodic return=3.50
timesteps=688384 - 698624, avg episodic return=2.30
timesteps=698624 - 703744, avg episodic return=2.10
timesteps=688384 - 698624, avg episodic return=2.60
timesteps=704768 - 720128, avg episodic return=2.50
timesteps=709888 - 720128, avg episodic return=1.60
timesteps=704768 - 715008, avg episodic return=2.77
timesteps=726272 - 731392, avg episodic return=3.10
timesteps=721152 - 736512, avg episodic return=1.70
timesteps=731392 - 731392, avg episodic return=3.10
timesteps=737536 - 752896, avg episodic return=2.30
timesteps=742656 - 752896, avg episodic return=3.10
timesteps=737536 - 752896, avg episodic return=2.77
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=753920 - 769280, avg episodic return=2.10
timesteps=759040 - 769280, avg episodic return=3.10
timesteps=770304 - 780544, avg episodic return=3.43
timesteps=770304 - 785664, avg episodic return=1.39
timesteps=770304 - 780544, avg episodic return=2.85
timesteps=786688 - 802048, avg episodic return=2.90
timesteps=791808 - 791808, avg episodic return=2.10
timesteps=786688 - 802048, avg episodic return=2.30
timesteps=803072 - 813312, avg episodic return=3.10
timesteps=803072 - 818432, avg episodic return=1.77
timesteps=803072 - 818432, avg episodic return=3.10
timesteps=819456 - 829696, avg episodic return=2.93
timesteps=829696 - 834816, avg episodic return=1.85
timesteps=829696 - 834816, avg episodic return=2.10
timesteps=835840 - 846080, avg episodic return=2.60
timesteps=840960 - 851200, avg episodic return=1.60
timesteps=840960 - 846080, avg episodic return=2.85
timesteps=857344 - 862464, avg episodic return=1.60
timesteps=852224 - 867584, avg episodic return=1.93
timesteps=852224 - 867584, avg episodic return=2.43
timesteps=868608 - 878848, avg episodic return=3.10
timesteps=868608 - 873728, avg episodic return=1.77
timesteps=868608 - 883968, avg episodic return=2.60
timesteps=895232 - 895232, avg episodic return=1.10
timesteps=884992 - 900352, avg episodic return=2.90
timesteps=901376 - 916736, avg episodic return=3.10
timesteps=906496 - 911616, avg episodic return=1.10
timesteps=906496 - 916736, avg episodic return=3.50
timesteps=917760 - 922880, avg episodic return=3.35
timesteps=917760 - 917760, avg episodic return=2.10
timesteps=917760 - 928000, avg episodic return=1.77
timesteps=934144 - 949504, avg episodic return=2.43
timesteps=939264 - 939264, avg episodic return=3.10
timesteps=944384 - 944384, avg episodic return=3.60
timesteps=950528 - 965888, avg episodic return=3.60
timesteps=950528 - 965888, avg episodic return=1.35
timesteps=955648 - 965888, avg episodic return=1.60
timesteps=966912 - 972032, avg episodic return=3.10
timesteps=972032 - 977152, avg episodic return=2.10
timesteps=977152 - 982272, avg episodic return=1.10
timesteps=998656 - 998656, avg episodic return=4.10
timesteps=983296 - 993536, avg episodic return=1.77
timesteps=983296 - 993536, avg episodic return=1.60
timesteps=999680 - 1009920, avg episodic return=3.43
timesteps=999680 - 1015040, avg episodic return=1.77
timesteps=999680 - 1009920, avg episodic return=2.81
timesteps=1016064 - 1031424, avg episodic return=3.30
timesteps=1026304 - 1026304, avg episodic return=1.43
timesteps=1021184 - 1031424, avg episodic return=2.85
timesteps=1037568 - 1042688, avg episodic return=3.10
timesteps=1032448 - 1042688, avg episodic return=1.53
timesteps=1047808 - 1047808, avg episodic return=4.10
timesteps=1053952 - 1059072, avg episodic return=2.85
timesteps=1048832 - 1064192, avg episodic return=1.35
timesteps=1053952 - 1053952, avg episodic return=1.10
timesteps=1065216 - 1080576, avg episodic return=3.60
timesteps=1065216 - 1070336, avg episodic return=2.30
timesteps=1065216 - 1070336, avg episodic return=2.85
timesteps=1081600 - 1096960, avg episodic return=4.60
timesteps=1081600 - 1096960, avg episodic return=1.10
timesteps=1086720 - 1096960, avg episodic return=3.10
timesteps=1097984 - 1113344, avg episodic return=3.10
timesteps=1097984 - 1113344, avg episodic return=2.60
timesteps=1097984 - 1113344, avg episodic return=3.39
timesteps=1119488 - 1124608, avg episodic return=2.77
timesteps=1114368 - 1124608, avg episodic return=1.70
timesteps=1114368 - 1129728, avg episodic return=3.60
timesteps=1130752 - 1146112, avg episodic return=2.81
timesteps=1130752 - 1140992, avg episodic return=1.77
timesteps=1140992 - 1146112, avg episodic return=2.60
timesteps=1147136 - 1157376, avg episodic return=3.60
timesteps=1147136 - 1157376, avg episodic return=1.60
timesteps=1162496 - 1162496, avg episodic return=2.10
timesteps=1173760 - 1178880, avg episodic return=2.90
timesteps=1163520 - 1173760, avg episodic return=1.43
timesteps=1179904 - 1190144, avg episodic return=1.77
timesteps=1179904 - 1190144, avg episodic return=3.10
timesteps=1196288 - 1211648, avg episodic return=3.10
timesteps=1196288 - 1206528, avg episodic return=1.60
timesteps=1196288 - 1211648, avg episodic return=3.43
timesteps=1217792 - 1222912, avg episodic return=2.10
timesteps=1212672 - 1228032, avg episodic return=1.85
timesteps=1212672 - 1212672, avg episodic return=3.10
timesteps=1229056 - 1234176, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=3.43
timesteps=1234176 - 1244416, avg episodic return=1.85
timesteps=1245440 - 1260800, avg episodic return=2.81
timesteps=1245440 - 1260800, avg episodic return=1.70
timesteps=1261824 - 1277184, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=2.24
timesteps=1272064 - 1277184, avg episodic return=2.85
timesteps=1283328 - 1293568, avg episodic return=3.10
timesteps=1283328 - 1288448, avg episodic return=2.50
timesteps=1288448 - 1288448, avg episodic return=1.10
timesteps=1299712 - 1309952, avg episodic return=3.10
timesteps=1294592 - 1309952, avg episodic return=2.60
timesteps=1294592 - 1309952, avg episodic return=2.85
timesteps=1310976 - 1326336, avg episodic return=3.10
timesteps=1310976 - 1321216, avg episodic return=2.53
timesteps=1310976 - 1316096, avg episodic return=4.10
timesteps=1332480 - 1337600, avg episodic return=3.60
timesteps=1332480 - 1342720, avg episodic return=4.10
timesteps=1327360 - 1342720, avg episodic return=3.50
timesteps=1348864 - 1359104, avg episodic return=2.10
timesteps=1343744 - 1359104, avg episodic return=2.43
timesteps=1343744 - 1359104, avg episodic return=4.30
timesteps=1370368 - 1375488, avg episodic return=2.60
timesteps=1360128 - 1375488, avg episodic return=2.50
timesteps=1375488 - 1375488, avg episodic return=2.10
timesteps=1386752 - 1386752, avg episodic return=3.10
timesteps=1386752 - 1386752, avg episodic return=1.10
timesteps=1376512 - 1386752, avg episodic return=3.60
timesteps=1403136 - 1408256, avg episodic return=1.77
timesteps=1408256 - 1408256, avg episodic return=4.10
timesteps=1392896 - 1408256, avg episodic return=2.70
timesteps=1409280 - 1424640, avg episodic return=2.90
timesteps=1414400 - 1424640, avg episodic return=2.43
timesteps=1409280 - 1424640, avg episodic return=2.50
timesteps=1425664 - 1441024, avg episodic return=3.35
timesteps=1425664 - 1441024, avg episodic return=2.10
timesteps=1425664 - 1441024, avg episodic return=1.85
timesteps=1447168 - 1457408, avg episodic return=2.70
timesteps=1442048 - 1457408, avg episodic return=1.85
timesteps=1442048 - 1447168, avg episodic return=2.43
timesteps=1458432 - 1473792, avg episodic return=2.77
timesteps=1458432 - 1473792, avg episodic return=3.10
timesteps=1458432 - 1468672, avg episodic return=3.43
timesteps=1474816 - 1490176, avg episodic return=3.10
timesteps=1474816 - 1485056, avg episodic return=2.60
timesteps=1474816 - 1490176, avg episodic return=2.77
timesteps=1501440 - 1506560, avg episodic return=3.10
timesteps=1491200 - 1501440, avg episodic return=1.81
timesteps=1496320 - 1506560, avg episodic return=3.10
timesteps=1507584 - 1517824, avg episodic return=3.10
timesteps=1522944 - 1522944, avg episodic return=3.10
timesteps=1507584 - 1522944, avg episodic return=3.10
timesteps=1523968 - 1539328, avg episodic return=3.27
timesteps=1529088 - 1539328, avg episodic return=2.30
timesteps=1534208 - 1539328, avg episodic return=3.10
timesteps=1540352 - 1550592, avg episodic return=3.50
timesteps=1545472 - 1555712, avg episodic return=3.10
timesteps=1550592 - 1555712, avg episodic return=3.60
timesteps=1561856 - 1566976, avg episodic return=2.60
timesteps=1556736 - 1572096, avg episodic return=2.10
timesteps=1561856 - 1572096, avg episodic return=2.10
timesteps=1573120 - 1578240, avg episodic return=3.10
timesteps=1578240 - 1588480, avg episodic return=2.43
timesteps=1573120 - 1588480, avg episodic return=3.50
timesteps=1589504 - 1594624, avg episodic return=3.43
timesteps=1589504 - 1604864, avg episodic return=2.98
timesteps=1589504 - 1604864, avg episodic return=2.10
timesteps=1611008 - 1616128, avg episodic return=3.85
timesteps=1616128 - 1621248, avg episodic return=3.43
timesteps=1611008 - 1616128, avg episodic return=2.35
timesteps=1622272 - 1637632, avg episodic return=3.60
timesteps=1622272 - 1632512, avg episodic return=3.77
timesteps=1643776 - 1654016, avg episodic return=3.77
timesteps=1638656 - 1654016, avg episodic return=3.30
timesteps=1643776 - 1643776, avg episodic return=3.10
timesteps=1655040 - 1670400, avg episodic return=2.60
timesteps=1665280 - 1665280, avg episodic return=3.10
timesteps=1655040 - 1660160, avg episodic return=2.10
timesteps=1671424 - 1686784, avg episodic return=2.60
timesteps=1676544 - 1686784, avg episodic return=3.85
timesteps=1671424 - 1686784, avg episodic return=3.60
timesteps=1687808 - 1703168, avg episodic return=3.27
timesteps=1692928 - 1703168, avg episodic return=2.77
