## SLURM PROLOG ###############################################################
##    Job ID : 8517520
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:08:40 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3984 - 3984, avg episodic return=10.00
timesteps=3856 - 3856, avg episodic return=10.00
timesteps=5264 - 5520, avg episodic return=-5.00
timesteps=7696 - 7696, avg episodic return=-30.00
timesteps=6928 - 6928, avg episodic return=10.00
timesteps=8336 - 8336, avg episodic return=20.00
timesteps=8592 - 8592, avg episodic return=0.00
timesteps=8720 - 10128, avg episodic return=13.33
timesteps=10768 - 11920, avg episodic return=10.00
timesteps=11024 - 11024, avg episodic return=-20.00
timesteps=11536 - 11536, avg episodic return=-10.00
timesteps=11536 - 11536, avg episodic return=10.00
timesteps=12688 - 13968, avg episodic return=6.67
timesteps=12304 - 12304, avg episodic return=5.00
timesteps=13456 - 14096, avg episodic return=10.00
timesteps=15632 - 16144, avg episodic return=10.00
timesteps=14736 - 15376, avg episodic return=10.00
timesteps=14352 - 14992, avg episodic return=6.67
timesteps=15632 - 16016, avg episodic return=5.00
timesteps=16656 - 18320, avg episodic return=7.50
timesteps=16400 - 17040, avg episodic return=10.00
timesteps=16912 - 16912, avg episodic return=0.00
timesteps=16400 - 17680, avg episodic return=15.00
timesteps=19856 - 19984, avg episodic return=10.00
timesteps=18448 - 19728, avg episodic return=10.00
timesteps=20496 - 22416, avg episodic return=7.50
timesteps=21904 - 22416, avg episodic return=10.00
timesteps=21264 - 21904, avg episodic return=0.00
timesteps=20624 - 22160, avg episodic return=10.00
timesteps=23184 - 23568, avg episodic return=10.00
timesteps=23056 - 23056, avg episodic return=10.00
timesteps=24208 - 24208, avg episodic return=20.00
timesteps=26000 - 26128, avg episodic return=10.00
timesteps=26256 - 26256, avg episodic return=10.00
timesteps=27024 - 27536, avg episodic return=10.00
timesteps=28048 - 28560, avg episodic return=10.00
