## SLURM PROLOG ###############################################################
##    Job ID : 8516931
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2109
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:50:22 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=59648 - 64768, avg episodic return=0.77
timesteps=49408 - 54528, avg episodic return=1.10
timesteps=54528 - 64768, avg episodic return=1.10
timesteps=76032 - 76032, avg episodic return=0.10
timesteps=65792 - 81152, avg episodic return=1.90
timesteps=65792 - 76032, avg episodic return=1.39
timesteps=92416 - 97536, avg episodic return=1.60
timesteps=82176 - 97536, avg episodic return=0.60
timesteps=82176 - 97536, avg episodic return=1.93
timesteps=98560 - 113920, avg episodic return=1.43
timesteps=98560 - 103680, avg episodic return=1.10
timesteps=98560 - 108800, avg episodic return=0.43
timesteps=114944 - 130304, avg episodic return=1.30
timesteps=114944 - 125184, avg episodic return=1.85
timesteps=114944 - 130304, avg episodic return=1.77
timesteps=141568 - 141568, avg episodic return=1.10
timesteps=131328 - 141568, avg episodic return=3.43
timesteps=131328 - 141568, avg episodic return=1.93
timesteps=152832 - 163072, avg episodic return=1.85
timesteps=152832 - 163072, avg episodic return=2.10
timesteps=147712 - 163072, avg episodic return=2.24
timesteps=164096 - 169216, avg episodic return=2.10
timesteps=164096 - 179456, avg episodic return=2.35
timesteps=164096 - 174336, avg episodic return=2.60
timesteps=180480 - 190720, avg episodic return=2.85
timesteps=180480 - 195840, avg episodic return=2.90
timesteps=185600 - 195840, avg episodic return=2.30
timesteps=196864 - 212224, avg episodic return=3.43
timesteps=201984 - 212224, avg episodic return=2.77
timesteps=207104 - 207104, avg episodic return=2.10
timesteps=213248 - 228608, avg episodic return=3.35
timesteps=223488 - 223488, avg episodic return=2.43
timesteps=229632 - 244992, avg episodic return=3.70
timesteps=229632 - 244992, avg episodic return=3.10
timesteps=229632 - 244992, avg episodic return=2.27
timesteps=261376 - 261376, avg episodic return=3.60
timesteps=251136 - 261376, avg episodic return=3.43
timesteps=246016 - 256256, avg episodic return=3.10
timesteps=272640 - 272640, avg episodic return=2.10
timesteps=262400 - 277760, avg episodic return=3.10
timesteps=262400 - 277760, avg episodic return=3.43
timesteps=278784 - 278784, avg episodic return=2.60
timesteps=289024 - 289024, avg episodic return=1.77
timesteps=278784 - 283904, avg episodic return=2.90
timesteps=295168 - 305408, avg episodic return=3.21
timesteps=310528 - 310528, avg episodic return=2.10
timesteps=295168 - 300288, avg episodic return=3.10
timesteps=316672 - 321792, avg episodic return=2.43
timesteps=321792 - 321792, avg episodic return=3.10
timesteps=327936 - 338176, avg episodic return=2.60
timesteps=327936 - 333056, avg episodic return=2.90
timesteps=327936 - 343296, avg episodic return=2.77
timesteps=344320 - 359680, avg episodic return=2.90
timesteps=349440 - 359680, avg episodic return=2.77
timesteps=344320 - 359680, avg episodic return=3.10
timesteps=365824 - 376064, avg episodic return=3.30
timesteps=360704 - 376064, avg episodic return=3.27
timesteps=370944 - 376064, avg episodic return=3.43
timesteps=377088 - 387328, avg episodic return=3.93
timesteps=387328 - 392448, avg episodic return=3.50
timesteps=387328 - 392448, avg episodic return=2.60
timesteps=408832 - 408832, avg episodic return=3.43
timesteps=398592 - 403712, avg episodic return=2.77
timesteps=398592 - 408832, avg episodic return=3.43
timesteps=409856 - 425216, avg episodic return=3.27
timesteps=414976 - 420096, avg episodic return=3.10
timesteps=409856 - 414976, avg episodic return=3.77
timesteps=426240 - 436480, avg episodic return=3.77
timesteps=426240 - 441600, avg episodic return=3.85
timesteps=431360 - 436480, avg episodic return=3.43
timesteps=447744 - 457984, avg episodic return=3.70
timesteps=442624 - 457984, avg episodic return=3.43
timesteps=459008 - 474368, avg episodic return=3.60
timesteps=459008 - 474368, avg episodic return=3.50
timesteps=459008 - 469248, avg episodic return=2.43
timesteps=480512 - 480512, avg episodic return=4.10
timesteps=475392 - 490752, avg episodic return=3.43
timesteps=475392 - 490752, avg episodic return=3.43
timesteps=502016 - 507136, avg episodic return=2.10
timesteps=496896 - 507136, avg episodic return=3.43
timesteps=508160 - 518400, avg episodic return=3.43
timesteps=508160 - 523520, avg episodic return=2.27
timesteps=518400 - 523520, avg episodic return=3.70
timesteps=524544 - 534784, avg episodic return=3.77
timesteps=529664 - 539904, avg episodic return=2.43
timesteps=524544 - 534784, avg episodic return=4.10
timesteps=556288 - 556288, avg episodic return=3.10
timesteps=546048 - 556288, avg episodic return=3.10
timesteps=546048 - 551168, avg episodic return=2.10
timesteps=562432 - 562432, avg episodic return=3.60
timesteps=557312 - 567552, avg episodic return=3.93
timesteps=573696 - 589056, avg episodic return=3.27
timesteps=589056 - 589056, avg episodic return=4.10
timesteps=578816 - 583936, avg episodic return=3.60
timesteps=595200 - 605440, avg episodic return=4.43
timesteps=595200 - 600320, avg episodic return=3.10
timesteps=600320 - 600320, avg episodic return=3.10
timesteps=611584 - 621824, avg episodic return=3.96
timesteps=606464 - 621824, avg episodic return=3.60
timesteps=606464 - 621824, avg episodic return=4.27
timesteps=633088 - 638208, avg episodic return=2.85
timesteps=622848 - 633088, avg episodic return=2.90
timesteps=638208 - 638208, avg episodic return=3.35
timesteps=649472 - 654592, avg episodic return=3.60
timesteps=639232 - 654592, avg episodic return=3.27
timesteps=639232 - 654592, avg episodic return=3.43
timesteps=655616 - 670976, avg episodic return=3.77
timesteps=655616 - 670976, avg episodic return=3.35
timesteps=665856 - 665856, avg episodic return=3.10
timesteps=677120 - 682240, avg episodic return=3.60
timesteps=672000 - 687360, avg episodic return=3.35
timesteps=682240 - 687360, avg episodic return=3.43
timesteps=688384 - 703744, avg episodic return=3.10
timesteps=693504 - 703744, avg episodic return=3.43
timesteps=688384 - 703744, avg episodic return=3.10
timesteps=704768 - 715008, avg episodic return=3.23
timesteps=704768 - 715008, avg episodic return=3.77
timesteps=704768 - 720128, avg episodic return=4.10
timesteps=721152 - 736512, avg episodic return=3.60
timesteps=726272 - 736512, avg episodic return=3.60
timesteps=721152 - 721152, avg episodic return=2.60
timesteps=737536 - 752896, avg episodic return=3.81
timesteps=752896 - 752896, avg episodic return=3.10
timesteps=752896 - 752896, avg episodic return=3.10
timesteps=759040 - 769280, avg episodic return=3.60
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=759040 - 769280, avg episodic return=2.70
timesteps=770304 - 780544, avg episodic return=4.10
timesteps=770304 - 785664, avg episodic return=3.10
timesteps=785664 - 785664, avg episodic return=4.10
timesteps=791808 - 791808, avg episodic return=3.60
timesteps=796928 - 802048, avg episodic return=3.60
timesteps=791808 - 791808, avg episodic return=4.10
timesteps=813312 - 818432, avg episodic return=4.60
timesteps=803072 - 818432, avg episodic return=3.39
timesteps=818432 - 818432, avg episodic return=4.10
timesteps=819456 - 834816, avg episodic return=2.77
timesteps=819456 - 819456, avg episodic return=2.10
timesteps=819456 - 829696, avg episodic return=3.10
timesteps=835840 - 851200, avg episodic return=3.85
timesteps=851200 - 851200, avg episodic return=3.35
timesteps=835840 - 851200, avg episodic return=3.30
timesteps=857344 - 862464, avg episodic return=3.10
timesteps=852224 - 867584, avg episodic return=4.60
timesteps=852224 - 852224, avg episodic return=4.10
timesteps=868608 - 878848, avg episodic return=4.10
timesteps=873728 - 883968, avg episodic return=2.85
timesteps=873728 - 883968, avg episodic return=4.30
timesteps=884992 - 895232, avg episodic return=3.60
timesteps=890112 - 900352, avg episodic return=2.93
timesteps=890112 - 900352, avg episodic return=3.60
timesteps=901376 - 916736, avg episodic return=5.10
timesteps=901376 - 916736, avg episodic return=3.50
timesteps=906496 - 916736, avg episodic return=3.10
timesteps=917760 - 933120, avg episodic return=3.60
timesteps=917760 - 933120, avg episodic return=2.77
timesteps=944384 - 949504, avg episodic return=3.10
timesteps=934144 - 949504, avg episodic return=2.53
timesteps=934144 - 949504, avg episodic return=3.60
timesteps=960768 - 965888, avg episodic return=4.10
timesteps=965888 - 965888, avg episodic return=4.43
timesteps=955648 - 960768, avg episodic return=3.10
timesteps=966912 - 982272, avg episodic return=3.35
timesteps=966912 - 977152, avg episodic return=3.60
timesteps=972032 - 972032, avg episodic return=2.10
timesteps=988416 - 998656, avg episodic return=3.10
timesteps=983296 - 988416, avg episodic return=5.10
timesteps=983296 - 998656, avg episodic return=3.60
timesteps=999680 - 1009920, avg episodic return=3.85
timesteps=1004800 - 1015040, avg episodic return=3.93
timesteps=999680 - 1015040, avg episodic return=3.77
timesteps=1026304 - 1026304, avg episodic return=4.10
timesteps=1016064 - 1026304, avg episodic return=3.10
timesteps=1016064 - 1031424, avg episodic return=2.70
timesteps=1032448 - 1042688, avg episodic return=3.53
timesteps=1032448 - 1042688, avg episodic return=3.90
timesteps=1037568 - 1047808, avg episodic return=3.10
timesteps=1048832 - 1064192, avg episodic return=3.43
timesteps=1048832 - 1059072, avg episodic return=2.85
timesteps=1053952 - 1064192, avg episodic return=3.10
timesteps=1065216 - 1075456, avg episodic return=4.10
timesteps=1065216 - 1075456, avg episodic return=3.43
timesteps=1065216 - 1080576, avg episodic return=3.52
timesteps=1081600 - 1096960, avg episodic return=3.77
timesteps=1086720 - 1091840, avg episodic return=3.10
timesteps=1081600 - 1096960, avg episodic return=2.93
timesteps=1108224 - 1108224, avg episodic return=4.10
timesteps=1108224 - 1113344, avg episodic return=3.90
timesteps=1097984 - 1108224, avg episodic return=4.10
timesteps=1114368 - 1129728, avg episodic return=3.53
timesteps=1114368 - 1124608, avg episodic return=3.43
timesteps=1114368 - 1119488, avg episodic return=3.85
timesteps=1130752 - 1146112, avg episodic return=2.96
timesteps=1130752 - 1140992, avg episodic return=1.85
timesteps=1130752 - 1140992, avg episodic return=3.27
timesteps=1147136 - 1162496, avg episodic return=3.90
timesteps=1152256 - 1157376, avg episodic return=4.60
timesteps=1152256 - 1157376, avg episodic return=3.53
timesteps=1163520 - 1173760, avg episodic return=3.50
timesteps=1168640 - 1178880, avg episodic return=5.10
timesteps=1163520 - 1178880, avg episodic return=3.90
timesteps=1185024 - 1195264, avg episodic return=3.10
timesteps=1185024 - 1195264, avg episodic return=3.77
timesteps=1185024 - 1195264, avg episodic return=3.30
timesteps=1206528 - 1211648, avg episodic return=3.35
timesteps=1211648 - 1211648, avg episodic return=4.60
timesteps=1211648 - 1211648, avg episodic return=4.10
timesteps=1217792 - 1228032, avg episodic return=3.53
timesteps=1222912 - 1222912, avg episodic return=2.10
timesteps=1217792 - 1228032, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=3.10
timesteps=1234176 - 1244416, avg episodic return=2.70
timesteps=1229056 - 1239296, avg episodic return=2.70
timesteps=1245440 - 1245440, avg episodic return=6.10
timesteps=1255680 - 1260800, avg episodic return=3.27
timesteps=1255680 - 1260800, avg episodic return=2.85
timesteps=1261824 - 1266944, avg episodic return=3.60
timesteps=1261824 - 1266944, avg episodic return=4.43
timesteps=1261824 - 1272064, avg episodic return=2.93
timesteps=1278208 - 1283328, avg episodic return=3.60
timesteps=1278208 - 1293568, avg episodic return=3.30
timesteps=1278208 - 1293568, avg episodic return=3.10
timesteps=1294592 - 1304832, avg episodic return=4.43
timesteps=1294592 - 1309952, avg episodic return=3.96
timesteps=1294592 - 1294592, avg episodic return=3.43
timesteps=1310976 - 1316096, avg episodic return=3.35
timesteps=1321216 - 1321216, avg episodic return=4.10
timesteps=1316096 - 1326336, avg episodic return=3.30
timesteps=1342720 - 1342720, avg episodic return=3.10
timesteps=1327360 - 1342720, avg episodic return=4.50
timesteps=1332480 - 1337600, avg episodic return=2.60
timesteps=1359104 - 1359104, avg episodic return=3.10
timesteps=1343744 - 1359104, avg episodic return=3.60
timesteps=1343744 - 1359104, avg episodic return=2.85
timesteps=1365248 - 1370368, avg episodic return=3.10
timesteps=1360128 - 1375488, avg episodic return=4.10
timesteps=1365248 - 1375488, avg episodic return=2.60
timesteps=1386752 - 1391872, avg episodic return=3.43
timesteps=1381632 - 1391872, avg episodic return=3.10
timesteps=1376512 - 1391872, avg episodic return=3.43
timesteps=1392896 - 1403136, avg episodic return=3.27
timesteps=1398016 - 1398016, avg episodic return=3.10
timesteps=1398016 - 1408256, avg episodic return=3.10
timesteps=1409280 - 1424640, avg episodic return=3.43
timesteps=1409280 - 1424640, avg episodic return=3.73
timesteps=1419520 - 1424640, avg episodic return=3.35
timesteps=1430784 - 1435904, avg episodic return=2.60
timesteps=1425664 - 1435904, avg episodic return=3.10
timesteps=1441024 - 1441024, avg episodic return=2.10
timesteps=1442048 - 1457408, avg episodic return=3.60
timesteps=1442048 - 1452288, avg episodic return=4.85
timesteps=1463552 - 1468672, avg episodic return=3.10
timesteps=1463552 - 1468672, avg episodic return=3.10
timesteps=1473792 - 1473792, avg episodic return=3.10
timesteps=1474816 - 1485056, avg episodic return=2.70
timesteps=1474816 - 1485056, avg episodic return=2.60
timesteps=1474816 - 1479936, avg episodic return=3.10
timesteps=1491200 - 1506560, avg episodic return=4.35
timesteps=1496320 - 1501440, avg episodic return=4.10
timesteps=1491200 - 1506560, avg episodic return=3.43
timesteps=1512704 - 1522944, avg episodic return=3.50
timesteps=1507584 - 1522944, avg episodic return=4.10
timesteps=1507584 - 1522944, avg episodic return=3.27
timesteps=1529088 - 1539328, avg episodic return=3.10
timesteps=1529088 - 1539328, avg episodic return=3.60
timesteps=1523968 - 1534208, avg episodic return=4.10
timesteps=1540352 - 1540352, avg episodic return=2.10
timesteps=1540352 - 1555712, avg episodic return=3.77
timesteps=1545472 - 1550592, avg episodic return=3.77
timesteps=1561856 - 1572096, avg episodic return=3.30
timesteps=1556736 - 1572096, avg episodic return=2.90
timesteps=1556736 - 1566976, avg episodic return=4.10
timesteps=1573120 - 1583360, avg episodic return=2.85
timesteps=1573120 - 1583360, avg episodic return=3.85
timesteps=1573120 - 1588480, avg episodic return=3.85
timesteps=1589504 - 1604864, avg episodic return=3.10
timesteps=1589504 - 1594624, avg episodic return=5.10
timesteps=1589504 - 1604864, avg episodic return=2.81
timesteps=1605888 - 1621248, avg episodic return=3.22
timesteps=1605888 - 1621248, avg episodic return=2.60
timesteps=1605888 - 1621248, avg episodic return=3.39
timesteps=1627392 - 1637632, avg episodic return=3.35
timesteps=1622272 - 1637632, avg episodic return=3.90
timesteps=1627392 - 1632512, avg episodic return=4.10
timesteps=1638656 - 1654016, avg episodic return=3.60
timesteps=1638656 - 1643776, avg episodic return=3.60
timesteps=1638656 - 1654016, avg episodic return=3.77
timesteps=1665280 - 1670400, avg episodic return=2.35
timesteps=1655040 - 1665280, avg episodic return=3.43
timesteps=1655040 - 1670400, avg episodic return=3.77
timesteps=1671424 - 1686784, avg episodic return=3.40
timesteps=1676544 - 1676544, avg episodic return=3.10
timesteps=1671424 - 1686784, avg episodic return=3.43
timesteps=1687808 - 1703168, avg episodic return=2.90
timesteps=1687808 - 1692928, avg episodic return=3.10
timesteps=1692928 - 1703168, avg episodic return=3.60
