timesteps=11300 - 11460, avg discounted return=1.02
timesteps=11268 - 11556, avg discounted return=2.73
timesteps=11700 - 11700, avg discounted return=1.92
timesteps=11284 - 11732, avg discounted return=1.05
timesteps=11348 - 11556, avg discounted return=2.12
timesteps=11348 - 11716, avg discounted return=2.48
timesteps=11972 - 12212, avg discounted return=1.66
timesteps=11844 - 12196, avg discounted return=2.18
timesteps=11860 - 11860, avg discounted return=0.94
timesteps=11940 - 12084, avg discounted return=-0.06
timesteps=12020 - 12100, avg discounted return=1.18
timesteps=11940 - 12020, avg discounted return=2.57
timesteps=11892 - 12228, avg discounted return=2.31
timesteps=11796 - 12260, avg discounted return=2.47
timesteps=11892 - 12276, avg discounted return=1.28
timesteps=12372 - 12564, avg discounted return=1.29
timesteps=12388 - 12724, avg discounted return=1.62
timesteps=12436 - 12724, avg discounted return=-0.06
timesteps=12308 - 12772, avg discounted return=2.95
timesteps=12484 - 12484, avg discounted return=0.00
timesteps=12356 - 12724, avg discounted return=-0.05
timesteps=12324 - 12772, avg discounted return=1.23
timesteps=12372 - 12708, avg discounted return=2.25
timesteps=12308 - 12740, avg discounted return=0.92
timesteps=12820 - 13204, avg discounted return=0.80
timesteps=12820 - 13268, avg discounted return=1.24
timesteps=13268 - 13268, avg discounted return=-0.05
timesteps=12916 - 13252, avg discounted return=-0.06
timesteps=13284 - 13284, avg discounted return=2.65
timesteps=12820 - 13140, avg discounted return=1.90
timesteps=12884 - 13268, avg discounted return=1.93
timesteps=12884 - 13076, avg discounted return=0.46
timesteps=12900 - 13236, avg discounted return=1.54
timesteps=13396 - 13748, avg discounted return=2.00
timesteps=13412 - 13780, avg discounted return=2.71
timesteps=13604 - 13732, avg discounted return=0.84
timesteps=13444 - 13796, avg discounted return=1.01
timesteps=13332 - 13812, avg discounted return=1.49
timesteps=13460 - 13700, avg discounted return=2.85
timesteps=13460 - 13700, avg discounted return=1.97
timesteps=13380 - 13748, avg discounted return=1.30
timesteps=14052 - 14260, avg discounted return=1.04
timesteps=13860 - 14308, avg discounted return=2.32
timesteps=13956 - 14100, avg discounted return=1.18
timesteps=14164 - 14308, avg discounted return=-0.06
timesteps=13860 - 14052, avg discounted return=1.39
timesteps=13828 - 13940, avg discounted return=0.73
timesteps=13844 - 14100, avg discounted return=0.92
timesteps=13860 - 14100, avg discounted return=2.86
timesteps=13892 - 14228, avg discounted return=0.81
timesteps=14500 - 14596, avg discounted return=2.26
timesteps=14340 - 14836, avg discounted return=2.74
timesteps=14564 - 14772, avg discounted return=1.69
timesteps=14564 - 14788, avg discounted return=0.88
timesteps=14596 - 14820, avg discounted return=-0.05
timesteps=14340 - 14820, avg discounted return=1.32
timesteps=14388 - 14820, avg discounted return=1.53
timesteps=14372 - 14772, avg discounted return=1.62
timesteps=14868 - 15300, avg discounted return=1.65
timesteps=14964 - 15348, avg discounted return=1.75
timesteps=14948 - 15348, avg discounted return=-0.05
timesteps=15124 - 15332, avg discounted return=1.18
timesteps=15204 - 15348, avg discounted return=2.81
timesteps=14964 - 15060, avg discounted return=1.55
timesteps=14996 - 15092, avg discounted return=1.62
timesteps=14964 - 15332, avg discounted return=1.37
timesteps=14900 - 15268, avg discounted return=1.90
timesteps=15476 - 15844, avg discounted return=2.68
timesteps=15396 - 15844, avg discounted return=1.86
timesteps=15460 - 15844, avg discounted return=1.84
timesteps=15556 - 15812, avg discounted return=1.08
timesteps=15364 - 15860, avg discounted return=0.33
timesteps=15492 - 15492, avg discounted return=0.45
timesteps=15364 - 15716, avg discounted return=1.12
timesteps=15364 - 15780, avg discounted return=2.44
timesteps=15476 - 15732, avg discounted return=-0.08
timesteps=15508 - 15860, avg discounted return=2.56
timesteps=15956 - 16148, avg discounted return=1.38
timesteps=15924 - 16068, avg discounted return=1.88
timesteps=15972 - 16340, avg discounted return=2.35
timesteps=15956 - 16324, avg discounted return=1.01
timesteps=16244 - 16356, avg discounted return=2.29
timesteps=15908 - 16324, avg discounted return=0.69
timesteps=16212 - 16356, avg discounted return=2.23
timesteps=15924 - 16372, avg discounted return=1.57
timesteps=15956 - 16356, avg discounted return=1.61
timesteps=16452 - 16836, avg discounted return=1.33
timesteps=16404 - 16884, avg discounted return=2.55
timesteps=16436 - 16884, avg discounted return=1.75
timesteps=16836 - 16836, avg discounted return=-0.05
timesteps=16420 - 16884, avg discounted return=1.79
timesteps=16724 - 16756, avg discounted return=0.85
timesteps=16676 - 16820, avg discounted return=1.91
timesteps=16436 - 16692, avg discounted return=0.78
timesteps=16532 - 16724, avg discounted return=2.92
timesteps=16436 - 16836, avg discounted return=1.56
timesteps=16948 - 17332, avg discounted return=1.42
timesteps=17076 - 17284, avg discounted return=2.55
timesteps=17108 - 17108, avg discounted return=-0.09
timesteps=17396 - 17396, avg discounted return=-0.07
timesteps=16916 - 17284, avg discounted return=3.19
timesteps=16996 - 17236, avg discounted return=3.08
timesteps=16932 - 17348, avg discounted return=1.66
timesteps=16948 - 17348, avg discounted return=0.97
timesteps=16996 - 17300, avg discounted return=1.30
timesteps=17508 - 17892, avg discounted return=1.11
timesteps=17524 - 17828, avg discounted return=3.11
timesteps=17588 - 17876, avg discounted return=1.40
timesteps=17460 - 17732, avg discounted return=1.63
timesteps=17412 - 17908, avg discounted return=0.81
timesteps=17460 - 17684, avg discounted return=1.04
timesteps=17412 - 17764, avg discounted return=2.74
timesteps=17428 - 17876, avg discounted return=1.22
timesteps=17476 - 17860, avg discounted return=2.04
timesteps=17924 - 18356, avg discounted return=1.55
timesteps=17924 - 18420, avg discounted return=3.38
timesteps=18100 - 18372, avg discounted return=1.33
timesteps=17956 - 17956, avg discounted return=1.34
timesteps=17972 - 18420, avg discounted return=1.04
timesteps=18004 - 18404, avg discounted return=0.74
timesteps=18036 - 18324, avg discounted return=1.97
timesteps=17956 - 18244, avg discounted return=1.70
timesteps=18100 - 18356, avg discounted return=0.97
timesteps=17924 - 18388, avg discounted return=2.02
timesteps=18452 - 18868, avg discounted return=1.40
timesteps=18676 - 18916, avg discounted return=3.12
timesteps=18468 - 18820, avg discounted return=3.26
timesteps=18708 - 18836, avg discounted return=0.91
timesteps=18436 - 18724, avg discounted return=2.46
timesteps=18468 - 18548, avg discounted return=2.01
timesteps=18436 - 18932, avg discounted return=1.60
timesteps=18468 - 18900, avg discounted return=0.91
timesteps=18436 - 18916, avg discounted return=1.08
timesteps=18996 - 19444, avg discounted return=1.96
timesteps=18996 - 19316, avg discounted return=2.98
timesteps=19060 - 19140, avg discounted return=3.18
timesteps=19444 - 19444, avg discounted return=-0.05
timesteps=19108 - 19300, avg discounted return=1.24
timesteps=19124 - 19364, avg discounted return=-0.08
timesteps=18964 - 19380, avg discounted return=2.72
timesteps=19124 - 19428, avg discounted return=1.89
timesteps=18964 - 19364, avg discounted return=1.63
timesteps=19508 - 19956, avg discounted return=1.43
timesteps=19476 - 19908, avg discounted return=2.89
timesteps=19556 - 19748, avg discounted return=2.72
timesteps=19524 - 19876, avg discounted return=0.66
timesteps=19476 - 19956, avg discounted return=1.51
timesteps=19508 - 19924, avg discounted return=0.32
timesteps=19668 - 19876, avg discounted return=2.90
timesteps=19508 - 19956, avg discounted return=2.93
timesteps=19540 - 19908, avg discounted return=2.11
timesteps=19540 - 19956, avg discounted return=1.67
timesteps=20020 - 20468, avg discounted return=1.05
timesteps=19972 - 20468, avg discounted return=3.36
timesteps=20116 - 20356, avg discounted return=1.77
timesteps=20100 - 20404, avg discounted return=0.56
timesteps=20052 - 20420, avg discounted return=-0.08
timesteps=19988 - 20308, avg discounted return=-0.06
timesteps=20084 - 20420, avg discounted return=2.55
timesteps=20020 - 20372, avg discounted return=1.76
timesteps=20068 - 20468, avg discounted return=1.64
timesteps=20052 - 20356, avg discounted return=1.08
timesteps=20484 - 20980, avg discounted return=1.35
timesteps=20500 - 20852, avg discounted return=2.86
timesteps=20564 - 20932, avg discounted return=0.48
timesteps=20532 - 20948, avg discounted return=0.55
timesteps=20708 - 20900, avg discounted return=-0.07
timesteps=20516 - 20516, avg discounted return=-0.06
timesteps=20548 - 20980, avg discounted return=1.43
timesteps=20532 - 20948, avg discounted return=2.85
timesteps=20644 - 20804, avg discounted return=3.22
timesteps=20660 - 20804, avg discounted return=0.62
timesteps=21172 - 21460, avg discounted return=2.55
