## SLURM PROLOG ###############################################################
##    Job ID : 8516921
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2112
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:33:14 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=38144 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=1.43
timesteps=49408 - 64768, avg episodic return=0.96
timesteps=49408 - 64768, avg episodic return=0.77
timesteps=54528 - 64768, avg episodic return=2.43
timesteps=65792 - 70912, avg episodic return=2.10
timesteps=70912 - 81152, avg episodic return=1.60
timesteps=65792 - 81152, avg episodic return=0.90
timesteps=92416 - 97536, avg episodic return=0.60
timesteps=87296 - 87296, avg episodic return=2.60
timesteps=82176 - 97536, avg episodic return=3.60
timesteps=98560 - 113920, avg episodic return=1.53
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=98560 - 113920, avg episodic return=1.77
timesteps=114944 - 130304, avg episodic return=2.35
timesteps=114944 - 130304, avg episodic return=3.60
timesteps=125184 - 130304, avg episodic return=1.85
timesteps=141568 - 141568, avg episodic return=2.43
timesteps=131328 - 141568, avg episodic return=1.10
timesteps=131328 - 146688, avg episodic return=2.10
timesteps=152832 - 152832, avg episodic return=2.10
timesteps=152832 - 163072, avg episodic return=2.10
timesteps=147712 - 163072, avg episodic return=2.10
timesteps=169216 - 174336, avg episodic return=1.10
timesteps=164096 - 179456, avg episodic return=3.24
timesteps=169216 - 179456, avg episodic return=2.73
timesteps=185600 - 195840, avg episodic return=1.60
timesteps=180480 - 195840, avg episodic return=2.43
timesteps=196864 - 207104, avg episodic return=3.10
timesteps=196864 - 212224, avg episodic return=1.77
timesteps=196864 - 212224, avg episodic return=3.27
timesteps=213248 - 228608, avg episodic return=2.60
timesteps=213248 - 228608, avg episodic return=1.85
timesteps=213248 - 223488, avg episodic return=3.77
timesteps=229632 - 234752, avg episodic return=3.10
timesteps=229632 - 244992, avg episodic return=2.60
timesteps=234752 - 234752, avg episodic return=2.10
timesteps=246016 - 256256, avg episodic return=2.85
timesteps=246016 - 251136, avg episodic return=2.43
timesteps=251136 - 251136, avg episodic return=3.10
timesteps=262400 - 272640, avg episodic return=2.35
timesteps=272640 - 277760, avg episodic return=3.60
timesteps=262400 - 277760, avg episodic return=3.39
timesteps=283904 - 283904, avg episodic return=3.60
timesteps=278784 - 283904, avg episodic return=2.60
timesteps=278784 - 294144, avg episodic return=3.21
timesteps=295168 - 310528, avg episodic return=2.60
timesteps=295168 - 305408, avg episodic return=2.85
timesteps=295168 - 300288, avg episodic return=2.77
timesteps=326912 - 326912, avg episodic return=3.10
timesteps=311552 - 326912, avg episodic return=2.77
timesteps=321792 - 321792, avg episodic return=2.77
timesteps=333056 - 338176, avg episodic return=1.85
timesteps=327936 - 343296, avg episodic return=3.85
timesteps=327936 - 338176, avg episodic return=3.10
timesteps=344320 - 359680, avg episodic return=2.35
timesteps=344320 - 359680, avg episodic return=3.10
timesteps=359680 - 359680, avg episodic return=2.10
timesteps=365824 - 376064, avg episodic return=3.10
timesteps=365824 - 376064, avg episodic return=3.10
timesteps=360704 - 376064, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=2.85
timesteps=377088 - 387328, avg episodic return=3.10
timesteps=382208 - 392448, avg episodic return=4.43
timesteps=403712 - 408832, avg episodic return=3.60
timesteps=398592 - 408832, avg episodic return=4.35
timesteps=393472 - 403712, avg episodic return=3.77
timesteps=425216 - 425216, avg episodic return=5.10
timesteps=420096 - 425216, avg episodic return=3.60
timesteps=409856 - 425216, avg episodic return=2.60
timesteps=436480 - 441600, avg episodic return=3.60
timesteps=426240 - 436480, avg episodic return=3.43
timesteps=442624 - 452864, avg episodic return=2.60
timesteps=442624 - 457984, avg episodic return=3.77
timesteps=442624 - 452864, avg episodic return=3.27
timesteps=459008 - 474368, avg episodic return=2.85
timesteps=459008 - 474368, avg episodic return=3.60
timesteps=459008 - 474368, avg episodic return=4.10
timesteps=475392 - 490752, avg episodic return=4.43
timesteps=475392 - 480512, avg episodic return=3.77
timesteps=490752 - 490752, avg episodic return=5.10
timesteps=502016 - 507136, avg episodic return=3.85
timesteps=491776 - 507136, avg episodic return=3.35
timesteps=496896 - 502016, avg episodic return=2.85
timesteps=518400 - 523520, avg episodic return=2.60
timesteps=513280 - 523520, avg episodic return=3.77
timesteps=508160 - 518400, avg episodic return=3.70
timesteps=524544 - 539904, avg episodic return=2.43
timesteps=524544 - 534784, avg episodic return=3.10
timesteps=524544 - 534784, avg episodic return=3.35
timesteps=546048 - 556288, avg episodic return=3.43
timesteps=556288 - 556288, avg episodic return=4.10
timesteps=540928 - 556288, avg episodic return=3.10
timesteps=562432 - 562432, avg episodic return=3.10
timesteps=573696 - 589056, avg episodic return=3.39
timesteps=578816 - 589056, avg episodic return=3.43
timesteps=573696 - 583936, avg episodic return=3.60
timesteps=590080 - 600320, avg episodic return=2.43
timesteps=590080 - 600320, avg episodic return=3.35
timesteps=600320 - 600320, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=3.90
timesteps=606464 - 616704, avg episodic return=3.43
timesteps=606464 - 621824, avg episodic return=2.90
timesteps=622848 - 633088, avg episodic return=3.96
timesteps=627968 - 638208, avg episodic return=4.10
timesteps=627968 - 638208, avg episodic return=3.85
timesteps=639232 - 644352, avg episodic return=3.77
timesteps=644352 - 654592, avg episodic return=3.60
timesteps=639232 - 654592, avg episodic return=3.27
timesteps=655616 - 665856, avg episodic return=2.77
timesteps=660736 - 670976, avg episodic return=4.10
timesteps=655616 - 660736, avg episodic return=2.70
timesteps=672000 - 687360, avg episodic return=2.85
timesteps=672000 - 682240, avg episodic return=3.85
timesteps=672000 - 677120, avg episodic return=3.10
timesteps=703744 - 703744, avg episodic return=4.10
timesteps=693504 - 703744, avg episodic return=2.70
timesteps=698624 - 698624, avg episodic return=2.60
timesteps=704768 - 715008, avg episodic return=4.30
timesteps=704768 - 715008, avg episodic return=4.50
timesteps=709888 - 709888, avg episodic return=2.10
timesteps=721152 - 736512, avg episodic return=3.60
timesteps=721152 - 726272, avg episodic return=3.10
timesteps=726272 - 736512, avg episodic return=3.10
timesteps=742656 - 742656, avg episodic return=6.10
timesteps=737536 - 752896, avg episodic return=4.50
timesteps=742656 - 752896, avg episodic return=2.10
timesteps=753920 - 764160, avg episodic return=2.93
timesteps=753920 - 764160, avg episodic return=4.10
timesteps=759040 - 769280, avg episodic return=2.10
timesteps=775424 - 775424, avg episodic return=2.10
timesteps=770304 - 785664, avg episodic return=2.93
timesteps=770304 - 785664, avg episodic return=3.30
timesteps=796928 - 796928, avg episodic return=5.10
timesteps=786688 - 802048, avg episodic return=3.43
timesteps=786688 - 796928, avg episodic return=3.10
timesteps=818432 - 818432, avg episodic return=3.10
timesteps=813312 - 818432, avg episodic return=3.60
timesteps=808192 - 813312, avg episodic return=3.10
timesteps=819456 - 834816, avg episodic return=3.10
timesteps=824576 - 834816, avg episodic return=3.93
timesteps=819456 - 824576, avg episodic return=2.35
timesteps=835840 - 835840, avg episodic return=2.10
timesteps=835840 - 851200, avg episodic return=3.85
timesteps=840960 - 851200, avg episodic return=4.10
timesteps=852224 - 867584, avg episodic return=3.77
timesteps=852224 - 867584, avg episodic return=3.60
timesteps=852224 - 867584, avg episodic return=2.77
timesteps=868608 - 883968, avg episodic return=4.10
timesteps=868608 - 878848, avg episodic return=3.93
timesteps=868608 - 878848, avg episodic return=3.85
timesteps=895232 - 900352, avg episodic return=3.77
timesteps=890112 - 900352, avg episodic return=3.77
timesteps=884992 - 895232, avg episodic return=3.35
timesteps=906496 - 916736, avg episodic return=3.27
timesteps=906496 - 911616, avg episodic return=3.10
timesteps=916736 - 916736, avg episodic return=4.10
timesteps=928000 - 933120, avg episodic return=1.77
timesteps=917760 - 933120, avg episodic return=4.43
timesteps=917760 - 928000, avg episodic return=3.43
timesteps=934144 - 949504, avg episodic return=2.77
timesteps=944384 - 949504, avg episodic return=4.43
timesteps=934144 - 949504, avg episodic return=3.85
timesteps=950528 - 950528, avg episodic return=1.60
timesteps=960768 - 965888, avg episodic return=2.77
timesteps=960768 - 965888, avg episodic return=3.60
timesteps=972032 - 982272, avg episodic return=3.43
timesteps=966912 - 982272, avg episodic return=3.70
timesteps=966912 - 982272, avg episodic return=3.10
timesteps=988416 - 988416, avg episodic return=3.10
timesteps=988416 - 988416, avg episodic return=3.43
timesteps=988416 - 993536, avg episodic return=3.10
timesteps=999680 - 999680, avg episodic return=2.77
timesteps=999680 - 1015040, avg episodic return=3.70
timesteps=999680 - 1015040, avg episodic return=2.60
timesteps=1016064 - 1031424, avg episodic return=2.27
timesteps=1031424 - 1031424, avg episodic return=4.10
timesteps=1016064 - 1031424, avg episodic return=3.21
timesteps=1032448 - 1042688, avg episodic return=3.43
timesteps=1032448 - 1047808, avg episodic return=4.43
timesteps=1037568 - 1047808, avg episodic return=2.90
timesteps=1048832 - 1064192, avg episodic return=3.30
timesteps=1053952 - 1064192, avg episodic return=5.60
timesteps=1048832 - 1064192, avg episodic return=2.77
timesteps=1065216 - 1075456, avg episodic return=3.60
timesteps=1065216 - 1075456, avg episodic return=4.10
timesteps=1070336 - 1075456, avg episodic return=1.77
timesteps=1081600 - 1086720, avg episodic return=4.43
timesteps=1081600 - 1096960, avg episodic return=4.30
timesteps=1081600 - 1096960, avg episodic return=2.85
timesteps=1097984 - 1113344, avg episodic return=3.77
timesteps=1097984 - 1108224, avg episodic return=2.60
timesteps=1097984 - 1113344, avg episodic return=3.10
timesteps=1114368 - 1129728, avg episodic return=2.85
timesteps=1114368 - 1129728, avg episodic return=5.10
timesteps=1114368 - 1129728, avg episodic return=2.10
timesteps=1130752 - 1146112, avg episodic return=4.10
timesteps=1130752 - 1140992, avg episodic return=3.10
timesteps=1135872 - 1146112, avg episodic return=2.10
timesteps=1152256 - 1162496, avg episodic return=3.77
timesteps=1162496 - 1162496, avg episodic return=6.10
timesteps=1147136 - 1157376, avg episodic return=3.60
timesteps=1163520 - 1173760, avg episodic return=2.77
timesteps=1163520 - 1178880, avg episodic return=4.10
timesteps=1163520 - 1178880, avg episodic return=3.77
timesteps=1185024 - 1195264, avg episodic return=3.60
timesteps=1179904 - 1195264, avg episodic return=2.77
timesteps=1179904 - 1195264, avg episodic return=3.35
timesteps=1201408 - 1211648, avg episodic return=3.60
timesteps=1211648 - 1211648, avg episodic return=2.60
timesteps=1196288 - 1201408, avg episodic return=3.60
timesteps=1212672 - 1222912, avg episodic return=2.77
timesteps=1212672 - 1212672, avg episodic return=3.60
timesteps=1217792 - 1222912, avg episodic return=4.60
timesteps=1229056 - 1229056, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=3.90
timesteps=1239296 - 1244416, avg episodic return=3.90
timesteps=1245440 - 1260800, avg episodic return=2.27
timesteps=1245440 - 1260800, avg episodic return=2.81
timesteps=1245440 - 1260800, avg episodic return=3.43
timesteps=1277184 - 1277184, avg episodic return=3.10
timesteps=1277184 - 1277184, avg episodic return=4.10
timesteps=1261824 - 1261824, avg episodic return=5.10
timesteps=1278208 - 1283328, avg episodic return=2.60
timesteps=1278208 - 1283328, avg episodic return=3.77
timesteps=1278208 - 1288448, avg episodic return=3.10
timesteps=1299712 - 1304832, avg episodic return=3.10
timesteps=1294592 - 1304832, avg episodic return=4.10
timesteps=1299712 - 1309952, avg episodic return=2.60
timesteps=1310976 - 1321216, avg episodic return=3.27
timesteps=1316096 - 1326336, avg episodic return=3.43
timesteps=1310976 - 1326336, avg episodic return=3.77
timesteps=1342720 - 1342720, avg episodic return=3.10
timesteps=1332480 - 1332480, avg episodic return=3.10
timesteps=1359104 - 1359104, avg episodic return=3.10
timesteps=1348864 - 1348864, avg episodic return=6.10
timesteps=1353984 - 1359104, avg episodic return=3.60
timesteps=1360128 - 1375488, avg episodic return=2.81
timesteps=1360128 - 1375488, avg episodic return=3.10
timesteps=1360128 - 1370368, avg episodic return=4.43
timesteps=1391872 - 1391872, avg episodic return=4.10
timesteps=1381632 - 1391872, avg episodic return=3.24
timesteps=1376512 - 1391872, avg episodic return=3.85
timesteps=1392896 - 1403136, avg episodic return=2.60
timesteps=1392896 - 1398016, avg episodic return=4.10
timesteps=1408256 - 1408256, avg episodic return=2.60
timesteps=1409280 - 1414400, avg episodic return=3.10
timesteps=1409280 - 1419520, avg episodic return=4.10
timesteps=1424640 - 1424640, avg episodic return=5.10
timesteps=1425664 - 1430784, avg episodic return=3.60
timesteps=1425664 - 1441024, avg episodic return=4.67
timesteps=1425664 - 1441024, avg episodic return=3.27
timesteps=1442048 - 1457408, avg episodic return=1.90
timesteps=1457408 - 1457408, avg episodic return=5.10
timesteps=1452288 - 1452288, avg episodic return=4.10
timesteps=1458432 - 1473792, avg episodic return=3.93
timesteps=1458432 - 1458432, avg episodic return=4.60
timesteps=1458432 - 1473792, avg episodic return=3.43
timesteps=1474816 - 1490176, avg episodic return=3.10
timesteps=1474816 - 1490176, avg episodic return=3.30
timesteps=1474816 - 1490176, avg episodic return=3.30
timesteps=1491200 - 1506560, avg episodic return=3.48
timesteps=1491200 - 1506560, avg episodic return=3.35
timesteps=1491200 - 1506560, avg episodic return=3.43
timesteps=1512704 - 1522944, avg episodic return=3.77
timesteps=1507584 - 1522944, avg episodic return=3.77
timesteps=1512704 - 1522944, avg episodic return=4.85
timesteps=1523968 - 1539328, avg episodic return=3.30
timesteps=1523968 - 1534208, avg episodic return=3.30
timesteps=1523968 - 1534208, avg episodic return=3.85
timesteps=1540352 - 1545472, avg episodic return=3.77
timesteps=1540352 - 1540352, avg episodic return=3.10
timesteps=1540352 - 1555712, avg episodic return=3.85
timesteps=1556736 - 1572096, avg episodic return=3.39
timesteps=1556736 - 1572096, avg episodic return=4.10
timesteps=1561856 - 1572096, avg episodic return=3.85
timesteps=1583360 - 1588480, avg episodic return=4.10
timesteps=1573120 - 1588480, avg episodic return=3.85
timesteps=1573120 - 1588480, avg episodic return=3.43
timesteps=1589504 - 1599744, avg episodic return=3.43
timesteps=1604864 - 1604864, avg episodic return=5.10
timesteps=1589504 - 1604864, avg episodic return=4.43
timesteps=1605888 - 1616128, avg episodic return=3.10
timesteps=1605888 - 1621248, avg episodic return=2.98
timesteps=1611008 - 1621248, avg episodic return=4.43
timesteps=1627392 - 1627392, avg episodic return=3.10
timesteps=1622272 - 1637632, avg episodic return=3.50
timesteps=1622272 - 1622272, avg episodic return=5.10
timesteps=1643776 - 1648896, avg episodic return=3.35
timesteps=1638656 - 1638656, avg episodic return=4.10
timesteps=1655040 - 1660160, avg episodic return=4.35
timesteps=1655040 - 1665280, avg episodic return=4.24
timesteps=1660160 - 1665280, avg episodic return=4.43
timesteps=1681664 - 1686784, avg episodic return=4.10
timesteps=1671424 - 1686784, avg episodic return=3.90
timesteps=1671424 - 1686784, avg episodic return=5.43
timesteps=1687808 - 1698048, avg episodic return=3.85
timesteps=1692928 - 1703168, avg episodic return=3.85
timesteps=1687808 - 1692928, avg episodic return=3.10
timesteps=1714432 - 1714432, avg episodic return=3.10
