## SLURM PROLOG ###############################################################
##    Job ID : 8517562
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:37:53 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1832 - 1832, avg episodic return=0.00
timesteps=1096 - 1416, avg episodic return=0.00
timesteps=1128 - 1992, avg episodic return=-15.00
timesteps=3016 - 3016, avg episodic return=0.00
timesteps=2184 - 2184, avg episodic return=10.00
timesteps=3624 - 3624, avg episodic return=10.00
timesteps=4552 - 4552, avg episodic return=-10.00
timesteps=5064 - 5064, avg episodic return=10.00
timesteps=4328 - 4328, avg episodic return=10.00
timesteps=5640 - 5640, avg episodic return=-20.00
timesteps=5320 - 5640, avg episodic return=10.00
timesteps=5320 - 5320, avg episodic return=10.00
timesteps=5576 - 5736, avg episodic return=-20.00
timesteps=6504 - 6504, avg episodic return=0.00
timesteps=6344 - 6344, avg episodic return=-20.00
timesteps=6152 - 6760, avg episodic return=0.00
timesteps=6504 - 7048, avg episodic return=10.00
timesteps=7528 - 8168, avg episodic return=10.00
timesteps=7176 - 7176, avg episodic return=10.00
timesteps=7400 - 8072, avg episodic return=10.00
timesteps=7944 - 8136, avg episodic return=-3.33
timesteps=9064 - 9064, avg episodic return=-20.00
timesteps=8232 - 8840, avg episodic return=10.00
timesteps=8776 - 8776, avg episodic return=10.00
timesteps=9448 - 10184, avg episodic return=10.00
timesteps=9896 - 10088, avg episodic return=10.00
timesteps=9416 - 10216, avg episodic return=0.00
timesteps=9352 - 9352, avg episodic return=10.00
timesteps=10088 - 10088, avg episodic return=10.00
timesteps=10632 - 10792, avg episodic return=10.00
timesteps=10280 - 11144, avg episodic return=10.00
timesteps=10664 - 10664, avg episodic return=10.00
timesteps=10952 - 11048, avg episodic return=5.00
timesteps=10472 - 11080, avg episodic return=10.00
timesteps=12264 - 12264, avg episodic return=10.00
timesteps=11368 - 11368, avg episodic return=10.00
timesteps=11272 - 11368, avg episodic return=10.00
timesteps=12040 - 12168, avg episodic return=10.00
timesteps=11720 - 12200, avg episodic return=10.00
timesteps=12648 - 12840, avg episodic return=10.00
timesteps=12296 - 13256, avg episodic return=10.00
timesteps=12424 - 12968, avg episodic return=10.00
timesteps=12488 - 12488, avg episodic return=10.00
timesteps=13160 - 13160, avg episodic return=20.00
timesteps=13416 - 14248, avg episodic return=10.00
timesteps=13544 - 14280, avg episodic return=10.00
timesteps=13320 - 14056, avg episodic return=3.33
timesteps=13352 - 13608, avg episodic return=5.00
timesteps=13896 - 13896, avg episodic return=10.00
timesteps=14824 - 14824, avg episodic return=0.00
timesteps=14344 - 15048, avg episodic return=10.00
timesteps=14504 - 14920, avg episodic return=10.00
timesteps=14376 - 14984, avg episodic return=10.00
timesteps=14888 - 15144, avg episodic return=10.00
timesteps=15720 - 15720, avg episodic return=10.00
timesteps=15912 - 16072, avg episodic return=10.00
timesteps=15624 - 16328, avg episodic return=10.00
timesteps=15688 - 16040, avg episodic return=5.00
timesteps=16584 - 16776, avg episodic return=5.00
timesteps=16744 - 16776, avg episodic return=10.00
timesteps=16520 - 17384, avg episodic return=6.00
timesteps=16488 - 16488, avg episodic return=10.00
timesteps=16552 - 17192, avg episodic return=3.33
timesteps=17608 - 18280, avg episodic return=6.00
timesteps=17480 - 18408, avg episodic return=11.67
timesteps=17864 - 17864, avg episodic return=10.00
timesteps=18312 - 18312, avg episodic return=10.00
timesteps=17640 - 17864, avg episodic return=12.50
timesteps=18664 - 18728, avg episodic return=10.00
timesteps=18504 - 19272, avg episodic return=10.00
timesteps=18568 - 18568, avg episodic return=10.00
timesteps=20072 - 20296, avg episodic return=10.00
timesteps=20296 - 20456, avg episodic return=10.00
timesteps=19752 - 20456, avg episodic return=10.00
timesteps=19688 - 20360, avg episodic return=12.50
timesteps=19976 - 19976, avg episodic return=10.00
timesteps=20584 - 21352, avg episodic return=10.00
timesteps=21224 - 21320, avg episodic return=0.00
timesteps=20872 - 21288, avg episodic return=-5.00
timesteps=20744 - 21384, avg episodic return=10.00
timesteps=21096 - 21320, avg episodic return=5.00
timesteps=21640 - 21992, avg episodic return=8.75
timesteps=22344 - 22344, avg episodic return=10.00
timesteps=21640 - 22504, avg episodic return=8.75
timesteps=21896 - 21896, avg episodic return=10.00
timesteps=22664 - 23464, avg episodic return=10.00
timesteps=22664 - 23464, avg episodic return=10.00
timesteps=22760 - 23464, avg episodic return=10.00
timesteps=22600 - 23432, avg episodic return=10.00
timesteps=22600 - 23336, avg episodic return=0.00
timesteps=23816 - 24456, avg episodic return=7.50
timesteps=23624 - 24072, avg episodic return=10.00
