## SLURM PROLOG ###############################################################
##    Job ID : 8517585
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:10:02 PM EST 2025
###############################################################################
obs (49,)
timesteps=52200 - 52200, avg episodic return=20.00
timesteps=51848 - 51848, avg episodic return=10.00
timesteps=52488 - 52488, avg episodic return=0.00
timesteps=52360 - 52360, avg episodic return=10.00
timesteps=53640 - 53960, avg episodic return=10.00
timesteps=53384 - 53384, avg episodic return=10.00
timesteps=53768 - 53768, avg episodic return=10.00
timesteps=54632 - 54632, avg episodic return=10.00
timesteps=54696 - 54696, avg episodic return=-30.00
timesteps=55240 - 55240, avg episodic return=20.00
timesteps=55784 - 55784, avg episodic return=-40.00
timesteps=56168 - 56168, avg episodic return=0.00
timesteps=56936 - 56936, avg episodic return=10.00
timesteps=56360 - 56360, avg episodic return=-90.00
timesteps=58152 - 58152, avg episodic return=-20.00
timesteps=57416 - 57416, avg episodic return=10.00
timesteps=59080 - 59080, avg episodic return=10.00
timesteps=59240 - 59240, avg episodic return=0.00
timesteps=59144 - 59144, avg episodic return=-50.00
timesteps=60200 - 60200, avg episodic return=-10.00
timesteps=60072 - 60168, avg episodic return=0.00
timesteps=59944 - 59944, avg episodic return=0.00
timesteps=61064 - 61064, avg episodic return=-10.00
timesteps=60808 - 60808, avg episodic return=10.00
timesteps=61064 - 61064, avg episodic return=10.00
timesteps=62024 - 62024, avg episodic return=0.00
timesteps=63592 - 63592, avg episodic return=30.00
timesteps=63880 - 63880, avg episodic return=20.00
timesteps=65352 - 65352, avg episodic return=10.00
timesteps=64520 - 64520, avg episodic return=20.00
timesteps=65640 - 66472, avg episodic return=-25.00
timesteps=67560 - 67560, avg episodic return=10.00
timesteps=67080 - 67080, avg episodic return=-10.00
timesteps=66728 - 66728, avg episodic return=10.00
timesteps=67912 - 67912, avg episodic return=10.00
timesteps=67912 - 67912, avg episodic return=-10.00
timesteps=69128 - 69128, avg episodic return=-60.00
timesteps=70408 - 70408, avg episodic return=20.00
timesteps=70568 - 70568, avg episodic return=10.00
timesteps=70696 - 70696, avg episodic return=10.00
timesteps=71368 - 71400, avg episodic return=15.00
timesteps=71496 - 71496, avg episodic return=-20.00
timesteps=71688 - 72232, avg episodic return=5.00
timesteps=71752 - 71752, avg episodic return=10.00
timesteps=71752 - 71848, avg episodic return=20.00
timesteps=72936 - 72936, avg episodic return=0.00
timesteps=72712 - 72712, avg episodic return=0.00
timesteps=74632 - 74632, avg episodic return=0.00
timesteps=75048 - 75048, avg episodic return=-20.00
timesteps=75464 - 75464, avg episodic return=-10.00
timesteps=76040 - 76648, avg episodic return=13.33
timesteps=76680 - 76680, avg episodic return=0.00
timesteps=76072 - 76072, avg episodic return=10.00
timesteps=76872 - 76872, avg episodic return=0.00
timesteps=76840 - 76840, avg episodic return=30.00
timesteps=77352 - 77704, avg episodic return=10.00
timesteps=78696 - 78696, avg episodic return=-20.00
timesteps=78344 - 78344, avg episodic return=10.00
timesteps=79432 - 79432, avg episodic return=10.00
timesteps=79976 - 80456, avg episodic return=-5.00
timesteps=80456 - 80872, avg episodic return=3.33
timesteps=81704 - 81800, avg episodic return=5.00
timesteps=81096 - 81384, avg episodic return=10.00
timesteps=82184 - 82184, avg episodic return=-10.00
timesteps=82440 - 82440, avg episodic return=10.00
timesteps=82088 - 82088, avg episodic return=0.00
timesteps=83112 - 83528, avg episodic return=10.00
timesteps=84392 - 84392, avg episodic return=10.00
timesteps=84808 - 84840, avg episodic return=10.00
timesteps=85608 - 85608, avg episodic return=-20.00
timesteps=85416 - 85416, avg episodic return=20.00
timesteps=85480 - 85480, avg episodic return=20.00
timesteps=86184 - 86184, avg episodic return=-90.00
timesteps=86024 - 86024, avg episodic return=0.00
timesteps=87240 - 87240, avg episodic return=10.00
timesteps=88456 - 88616, avg episodic return=5.00
timesteps=88264 - 88584, avg episodic return=10.00
timesteps=89576 - 89832, avg episodic return=0.00
timesteps=89288 - 89544, avg episodic return=20.00
timesteps=90056 - 90056, avg episodic return=10.00
timesteps=90920 - 90920, avg episodic return=0.00
timesteps=90728 - 91048, avg episodic return=-45.00
timesteps=91496 - 91496, avg episodic return=10.00
timesteps=91400 - 91400, avg episodic return=10.00
timesteps=91880 - 91880, avg episodic return=0.00
timesteps=92296 - 92296, avg episodic return=10.00
timesteps=92360 - 92360, avg episodic return=-30.00
timesteps=92424 - 92680, avg episodic return=10.00
timesteps=93896 - 93896, avg episodic return=10.00
timesteps=93384 - 93384, avg episodic return=10.00
timesteps=94824 - 95080, avg episodic return=5.00
timesteps=94504 - 94504, avg episodic return=10.00
timesteps=94504 - 94504, avg episodic return=40.00
timesteps=95496 - 95496, avg episodic return=10.00
timesteps=96648 - 96648, avg episodic return=0.00
timesteps=97000 - 97128, avg episodic return=5.00
timesteps=97224 - 97224, avg episodic return=20.00
timesteps=98280 - 98280, avg episodic return=20.00
timesteps=98408 - 98408, avg episodic return=10.00
timesteps=98632 - 98824, avg episodic return=0.00
timesteps=98504 - 98632, avg episodic return=10.00
timesteps=100008 - 100008, avg episodic return=10.00
timesteps=99688 - 99688, avg episodic return=10.00
timesteps=99400 - 99976, avg episodic return=10.00
timesteps=99784 - 99784, avg episodic return=20.00
timesteps=100552 - 100552, avg episodic return=20.00
timesteps=100648 - 100648, avg episodic return=5.00
timesteps=100616 - 100616, avg episodic return=10.00
timesteps=101480 - 101864, avg episodic return=10.00
timesteps=102664 - 103080, avg episodic return=15.00
timesteps=103848 - 103848, avg episodic return=0.00
timesteps=104200 - 104200, avg episodic return=10.00
timesteps=104520 - 104520, avg episodic return=-10.00
timesteps=105096 - 105096, avg episodic return=10.00
timesteps=104840 - 104904, avg episodic return=5.00
timesteps=104840 - 104840, avg episodic return=10.00
timesteps=106344 - 106344, avg episodic return=20.00
timesteps=105576 - 105576, avg episodic return=10.00
timesteps=106952 - 107112, avg episodic return=10.00
timesteps=107016 - 107016, avg episodic return=10.00
timesteps=106824 - 106856, avg episodic return=5.00
timesteps=108552 - 108552, avg episodic return=-20.00
timesteps=109384 - 109384, avg episodic return=10.00
timesteps=109128 - 109416, avg episodic return=10.00
timesteps=110504 - 110504, avg episodic return=0.00
timesteps=110536 - 110536, avg episodic return=10.00
timesteps=110728 - 111592, avg episodic return=-3.33
timesteps=110664 - 110664, avg episodic return=20.00
timesteps=110952 - 110952, avg episodic return=10.00
timesteps=112008 - 112552, avg episodic return=6.67
timesteps=113416 - 113480, avg episodic return=-15.00
timesteps=113416 - 113416, avg episodic return=10.00
timesteps=114088 - 114216, avg episodic return=-15.00
timesteps=114440 - 114440, avg episodic return=0.00
timesteps=113736 - 113736, avg episodic return=-40.00
timesteps=115464 - 115464, avg episodic return=-50.00
timesteps=114888 - 114888, avg episodic return=10.00
timesteps=114952 - 115240, avg episodic return=10.00
timesteps=116328 - 116328, avg episodic return=10.00
timesteps=115976 - 115976, avg episodic return=10.00
timesteps=116712 - 116712, avg episodic return=10.00
timesteps=117448 - 117448, avg episodic return=10.00
timesteps=117352 - 117352, avg episodic return=20.00
timesteps=118376 - 118696, avg episodic return=0.00
timesteps=118600 - 118600, avg episodic return=10.00
timesteps=118696 - 118696, avg episodic return=10.00
timesteps=118248 - 118248, avg episodic return=10.00
timesteps=119432 - 119496, avg episodic return=0.00
timesteps=119208 - 119208, avg episodic return=0.00
timesteps=118984 - 119016, avg episodic return=10.00
timesteps=120424 - 120424, avg episodic return=10.00
timesteps=121768 - 121768, avg episodic return=10.00
timesteps=121384 - 121800, avg episodic return=12.50
timesteps=121928 - 122024, avg episodic return=15.00
timesteps=122152 - 122152, avg episodic return=-60.00
timesteps=122888 - 122888, avg episodic return=10.00
timesteps=123656 - 123656, avg episodic return=-10.00
timesteps=124008 - 124008, avg episodic return=10.00
timesteps=124360 - 124808, avg episodic return=5.00
timesteps=124520 - 124712, avg episodic return=-15.00
timesteps=125416 - 125640, avg episodic return=5.00
timesteps=125032 - 125288, avg episodic return=5.00
timesteps=125160 - 125160, avg episodic return=10.00
timesteps=125736 - 125736, avg episodic return=10.00
timesteps=125992 - 125992, avg episodic return=-10.00
timesteps=126856 - 126856, avg episodic return=10.00
timesteps=126376 - 126568, avg episodic return=10.00
timesteps=126600 - 126600, avg episodic return=10.00
timesteps=127080 - 127080, avg episodic return=-10.00
timesteps=128424 - 128424, avg episodic return=10.00
timesteps=128168 - 128168, avg episodic return=-40.00
timesteps=128616 - 128616, avg episodic return=20.00
timesteps=128072 - 128616, avg episodic return=15.00
timesteps=129032 - 129032, avg episodic return=40.00
timesteps=129992 - 129992, avg episodic return=30.00
timesteps=129256 - 129256, avg episodic return=20.00
timesteps=130408 - 130536, avg episodic return=15.00
timesteps=130536 - 130536, avg episodic return=20.00
timesteps=130472 - 130760, avg episodic return=15.00
timesteps=130056 - 130920, avg episodic return=13.33
timesteps=131528 - 131752, avg episodic return=10.00
timesteps=131848 - 132040, avg episodic return=13.33
timesteps=132392 - 132392, avg episodic return=-30.00
timesteps=133640 - 133992, avg episodic return=16.67
timesteps=133256 - 133896, avg episodic return=13.33
timesteps=133448 - 133448, avg episodic return=10.00
timesteps=134056 - 134056, avg episodic return=10.00
timesteps=135112 - 135112, avg episodic return=20.00
timesteps=134568 - 134568, avg episodic return=10.00
timesteps=135112 - 135112, avg episodic return=-50.00
timesteps=135848 - 135848, avg episodic return=0.00
timesteps=135624 - 135976, avg episodic return=10.00
timesteps=136552 - 136552, avg episodic return=-30.00
timesteps=137352 - 138056, avg episodic return=10.00
timesteps=137352 - 137352, avg episodic return=10.00
timesteps=138600 - 138600, avg episodic return=20.00
timesteps=138664 - 139176, avg episodic return=5.00
timesteps=140264 - 140264, avg episodic return=20.00
timesteps=139752 - 139976, avg episodic return=15.00
timesteps=142152 - 142152, avg episodic return=10.00
timesteps=142216 - 142216, avg episodic return=10.00
timesteps=142280 - 142280, avg episodic return=0.00
timesteps=142120 - 142120, avg episodic return=-10.00
timesteps=141416 - 141640, avg episodic return=0.00
timesteps=142888 - 143112, avg episodic return=10.00
timesteps=142408 - 142408, avg episodic return=0.00
timesteps=143464 - 144360, avg episodic return=10.00
timesteps=144104 - 144104, avg episodic return=10.00
timesteps=143528 - 143528, avg episodic return=10.00
timesteps=144936 - 145160, avg episodic return=10.00
timesteps=144840 - 145320, avg episodic return=10.00
timesteps=144872 - 144872, avg episodic return=20.00
timesteps=146088 - 146088, avg episodic return=10.00
timesteps=145672 - 145672, avg episodic return=10.00
timesteps=145672 - 145672, avg episodic return=0.00
timesteps=146504 - 146504, avg episodic return=10.00
timesteps=146536 - 146536, avg episodic return=0.00
timesteps=147112 - 147112, avg episodic return=-10.00
timesteps=147304 - 147304, avg episodic return=10.00
timesteps=147560 - 147720, avg episodic return=5.00
timesteps=147592 - 147592, avg episodic return=20.00
timesteps=148072 - 148072, avg episodic return=0.00
timesteps=149160 - 149160, avg episodic return=-20.00
timesteps=149064 - 149096, avg episodic return=0.00
timesteps=150056 - 150152, avg episodic return=0.00
timesteps=150312 - 150312, avg episodic return=10.00
timesteps=150376 - 150376, avg episodic return=-60.00
timesteps=151176 - 151176, avg episodic return=10.00
timesteps=151208 - 151208, avg episodic return=0.00
timesteps=150568 - 150568, avg episodic return=10.00
timesteps=151400 - 151400, avg episodic return=20.00
timesteps=152424 - 152424, avg episodic return=20.00
timesteps=152136 - 152136, avg episodic return=0.00
timesteps=152552 - 152552, avg episodic return=10.00
timesteps=152040 - 152040, avg episodic return=10.00
timesteps=152968 - 153128, avg episodic return=15.00
timesteps=152616 - 152616, avg episodic return=10.00
timesteps=153864 - 154280, avg episodic return=15.00
timesteps=153864 - 153864, avg episodic return=10.00
timesteps=153800 - 154312, avg episodic return=10.00
timesteps=154664 - 154824, avg episodic return=-3.33
timesteps=155176 - 155176, avg episodic return=10.00
timesteps=155560 - 155560, avg episodic return=10.00
timesteps=154696 - 155592, avg episodic return=-6.67
timesteps=156264 - 156264, avg episodic return=10.00
timesteps=156232 - 156264, avg episodic return=10.00
timesteps=156296 - 156296, avg episodic return=0.00
timesteps=157224 - 157672, avg episodic return=6.67
timesteps=157384 - 157384, avg episodic return=0.00
timesteps=157672 - 157672, avg episodic return=10.00
timesteps=158184 - 158184, avg episodic return=0.00
timesteps=158088 - 158088, avg episodic return=10.00
timesteps=159432 - 159432, avg episodic return=10.00
timesteps=159624 - 159624, avg episodic return=20.00
timesteps=159144 - 159336, avg episodic return=15.00
timesteps=160392 - 160392, avg episodic return=20.00
timesteps=160456 - 160456, avg episodic return=-10.00
timesteps=160744 - 160744, avg episodic return=-90.00
timesteps=159816 - 160136, avg episodic return=16.67
timesteps=160904 - 161640, avg episodic return=10.00
timesteps=160904 - 161704, avg episodic return=-6.67
timesteps=161768 - 161768, avg episodic return=10.00
timesteps=161224 - 161224, avg episodic return=10.00
timesteps=161992 - 162440, avg episodic return=6.67
timesteps=162216 - 162792, avg episodic return=-3.33
timesteps=162792 - 162792, avg episodic return=-10.00
timesteps=162248 - 162248, avg episodic return=-10.00
timesteps=161800 - 161896, avg episodic return=10.00
timesteps=163400 - 163400, avg episodic return=10.00
timesteps=163368 - 163400, avg episodic return=0.00
timesteps=163720 - 163720, avg episodic return=0.00
timesteps=163176 - 163240, avg episodic return=5.00
timesteps=164232 - 164424, avg episodic return=10.00
timesteps=164072 - 164072, avg episodic return=10.00
timesteps=164456 - 164648, avg episodic return=-3.33
timesteps=164264 - 164264, avg episodic return=5.00
timesteps=163944 - 163944, avg episodic return=10.00
timesteps=165000 - 165000, avg episodic return=10.00
timesteps=165160 - 165288, avg episodic return=10.00
timesteps=165128 - 165128, avg episodic return=10.00
timesteps=165576 - 165576, avg episodic return=-10.00
timesteps=165896 - 166376, avg episodic return=5.00
timesteps=165928 - 166568, avg episodic return=-5.00
timesteps=166888 - 166888, avg episodic return=10.00
timesteps=166728 - 166792, avg episodic return=10.00
timesteps=167368 - 167496, avg episodic return=20.00
timesteps=166920 - 166920, avg episodic return=10.00
timesteps=166920 - 167688, avg episodic return=10.00
timesteps=168104 - 168520, avg episodic return=15.00
timesteps=168008 - 168008, avg episodic return=10.00
timesteps=168488 - 168488, avg episodic return=15.00
timesteps=168616 - 168840, avg episodic return=0.00
timesteps=169384 - 169416, avg episodic return=5.00
timesteps=169320 - 169320, avg episodic return=10.00
timesteps=169160 - 169160, avg episodic return=0.00
timesteps=169544 - 169608, avg episodic return=10.00
timesteps=170440 - 170632, avg episodic return=-15.00
timesteps=170280 - 170280, avg episodic return=10.00
timesteps=170280 - 170888, avg episodic return=10.00
timesteps=169992 - 170952, avg episodic return=10.00
timesteps=171624 - 171624, avg episodic return=10.00
timesteps=171336 - 171976, avg episodic return=15.00
timesteps=171368 - 171432, avg episodic return=10.00
timesteps=171048 - 171272, avg episodic return=10.00
timesteps=171304 - 171304, avg episodic return=10.00
timesteps=172904 - 172904, avg episodic return=10.00
timesteps=172104 - 172392, avg episodic return=10.00
timesteps=172712 - 172936, avg episodic return=15.00
timesteps=173736 - 173736, avg episodic return=-20.00
timesteps=173384 - 173384, avg episodic return=10.00
timesteps=174216 - 175016, avg episodic return=0.00
timesteps=174568 - 174568, avg episodic return=10.00
timesteps=175144 - 175560, avg episodic return=-10.00
timesteps=175912 - 175912, avg episodic return=10.00
timesteps=175336 - 175336, avg episodic return=20.00
timesteps=176808 - 176808, avg episodic return=-10.00
timesteps=176168 - 176488, avg episodic return=10.00
timesteps=178024 - 178024, avg episodic return=10.00
timesteps=177576 - 177576, avg episodic return=-10.00
timesteps=177992 - 177992, avg episodic return=10.00
timesteps=177736 - 177736, avg episodic return=10.00
timesteps=178600 - 179176, avg episodic return=-5.00
timesteps=178216 - 179176, avg episodic return=11.67
timesteps=178856 - 179016, avg episodic return=10.00
timesteps=179016 - 179016, avg episodic return=20.00
timesteps=179912 - 179912, avg episodic return=10.00
timesteps=179592 - 179656, avg episodic return=15.00
timesteps=180488 - 180488, avg episodic return=10.00
timesteps=180520 - 180520, avg episodic return=20.00
timesteps=180264 - 181032, avg episodic return=10.00
timesteps=180392 - 180392, avg episodic return=0.00
timesteps=181608 - 181608, avg episodic return=30.00
timesteps=181512 - 181704, avg episodic return=-10.00
timesteps=181448 - 181448, avg episodic return=-20.00
timesteps=181992 - 181992, avg episodic return=20.00
timesteps=183112 - 183112, avg episodic return=10.00
timesteps=182792 - 182952, avg episodic return=-20.00
timesteps=182600 - 182728, avg episodic return=10.00
timesteps=183336 - 183336, avg episodic return=-30.00
timesteps=183496 - 184104, avg episodic return=12.50
timesteps=183304 - 183304, avg episodic return=-20.00
timesteps=185128 - 185128, avg episodic return=10.00
timesteps=185192 - 185192, avg episodic return=20.00
timesteps=184584 - 184584, avg episodic return=10.00
timesteps=184680 - 184840, avg episodic return=10.00
timesteps=186120 - 186216, avg episodic return=10.00
timesteps=185640 - 185640, avg episodic return=10.00
timesteps=186792 - 186792, avg episodic return=10.00
timesteps=186792 - 186792, avg episodic return=-10.00
timesteps=186984 - 186984, avg episodic return=10.00
timesteps=187368 - 187368, avg episodic return=-30.00
timesteps=187048 - 187208, avg episodic return=20.00
timesteps=187752 - 188008, avg episodic return=0.00
timesteps=188168 - 188168, avg episodic return=10.00
timesteps=188008 - 188264, avg episodic return=-5.00
timesteps=188904 - 189416, avg episodic return=15.00
timesteps=188776 - 188776, avg episodic return=10.00
timesteps=188744 - 189096, avg episodic return=15.00
timesteps=189480 - 189960, avg episodic return=8.00
timesteps=189768 - 190408, avg episodic return=7.50
timesteps=190312 - 190440, avg episodic return=0.00
timesteps=189448 - 189448, avg episodic return=10.00
timesteps=190824 - 191176, avg episodic return=15.00
timesteps=191176 - 191240, avg episodic return=15.00
timesteps=190920 - 190920, avg episodic return=0.00
timesteps=191816 - 191816, avg episodic return=10.00
timesteps=191784 - 192392, avg episodic return=-3.33
timesteps=192104 - 192360, avg episodic return=5.00
timesteps=192008 - 192008, avg episodic return=-10.00
timesteps=191560 - 192264, avg episodic return=10.00
timesteps=192712 - 193352, avg episodic return=10.00
timesteps=193384 - 193384, avg episodic return=10.00
timesteps=193320 - 193320, avg episodic return=10.00
timesteps=194120 - 194376, avg episodic return=10.00
timesteps=193672 - 194504, avg episodic return=10.00
timesteps=193704 - 194504, avg episodic return=10.00
timesteps=194152 - 194152, avg episodic return=20.00
timesteps=193960 - 194504, avg episodic return=0.00
timesteps=194792 - 194952, avg episodic return=10.00
timesteps=194664 - 194856, avg episodic return=15.00
timesteps=195112 - 195112, avg episodic return=10.00
timesteps=194696 - 194696, avg episodic return=10.00
timesteps=195112 - 195560, avg episodic return=10.00
timesteps=195688 - 195688, avg episodic return=10.00
timesteps=195592 - 196008, avg episodic return=-5.00
timesteps=196040 - 196264, avg episodic return=10.00
timesteps=196808 - 197128, avg episodic return=-4.00
timesteps=197192 - 197320, avg episodic return=13.33
timesteps=197512 - 197512, avg episodic return=10.00
timesteps=196712 - 196872, avg episodic return=15.00
timesteps=197992 - 197992, avg episodic return=0.00
timesteps=197672 - 198344, avg episodic return=10.00
timesteps=198216 - 198216, avg episodic return=0.00
timesteps=198056 - 198120, avg episodic return=10.00
timesteps=199240 - 199240, avg episodic return=10.00
timesteps=199400 - 199400, avg episodic return=10.00
timesteps=199208 - 199208, avg episodic return=10.00
timesteps=198792 - 199048, avg episodic return=15.00
timesteps=199816 - 200520, avg episodic return=5.00
timesteps=200136 - 200136, avg episodic return=10.00
timesteps=199976 - 200456, avg episodic return=10.00
timesteps=201064 - 201512, avg episodic return=20.00
timesteps=201672 - 201672, avg episodic return=10.00
timesteps=201064 - 201064, avg episodic return=0.00
timesteps=201576 - 201576, avg episodic return=20.00
timesteps=201768 - 202600, avg episodic return=-5.00
timesteps=202184 - 202184, avg episodic return=10.00
timesteps=202312 - 202312, avg episodic return=-10.00
timesteps=203272 - 203272, avg episodic return=10.00
timesteps=202856 - 202856, avg episodic return=0.00
timesteps=202888 - 203496, avg episodic return=8.33
timesteps=203240 - 203752, avg episodic return=12.50
timesteps=204104 - 204776, avg episodic return=3.33
timesteps=204936 - 205672, avg episodic return=10.00
timesteps=205000 - 205448, avg episodic return=10.00
timesteps=205128 - 205704, avg episodic return=10.00
timesteps=205320 - 205320, avg episodic return=-30.00
timesteps=205448 - 205768, avg episodic return=0.00
timesteps=205960 - 205960, avg episodic return=10.00
timesteps=206344 - 206536, avg episodic return=10.00
timesteps=206248 - 206248, avg episodic return=10.00
timesteps=206280 - 206536, avg episodic return=0.00
timesteps=207240 - 207752, avg episodic return=-5.00
timesteps=207240 - 207240, avg episodic return=-10.00
timesteps=207080 - 207400, avg episodic return=16.67
timesteps=207496 - 207496, avg episodic return=0.00
timesteps=206984 - 207624, avg episodic return=12.50
timesteps=208424 - 208424, avg episodic return=10.00
timesteps=208424 - 208424, avg episodic return=10.00
timesteps=207976 - 208744, avg episodic return=0.00
timesteps=209480 - 209480, avg episodic return=20.00
timesteps=209192 - 209800, avg episodic return=3.33
timesteps=209832 - 209832, avg episodic return=10.00
timesteps=208968 - 209352, avg episodic return=-10.00
timesteps=209064 - 209064, avg episodic return=0.00
timesteps=210120 - 210120, avg episodic return=10.00
timesteps=210504 - 210504, avg episodic return=10.00
timesteps=210056 - 210792, avg episodic return=10.00
timesteps=210760 - 210760, avg episodic return=10.00
timesteps=211560 - 211560, avg episodic return=20.00
timesteps=211624 - 211624, avg episodic return=0.00
timesteps=210952 - 210952, avg episodic return=0.00
timesteps=211272 - 211624, avg episodic return=10.00
timesteps=212392 - 212520, avg episodic return=10.00
timesteps=212008 - 212008, avg episodic return=10.00
timesteps=212040 - 212776, avg episodic return=7.50
timesteps=212232 - 212232, avg episodic return=30.00
timesteps=212584 - 212840, avg episodic return=6.67
timesteps=213544 - 213544, avg episodic return=10.00
timesteps=213064 - 213192, avg episodic return=3.33
timesteps=213128 - 213544, avg episodic return=5.00
timesteps=213448 - 213448, avg episodic return=20.00
timesteps=213864 - 213864, avg episodic return=10.00
timesteps=214152 - 214184, avg episodic return=5.00
timesteps=214440 - 214760, avg episodic return=16.67
timesteps=214024 - 214632, avg episodic return=0.00
timesteps=214280 - 214280, avg episodic return=10.00
timesteps=214152 - 215016, avg episodic return=10.00
timesteps=215656 - 215656, avg episodic return=20.00
timesteps=215336 - 215336, avg episodic return=10.00
timesteps=215880 - 216008, avg episodic return=10.00
timesteps=215432 - 215816, avg episodic return=3.33
timesteps=215240 - 215304, avg episodic return=15.00
timesteps=216680 - 216680, avg episodic return=10.00
timesteps=216136 - 216968, avg episodic return=11.67
timesteps=216776 - 216968, avg episodic return=3.33
timesteps=216424 - 216424, avg episodic return=10.00
timesteps=216744 - 216744, avg episodic return=0.00
timesteps=217160 - 217864, avg episodic return=10.00
timesteps=217256 - 218088, avg episodic return=10.00
