## SLURM PROLOG ###############################################################
##    Job ID : 8517523
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2104
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:43 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3856 - 3856, avg episodic return=10.00
timesteps=4240 - 4240, avg episodic return=10.00
timesteps=5648 - 5648, avg episodic return=10.00
timesteps=7056 - 7952, avg episodic return=2.50
timesteps=6672 - 6672, avg episodic return=20.00
timesteps=7440 - 7952, avg episodic return=13.33
timesteps=8336 - 8720, avg episodic return=16.67
timesteps=8592 - 8592, avg episodic return=10.00
timesteps=8464 - 9488, avg episodic return=10.00
timesteps=9616 - 9616, avg episodic return=10.00
timesteps=8336 - 8336, avg episodic return=10.00
timesteps=10384 - 11152, avg episodic return=10.00
timesteps=10256 - 12176, avg episodic return=10.00
timesteps=12048 - 12048, avg episodic return=0.00
timesteps=12944 - 13328, avg episodic return=10.00
timesteps=13328 - 13328, avg episodic return=10.00
timesteps=13712 - 13968, avg episodic return=10.00
timesteps=12944 - 12944, avg episodic return=5.00
timesteps=14608 - 15632, avg episodic return=10.00
timesteps=14608 - 16144, avg episodic return=13.33
timesteps=14736 - 15632, avg episodic return=6.67
timesteps=14480 - 16144, avg episodic return=6.36
timesteps=14864 - 16272, avg episodic return=10.00
timesteps=16656 - 17808, avg episodic return=12.00
timesteps=16528 - 18064, avg episodic return=12.50
timesteps=16400 - 17936, avg episodic return=6.00
timesteps=16784 - 17936, avg episodic return=6.00
timesteps=17808 - 17808, avg episodic return=0.00
timesteps=18704 - 19472, avg episodic return=15.00
timesteps=18576 - 20368, avg episodic return=10.00
timesteps=18960 - 20112, avg episodic return=15.00
timesteps=18832 - 19344, avg episodic return=15.00
timesteps=20496 - 21648, avg episodic return=6.00
timesteps=20752 - 22288, avg episodic return=10.00
timesteps=21648 - 22160, avg episodic return=10.00
timesteps=20624 - 22032, avg episodic return=10.00
timesteps=20496 - 22288, avg episodic return=10.00
