## SLURM PROLOG ###############################################################
##    Job ID : 8516936
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2264
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:51:23 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=54528 - 64768, avg episodic return=1.10
timesteps=54528 - 54528, avg episodic return=1.10
timesteps=49408 - 64768, avg episodic return=0.93
timesteps=70912 - 81152, avg episodic return=0.70
timesteps=76032 - 81152, avg episodic return=1.43
timesteps=65792 - 81152, avg episodic return=0.93
timesteps=82176 - 97536, avg episodic return=0.85
timesteps=82176 - 97536, avg episodic return=0.30
timesteps=82176 - 97536, avg episodic return=0.60
timesteps=98560 - 113920, avg episodic return=0.60
timesteps=98560 - 113920, avg episodic return=0.85
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=125184 - 130304, avg episodic return=1.70
timesteps=120064 - 125184, avg episodic return=2.60
timesteps=114944 - 130304, avg episodic return=1.35
timesteps=136448 - 136448, avg episodic return=0.10
timesteps=136448 - 146688, avg episodic return=1.90
timesteps=131328 - 146688, avg episodic return=1.10
timesteps=152832 - 163072, avg episodic return=1.35
timesteps=152832 - 152832, avg episodic return=2.10
timesteps=152832 - 157952, avg episodic return=1.60
timesteps=174336 - 179456, avg episodic return=1.60
timesteps=164096 - 174336, avg episodic return=2.10
timesteps=179456 - 179456, avg episodic return=2.10
timesteps=180480 - 190720, avg episodic return=1.60
timesteps=185600 - 195840, avg episodic return=1.10
timesteps=180480 - 195840, avg episodic return=0.35
timesteps=196864 - 207104, avg episodic return=1.77
timesteps=196864 - 212224, avg episodic return=0.55
timesteps=196864 - 201984, avg episodic return=0.43
timesteps=223488 - 223488, avg episodic return=0.60
timesteps=218368 - 228608, avg episodic return=1.10
timesteps=213248 - 228608, avg episodic return=1.43
timesteps=234752 - 244992, avg episodic return=1.43
timesteps=229632 - 244992, avg episodic return=-0.23
timesteps=234752 - 244992, avg episodic return=0.35
timesteps=251136 - 261376, avg episodic return=0.43
timesteps=251136 - 261376, avg episodic return=1.60
timesteps=246016 - 261376, avg episodic return=1.10
timesteps=262400 - 277760, avg episodic return=1.24
timesteps=272640 - 272640, avg episodic return=0.10
timesteps=267520 - 267520, avg episodic return=3.10
timesteps=278784 - 289024, avg episodic return=1.90
timesteps=283904 - 294144, avg episodic return=3.35
timesteps=278784 - 283904, avg episodic return=1.10
timesteps=300288 - 310528, avg episodic return=1.85
timesteps=295168 - 310528, avg episodic return=1.53
timesteps=295168 - 310528, avg episodic return=1.35
timesteps=311552 - 321792, avg episodic return=1.43
timesteps=311552 - 321792, avg episodic return=1.35
timesteps=333056 - 333056, avg episodic return=0.77
timesteps=327936 - 338176, avg episodic return=1.35
timesteps=333056 - 343296, avg episodic return=1.35
timesteps=344320 - 359680, avg episodic return=0.90
timesteps=344320 - 359680, avg episodic return=2.10
timesteps=344320 - 349440, avg episodic return=0.77
timesteps=360704 - 376064, avg episodic return=1.70
timesteps=370944 - 370944, avg episodic return=1.10
timesteps=370944 - 370944, avg episodic return=0.10
timesteps=377088 - 382208, avg episodic return=0.60
timesteps=377088 - 392448, avg episodic return=0.90
timesteps=377088 - 382208, avg episodic return=0.50
timesteps=393472 - 403712, avg episodic return=0.85
timesteps=393472 - 408832, avg episodic return=1.90
timesteps=393472 - 408832, avg episodic return=1.43
timesteps=420096 - 420096, avg episodic return=0.10
timesteps=414976 - 425216, avg episodic return=0.60
timesteps=414976 - 425216, avg episodic return=0.60
timesteps=426240 - 431360, avg episodic return=0.60
timesteps=426240 - 441600, avg episodic return=1.43
timesteps=431360 - 441600, avg episodic return=1.50
timesteps=447744 - 447744, avg episodic return=-0.90
timesteps=442624 - 457984, avg episodic return=2.35
timesteps=442624 - 457984, avg episodic return=1.10
timesteps=459008 - 469248, avg episodic return=1.35
timesteps=459008 - 474368, avg episodic return=0.77
timesteps=459008 - 474368, avg episodic return=1.35
timesteps=475392 - 485632, avg episodic return=1.70
timesteps=475392 - 490752, avg episodic return=1.35
timesteps=475392 - 490752, avg episodic return=1.50
timesteps=507136 - 507136, avg episodic return=3.10
timesteps=491776 - 507136, avg episodic return=0.90
timesteps=496896 - 507136, avg episodic return=1.93
timesteps=508160 - 523520, avg episodic return=2.10
timesteps=513280 - 523520, avg episodic return=1.35
timesteps=513280 - 523520, avg episodic return=1.10
timesteps=524544 - 539904, avg episodic return=1.47
timesteps=534784 - 539904, avg episodic return=0.10
timesteps=524544 - 539904, avg episodic return=1.96
timesteps=546048 - 556288, avg episodic return=2.60
timesteps=540928 - 556288, avg episodic return=1.77
timesteps=540928 - 556288, avg episodic return=1.50
timesteps=557312 - 572672, avg episodic return=1.35
timesteps=557312 - 567552, avg episodic return=1.10
timesteps=557312 - 567552, avg episodic return=1.10
timesteps=573696 - 578816, avg episodic return=1.10
timesteps=573696 - 583936, avg episodic return=3.10
timesteps=573696 - 589056, avg episodic return=1.10
timesteps=590080 - 595200, avg episodic return=1.85
timesteps=595200 - 605440, avg episodic return=1.60
timesteps=590080 - 605440, avg episodic return=2.10
timesteps=606464 - 621824, avg episodic return=1.43
timesteps=611584 - 621824, avg episodic return=1.43
timesteps=606464 - 621824, avg episodic return=2.10
timesteps=622848 - 627968, avg episodic return=2.60
timesteps=627968 - 638208, avg episodic return=1.77
timesteps=627968 - 638208, avg episodic return=1.60
timesteps=649472 - 654592, avg episodic return=2.10
timesteps=649472 - 654592, avg episodic return=1.10
timesteps=649472 - 654592, avg episodic return=2.10
timesteps=665856 - 670976, avg episodic return=0.50
timesteps=665856 - 665856, avg episodic return=1.10
timesteps=655616 - 670976, avg episodic return=2.10
timesteps=672000 - 687360, avg episodic return=0.93
timesteps=672000 - 687360, avg episodic return=2.10
timesteps=672000 - 687360, avg episodic return=1.10
timesteps=698624 - 703744, avg episodic return=2.10
timesteps=688384 - 703744, avg episodic return=1.10
timesteps=688384 - 698624, avg episodic return=2.10
timesteps=704768 - 720128, avg episodic return=0.85
timesteps=709888 - 709888, avg episodic return=0.10
timesteps=709888 - 715008, avg episodic return=0.10
timesteps=721152 - 721152, avg episodic return=1.10
timesteps=721152 - 736512, avg episodic return=1.60
timesteps=737536 - 747776, avg episodic return=1.10
timesteps=742656 - 752896, avg episodic return=2.60
timesteps=747776 - 747776, avg episodic return=0.10
timesteps=759040 - 764160, avg episodic return=2.60
timesteps=753920 - 769280, avg episodic return=1.93
timesteps=753920 - 769280, avg episodic return=1.81
timesteps=775424 - 785664, avg episodic return=1.60
timesteps=780544 - 785664, avg episodic return=2.35
timesteps=770304 - 770304, avg episodic return=2.10
timesteps=786688 - 802048, avg episodic return=2.50
timesteps=791808 - 802048, avg episodic return=2.35
timesteps=786688 - 802048, avg episodic return=1.35
timesteps=808192 - 813312, avg episodic return=0.10
timesteps=808192 - 818432, avg episodic return=2.10
timesteps=803072 - 818432, avg episodic return=2.10
timesteps=824576 - 834816, avg episodic return=2.10
timesteps=829696 - 834816, avg episodic return=0.10
timesteps=819456 - 834816, avg episodic return=1.90
timesteps=835840 - 846080, avg episodic return=1.60
timesteps=835840 - 846080, avg episodic return=1.81
timesteps=862464 - 862464, avg episodic return=1.10
timesteps=852224 - 867584, avg episodic return=1.35
timesteps=857344 - 867584, avg episodic return=1.85
timesteps=868608 - 883968, avg episodic return=1.60
timesteps=873728 - 878848, avg episodic return=1.43
timesteps=868608 - 878848, avg episodic return=2.10
timesteps=890112 - 900352, avg episodic return=0.90
timesteps=884992 - 884992, avg episodic return=1.10
timesteps=884992 - 900352, avg episodic return=1.93
timesteps=901376 - 916736, avg episodic return=2.43
timesteps=901376 - 916736, avg episodic return=2.10
timesteps=901376 - 916736, avg episodic return=2.70
timesteps=922880 - 933120, avg episodic return=1.10
timesteps=917760 - 933120, avg episodic return=1.43
timesteps=928000 - 933120, avg episodic return=1.60
timesteps=934144 - 949504, avg episodic return=1.60
timesteps=939264 - 949504, avg episodic return=2.10
timesteps=949504 - 949504, avg episodic return=2.10
timesteps=960768 - 965888, avg episodic return=1.10
timesteps=950528 - 965888, avg episodic return=1.93
timesteps=955648 - 965888, avg episodic return=2.77
timesteps=966912 - 982272, avg episodic return=2.70
timesteps=966912 - 972032, avg episodic return=1.85
timesteps=966912 - 982272, avg episodic return=2.60
timesteps=983296 - 998656, avg episodic return=1.43
timesteps=983296 - 993536, avg episodic return=2.43
timesteps=988416 - 993536, avg episodic return=1.77
timesteps=999680 - 1015040, avg episodic return=1.81
timesteps=999680 - 1015040, avg episodic return=0.85
timesteps=1009920 - 1015040, avg episodic return=3.60
timesteps=1016064 - 1031424, avg episodic return=1.77
timesteps=1016064 - 1026304, avg episodic return=3.43
timesteps=1021184 - 1031424, avg episodic return=2.77
timesteps=1042688 - 1047808, avg episodic return=2.10
timesteps=1032448 - 1047808, avg episodic return=3.10
timesteps=1032448 - 1042688, avg episodic return=2.85
timesteps=1048832 - 1064192, avg episodic return=1.90
timesteps=1059072 - 1064192, avg episodic return=0.85
timesteps=1048832 - 1059072, avg episodic return=2.85
timesteps=1065216 - 1070336, avg episodic return=1.60
timesteps=1065216 - 1080576, avg episodic return=1.10
timesteps=1075456 - 1080576, avg episodic return=2.60
timesteps=1081600 - 1096960, avg episodic return=1.35
timesteps=1091840 - 1096960, avg episodic return=2.43
timesteps=1096960 - 1096960, avg episodic return=3.10
timesteps=1097984 - 1108224, avg episodic return=3.10
timesteps=1103104 - 1108224, avg episodic return=1.10
timesteps=1108224 - 1113344, avg episodic return=3.43
timesteps=1114368 - 1124608, avg episodic return=2.39
timesteps=1124608 - 1124608, avg episodic return=3.10
timesteps=1130752 - 1140992, avg episodic return=3.10
timesteps=1135872 - 1146112, avg episodic return=1.77
timesteps=1135872 - 1146112, avg episodic return=2.60
timesteps=1147136 - 1162496, avg episodic return=1.60
timesteps=1147136 - 1147136, avg episodic return=3.10
timesteps=1147136 - 1162496, avg episodic return=1.43
timesteps=1163520 - 1173760, avg episodic return=2.35
timesteps=1163520 - 1178880, avg episodic return=2.48
timesteps=1168640 - 1168640, avg episodic return=2.10
timesteps=1179904 - 1195264, avg episodic return=4.43
timesteps=1179904 - 1190144, avg episodic return=3.10
timesteps=1179904 - 1185024, avg episodic return=2.85
timesteps=1196288 - 1206528, avg episodic return=3.10
timesteps=1201408 - 1206528, avg episodic return=2.10
timesteps=1212672 - 1228032, avg episodic return=1.54
timesteps=1212672 - 1228032, avg episodic return=2.60
timesteps=1229056 - 1239296, avg episodic return=2.60
timesteps=1229056 - 1234176, avg episodic return=1.10
timesteps=1229056 - 1239296, avg episodic return=2.50
timesteps=1245440 - 1260800, avg episodic return=2.81
timesteps=1245440 - 1260800, avg episodic return=2.43
timesteps=1245440 - 1260800, avg episodic return=3.60
timesteps=1266944 - 1272064, avg episodic return=3.85
timesteps=1261824 - 1277184, avg episodic return=2.77
timesteps=1261824 - 1277184, avg episodic return=2.10
timesteps=1278208 - 1278208, avg episodic return=2.10
timesteps=1278208 - 1293568, avg episodic return=2.53
timesteps=1278208 - 1293568, avg episodic return=3.23
timesteps=1294592 - 1294592, avg episodic return=3.10
timesteps=1294592 - 1309952, avg episodic return=2.60
timesteps=1294592 - 1309952, avg episodic return=2.90
timesteps=1310976 - 1326336, avg episodic return=2.10
timesteps=1321216 - 1321216, avg episodic return=3.10
timesteps=1310976 - 1326336, avg episodic return=2.60
timesteps=1327360 - 1342720, avg episodic return=2.77
timesteps=1327360 - 1337600, avg episodic return=1.77
timesteps=1327360 - 1342720, avg episodic return=3.60
timesteps=1353984 - 1353984, avg episodic return=1.60
timesteps=1343744 - 1359104, avg episodic return=2.85
timesteps=1348864 - 1359104, avg episodic return=1.43
timesteps=1360128 - 1360128, avg episodic return=2.10
timesteps=1360128 - 1365248, avg episodic return=3.10
timesteps=1376512 - 1381632, avg episodic return=3.10
timesteps=1381632 - 1381632, avg episodic return=2.10
timesteps=1376512 - 1391872, avg episodic return=2.43
timesteps=1392896 - 1408256, avg episodic return=2.93
timesteps=1403136 - 1408256, avg episodic return=3.43
timesteps=1398016 - 1398016, avg episodic return=3.10
timesteps=1414400 - 1424640, avg episodic return=2.70
timesteps=1409280 - 1424640, avg episodic return=2.60
timesteps=1409280 - 1424640, avg episodic return=2.90
timesteps=1425664 - 1441024, avg episodic return=2.60
timesteps=1430784 - 1441024, avg episodic return=2.10
timesteps=1442048 - 1442048, avg episodic return=0.10
timesteps=1457408 - 1457408, avg episodic return=3.10
timesteps=1447168 - 1457408, avg episodic return=3.10
timesteps=1458432 - 1473792, avg episodic return=2.90
timesteps=1458432 - 1463552, avg episodic return=2.85
timesteps=1458432 - 1473792, avg episodic return=2.85
timesteps=1474816 - 1490176, avg episodic return=2.93
timesteps=1479936 - 1490176, avg episodic return=3.10
timesteps=1474816 - 1490176, avg episodic return=2.85
timesteps=1501440 - 1506560, avg episodic return=2.43
timesteps=1491200 - 1506560, avg episodic return=3.10
timesteps=1491200 - 1506560, avg episodic return=3.27
timesteps=1517824 - 1522944, avg episodic return=2.10
timesteps=1507584 - 1522944, avg episodic return=3.43
timesteps=1507584 - 1522944, avg episodic return=4.50
timesteps=1523968 - 1539328, avg episodic return=2.88
timesteps=1539328 - 1539328, avg episodic return=2.43
timesteps=1523968 - 1539328, avg episodic return=3.43
timesteps=1540352 - 1545472, avg episodic return=2.60
timesteps=1540352 - 1545472, avg episodic return=2.43
timesteps=1540352 - 1540352, avg episodic return=3.10
timesteps=1556736 - 1572096, avg episodic return=2.77
timesteps=1561856 - 1566976, avg episodic return=2.77
timesteps=1556736 - 1572096, avg episodic return=2.60
timesteps=1578240 - 1588480, avg episodic return=3.10
timesteps=1578240 - 1583360, avg episodic return=2.60
timesteps=1573120 - 1583360, avg episodic return=3.10
timesteps=1594624 - 1604864, avg episodic return=2.77
timesteps=1589504 - 1604864, avg episodic return=3.43
timesteps=1589504 - 1604864, avg episodic return=3.77
timesteps=1605888 - 1621248, avg episodic return=3.27
timesteps=1605888 - 1621248, avg episodic return=2.60
timesteps=1605888 - 1621248, avg episodic return=2.60
timesteps=1622272 - 1637632, avg episodic return=2.93
timesteps=1627392 - 1637632, avg episodic return=2.90
timesteps=1627392 - 1637632, avg episodic return=1.60
timesteps=1638656 - 1654016, avg episodic return=3.10
timesteps=1643776 - 1654016, avg episodic return=3.10
timesteps=1638656 - 1654016, avg episodic return=2.24
timesteps=1665280 - 1670400, avg episodic return=3.10
timesteps=1655040 - 1670400, avg episodic return=3.43
timesteps=1655040 - 1670400, avg episodic return=2.81
timesteps=1671424 - 1681664, avg episodic return=3.10
timesteps=1671424 - 1686784, avg episodic return=3.30
timesteps=1676544 - 1676544, avg episodic return=4.10
timesteps=1687808 - 1703168, avg episodic return=2.93
timesteps=1687808 - 1698048, avg episodic return=3.30
timesteps=1687808 - 1698048, avg episodic return=3.77
timesteps=1709312 - 1714432, avg episodic return=3.10
timesteps=1704192 - 1719552, avg episodic return=4.10
